Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,173.76735,134.23174,61.05251,407.00262,168.91049,47.90208,347.04144,132.12625,73.54359
2,0.008,173.76735,134.23174,61.05251,407.06229,168.89528,47.84072,347.03406,132.29327,73.72675
3,0.017,173.76735,134.23174,61.05251,407.06229,168.89528,47.84072,347.03406,132.29327,73.72675
4,0.025,173.76735,134.23174,61.05251,407.03116,168.83435,48.02941,347.00278,132.23598,73.62694
5,0.033,173.83838,133.82887,61.10712,407.00262,168.91049,47.90208,347.04144,132.12625,73.54359
6,0.042,173.76735,134.23174,61.05251,407.00262,168.91049,47.90208,346.8718,132.2626,73.60482
7,0.05,173.76735,134.23174,61.05251,407.09082,168.81914,47.96804,346.91049,132.15288,73.52146
8,0.058,173.855,134.13847,61.17123,407.00262,168.91049,47.90208,347.07272,132.18355,73.64339
9,0.067,173.76735,134.23174,61.05251,407.03116,168.83435,48.02941,346.94949,132.18457,73.79014
10,0.075,173.76735,134.23174,61.05251,407.00262,168.91049,47.90208,347.04144,132.12625,73.54359
11,0.083,173.76735,134.23174,61.05251,407.1637,168.82198,48.08152,347.07272,132.18355,73.64339
12,0.092,173.76735,134.23174,61.05251,407.00262,168.91049,47.90208,347.07748,132.38972,73.95419
13,0.1,173.855,134.13847,61.17123,407.18896,168.73288,48.03369,347.07748,132.38972,73.95419
14,0.108,173.855,134.13847,61.17123,407.10403,168.83719,48.14288,347.04144,132.12625,73.54359
15,0.117,173.76735,134.23174,61.05251,407.03116,168.83435,48.02941,347.00278,132.23598,73.62694
16,0.125,173.76735,134.23174,61.05251,407.06229,168.89528,47.84072,347.04144,132.12625,73.54359
17,0.133,173.76735,134.23174,61.05251,407.03116,168.83435,48.02941,347.0462,132.33241,73.85438
18,0.142,173.855,134.13847,61.17123,407.10403,168.83719,48.14288,347.04144,132.12625,73.54359
19,0.15,173.855,134.13847,61.17123,407.10403,168.83719,48.14288,347.04144,132.12625,73.54359
20,0.158,173.76735,134.23174,61.05251,407.23682,168.8075,48.0153,347.07748,132.38972,73.95419
21,0.167,173.76735,134.23174,61.05251,407.29648,168.79228,47.95393,347.07748,132.38972,73.95419
22,0.175,173.82333,134.21333,61.31878,407.26538,168.73135,48.14262,347.07748,132.38972,73.95419
23,0.183,173.855,134.13847,61.17123,407.26538,168.73135,48.14262,347.0462,132.33241,73.85438
24,0.192,173.76735,134.23174,61.05251,407.00262,168.91049,47.90208,347.04144,132.12625,73.54359
25,0.2,173.76735,134.23174,61.05251,407.06229,168.89528,47.84072,347.0462,132.33241,73.85438
26,0.208,173.73569,134.30658,61.20007,407.09082,168.81914,47.96804,347.07272,132.18355,73.64339
27,0.217,173.97119,134.17641,61.04373,407.21719,168.91118,47.95437,347.01544,132.0358,73.61965
28,0.225,173.76735,134.23174,61.05251,407.26538,168.73135,48.14262,347.04144,132.12625,73.54359
29,0.233,173.76735,134.23174,61.05251,407.23682,168.8075,48.0153,347.07272,132.18355,73.64339
30,0.242,173.76735,134.23174,61.05251,407.13513,168.89812,47.9542,347.07272,132.18355,73.64339
31,0.25,173.97119,134.17641,61.04373,407.32501,168.71614,48.08126,347.07272,132.18355,73.64339
32,0.258,173.97119,134.17641,61.04373,407.07547,168.91333,48.01556,347.04144,132.12625,73.54359
33,0.267,173.855,134.13847,61.17123,407.07547,168.91333,48.01556,347.04144,132.12625,73.54359
34,0.275,173.90208,134.26471,60.92418,407.20398,168.89311,47.77953,347.04144,132.12625,73.54359
35,0.283,173.90208,134.26471,60.92418,407.27686,168.89595,47.89301,347.07272,132.18355,73.64339
36,0.292,173.90208,134.26471,60.92418,407.40158,168.65004,47.98825,347.04144,132.12625,73.54359
37,0.3,173.90208,134.26471,60.92418,407.07547,168.91333,48.01556,347.04144,132.12625,73.54359
38,0.308,173.90208,134.26471,60.92418,407.00262,168.91049,47.90208,346.90897,132.32123,73.24008
39,0.317,173.90208,134.26471,60.92418,407.20398,168.89311,47.77953,346.94025,132.37852,73.33989
40,0.325,174.20984,134.34674,60.57888,407.36179,168.79164,47.7838,346.94025,132.37852,73.33989
41,0.333,174.07173,134.28528,60.74439,407.30215,168.80687,47.84517,346.94025,132.37852,73.33989
42,0.342,174.07173,134.28528,60.74439,407.21719,168.91118,47.95437,346.90897,132.32123,73.24008
43,0.35,173.92084,134.24213,60.8851,407.29648,168.79228,47.95393,346.90897,132.32123,73.24008
44,0.358,173.76735,134.23174,61.05251,407.16043,168.80902,47.90636,346.90897,132.32123,73.24008
45,0.367,174.07173,134.28528,60.74439,407.30215,168.80687,47.84517,346.90897,132.32123,73.24008
46,0.375,174.20984,134.34674,60.57888,407.14435,168.90834,47.84089,346.90897,132.32123,73.24008
47,0.383,173.93791,134.27853,60.67794,407.14435,168.90834,47.84089,346.90897,132.32123,73.24008
48,0.392,173.92084,134.24213,60.8851,407.00262,168.91049,47.90208,346.90897,132.32123,73.24008
49,0.4,173.92084,134.24213,60.8851,407.00262,168.91049,47.90208,346.94025,132.37852,73.33989
50,0.408,173.92084,134.24213,60.8851,407.30215,168.80687,47.84517,346.90897,132.32123,73.24008
51,0.417,173.76735,134.23174,61.05251,407.16043,168.80902,47.90636,346.90897,132.32123,73.24008
52,0.425,173.76735,134.23174,61.05251,407.16043,168.80902,47.90636,346.90897,132.32123,73.24008
53,0.433,173.76735,134.23174,61.05251,407.00262,168.91049,47.90208,346.90897,132.32123,73.24008
54,0.442,173.76735,134.23174,61.05251,407.00262,168.91049,47.90208,346.90897,132.32123,73.24008
55,0.45,173.90208,134.26471,60.92418,407.14435,168.90834,47.84089,346.90897,132.32123,73.24008
56,0.458,173.76735,134.23174,61.05251,407.00262,168.91049,47.90208,346.90897,132.32123,73.24008
57,0.467,173.63934,134.2365,60.9861,407.00262,168.91049,47.90208,346.90897,132.32123,73.24008
58,0.475,173.78702,134.2354,60.81865,407.00262,168.91049,47.90208,346.94025,132.37852,73.33989
59,0.483,173.92084,134.24213,60.8851,407.06229,168.89528,47.84072,347.04144,132.12625,73.54359
60,0.492,173.92084,134.24213,60.8851,407.16043,168.80902,47.90636,347.04144,132.12625,73.54359
61,0.5,173.76735,134.23174,61.05251,407.1171,168.79321,47.80725,347.04144,132.12625,73.54359
62,0.508,173.76735,134.23174,61.05251,407.00262,168.91049,47.90208,347.04144,132.12625,73.54359
63,0.517,173.76735,134.23174,61.05251,407.06229,168.89528,47.84072,347.04144,132.12625,73.54359
64,0.525,173.855,134.13847,61.17123,407.00262,168.91049,47.90208,347.04144,132.12625,73.54359
65,0.533,173.855,134.13847,61.17123,407.00262,168.91049,47.90208,347.04144,132.12625,73.54359
66,0.542,173.855,134.13847,61.17123,407.00262,168.91049,47.90208,347.04144,132.12625,73.54359
67,0.55,173.76735,134.23174,61.05251,407.06229,168.89528,47.84072,347.04144,132.12625,73.54359
68,0.558,173.855,134.13847,61.17123,407.09082,168.81914,47.96804,347.0462,132.33241,73.85438
69,0.567,173.855,134.13847,61.17123,407.18896,168.73288,48.03369,347.0462,132.33241,73.85438
70,0.575,173.91991,134.16687,61.26208,407.0542,168.67902,48.06358,347.04144,132.12625,73.54359
71,0.583,173.92604,133.73557,61.22586,407.03116,168.83435,48.02941,347.04144,132.12625,73.54359
72,0.592,173.76735,134.23174,61.05251,407.11386,168.6638,48.00221,347.0462,132.33241,73.85438
73,0.6,173.855,134.13847,61.17123,407.34805,168.56082,48.11543,347.0462,132.33241,73.85438
74,0.608,173.855,134.13847,61.17123,407.25571,168.45135,48.092,347.0462,132.33241,73.85438
75,0.617,173.82333,134.21333,61.31878,407.09793,168.55281,48.08772,347.01544,132.0358,73.61965
76,0.625,173.80673,133.90369,61.25466,407.09793,168.55281,48.08772,347.0202,132.24196,73.93043
77,0.633,173.73569,134.30658,61.20007,407.15494,168.5191,48.04062,347.0462,132.33241,73.85438
78,0.642,173.88864,134.01727,61.39181,407.31393,168.41791,48.15519,347.02466,132.11246,73.8899
