Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,176.11143,-49.55841,50.0355,414.20355,-88.31693,52.73919,345.5069,-40.73515,74.00502
2,0.008,176.11143,-49.55841,50.0355,414.28134,-88.13474,52.85923,345.5069,-40.73515,74.00502
3,0.017,176.13269,-49.37198,49.77029,414.26004,-88.04649,52.89964,345.57779,-40.7298,73.96452
4,0.025,175.97484,-49.24779,50.15934,414.23715,-88.1992,52.79813,345.45953,-40.85936,73.97582
5,0.033,176.18848,-49.61406,49.89564,414.37314,-88.19976,52.80111,345.41949,-40.76403,74.04144
6,0.042,175.84622,-49.50035,49.93762,414.27054,-88.30498,52.65636,345.52728,-40.85524,73.93462
7,0.05,175.90933,-49.55038,49.80379,414.10999,-88.0013,52.7582,345.36624,-40.76096,74.04557
8,0.058,175.8755,-49.35084,49.93956,414.19611,-88.05501,52.80057,345.43988,-40.88414,73.97105
9,0.067,176.03789,-49.4014,49.93432,414.14948,-88.18114,52.77936,345.5069,-40.73515,74.00502
10,0.075,176.07764,-49.35883,50.17128,414.33447,-88.29647,52.75543,345.5069,-40.73515,74.00502
11,0.083,175.84622,-49.50035,49.93762,414.1304,-88.13262,52.86056,345.5069,-40.73515,74.00502
12,0.092,175.69901,-49.44552,49.9817,414.16251,-88.17274,52.74165,345.45395,-40.63478,74.0782
13,0.1,175.66518,-49.24593,50.11747,414.17322,-88.2077,52.69906,345.52405,-40.93906,73.8683
14,0.108,175.81239,-49.30078,50.07339,414.24725,-88.02149,52.88182,345.36624,-40.76096,74.04557
15,0.117,176.18848,-49.61406,49.89564,414.27756,-88.1573,52.92166,345.5069,-40.73515,74.00502
16,0.125,175.84622,-49.50035,49.93762,414.1304,-88.13262,52.86056,345.5069,-40.73515,74.00502
17,0.133,175.69901,-49.44552,49.9817,414.15173,-88.22086,52.82014,345.45395,-40.63478,74.0782
18,0.142,175.66518,-49.24593,50.11747,414.16452,-88.08206,52.78201,345.62057,-40.95365,73.86488
19,0.15,175.81239,-49.30078,50.07339,414.27933,-88.0882,52.76261,345.3262,-40.66562,74.11118
20,0.158,175.84622,-49.50035,49.93762,414.19611,-88.05501,52.80057,345.54724,-40.73318,74.00845
21,0.167,175.69901,-49.44552,49.9817,414.27054,-88.30498,52.65636,345.5069,-40.73515,74.00502
