Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,145.12611,-137.98079,543.10602,262.24768,-52.36314,591.42279,278.966,-116.01701,513.47375,278.96167,9.56416,504.33405
2,0.008,145.18706,-138.13853,543.07489,261.86267,-52.31787,591.36499,278.93433,-116.28062,513.54761,278.96167,9.56416,504.33405
3,0.017,145.04773,-138.09734,543.03632,261.849,-52.21829,591.38007,279.10864,-116.24991,513.69586,279.26062,9.59111,504.27628
4,0.025,144.99506,-137.80675,543.00983,261.84161,-51.94838,591.45166,279.04434,-116.20132,513.7381,278.96167,9.56416,504.33405
5,0.033,145.10561,-138.23767,543.03101,261.9043,-52.11176,591.13501,279.1059,-116.17797,513.5177,279.26062,9.59111,504.27628
6,0.042,144.96628,-138.19647,542.99243,261.7991,-52.40769,591.12457,279.05334,-116.30621,513.39917,278.89191,9.35533,503.69391
7,0.05,144.92563,-138.05518,542.96124,261.78934,-52.18729,591.37921,278.88995,-116.25838,513.43451,278.96167,9.56416,504.33405
8,0.058,144.87296,-137.76457,542.93475,261.80243,-52.08735,591.30524,278.88297,-116.13132,513.56024,279.26062,9.59111,504.27628
9,0.067,144.99506,-137.80675,543.00983,261.91644,-52.18152,591.12549,279.1105,-115.86306,513.55408,279.26062,9.59111,504.27628
10,0.075,145.05293,-137.94711,543.00452,261.97971,-52.03365,591.18384,279.1059,-116.17797,513.5177,278.89191,9.35533,503.69391
11,0.083,145.04773,-138.09734,543.03632,261.90927,-52.10048,591.17041,278.93433,-116.28062,513.54761,278.59286,9.32836,503.75165
12,0.092,144.84418,-138.15431,542.91742,261.78052,-52.2221,591.49335,278.93433,-116.28062,513.54761,278.96167,9.56416,504.33405
13,0.1,144.7915,-137.86372,542.89093,261.69147,-52.10699,591.36987,278.92734,-116.15353,513.6734,279.26062,9.59111,504.27628
14,0.108,144.91359,-137.9059,542.96594,261.97662,-52.00475,591.45453,278.92734,-116.15353,513.6734,278.59286,9.32836,503.75165
15,0.117,145.10561,-138.23767,543.03101,261.80911,-52.07546,591.35303,278.93433,-116.28062,513.54761,278.89191,9.35533,503.69391
16,0.125,144.96628,-138.19647,542.99243,261.82486,-52.16975,591.3692,278.93433,-116.28062,513.54761,278.96167,9.56416,504.33405
17,0.133,144.75624,-137.65549,542.90442,261.93744,-52.14371,591.30817,278.93433,-116.28062,513.54761,278.96167,9.56416,504.33405
18,0.142,144.74287,-137.77217,542.97845,261.84161,-51.94838,591.45166,279.00671,-115.94216,513.57605,278.96167,9.56416,504.33405
19,0.15,144.91359,-137.9059,542.96594,261.87784,-52.00925,591.35406,278.92734,-116.15353,513.6734,278.59286,9.32836,503.75165
20,0.158,145.04773,-138.09734,543.03632,261.92514,-51.94075,591.30573,278.93433,-116.28062,513.54761,278.59286,9.32836,503.75165
21,0.167,144.96628,-138.19647,542.99243,261.76865,-52.12222,591.32654,278.93433,-116.28062,513.54761,278.89191,9.35533,503.69391
22,0.175,144.92563,-138.05518,542.96124,261.76865,-52.12222,591.32654,278.93433,-116.28062,513.54761,278.96167,9.56416,504.33405
23,0.183,144.99506,-137.80675,543.00983,261.69388,-52.29636,591.38336,278.92734,-116.15353,513.6734,279.26062,9.59111,504.27628
24,0.192,145.12611,-137.98079,543.10602,261.93405,-52.05678,591.39673,278.86841,-116.03987,513.6864,279.26062,9.59111,504.27628
25,0.2,144.96628,-138.19647,542.99243,261.82376,-52.24847,591.46356,278.93433,-116.28062,513.54761,278.59286,9.32836,503.75165
26,0.208,145.04773,-138.09734,543.03632,261.65927,-52.2291,591.4845,278.99625,-116.2118,513.6297,278.96167,9.56416,504.33405
27,0.217,144.74287,-137.77217,542.97845,261.81122,-52.07019,591.38434,279.04434,-116.20132,513.7381,279.26062,9.59111,504.27628
28,0.225,144.86497,-137.81436,543.05353,261.80307,-52.18339,591.41089,278.92734,-116.15353,513.6734,278.96167,9.56416,504.33405
29,0.233,144.98833,-137.93974,543.06598,261.69388,-52.29636,591.38336,278.99191,-116.05803,513.57697,278.89191,9.35533,503.69391
30,0.242,145.04773,-138.09734,543.03632,261.69388,-52.29636,591.38336,278.93433,-116.28062,513.54761,278.89191,9.35533,503.69391
31,0.25,144.84676,-138.19878,543.03613,261.73877,-52.0385,591.32153,279.05133,-116.32841,513.6123,279.26062,9.59111,504.27628
32,0.258,145.04773,-138.09734,543.03632,261.77203,-52.20914,591.23792,278.92734,-116.15353,513.6734,279.26062,9.59111,504.27628
33,0.267,145.12245,-138.13116,543.13629,261.6987,-52.30299,591.48492,278.92734,-116.15353,513.6734,279.26062,9.59111,504.27628
34,0.275,145.17879,-138.27135,543.13251,261.85303,-52.24435,591.41864,278.92734,-116.15353,513.6734,279.26062,9.59111,504.27628
35,0.283,145.04773,-138.09734,543.03632,261.73798,-52.34077,591.57928,278.93433,-116.28062,513.54761,278.96167,9.56416,504.33405
36,0.292,144.91359,-137.9059,542.96594,261.89783,-51.99592,591.49432,279.04434,-116.20132,513.7381,278.96167,9.56416,504.33405
37,0.3,145.06979,-137.84058,543.10986,261.93332,-52.03433,591.31866,278.92734,-116.15353,513.6734,278.96167,9.56416,504.33405
