Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-61.61481,242.92462,1057.97681,114.11174,215.21541,1073.17712,121.64342,172.38248,1007.07764
2,0.008,-61.63542,243.26964,1058.45227,114.50216,216.67735,1074.94446,121.75816,174.37579,1009.09839
3,0.017,-61.67015,243.00572,1058.85339,113.63817,216.69865,1076.19409,121.9455,174.9317,1010.05573
4,0.025,-62.35244,243.20886,1059.4126,113.02811,217.7919,1077.71216,122.14392,175.61769,1011.44208
5,0.033,-62.35244,243.20886,1059.4126,113.90989,218.64079,1079.1261,122.25703,176.38293,1013.72089
6,0.042,-63.06104,244.70934,1060.39343,112.52221,219.78946,1080.90515,122.59053,176.61485,1015.0462
7,0.05,-63.33762,244.70097,1060.64172,112.59497,219.91515,1081.1123,122.35588,176.81682,1015.71539
8,0.058,-63.49615,245.28278,1060.93665,111.94661,220.96727,1081.78076,121.80663,177.68979,1017.58813
9,0.067,-63.78402,245.85629,1061.72571,111.26287,221.85577,1083.43567,121.66371,179.74121,1018.79565
10,0.075,-64.61945,245.67387,1062.53967,110.15444,222.82979,1084.40405,121.78713,179.04112,1019.82098
11,0.083,-65.18169,245.82419,1063.05066,110.41331,223.30701,1085.91138,121.82994,180.94812,1021.38788
12,0.092,-65.4669,246.46051,1063.33032,110.44142,225.76599,1087.08801,121.73888,181.11523,1022.73413
13,0.1,-66.08648,245.70181,1063.65527,109.78227,225.7524,1088.22571,121.64351,183.12021,1024.50854
14,0.108,-65.97488,245.80508,1063.84753,109.44834,227.36522,1088.9917,121.18325,183.36905,1025.12061
15,0.117,-67.17973,247.47534,1064.49878,108.39629,228.30423,1090.14624,121.02869,183.76845,1026.16724
16,0.125,-67.9827,248.15511,1066.19568,108.02791,229.64027,1090.58301,120.97382,185.13283,1027.4231
17,0.133,-68.23335,248.81694,1066.56226,106.99026,230.9343,1091.93848,120.84998,186.22896,1028.24463
18,0.142,-68.67898,249.49724,1067.72815,106.91662,232.18802,1092.19885,120.81541,187.84908,1029.85974
19,0.15,-68.93179,249.3468,1067.53845,106.50456,233.12462,1093.02893,120.07114,189.35597,1030.92383
20,0.158,-69.72504,249.84798,1068.08533,105.24924,233.95026,1093.96277,119.824,189.5472,1031.73804
21,0.167,-69.72504,249.84798,1068.08533,104.0094,235.70723,1094.67114,120.24749,191.44235,1032.64465
22,0.175,-70.72904,250.03773,1068.37781,103.85561,236.52293,1095.70483,119.83741,192.09589,1033.32776
23,0.183,-71.01247,250.35159,1068.63892,103.58768,237.86766,1096.26147,118.94704,192.71028,1034.66113
24,0.192,-71.84989,250.40033,1069.30212,103.33274,238.80959,1097.31519,118.57493,193.5125,1035.00122
25,0.2,-72.2505,250.82553,1069.74255,103.39887,239.79758,1098.13672,118.36602,195.21088,1036.35266
26,0.208,-73.13032,251.62422,1069.84167,102.13378,242.8936,1098.71167,118.25095,197.26624,1036.85828
27,0.217,-73.25618,252.22896,1070.03748,100.52135,244.50154,1099.04456,118.38519,199.57709,1037.93286
28,0.225,-73.71114,253.21735,1070.68274,100.37027,245.5079,1099.53357,118.04522,200.38039,1038.2052
29,0.233,-74.27922,254.14529,1070.3761,99.49032,245.92603,1100.85339,117.65095,201.24773,1039.40295
30,0.242,-75.28443,254.81915,1071.28296,98.96152,248.12674,1101.58142,117.17641,203.28198,1040.23145
31,0.25,-75.79008,254.96739,1071.5625,98.23766,249.1093,1101.47449,116.50704,204.57158,1040.74268
32,0.258,-76.92563,255.96901,1071.79456,97.48746,250.28743,1101.87793,116.98663,206.83606,1040.8656
