Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,1475.17432,-91.45118,343.1452,1663.51184,-117.96539,161.75989,1618.39111,-26.10503,181.64911
2,0.008,1461.9563,-90.26978,343.01205,1644.43921,-120.1295,155.21475,1597.73633,-27.4481,177.17502
3,0.017,1448.09888,-90.37545,342.17267,1623.91748,-118.66894,149.11789,1580.51062,-27.00591,172.87793
4,0.025,1433.07214,-89.11739,341.21506,1605.28308,-120.88962,144.65262,1562.55103,-27.31755,168.64244
5,0.033,1419.37219,-88.72637,340.76395,1584.73499,-119.83297,139.68117,1542.90649,-25.84842,165.58701
6,0.042,1405.35754,-87.99802,339.89661,1563.81238,-120.39668,135.46753,1525.30542,-26.86648,160.72388
7,0.05,1392.15112,-87.51079,340.16666,1544.28235,-120.14156,129.85732,1504.56384,-25.52656,157.18086
8,0.058,1377.08582,-86.17154,339.67017,1524.19617,-120.23631,124.2467,1486.651,-25.95221,153.02525
9,0.067,1364.53296,-85.89993,339.78586,1504.34985,-120.06516,120.34584,1468.17017,-26.68912,150.67386
10,0.075,1350.77454,-86.2898,339.60782,1484.13916,-119.59085,116.98925,1450.00293,-26.26294,147.0981
11,0.083,1337.96777,-85.18972,339.07333,1464.13318,-118.67793,112.79943,1430.20886,-25.11001,144.17084
12,0.092,1324.72644,-84.61486,339.79099,1445.04797,-117.25732,108.98916,1410.60107,-24.31276,141.79742
13,0.1,1311.75256,-83.60098,339.61322,1425.47119,-116.09406,105.94186,1392.92554,-23.88688,140.11949
14,0.108,1299.48853,-83.5925,339.71811,1406.96094,-115.45919,102.39503,1374.63428,-23.22261,137.12787
15,0.117,1287.07813,-82.99163,340.20941,1387.5647,-115.01513,98.59283,1354.96423,-19.86407,135.8618
16,0.125,1274.69666,-82.59514,339.67422,1368.48608,-113.10049,96.3554,1337.66357,-19.3826,134.80084
17,0.133,1263.04565,-82.15788,340.07758,1351.00024,-112.43733,93.97227,1320.21326,-18.7969,132.72366
18,0.142,1251.64465,-80.73098,340.64194,1333.53052,-111.27766,91.9465,1303.36499,-17.16415,130.72992
19,0.15,1239.98792,-80.88734,340.8204,1316.64929,-109.04269,89.98195,1286.03125,-15.85122,130.78175
20,0.158,1228.95618,-79.29948,340.80301,1299.97095,-108.3064,88.55587,1269.86377,-13.09067,130.1893
21,0.167,1219.82959,-78.13245,340.80383,1282.37866,-106.59717,86.6956,1254.4375,-13.66825,128.67513
22,0.175,1208.86108,-78.55432,340.80142,1266.9707,-104.11718,85.4657,1239.39648,-11.79866,128.7184
23,0.183,1198.78235,-76.39559,341.03564,1253.52405,-101.88313,84.44302,1224.49438,-11.05583,127.46251
24,0.192,1189.14832,-76.20269,340.72876,1239.98633,-98.94643,82.73317,1210.90454,-10.1836,127.68913
25,0.2,1180.2467,-75.64839,340.27322,1228.36951,-97.24976,82.75488,1197.8446,-7.48641,127.49701
26,0.208,1171.27026,-74.36686,340.52823,1216.02979,-94.77805,81.28661,1185.9978,-4.31752,128.39096
27,0.217,1163.16187,-73.44881,339.65054,1205.3158,-92.02457,80.21056,1175.4093,-3.10453,127.4707
28,0.225,1154.672,-72.87162,339.39108,1196.76233,-89.64292,79.6279,1165.15869,-1.48068,126.52288
29,0.233,1148.39905,-70.53569,338.43323,1188.58459,-86.9334,78.20456,1156.40076,2.10947,125.88184
30,0.242,1140.22644,-69.03973,337.42471,1181.19604,-84.13866,77.78786,1149.81543,3.70562,125.25511
31,0.25,1133.27527,-68.03595,336.39539,1175.03674,-80.81448,75.89961,1142.62366,5.87889,124.65721
32,0.258,1127.10144,-66.62087,334.57779,1170.47827,-78.21806,75.1527,1136.84192,8.77095,123.15276
33,0.267,1120.79407,-65.1794,332.68832,1167.59436,-75.00905,74.62428,1133.59216,12.23279,120.57268
34,0.275,1115.9353,-62.5656,330.55862,1165.1571,-73.4475,73.78036,1131.84131,14.14122,118.13681
