Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-1690.90906,218.31754,1335.3623,-1716.64673,261.04163,1160.65527,-1755.1377,190.40137,1146.21606
2,0.008,-1687.24365,219.42133,1336.58496,-1713.74561,259.47345,1161.08337,-1751.40454,189.31863,1146.26086
3,0.017,-1682.80969,219.16611,1336.28906,-1709.4021,258.80518,1160.5415,-1746.79858,188.43039,1145.39783
4,0.025,-1678.04028,219.44485,1335.95496,-1705.36487,257.38077,1159.44373,-1743.84375,187.73782,1145.13074
5,0.033,-1673.13159,216.48265,1335.0929,-1701.97327,257.54919,1159.32422,-1739.88953,186.90611,1144.78821
6,0.042,-1670.04333,216.23938,1334.14233,-1698.15308,257.57635,1158.7832,-1735.37891,186.58418,1144.67688
7,0.05,-1666.71362,216.38037,1333.13135,-1693.40466,256.35672,1158.95447,-1730.88599,186.29103,1145.05762
8,0.058,-1663.13062,216.63507,1333.6344,-1691.04175,257.91516,1158.41174,-1727.55359,186.00638,1143.85388
9,0.067,-1659.25146,216.67052,1333.25293,-1685.6543,254.34686,1158.12695,-1722.96814,184.81949,1143.24707
10,0.075,-1655.70313,217.61391,1333.13245,-1681.15503,254.90941,1157.74377,-1718.31079,184.18245,1142.62854
11,0.083,-1649.32336,214.60925,1332.29419,-1678.4491,256.8754,1157.13977,-1713.72656,183.68521,1143.02563
12,0.092,-1645.50696,215.34476,1331.77905,-1673.64807,256.62964,1157.13074,-1709.44763,183.59573,1142.55615
13,0.1,-1641.68152,216.07043,1331.80249,-1668.23755,253.98662,1156.32312,-1704.25012,182.95752,1141.95422
14,0.108,-1637.24902,216.66557,1332.14771,-1663.44226,253.28906,1155.65381,-1699.16382,183.35016,1141.16174
15,0.117,-1633.55237,216.5714,1331.94397,-1659.66162,254.83621,1155.27026,-1695.02991,182.37057,1141.0896
16,0.125,-1628.34729,216.20494,1330.39404,-1654.83264,254.76195,1155.46814,-1691.40552,182.30016,1141.03076
17,0.133,-1622.89636,215.106,1330.52173,-1651.17822,255.8924,1154.95764,-1685.302,183.02829,1139.62683
18,0.142,-1618.94275,216.33905,1329.99341,-1645.75806,254.17494,1153.43103,-1681.72839,182.93327,1139.6272
19,0.15,-1613.35962,216.75288,1329.55493,-1641.0675,254.53882,1153.20654,-1676.61584,182.6821,1139.14417
20,0.158,-1609.28601,219.07758,1327.9895,-1636.60657,255.43938,1153.22705,-1671.51587,183.26891,1139.15588
21,0.167,-1603.94873,218.29846,1328.11084,-1631.45618,255.20187,1152.89832,-1666.56995,183.65576,1137.53284
22,0.175,-1599.38135,218.23561,1327.39441,-1626.88635,256.93826,1151.32324,-1661.26978,184.25043,1137.1499
23,0.183,-1594.4884,218.21153,1326.22046,-1620.83301,257.21399,1150.91687,-1657.18347,185.22574,1136.45386
24,0.192,-1589.65784,219.21654,1326.06421,-1615.78052,256.63831,1150.55396,-1651.20398,184.48982,1135.32117
25,0.2,-1584.68176,220.47127,1325.29944,-1609.99011,258.07935,1149.047,-1648.03479,186.45389,1135.5304
26,0.208,-1579.3667,221.74953,1325.00989,-1605.07324,258.31982,1148.41528,-1641.7406,186.95647,1134.55237
27,0.217,-1574.677,222.66782,1324.32471,-1598.6604,258.92017,1148.45154,-1635.83228,188.45258,1133.1217
28,0.225,-1567.36523,220.68636,1323.26318,-1594.12671,260.94891,1147.0083,-1630.72961,188.50258,1132.97046
