Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,-1601.84619,-278.00583,1027.33752,-1622.87244,-325.05887,925.63348,-1562.14758,-261.40646,901.70007
2,0.008,-1594.92651,-281.4241,1028.0885,-1615.15747,-324.62738,925.4826,-1552.28638,-262.24255,902.61761
3,0.017,-1588.34961,-281.56934,1028.31885,-1610.45007,-325.90674,926.05316,-1548.51904,-263.90601,905.0202
4,0.025,-1582.50513,-281.0542,1029.31555,-1602.43237,-325.57324,925.5968,-1541.52124,-261.4545,906.92712
5,0.033,-1575.72095,-280.23697,1029.22339,-1595.31848,-326.15445,925.96124,-1532.47974,-263.23901,906.37482
6,0.042,-1568.88342,-284.22195,1029.4375,-1589.67505,-326.49884,926.94989,-1522.40076,-262.29684,906.68213
7,0.05,-1564.61536,-280.13907,1028.83521,-1585.86121,-327.4686,927.35022,-1521.89819,-261.67978,906.76935
8,0.058,-1558.46289,-282.25534,1030.13281,-1574.8595,-325.21545,926.7337,-1514.1488,-262.44394,907.18024
9,0.067,-1552.5105,-280.34915,1029.83191,-1570.11426,-326.56638,926.58545,-1510.15063,-261.58908,906.50586
10,0.075,-1546.26831,-283.68503,1030.00818,-1565.19604,-326.19299,927.26294,-1501.06616,-260.39368,906.47894
11,0.083,-1541.65747,-279.81403,1028.80542,-1560.15991,-326.14111,927.46869,-1494.33765,-261.88022,907.59344
12,0.092,-1536.87122,-279.88049,1029.80774,-1552.93225,-326.57587,926.60522,-1491.91809,-260.73505,908.09869
13,0.1,-1531.71643,-278.34439,1029.57788,-1548.9325,-325.46982,926.44769,-1483.40698,-262.47928,908.4054
14,0.108,-1523.77332,-282.58234,1030.60474,-1541.61792,-325.15927,927.0979,-1480.21875,-260.35236,907.74084
15,0.117,-1519.61902,-280.97992,1029.83923,-1536.02136,-324.23294,926.33099,-1472.98315,-261.23218,907.70728
16,0.125,-1514.42737,-279.23492,1028.37952,-1530.16309,-324.96109,925.84851,-1469.9397,-259.06754,907.87537
17,0.133,-1508.58521,-279.79901,1029.45667,-1526.96301,-323.44763,925.47449,-1462.03223,-259.28683,907.09888
18,0.142,-1503.9585,-280.87485,1029.20947,-1520.31189,-322.72269,924.56873,-1459.66626,-258.13483,906.29065
19,0.15,-1499.81201,-275.52594,1026.9281,-1516.98975,-323.28641,925.04645,-1451.83594,-258.68872,905.97302
20,0.158,-1493.89868,-277.10519,1027.37817,-1512.24756,-321.59708,924.62384,-1449.33801,-256.78845,905.25629
21,0.167,-1489.56982,-277.97629,1027.34888,-1505.4552,-321.23563,923.60486,-1446.61487,-254.74396,905.01428
22,0.175,-1484.82983,-274.76233,1025.39258,-1503.62097,-320.75397,923.23926,-1439.58337,-255.466,905.49841
23,0.183,-1479.67151,-274.3436,1028.12842,-1497.34973,-319.53491,922.71802,-1436.80298,-254.26154,904.59076
24,0.192,-1476.74927,-277.58517,1025.66016,-1493.11194,-318.94611,921.88818,-1429.10596,-255.4897,901.53333
25,0.2,-1474.78186,-276.1492,1025.1803,-1488.8999,-318.66171,921.72406,-1427.21716,-253.92206,901.37671
26,0.208,-1471.15051,-281.09528,1025.42163,-1486.82153,-317.99756,920.328,-1424.44873,-251.04323,899.9809
27,0.217,-1464.87427,-273.78323,1023.87476,-1480.53784,-315.94717,919.8501,-1418.53381,-253.57275,900.22131
28,0.225,-1458.52051,-267.23199,1021.70648,-1477.55969,-315.84998,920.15833,-1416.31531,-251.09598,898.54797
29,0.233,-1454.69263,-271.83517,1022.22089,-1473.2439,-315.37015,918.85144,-1413.3186,-248.67271,897.67413
30,0.242,-1451.80798,-268.66724,1022.10901,-1468.51392,-312.95993,918.01764,-1410.9823,-247.56805,896.88812
31,0.25,-1445.31287,-271.51257,1019.94043,-1467.03137,-312.91513,917.37531,-1403.74451,-248.12662,893.27838
32,0.258,-1441.51794,-270.99286,1019.37213,-1464.83008,-312.02713,916.54608,-1400.61401,-245.56477,892.65729
33,0.267,-1439.02856,-269.35461,1020.30481,-1459.54797,-310.94983,915.32062,-1400.2478,-245.37985,892.76978
34,0.275,-1436.6283,-265.57745,1016.64844,-1455.34839,-309.96469,913.2702,-1394.64514,-243.99132,892.42993
35,0.283,-1432.95801,-268.30087,1019.63092,-1453.09729,-309.17386,914.19855,-1390.89612,-243.74455,891.7854
36,0.292,-1427.7439,-262.97238,1016.0741,-1449.73413,-308.68777,912.78558,-1388.53223,-241.36366,889.58618
37,0.3,-1422.64478,-258.48767,1013.45343,-1445.27539,-306.38126,911.62927,-1387.94641,-241.42372,887.91156
38,0.308,-1419.96252,-257.6181,1011.84094,-1442.54492,-305.44699,910.48566,-1385.02014,-238.33525,885.19989
39,0.317,-1415.39502,-260.53061,1013.79968,-1440.87781,-305.36646,910.26764,-1378.71118,-240.36444,885.0105
40,0.325,-1415.64319,-262.68845,1013.3952,-1437.59851,-303.16934,909.77271,-1377.04883,-238.97984,884.84167
41,0.333,-1408.42859,-254.05872,1011.9986,-1434.24658,-301.3067,908.77832,-1374.37598,-237.50275,883.80933
42,0.342,-1408.05945,-259.94077,1012.8689,-1432.23621,-301.09448,908.72534,-1374.10535,-237.03882,884.19623
43,0.35,-1403.19189,-258.12769,1013.31415,-1430.52698,-300.57962,908.87073,-1372.03857,-234.48863,883.75604
44,0.358,-1402.34351,-257.13443,1013.62848,-1427.92932,-298.76575,908.71362,-1368.1925,-234.51088,882.40643
45,0.367,-1400.14673,-255.93309,1013.24335,-1424.51721,-297.29254,909.53906,-1364.4093,-234.77855,882.10376
46,0.375,-1388.81946,-249.73599,1011.89685,-1423.78223,-296.60175,909.73981,-1362.32813,-232.98489,882.16241
47,0.383,-1390.13647,-252.57483,1012.81738,-1420.65137,-295.16327,912.02686,-1360.23291,-229.97711,882.14056
48,0.392,-1388.77393,-251.83969,1012.66003,-1417.03845,-292.90192,912.32904,-1359.13989,-229.42889,882.48804
49,0.4,-1386.46545,-249.67738,1013.24554,-1415.6886,-292.13138,912.85834,-1357.66711,-228.48463,882.68408
50,0.408,-1382.62793,-245.60979,1013.25049,-1414.5011,-291.12598,914.52228,-1354.40918,-228.12717,882.1991
51,0.417,-1377.56421,-247.77464,1014.06244,-1413.2301,-290.63293,915.03601,-1349.42822,-227.57541,882.37891
52,0.425,-1374.67444,-244.71234,1018.46832,-1410.39709,-290.15802,916.9917,-1348.72229,-227.59984,884.30975
53,0.433,-1371.96338,-242.28296,1018.16559,-1406.77417,-286.64035,919.15619,-1347.91882,-226.56161,886.30225
54,0.442,-1367.70288,-242.32593,1019.14691,-1404.51599,-286.1937,920.19757,-1346.37854,-226.33034,887.4035
55,0.45,-1362.24658,-239.90456,1018.65991,-1402.98499,-286.37772,921.77057,-1343.34241,-226.37056,888.93835
56,0.458,-1362.95508,-241.97827,1023.0697,-1401.14465,-285.00705,923.26782,-1338.7406,-224.28394,889.91388
57,0.467,-1359.70337,-239.05785,1023.58783,-1396.69824,-282.11423,925.20538,-1337.6571,-223.74379,890.26495
58,0.475,-1353.8905,-239.79016,1024.00684,-1394.02734,-282.03564,926.73346,-1336.00879,-221.52803,891.87036
59,0.483,-1350.90649,-238.22774,1024.18909,-1392.80347,-281.86017,927.72113,-1334.62769,-221.43813,894.78046
60,0.492,-1349.70093,-236.89627,1024.02087,-1390.94824,-280.80911,929.02881,-1328.96509,-221.86581,895.57416
61,0.5,-1344.39526,-237.78445,1025.00256,-1386.89478,-277.901,929.05548,-1326.35791,-221.63271,895.60803
62,0.508,-1342.08386,-236.27707,1028.25928,-1385.19031,-278.18274,930.68079,-1324.40588,-219.76042,895.27478
63,0.517,-1338.56274,-234.47218,1028.18042,-1382.28894,-277.42856,932.36859,-1320.08521,-220.0619,895.823
64,0.525,-1337.26233,-233.63998,1028.91345,-1379.0116,-276.92499,932.29187,-1316.37964,-218.92578,898.65094
65,0.533,-1333.68555,-234.72559,1028.89893,-1376.2887,-275.53745,932.57361,-1312.46472,-219.03606,898.3526
66,0.542,-1332.01453,-233.66403,1030.12646,-1371.90906,-273.71027,932.87219,-1310.03223,-218.80885,899.53314
67,0.55,-1327.0072,-230.35646,1030.10315,-1369.28699,-274.69843,933.48254,-1308.13635,-219.1136,900.28052
68,0.558,-1323.43237,-231.44844,1030.09106,-1366.63062,-274.87656,933.69995,-1303.17798,-219.11407,900.6142
69,0.567,-1321.104,-231.2513,1029.95313,-1365.25159,-274.32315,934.56189,-1299.50854,-217.71686,900.4989
70,0.575,-1314.1012,-232.17322,1030.62817,-1360.078,-272.18149,934.26556,-1296.99707,-217.19962,900.85992
71,0.583,-1305.92224,-232.73065,1032.34363,-1357.3429,-272.18655,937.44568,-1293.95044,-217.52908,900.80896
72,0.592,-1307.24182,-232.1785,1033.86487,-1353.44519,-271.52063,937.00989,-1289.70386,-218.16502,901.40918
73,0.6,-1304.92517,-232.36168,1033.87549,-1349.87146,-271.72928,937.12427,-1283.61145,-215.16469,901.60101
74,0.608,-1299.62512,-230.88039,1033.3656,-1343.39893,-269.27393,937.41528,-1280.86414,-215.51411,902.9256
75,0.617,-1293.82227,-230.58888,1033.31018,-1341.55823,-269.59369,938.09943,-1276.90686,-216.3098,903.7168
76,0.625,-1290.89746,-230.16875,1032.67188,-1338.27332,-270.271,938.14374,-1274.4801,-216.57544,903.38
77,0.633,-1287.11292,-229.9776,1034.15503,-1331.98218,-268.46014,938.25287,-1268.41077,-215.16353,904.05078
78,0.642,-1281.94714,-228.12206,1034.92957,-1329.50623,-268.60541,938.47479,-1261.48499,-216.37265,903.15765
79,0.65,-1277.8833,-228.8959,1036.16479,-1324.41199,-267.9982,938.45837,-1260.01782,-216.69115,903.24023
80,0.658,-1272.92493,-226.32558,1034.73816,-1320.83203,-267.97095,939.44708,-1255.50562,-216.50818,901.77344
81,0.667,-1267.36951,-228.11108,1036.30798,-1315.25952,-266.95508,939.4859,-1250.98645,-214.32437,902.17474
