Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-1687.70935,-46.6057,1566.73682,-1627.67395,-250.20909,1467.18115,-1655.8429,158.67931,1483.27332
2,0.008,-1682.75977,-47.33597,1566.26306,-1623.73816,-251.28471,1467.11475,-1650.32068,159.10716,1484.7467
3,0.017,-1678.17627,-48.05413,1566.29724,-1617.93237,-250.99509,1467.33325,-1647.65833,158.3157,1484.22778
4,0.025,-1673.047,-47.59452,1565.5166,-1613.78198,-250.80586,1467.46448,-1643.16199,158.62074,1483.11279
5,0.033,-1668.5575,-47.67371,1565.96106,-1607.48071,-250.85124,1467.61609,-1639.60889,158.34679,1482.2384
6,0.042,-1663.45544,-48.58707,1566.22607,-1603.59106,-252.06613,1467.16956,-1633.74707,159.04471,1482.57434
7,0.05,-1659.96582,-47.79769,1565.52417,-1597.30627,-250.49184,1466.53076,-1630.46106,158.64413,1482.68005
8,0.058,-1655.11438,-48.65932,1565.59631,-1593.96338,-251.22041,1466.3551,-1626.50757,156.72531,1482.09119
9,0.067,-1650.37646,-49.21807,1565.01514,-1587.578,-250.59975,1467.39697,-1622.48743,157.62689,1482.276
10,0.075,-1645.22656,-48.68923,1564.68835,-1581.38196,-251.77368,1466.15979,-1617.99597,158.09557,1482.01685
11,0.083,-1640.28687,-49.44168,1564.47607,-1576.69385,-250.61194,1466.05615,-1612.95959,157.8765,1480.0509
12,0.092,-1636.71143,-49.25784,1564.31982,-1570.97229,-249.68484,1465.47986,-1609.9043,157.36098,1480.02991
13,0.1,-1630.9657,-49.02296,1564.31311,-1567.01758,-249.92366,1465.03516,-1604.79565,158.99698,1481.35413
14,0.108,-1626.77551,-48.15228,1564.59473,-1560.97913,-250.43985,1465.39209,-1601.56543,159.04851,1481.31604
15,0.117,-1621.72913,-48.49831,1564.11633,-1555.50903,-250.64549,1465.13208,-1595.84302,159.04657,1480.58618
16,0.125,-1616.32886,-47.80904,1563.77612,-1550.49207,-248.90556,1464.88806,-1590.29724,160.00769,1479.88733
17,0.133,-1611.3783,-47.40645,1562.77307,-1545.31714,-248.2323,1464.79492,-1585.63892,158.87589,1478.81543
18,0.142,-1606.08459,-46.49377,1563.05762,-1541.62354,-248.07806,1464.28967,-1581.32495,160.47957,1479.97791
19,0.15,-1600.79907,-46.07225,1563.05127,-1536.36328,-248.83076,1464.79883,-1577.31018,160.29338,1479.90137
20,0.158,-1595.89795,-45.90612,1561.99976,-1530.46094,-248.34724,1463.99719,-1572.65674,161.64304,1477.83545
21,0.167,-1590.16309,-44.96193,1561.94922,-1525.44775,-246.76828,1462.33545,-1567.83545,163.32339,1478.84399
22,0.175,-1585.27795,-45.60765,1561.45007,-1519.41614,-245.78285,1463.09937,-1561.73535,161.14674,1477.59656
23,0.183,-1580.61011,-44.44755,1561.22217,-1516.13708,-245.76453,1462.30164,-1556.00159,161.81442,1477.05249
24,0.192,-1574.98474,-43.73829,1559.94019,-1511.10498,-244.57523,1462.34875,-1551.28003,163.50562,1476.69324
25,0.2,-1570.49878,-43.03854,1560.03931,-1504.13635,-244.24883,1461.13696,-1547.93506,163.28996,1476.57959
26,0.208,-1565.43896,-42.5689,1559.12146,-1500.07556,-244.63138,1460.57983,-1543.31201,165.03738,1476.15161
27,0.217,-1560.16174,-41.08158,1558.97498,-1494.8855,-243.08307,1460.32922,-1536.70789,165.65839,1474.57666
28,0.225,-1555.42444,-39.29566,1558.17224,-1489.61487,-241.5145,1459.48987,-1532.05872,166.50912,1474.51587
29,0.233,-1549.91296,-39.90146,1557.24316,-1484.17249,-240.90971,1460.12292,-1525.1062,168.08049,1472.6825
30,0.242,-1544.10974,-37.45827,1556.97302,-1479.74036,-240.69777,1459.04309,-1519.49976,167.35201,1471.26575
31,0.25,-1538.50562,-36.48615,1556.17346,-1474.41016,-239.75745,1457.80957,-1514.32092,169.73671,1471.44141
32,0.258,-1533.34363,-35.64688,1555.27429,-1469.05664,-238.1597,1457.68652,-1509.92627,170.64297,1470.2876
33,0.267,-1528.16431,-34.58178,1554.33984,-1465.79883,-237.81268,1456.88171,-1505.03528,172.62514,1469.74585
34,0.275,-1521.61194,-33.26959,1553.82532,-1459.90845,-236.0415,1456.67004,-1495.21777,171.31798,1467.69946
35,0.283,-1516.91699,-31.42183,1552.87964,-1455.22595,-234.17807,1455.21399,-1490.52258,172.77785,1467.79529
36,0.292,-1511.65833,-30.30633,1552.0293,-1449.99634,-232.91461,1454.68567,-1484.77698,174.86833,1466.45325
37,0.3,-1506.52673,-29.51481,1551.04053,-1443.63501,-231.91351,1453.51392,-1479.54089,177.14272,1467.75842
38,0.308,-1501.01819,-27.23153,1550.91663,-1440.3324,-232.09395,1453.27576,-1472.09521,178.01994,1463.70178
39,0.317,-1495.14746,-25.96231,1549.85059,-1434.78479,-230.55473,1452.75427,-1467.10486,180.1548,1464.70605
40,0.325,-1489.4679,-24.69202,1549.00244,-1430.07068,-228.4866,1452.37964,-1460.84619,180.58453,1462.16138
41,0.333,-1483.17322,-21.89145,1548.62842,-1424.51294,-226.65901,1453.05505,-1452.91089,181.95839,1462.38208
42,0.342,-1477.93079,-20.1059,1550.01282,-1419.88196,-225.74077,1451.99097,-1447.41223,183.72073,1462.10413
43,0.35,-1472.32751,-19.31214,1550.20544,-1413.96289,-223.54066,1452.44434,-1441.73999,185.57568,1461.74341
44,0.358,-1466.2124,-17.98511,1549.60645,-1407.7229,-223.45673,1452.3396,-1435.59705,187.40508,1463.2655
45,0.367,-1460.30566,-16.82997,1550.2782,-1402.41113,-222.33745,1452.39075,-1430.58997,189.0804,1463.3335
46,0.375,-1454.53223,-14.3904,1551.14368,-1397.41931,-220.75429,1453.26807,-1424.6333,190.61133,1463.61963
47,0.383,-1448.99109,-13.15199,1550.87,-1391.41418,-219.04417,1454.67749,-1414.76587,189.87787,1463.49121
48,0.392,-1443.36377,-12.2157,1552.58423,-1386.45959,-217.64677,1455.74524,-1409.07349,191.46024,1464.89502
49,0.4,-1438.2417,-10.15354,1553.50842,-1381.68054,-216.48477,1456.33545,-1402.15747,193.65195,1465.08105
50,0.408,-1432.19312,-8.65491,1554.58777,-1377.61768,-215.57004,1457.90381,-1396.63599,195.02109,1465.96216
51,0.417,-1425.68201,-6.70696,1555.78479,-1370.86133,-213.47586,1459.27271,-1391.63586,196.79446,1467.87781
52,0.425,-1419.1958,-4.54342,1556.67664,-1367.12134,-212.1423,1460.52856,-1384.52637,198.19316,1469.30615
53,0.433,-1413.27991,-3.37569,1558.38708,-1360.38672,-211.58502,1461.87109,-1378.75684,200.10193,1470.12219
54,0.442,-1407.89087,-3.05093,1559.5863,-1356.33777,-210.03351,1463.79639,-1370.88953,200.95714,1470.91565
55,0.45,-1403.00366,-0.8881,1560.4707,-1351.78479,-210.14139,1465.32007,-1364.53467,201.92487,1473.35217
56,0.458,-1396.30225,0.64843,1561.20044,-1345.36279,-207.42424,1466.44116,-1357.15759,201.24651,1473.68274
