Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,1788.94678,125.24066,326.27664,1909.45654,144.1759,80.33784,1875.60242,49.63829,102.66763
2,0.008,1788.1051,125.70018,326.15277,1909.50464,144.38036,80.50817,1875.60242,49.63829,102.66763
3,0.017,1787.89441,126.15359,326.68152,1909.85168,144.98384,80.92269,1875.23157,50.21984,103.35364
4,0.025,1787.34851,125.8928,326.70715,1909.33777,144.42578,80.73537,1875.60242,49.63829,102.66763
5,0.033,1785.25452,126.2513,327.2576,1909.07581,144.35263,80.76443,1875.30737,49.70785,102.88675
6,0.042,1783.34021,126.34316,327.40012,1909.21802,144.48717,81.7886,1875.80347,50.43355,104.12486
7,0.05,1782.58789,126.31022,327.21936,1908.31152,144.34337,81.7041,1873.28809,50.21687,103.4982
8,0.058,1781.67407,126.77798,326.37021,1908.16821,144.13268,82.14459,1872.31824,50.32539,103.68617
9,0.067,1781.22266,125.51593,325.17841,1907.8905,144.28043,82.03625,1872.06714,50.27049,103.80586
10,0.075,1779.66479,125.27985,324.29977,1908.17651,144.29724,82.6078,1870.64087,51.63527,103.46326
11,0.083,1776.93542,124.18673,325.53091,1907.54565,144.67915,82.4877,1869.41467,51.97408,103.94363
12,0.092,1776.83508,123.95856,325.63437,1907.42163,144.73796,82.66098,1869.41748,52.01596,104.10044
13,0.1,1775.927,125.28851,325.40689,1907.42163,144.73796,82.66098,1869.41748,52.01596,104.10044
14,0.108,1774.62,124.51086,323.35617,1907.09656,144.91702,82.92388,1869.41748,52.01596,104.10044
15,0.117,1773.76758,124.4984,323.60571,1907.29309,144.68118,83.83124,1869.41748,52.01596,104.10044
16,0.125,1773.18066,124.80151,323.37714,1906.66101,144.61362,84.0278,1871.17249,50.26,104.04747
17,0.133,1770.91284,124.97901,323.05737,1906.37781,144.81812,84.20812,1871.24634,49.77281,104.62713
18,0.142,1769.30786,124.61203,323.97665,1906.14014,144.88208,84.87666,1871.57849,49.5297,105.21706
19,0.15,1768.45667,124.59711,324.22546,1905.76392,144.27878,85.25686,1871.57849,49.5297,105.21706
20,0.158,1765.78967,124.25948,323.21811,1905.96814,144.50275,85.38632,1870.11877,49.49438,106.38515
21,0.167,1765.60815,124.78133,323.0524,1905.74902,144.81148,85.37638,1870.17004,49.96899,106.61948
22,0.175,1764.70691,122.85716,321.7305,1905.70618,144.8678,85.70133,1870.11816,51.25226,105.87508
23,0.183,1761.54321,124.34303,320.48019,1905.97974,145.37492,85.98566,1869.46814,50.30269,106.91656
24,0.192,1760.24133,124.39246,320.16043,1906.03906,145.56033,86.29013,1870.12256,50.20012,107.55789
25,0.2,1759.17712,124.26881,320.03647,1905.00452,145.41629,86.72225,1870.0321,50.92699,108.62294
26,0.208,1757.3252,124.58807,320.85257,1904.58081,145.90657,87.37437,1869.79602,51.10636,108.85747
27,0.217,1754.19788,123.81592,319.45676,1903.51086,146.32921,87.7375,1869.5293,51.315,109.07027
28,0.225,1752.92737,123.99825,319.43402,1903.49646,146.73352,88.22468,1869.09937,51.37198,109.37683
29,0.233,1748.46265,124.10919,319.28168,1903.35913,146.78862,88.32847,1868.10913,50.57309,109.50914
30,0.242,1749.03467,120.68121,318.66592,1902.39941,146.7881,90.08686,1867.95288,50.69258,109.59573
31,0.25,1746.83582,120.80733,318.73602,1902.03955,148.01596,90.65186,1867.31445,50.92604,110.10589
32,0.258,1742.34277,122.92883,317.53183,1901.3833,148.14847,91.37452,1865.34851,52.23055,110.73721
33,0.267,1740.56079,123.06012,318.14664,1900.03906,147.50664,92.60272,1863.28369,52.59817,110.84624
34,0.275,1735.61206,122.88264,317.39743,1899.10376,147.70746,93.59636,1862.50854,51.03933,111.53355
35,0.283,1734.40271,122.97112,315.94778,1898.98682,147.99129,95.19482,1862.19775,51.11554,111.7509
36,0.292,1730.47681,122.15694,315.62057,1898.50928,147.99031,96.10484,1860.81274,51.46281,112.84373
37,0.3,1726.54846,121.92258,315.17508,1897.14038,148.29936,98.54769,1860.09119,52.19625,114.356
