Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,1965.70276,84.0216,59.30952,1724.56458,111.6138,52.52805,1794.01575,69.02064,78.65917
2,0.008,1965.59033,84.24226,59.43225,1724.25964,111.78313,52.36187,1794.73169,69.62899,78.57007
3,0.017,1965.39185,84.4741,59.5847,1723.76709,112.48122,53.00236,1794.73169,69.62899,78.57007
4,0.025,1965.30347,84.39644,59.81897,1724.77832,113.2165,53.11592,1794.60156,69.39332,77.96286
5,0.033,1964.88965,85.00869,59.9976,1724.47314,112.83051,52.96149,1794.32861,69.42387,77.90438
6,0.042,1965.42737,84.31919,60.96517,1724.90991,112.19765,52.35503,1793.823,69.04929,78.61603
7,0.05,1965.34729,84.38155,61.45285,1725.00354,112.30481,52.36162,1794.54895,69.25143,78.19683
8,0.058,1965.36707,84.62647,61.80506,1725.08704,112.95545,52.72217,1794.5592,69.4435,77.8
9,0.067,1965.33044,84.68749,61.87884,1724.95093,112.8755,52.73778,1794.5592,69.4435,77.8
10,0.075,1965.26123,84.2581,63.04514,1724.95093,112.8755,52.73778,1794.22107,69.36282,78.04863
11,0.083,1965.26282,84.68271,63.3068,1724.95093,112.8755,52.73778,1795.17737,69.29756,78.22439
12,0.092,1965.21411,84.90133,63.66393,1724.95093,112.8755,52.73778,1794.72864,69.8195,78.29224
13,0.1,1965.15002,85.1527,64.00369,1724.95093,112.8755,52.73778,1794.06775,69.50581,77.25241
14,0.108,1965.13538,85.15914,64.15727,1724.70837,112.47353,52.49672,1794.27795,69.59221,77.44743
15,0.117,1964.80652,84.90228,64.72987,1724.60461,112.40614,52.46922,1794.4718,69.451,77.33347
16,0.125,1964.7832,84.93762,64.8014,1724.60767,112.90207,52.76091,1794.3866,69.87332,77.5835
17,0.133,1964.54211,85.07101,64.86559,1725.4668,112.22057,52.94572,1794.05066,69.66903,76.29666
18,0.142,1964.44751,85.41153,65.33311,1725.49548,111.96746,52.64342,1793.9585,70.16994,77.38911
19,0.15,1964.53992,85.56292,65.68584,1725.08716,112.61971,52.37375,1794.047,70.08975,77.68755
20,0.158,1964.5376,85.56614,66.77676,1724.53882,112.43399,52.1194,1793.9585,70.16994,77.38911
21,0.167,1964.5376,85.56614,66.77676,1724.95557,112.75051,52.88619,1793.92126,69.8912,77.1384
22,0.175,1964.24829,85.47067,68.33327,1724.84229,112.87931,52.72767,1793.7218,69.98941,77.70907
