Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,-18.70984,-133.66367,1024.69287,-66.88977,-139.24059,1043.29089,-84.47929,-121.27289,1078.5769,-101.68684,-74.12405,1103.94812,-11.73419,-65.53688,1068.46521,-28.77923,-24.44597,1082.4436,-40.2048,14.5732,1090.69592
2,0.008,-20.65952,-133.89133,1025.20129,-69.28741,-138.87164,1043.53003,-87.66055,-121.17494,1077.92505,-105.41153,-74.50056,1102.57007,-14.27499,-66.20478,1069.40991,-30.25821,-24.11182,1082.56909,-42.65141,15.56072,1090.81543
3,0.017,-23.23606,-132.97647,1025.37268,-71.34173,-138.10616,1042.64136,-89.93148,-121.0306,1078.07764,-107.97665,-74.59357,1102.53894,-17.73507,-66.2719,1069.75903,-33.23701,-25.62039,1082.68652,-47.69562,15.02133,1090.85925
4,0.025,-24.80582,-132.70583,1025.4054,-73.5875,-137.59222,1042.97095,-93.61909,-121.30478,1077.91052,-111.49431,-74.45049,1101.6991,-19.55322,-65.19342,1069.94287,-37.3947,-24.35048,1082.67273,-51.01653,15.87546,1090.8999
5,0.033,-27.32336,-131.67253,1025.90808,-74.9944,-137.44051,1042.48889,-94.85554,-120.94527,1077.9303,-113.9333,-74.69142,1101.19067,-22.57107,-63.39011,1070.11121,-40.93005,-23.04434,1082.95483,-52.9047,14.62097,1090.71265
6,0.042,-29.39728,-131.38301,1025.69202,-77.98933,-137.59406,1042.75391,-97.79766,-120.02602,1077.31934,-117.19712,-74.35209,1101.65356,-25.38116,-65.43699,1071.48975,-43.31544,-22.89489,1082.97998,-57.23491,16.87799,1090.28101
7,0.05,-32.08305,-132.70573,1026.63855,-79.58476,-137.81755,1042.30725,-100.50529,-120.57066,1077.32349,-119.58934,-74.21351,1101.03284,-27.83806,-65.09193,1071.00635,-43.90667,-23.63263,1083.28345,-60.49506,18.14202,1089.39587
8,0.058,-33.79528,-131.70213,1026.94348,-82.04873,-137.54379,1042.73901,-101.93799,-120.58833,1077.19629,-122.16348,-74.51473,1100.97717,-29.75885,-64.88959,1071.77942,-48.1465,-23.5559,1082.70068,-63.30881,17.1431,1090.10229
9,0.067,-35.04548,-131.19244,1027.34045,-83.66666,-137.37894,1042.99927,-103.91388,-120.91801,1077.37488,-124.4157,-74.10264,1100.62708,-32.8068,-64.2821,1071.85754,-49.73241,-21.535,1083.58057,-65.94883,16.92974,1089.45715
10,0.075,-36.46434,-129.56435,1026.82727,-85.08139,-137.28003,1043.11108,-106.12742,-119.67822,1076.35657,-127.12267,-75.17885,1100.72266,-35.16421,-61.7924,1071.70142,-53.5799,-20.78551,1083.61707,-68.29701,16.5698,1090.31421
11,0.083,-38.70573,-129.69753,1027.70093,-86.57181,-136.88426,1043.22205,-108.4828,-120.3586,1077.05457,-129.47485,-74.55933,1100.68286,-37.16046,-62.39261,1072.13196,-54.27782,-21.21914,1084.09766,-71.47969,18.32885,1091.00891
12,0.092,-39.91747,-129.69954,1028.40173,-87.88486,-136.09793,1043.56848,-108.9398,-120.98019,1076.90771,-131.68317,-74.92313,1100.60339,-39.60683,-62.8018,1072.93018,-58.45854,-21.975,1084.56006,-73.60535,17.27114,1091.41956
13,0.1,-40.98056,-129.48154,1029.0835,-90.77267,-136.14668,1043.33276,-112.36098,-121.59633,1076.87366,-134.65131,-76.27866,1100.68213,-41.03268,-62.95832,1074.21301,-59.39532,-21.78402,1085.68994,-76.05176,18.26309,1091.37488
14,0.108,-42.24963,-129.72372,1029.40759,-92.00687,-136.63222,1043.65735,-113.90955,-122.58202,1076.95154,-136.03938,-76.39246,1100.90015,-44.09619,-61.19467,1074.68176,-65.06134,-20.16439,1086.65405,-77.58802,18.1448,1092.90906
15,0.117,-44.0689,-129.62817,1030.4624,-93.47076,-136.81955,1043.41272,-115.14011,-122.11804,1077.32153,-138.57835,-76.57126,1101.22888,-46.38716,-61.29766,1074.75671,-66.73448,-20.0927,1086.90503,-82.73208,18.62065,1093.53308
