Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-309.97711,4.22667,1257.70471,-181.09323,-0.5254,1201.89026,-380.43924,18.14878,1116.39868,-171.04745,25.21781,1021.79816
2,0.008,-309.87793,4.3046,1257.75696,-180.9165,-0.73737,1201.7395,-380.29901,18.38768,1116.49939,-171.05618,25.39271,1021.87006
3,0.017,-309.31271,4.11166,1257.61145,-180.9165,-0.73737,1201.7395,-380.37079,18.10589,1116.62634,-170.58466,25.44792,1022.3822
4,0.025,-309.84689,4.34994,1257.60535,-180.9165,-0.73737,1201.7395,-380.29901,18.38768,1116.49939,-170.47403,25.08153,1022.29529
5,0.033,-309.87793,4.3046,1257.75696,-180.9165,-0.73737,1201.7395,-380.29901,18.38768,1116.49939,-170.61504,24.68692,1022.6676
6,0.042,-309.31271,4.11166,1257.61145,-180.9165,-0.73737,1201.7395,-380.29901,18.38768,1116.49939,-170.75839,24.8085,1022.86316
7,0.05,-308.85474,4.80486,1257.48242,-180.74641,-0.7892,1201.61267,-380.29901,18.38768,1116.49939,-170.20142,24.51805,1022.82867
8,0.058,-308.85474,4.80486,1257.48242,-180.67088,-0.95721,1201.94788,-380.29901,18.38768,1116.49939,-170.03619,24.8375,1022.95178
9,0.067,-308.73254,4.77327,1257.41394,-180.24963,-1.33393,1202.06323,-379.89417,18.89703,1116.43164,-169.98988,24.39016,1022.71722
10,0.075,-308.85474,4.80486,1257.48242,-180.60762,-1.85161,1201.92102,-380.06689,18.86618,1116.50781,-169.98988,24.39016,1022.71722
11,0.083,-308.62103,4.77872,1257.36206,-180.24963,-1.33393,1202.06323,-379.89417,18.89703,1116.43164,-169.72806,24.17275,1022.75024
12,0.092,-308.62103,4.77872,1257.36206,-180.24963,-1.33393,1202.06323,-379.89417,18.89703,1116.43164,-169.56281,24.49212,1022.87329
13,0.1,-308.32486,5.09474,1257.44092,-180.43204,-1.25803,1202.19678,-379.69623,18.87475,1116.40747,-169.56281,24.49212,1022.87329
14,0.108,-308.0491,5.52489,1257.60547,-180.35686,-1.16201,1201.7002,-379.69623,18.87475,1116.40747,-169.56281,24.49212,1022.87329
15,0.117,-308.0491,5.52489,1257.60547,-180.17444,-1.23803,1201.56677,-379.67923,18.65142,1116.47131,-169.56281,24.49212,1022.87329
16,0.125,-308.0491,5.52489,1257.60547,-179.86298,-1.22834,1201.51453,-379.47192,18.94886,1116.46326,-168.93701,24.47204,1022.70044
17,0.133,-308.0491,5.52489,1257.60547,-179.4113,-1.5148,1201.68408,-379.47192,18.94886,1116.46326,-168.93701,24.47204,1022.70044
18,0.142,-307.99911,5.52633,1257.44019,-179.12378,-1.72996,1201.89282,-379.47192,18.94886,1116.46326,-169.58797,24.49459,1022.95538
19,0.15,-308.04343,5.2892,1257.57629,-178.89867,-1.56473,1201.78357,-379.67923,18.65142,1116.47131,-169.58797,24.49459,1022.95538
20,0.158,-307.84845,5.24918,1257.40991,-178.89867,-1.56473,1201.78357,-379.30234,18.43605,1116.42798,-169.49117,24.76917,1022.80853
21,0.167,-307.75433,5.14806,1257.53784,-178.89867,-1.56473,1201.78357,-378.97952,18.23265,1116.53894,-169.49117,24.76917,1022.80853
22,0.175,-307.75433,5.14806,1257.53784,-178.38934,-1.59349,1201.56372,-378.88284,17.81012,1116.63184,-168.51465,24.73472,1022.42639
23,0.183,-307.47339,4.94838,1257.76538,-178.38934,-1.59349,1201.56372,-378.88284,17.81012,1116.63184,-168.84018,24.74666,1022.55359
24,0.192,-307.4234,4.94979,1257.6001,-177.95197,-1.77086,1201.49939,-378.67548,18.10763,1116.62378,-168.84018,24.74666,1022.55359
25,0.2,-307.09131,5.01916,1257.57581,-178.06459,-2.02549,1201.64868,-378.67548,18.10763,1116.62378,-168.84018,24.74666,1022.55359
26,0.208,-307.31638,4.95284,1257.45483,-178.06459,-2.02549,1201.64868,-378.67548,18.10763,1116.62378,-168.45032,24.2659,1022.20709
27,0.217,-307.16141,4.66493,1257.54822,-178.06459,-2.02549,1201.64868,-378.20633,17.97356,1116.75012,-168.33214,23.46295,1021.61462
28,0.225,-306.78201,4.42835,1257.4115,-178.06459,-2.02549,1201.64868,-377.94531,17.89638,1116.63806,-168.23463,23.49521,1022.05145
29,0.233,-307.0184,4.48172,1257.29773,-178.06459,-2.02549,1201.64868,-377.94531,17.89638,1116.63806,-168.13988,24.06337,1022.42511
30,0.242,-306.89987,4.46413,1257.18774,-178.06459,-2.02549,1201.64868,-377.94531,17.89638,1116.63806,-168.01857,23.92187,1021.86725
31,0.25,-306.79379,4.39641,1257.23779,-178.06459,-2.02549,1201.64868,-377.98218,17.57475,1116.49805,-168.20282,23.48095,1021.71021
32,0.258,-305.92767,4.22838,1257.21948,-178.06459,-2.02549,1201.64868,-377.98218,17.57475,1116.49805,-168.01588,23.38619,1021.9303
33,0.267,-305.85101,4.29483,1257.24097,-178.06459,-2.02549,1201.64868,-377.98218,17.57475,1116.49805,-167.63391,24.43769,1022.02142
34,0.275,-305.84836,4.36073,1257.30884,-177.36635,-1.59251,1201.69031,-377.98218,17.57475,1116.49805,-167.65877,24.15153,1021.71234
35,0.283,-305.84836,4.36073,1257.30884,-177.95197,-1.77086,1201.49939,-377.78247,17.45955,1116.61377,-168.43706,23.74949,1021.77985
36,0.292,-305.82877,3.64697,1257.1709,-177.54128,-1.50828,1201.59766,-377.78247,17.45955,1116.61377,-167.72217,23.98412,1021.34741
37,0.3,-305.71143,4.09539,1257.27905,-177.77701,-1.85507,1201.59216,-377.98993,17.162,1116.62183,-167.36565,24.44641,1021.237
38,0.308,-305.63208,4.22774,1257.36841,-177.77701,-1.85507,1201.59216,-377.78247,17.45955,1116.61377,-167.42545,24.44731,1021.43146
39,0.317,-305.47928,4.03698,1257.3468,-177.36635,-1.59251,1201.69031,-377.98993,17.162,1116.62183,-167.42545,24.44731,1021.43146
40,0.325,-305.32117,3.81909,1257.37744,-177.36635,-1.59251,1201.69031,-377.46753,17.25102,1116.75317,-167.42545,24.44731,1021.43146
41,0.333,-305.45865,3.18135,1257.32471,-177.36635,-1.59251,1201.69031,-376.99188,17.01274,1116.53943,-167.42545,24.44731,1021.43146
42,0.342,-305.32993,3.08305,1257.22461,-177.36635,-1.59251,1201.69031,-376.85757,16.95893,1116.6051,-166.7522,24.21045,1021.25494
43,0.35,-305.30551,3.1949,1257.10461,-177.36635,-1.59251,1201.69031,-376.85757,16.95893,1116.6051,-166.7522,24.21045,1021.25494
44,0.358,-305.29898,3.12832,1257.07288,-177.09357,-1.65759,1201.75439,-376.66144,16.65344,1116.69849,-166.84157,23.89088,1021.05676
45,0.367,-305.1297,3.08004,1257.07153,-177.09357,-1.65759,1201.75439,-376.69247,16.73911,1116.57556,-166.58011,24.12848,1021.09888
46,0.375,-305.21167,3.1409,1257.02136,-177.09357,-1.65759,1201.75439,-376.69247,16.73911,1116.57556,-166.77698,23.80812,1020.83594
47,0.383,-305.1297,3.08004,1257.07153,-177.09357,-1.65759,1201.75439,-375.94946,17.00745,1116.15027,-166.77698,23.80812,1020.83594
48,0.392,-305.1297,3.08004,1257.07153,-177.09357,-1.65759,1201.75439,-376.03842,16.74557,1116.41089,-166.77698,23.80812,1020.83594
49,0.4,-305.1297,3.08004,1257.07153,-177.16389,-2.02395,1201.40295,-376.03842,16.74557,1116.41089,-166.77698,23.80812,1020.83594
50,0.408,-305.1297,3.08004,1257.07153,-177.09357,-1.65759,1201.75439,-375.93869,16.66703,1116.47192,-166.77698,23.80812,1020.83594
51,0.417,-305.1297,3.08004,1257.07153,-177.09357,-1.65759,1201.75439,-376.03842,16.74557,1116.41089,-166.69531,23.93779,1020.58948
52,0.425,-305.1297,3.08004,1257.07153,-177.16389,-2.02395,1201.40295,-375.83755,16.62386,1116.6438,-166.69531,23.93779,1020.58948
53,0.433,-304.41922,3.006,1257.23767,-177.16389,-2.02395,1201.40295,-375.93869,16.66703,1116.47192,-166.69531,23.93779,1020.58948
54,0.442,-304.41922,3.006,1257.23767,-176.58325,-1.8138,1201.37463,-375.6394,16.60154,1116.61963,-166.75806,23.4772,1020.25439
55,0.45,-304.31943,3.10023,1257.30688,-177.16389,-2.02395,1201.40295,-375.6394,16.60154,1116.61963,-166.77698,23.80812,1020.83594
56,0.458,-304.31943,3.10023,1257.30688,-177.16389,-2.02395,1201.40295,-375.53223,15.96922,1116.88208,-166.67357,23.98862,1020.36792
57,0.467,-304.31943,3.10023,1257.30688,-177.16389,-2.02395,1201.40295,-375.53223,15.96922,1116.88208,-166.75113,23.86794,1020.60229
58,0.475,-304.31943,3.10023,1257.30688,-177.16389,-2.02395,1201.40295,-375.53223,15.96922,1116.88208,-166.87169,23.35867,1019.90039
