Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,-169.20526,-221.20007,675.62396,-128.612,-234.54692,610.90186,-104.51514,-166.58571,636.97021
2,0.008,-169.20526,-221.20007,675.62396,-128.65346,-234.40616,611.21271,-105.02454,-166.17197,637.0495
3,0.017,-169.20526,-221.20007,675.62396,-128.38033,-234.28401,611.44714,-105.02454,-166.17197,637.0495
4,0.025,-169.20526,-221.20007,675.62396,-128.61339,-234.40948,611.41516,-105.02454,-166.17197,637.0495
5,0.033,-169.20526,-221.20007,675.62396,-128.60568,-234.1501,611.74359,-105.02454,-166.17197,637.0495
6,0.042,-169.20526,-221.20007,675.62396,-128.57321,-234.41298,611.61761,-104.90438,-166.38899,637.18781
7,0.05,-169.28426,-221.5312,675.94373,-128.48421,-234.70055,611.82483,-105.54514,-166.98834,637.19446
8,0.058,-169.16888,-221.91968,676.27783,-128.25121,-234.57506,611.85681,-105.54514,-166.98834,637.19446
9,0.067,-169.16888,-221.91968,676.27783,-128.55058,-235.06924,611.97522,-105.54514,-166.98834,637.19446
10,0.075,-169.16888,-221.91968,676.27783,-128.55058,-235.06924,611.97522,-106.04207,-167.46544,637.07159
11,0.083,-169.16888,-221.91968,676.27783,-128.703,-235.3145,612.12579,-105.53235,-167.8792,636.99231
12,0.092,-169.16888,-221.91968,676.27783,-128.55058,-235.06924,611.97522,-105.53235,-167.8792,636.99231
13,0.1,-169.20688,-221.72044,676.35504,-128.703,-235.3145,612.12579,-105.53235,-167.8792,636.99231
14,0.108,-169.20688,-221.72044,676.35504,-128.59073,-235.06577,611.77277,-105.06573,-168.73097,636.98279
15,0.117,-169.16888,-221.91968,676.27783,-128.59073,-235.06577,611.77277,-105.06573,-168.73097,636.98279
16,0.125,-168.80981,-221.82477,676.11859,-128.59073,-235.06577,611.77277,-105.06573,-168.73097,636.98279
17,0.133,-168.80981,-221.82477,676.11859,-128.96458,-235.3432,611.1239,-105.53235,-167.8792,636.99231
18,0.142,-168.80981,-221.82477,676.11859,-129.25395,-235.73393,610.9082,-105.53235,-167.8792,636.99231
19,0.15,-169.57587,-221.44423,675.92267,-129.16167,-235.43871,610.83099,-105.53235,-167.8792,636.99231
20,0.158,-169.57587,-221.44423,675.92267,-129.09537,-235.07004,610.68054,-105.53235,-167.8792,636.99231
21,0.167,-169.71109,-221.27214,675.86511,-129.09537,-235.07004,610.68054,-105.53235,-167.8792,636.99231
22,0.175,-169.97118,-221.39671,676.37689,-129.23242,-235.13708,610.45374,-106.04207,-167.46544,637.07159
23,0.183,-168.98175,-221.61458,676.03339,-129.45105,-234.95212,610.39447,-106.16228,-167.24854,636.93335
24,0.192,-168.48796,-221.74786,675.86975,-129.45105,-234.95212,610.39447,-108.01427,-166.98471,636.71466
25,0.2,-168.48796,-221.74786,675.86975,-129.62062,-234.88976,610.47729,-108.01427,-166.98471,636.71466
26,0.208,-170.06516,-221.29123,676.22314,-129.62062,-234.88976,610.47729,-107.71819,-166.79182,636.38879
27,0.217,-170.40076,-221.45963,675.6651,-129.62062,-234.88976,610.47729,-107.68877,-167.117,636.88989
28,0.225,-170.40076,-221.45963,675.6651,-129.62062,-234.88976,610.47729,-107.68877,-167.117,636.88989
29,0.233,-168.03439,-222.14539,675.13593,-129.70148,-234.83354,610.30414,-106.76572,-167.31752,637.11652
30,0.242,-168.8233,-221.91624,675.31183,-130.08189,-235.31799,610.22296,-106.76572,-167.31752,637.11652
31,0.25,-171.89674,-221.58844,673.13074,-130.03891,-235.40894,610.13251,-106.31903,-167.25539,636.97919
32,0.258,-172.0148,-220.84239,673.77551,-130.03891,-235.40894,610.13251,-106.31903,-167.25539,636.97919
33,0.267,-170.77133,-222.16263,673.10919,-129.85014,-235.48039,610.05664,-108.01427,-166.98471,636.71466
34,0.275,-168.52106,-223.31223,673.06714,-129.85014,-235.48039,610.05664,-108.01427,-166.98471,636.71466
35,0.283,-170.77133,-222.16263,673.10919,-129.91644,-235.84911,610.20715,-108.01427,-166.98471,636.71466
36,0.292,-170.1492,-222.82375,672.77698,-129.85014,-235.48039,610.05664,-108.01427,-166.98471,636.71466
37,0.3,-168.52106,-223.31223,673.06714,-129.6256,-235.16736,610.00757,-107.68434,-167.23805,636.92682
38,0.308,-168.52106,-223.31223,673.06714,-129.6256,-235.16736,610.00757,-106.46677,-167.7476,636.89368
39,0.317,-168.52106,-223.31223,673.06714,-129.6256,-235.16736,610.00757,-108.01427,-166.98471,636.71466
40,0.325,-170.77133,-222.16263,673.10919,-129.6256,-235.16736,610.00757,-106.79678,-167.49419,636.68146
