Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,-216.86655,-66.99,969.42181,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.54889,78.96664,977.10321,-393.26434,-73.08842,888.41779
2,0.008,-216.98906,-66.85985,968.89093,-220.02997,83.41017,965.80646,-360.19821,-95.85804,967.57837,-367.57007,79.06383,977.02191,-392.57492,-72.83538,888.25995
3,0.017,-217.13437,-66.13519,969.31891,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.54889,78.96664,977.10321,-393.26434,-73.08842,888.41779
4,0.025,-216.86655,-66.99,969.42181,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.51071,78.9556,977.15851,-392.57492,-72.83538,888.25995
5,0.033,-216.86655,-66.99,969.42181,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.51071,78.9556,977.15851,-393.26434,-73.08842,888.41779
6,0.042,-216.86655,-66.99,969.42181,-220.02997,83.41017,965.80646,-360.453,-96.02766,967.9541,-367.4895,78.85841,977.23975,-393.26434,-73.08842,888.41779
7,0.05,-216.86655,-66.99,969.42181,-220.02997,83.41017,965.80646,-360.49084,-96.12933,967.47076,-367.54889,78.96664,977.10321,-393.26434,-73.08842,888.41779
8,0.058,-216.86655,-66.99,969.42181,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.54889,78.96664,977.10321,-393.26434,-73.08842,888.41779
9,0.067,-216.86655,-66.99,969.42181,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.54889,78.96664,977.10321,-392.57492,-72.83538,888.25995
10,0.075,-216.98906,-66.85985,968.89093,-220.02997,83.41017,965.80646,-360.453,-96.02766,967.9541,-367.4895,78.85841,977.23975,-393.26434,-73.08842,888.41779
11,0.083,-216.98906,-66.85985,968.89093,-220.02997,83.41017,965.80646,-360.19821,-95.85804,967.57837,-367.4895,78.85841,977.23975,-393.26434,-73.08842,888.41779
12,0.092,-216.98906,-66.85985,968.89093,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.4895,78.85841,977.23975,-393.26434,-73.08842,888.41779
13,0.1,-216.71013,-66.85988,968.51233,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.4895,78.85841,977.23975,-392.57492,-72.83538,888.25995
14,0.108,-216.98906,-66.85985,968.89093,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.4895,78.85841,977.23975,-392.57492,-72.83538,888.25995
15,0.117,-216.98906,-66.85985,968.89093,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.54889,78.96664,977.10321,-393.26434,-73.08842,888.41779
16,0.125,-216.98906,-66.85985,968.89093,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.54889,78.96664,977.10321,-393.26434,-73.08842,888.41779
17,0.133,-216.98906,-66.85985,968.89093,-220.02997,83.41017,965.80646,-360.28229,-95.67873,968.12311,-367.34213,78.64919,977.22565,-393.26434,-73.08842,888.41779
18,0.142,-216.98906,-66.85985,968.89093,-220.02997,83.41017,965.80646,-360.453,-96.02766,967.9541,-367.4895,78.85841,977.23975,-393.26434,-73.08842,888.41779
19,0.15,-216.98906,-66.85985,968.89093,-220.02997,83.41017,965.80646,-360.453,-96.02766,967.9541,-367.34213,78.64919,977.22565,-393.26434,-73.08842,888.41779
20,0.158,-216.71013,-66.85988,968.51233,-220.02997,83.41017,965.80646,-360.453,-96.02766,967.9541,-367.59531,78.69022,977.32129,-392.57492,-72.83538,888.25995
