Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,143.50661,-123.49755,250.2467,77.99643,-123.74702,58.06255,126.84658,-50.16837,88.27068
2,0.008,143.3474,-123.57966,250.28496,77.99643,-123.74702,58.06255,126.93081,-50.46331,88.30917
3,0.017,143.34015,-123.41875,250.3847,77.9009,-123.8269,58.17134,126.93081,-50.46331,88.30917
4,0.025,143.26431,-123.74008,250.24496,77.9343,-123.94347,58.0894,126.60735,-50.46625,88.42484
5,0.033,143.3474,-123.57966,250.28496,77.82365,-123.96292,58.3142,126.70927,-50.62221,88.47601
6,0.042,143.3474,-123.57966,250.28496,77.84914,-123.82566,58.43813,126.94851,-50.32432,88.32185
7,0.05,143.09467,-123.44308,250.13875,77.84914,-123.82566,58.43813,126.94851,-50.32432,88.32185
8,0.058,143.24228,-123.27164,250.29182,77.9009,-123.8269,58.17134,126.93081,-50.46331,88.30917
9,0.067,143.14926,-123.29676,250.28874,77.9009,-123.8269,58.17134,126.93081,-50.46331,88.30917
10,0.075,143.15652,-123.4577,250.18901,77.9009,-123.8269,58.17134,126.93081,-50.46331,88.30917
11,0.083,143.3474,-123.57966,250.28496,77.92638,-123.68964,58.29528,126.67769,-50.50035,88.34692
12,0.092,143.3474,-123.57966,250.28496,77.95978,-123.80622,58.21334,126.67769,-50.50035,88.34692
13,0.1,143.3474,-123.57966,250.28496,77.84914,-123.82566,58.43813,126.67769,-50.50035,88.34692
14,0.108,142.93547,-123.52519,250.17699,77.88253,-123.94224,58.3562,126.94851,-50.32432,88.32185
15,0.117,143.15652,-123.4577,250.18901,77.94467,-123.74577,58.32934,126.35423,-50.50333,88.46258
16,0.125,142.96373,-123.51749,250.14647,77.75858,-123.99055,58.44263,126.93081,-50.46331,88.30917
17,0.133,143.15652,-123.4577,250.18901,77.92638,-123.68964,58.29528,126.35423,-50.50333,88.46258
18,0.142,143.14926,-123.29676,250.28874,77.92638,-123.68964,58.29528,126.67769,-50.50035,88.34692
19,0.15,142.94576,-123.37145,250.26999,77.92638,-123.68964,58.29528,126.59348,-50.20542,88.30843
20,0.158,143.24228,-123.27164,250.29182,77.92638,-123.68964,58.29528,126.67769,-50.50035,88.34692
21,0.167,143.3474,-123.57966,250.28496,77.92638,-123.68964,58.29528,126.79437,-50.67249,88.70356
22,0.175,143.12633,-123.64718,250.27293,77.85411,-123.91068,58.33385,127.04749,-50.63546,88.66582
23,0.183,143.12633,-123.64718,250.27293,77.85513,-123.78851,58.23051,127.05925,-50.72994,88.93703
24,0.192,143.15652,-123.4577,250.18901,77.94467,-123.74577,58.32934,126.82595,-50.79437,88.83265
25,0.2,143.15652,-123.4577,250.18901,78.05531,-123.72633,58.10455,126.79437,-50.67249,88.70356
26,0.208,143.3474,-123.57966,250.28496,78.05531,-123.72633,58.10455,126.4709,-50.67547,88.81919
27,0.217,143.15652,-123.4577,250.18901,77.93135,-123.77465,58.191,126.72402,-50.6384,88.78148
28,0.225,142.95874,-123.60427,250.12538,78.05194,-123.64544,58.39221,127.04749,-50.63546,88.66582
29,0.233,143.15652,-123.4577,250.18901,78.05194,-123.64544,58.39221,126.79437,-50.67249,88.70356
30,0.242,143.15652,-123.4577,250.18901,77.99477,-123.92691,58.31479,126.47498,-50.85749,88.74788
31,0.25,142.35185,-123.60255,249.97955,77.88416,-123.94637,58.53956,126.57283,-50.83145,88.87037
32,0.258,142.57506,-123.54214,249.98686,78.0081,-123.89806,58.45314,126.48861,-50.53652,88.83187
33,0.267,143.3474,-123.57966,250.28496,77.97471,-123.78147,58.53506,126.84422,-50.62979,89.16356
34,0.275,143.15652,-123.4577,250.18901,78.05194,-123.64544,58.39221,127.04749,-50.63546,88.66582
35,0.283,142.93547,-123.52519,250.17699,77.97079,-124.08951,58.5413,126.89631,-50.82847,88.75472
36,0.292,142.95874,-123.60427,250.12538,78.06133,-123.92463,58.5368,127.04749,-50.63546,88.66582
37,0.3,142.35185,-123.60255,249.97955,78.05194,-123.64544,58.39221,126.47498,-50.85749,88.74788
38,0.308,142.5518,-123.46306,250.03848,78.05194,-123.64544,58.39221,126.4709,-50.67547,88.81919
39,0.317,142.57506,-123.54214,249.98686,77.88416,-123.94637,58.53956,126.82595,-50.79437,88.83265
40,0.325,142.93547,-123.52519,250.17699,78.0081,-123.89806,58.45314,126.57283,-50.83145,88.87037
41,0.333,142.94576,-123.37145,250.26999,78.0081,-123.89806,58.45314,126.89631,-50.82847,88.75472
42,0.342,143.15652,-123.4577,250.18901,77.89358,-124.22556,58.68415,126.89631,-50.82847,88.75472
43,0.35,142.8846,-123.66273,250.2751,77.97079,-124.08951,58.5413,126.79437,-50.67249,88.70356
44,0.358,143.15652,-123.4577,250.18901,78.08533,-123.76203,58.31028,126.79437,-50.67249,88.70356
45,0.367,142.64798,-123.28609,250.13431,78.05531,-123.72633,58.10455,126.72402,-50.6384,88.78148
46,0.375,142.93547,-123.52519,250.17699,78.02191,-123.60975,58.18649,127.04749,-50.63546,88.66582
47,0.383,142.95874,-123.60427,250.12538,78.02191,-123.60975,58.18649,127.04749,-50.63546,88.66582
