Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,-270.53506,-53.51894,986.90045,-267.3519,92.28252,971.71021,-410.91833,-77.18931,968.13428,-413.4234,88.03365,964.88788,-427.92633,-61.02819,885.93542
2,0.008,-270.38837,-53.59726,986.76306,-267.3519,92.28252,971.71021,-410.91833,-77.18931,968.13428,-413.46674,87.81012,965.11737,-427.92633,-61.02819,885.93542
3,0.017,-270.53506,-53.51894,986.90045,-267.12329,92.14654,971.495,-410.91833,-77.18931,968.13428,-413.57333,87.83669,964.96576,-427.92633,-61.02819,885.93542
4,0.025,-270.38837,-53.59726,986.76306,-267.0932,92.44118,971.26379,-411.4025,-76.8927,968.18793,-414.00961,87.63594,965.09924,-427.92633,-61.02819,885.93542
5,0.033,-270.67206,-53.58345,987.13892,-267.0932,92.44118,971.26379,-411.4025,-76.8927,968.18793,-414.17892,87.85402,965.13605,-427.92633,-61.02819,885.93542
6,0.042,-270.53506,-53.51894,986.90045,-267.36154,92.39458,971.56927,-411.4025,-76.8927,968.18793,-414.16623,87.51963,964.69818,-427.92633,-61.02819,885.93542
7,0.05,-270.90033,-53.7225,987.17792,-267.0932,92.44118,971.26379,-410.91833,-77.18931,968.13428,-414.33554,87.73775,964.73505,-427.92633,-61.02819,885.93542
8,0.058,-270.67206,-53.58345,987.13892,-267.0932,92.44118,971.26379,-410.91833,-77.18931,968.13428,-414.09903,87.63444,964.56299,-428.58121,-61.16143,885.59363
9,0.067,-270.90033,-53.7225,987.17792,-267.76169,92.69633,971.46625,-411.77756,-76.62847,968.20166,-414.08167,88.13657,964.82678,-428.58121,-61.16143,885.59363
10,0.075,-270.81876,-53.50516,987.27625,-267.80148,92.51375,971.55646,-411.77756,-76.62847,968.20166,-413.90399,88.37907,964.76489,-429.13928,-60.79117,885.57239
11,0.083,-270.81876,-53.50516,987.27625,-268.19998,92.05686,971.62457,-411.77756,-76.62847,968.20166,-413.90399,88.37907,964.76489,-429.13928,-60.79117,885.57239
