Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-309.70865,6.78171,1259.63745,-188.48915,1.73395,1190.33472,-395.31598,13.76266,1126.70496,-197.59482,20.65925,1010.41687
2,0.008,-309.90936,6.79354,1259.8064,-187.61023,2.25673,1190.58179,-395.65067,13.21655,1126.44934,-197.93184,20.29872,1010.78882
3,0.017,-310.03955,6.45917,1259.92627,-188.48915,1.73395,1190.33472,-395.65067,13.21655,1126.44934,-197.93184,20.29872,1010.78882
4,0.025,-310.16028,6.77654,1259.78149,-188.09798,2.42402,1190.63928,-395.65067,13.21655,1126.44934,-196.53624,21.8354,1010.32782
5,0.033,-310.15222,6.33499,1259.83069,-188.34236,2.56143,1191.11694,-395.93427,13.33651,1126.4325,-197.75194,21.10013,1010.56464
6,0.042,-310.16028,6.77654,1259.78149,-188.09798,2.42402,1190.63928,-395.93427,13.33651,1126.4325,-196.95192,21.94707,1010.18518
7,0.05,-310.15222,6.33499,1259.83069,-188.72057,2.23887,1190.64941,-395.93427,13.33651,1126.4325,-197.29939,21.39574,1010.1842
8,0.058,-310.15222,6.33499,1259.83069,-188.72057,2.23887,1190.64941,-395.93427,13.33651,1126.4325,-197.93184,20.29872,1010.78882
9,0.067,-310.30948,6.41194,1260.29785,-188.72057,2.23887,1190.64941,-395.93427,13.33651,1126.4325,-197.66016,21.19371,1010.45813
10,0.075,-310.19296,6.34732,1260.11365,-188.72057,2.23887,1190.64941,-396.03262,13.13835,1126.49878,-197.89574,20.43925,1010.87048
11,0.083,-310.19296,6.34732,1260.11365,-188.76994,2.46802,1190.65833,-396.03262,13.13835,1126.49878,-197.66016,21.19371,1010.45813
12,0.092,-310.19296,6.34732,1260.11365,-188.83665,1.92141,1190.20239,-396.03262,13.13835,1126.49878,-198.09261,20.63278,1010.63934
13,0.1,-310.2829,6.24316,1260.1969,-188.76994,2.46802,1190.65833,-396.03262,13.13835,1126.49878,-198.11551,20.5035,1010.53619
14,0.108,-310.30948,6.41194,1260.29785,-188.83665,1.92141,1190.20239,-396.03262,13.13835,1126.49878,-197.85799,21.35051,1010.22156
15,0.117,-310.31067,6.53963,1260.12878,-188.44034,2.36098,1190.48914,-396.03262,13.13835,1126.49878,-197.85799,21.35051,1010.22156
16,0.125,-310.31067,6.53963,1260.12878,-188.76994,2.46802,1190.65833,-396.23993,13.18601,1126.62476,-197.85799,21.35051,1010.22156
17,0.133,-310.31067,6.53963,1260.12878,-188.70311,3.0139,1191.11475,-396.36319,13.18433,1126.52759,-198.11551,20.5035,1010.53619
18,0.142,-310.40076,6.43914,1260.2074,-188.76994,2.46802,1190.65833,-396.36319,13.18433,1126.52759,-197.85799,21.35051,1010.22156
19,0.15,-310.40076,6.43914,1260.2074,-188.76994,2.46802,1190.65833,-396.36319,13.18433,1126.52759,-197.95557,21.25911,1010.3465
20,0.158,-310.40076,6.43914,1260.2074,-188.70311,3.0139,1191.11475,-396.36319,13.18433,1126.52759,-198.11551,20.5035,1010.53619
21,0.167,-310.84311,5.94866,1260.10339,-188.70311,3.0139,1191.11475,-396.36319,13.18433,1126.52759,-198.11551,20.5035,1010.53619
22,0.175,-310.97473,5.78588,1260.11279,-188.76994,2.46802,1190.65833,-396.57349,13.31898,1126.46106,-198.17041,21.43634,1010.38953
23,0.183,-311.509,6.02496,1260.10669,-188.70311,3.0139,1191.11475,-396.73108,13.20866,1126.28833,-198.43028,20.6092,1010.72632
24,0.192,-311.73703,6.15166,1260.0874,-188.70311,3.0139,1191.11475,-396.6315,13.12955,1126.34949,-198.17041,21.43634,1010.38953
25,0.2,-311.73703,6.15166,1260.0874,-188.60083,3.16233,1191.33423,-396.6315,13.12955,1126.34949,-198.24341,21.36668,1010.4812
26,0.208,-311.73703,6.15166,1260.0874,-188.62099,4.09016,1191.47571,-396.73108,13.20866,1126.28833,-198.17041,21.43634,1010.38953
27,0.217,-311.89389,6.07307,1260.05127,-188.60083,3.16233,1191.33423,-396.73108,13.20866,1126.28833,-198.43028,20.6092,1010.72632
28,0.225,-311.73703,6.15166,1260.0874,-188.78893,3.28939,1191.22412,-396.73108,13.20866,1126.28833,-198.17041,21.43634,1010.38953
29,0.233,-312.04654,6.26336,1260.07288,-188.80766,4.23959,1191.36145,-396.87057,13.12428,1126.1908,-198.38271,20.75992,1010.78967
30,0.242,-312.11777,6.46857,1260.08984,-188.99388,4.25518,1191.1488,-396.73108,13.20866,1126.28833,-198.17041,21.43634,1010.38953
31,0.25,-312.27466,6.38999,1260.05371,-188.80766,4.23959,1191.36145,-396.73108,13.20866,1126.28833,-198.43028,20.6092,1010.72632
32,0.258,-312.10941,6.33224,1259.95239,-188.80766,4.23959,1191.36145,-396.73108,13.20866,1126.28833,-198.17041,21.43634,1010.38953
33,0.267,-312.27466,6.38999,1260.05371,-188.80766,4.23959,1191.36145,-396.66333,13.07658,1126.06482,-198.24341,21.36668,1010.4812
34,0.275,-312.27466,6.38999,1260.05371,-188.80766,4.23959,1191.36145,-396.66333,13.07658,1126.06482,-198.17041,21.43634,1010.38953
35,0.283,-312.27466,6.38999,1260.05371,-188.80766,4.23959,1191.36145,-396.81497,13.16063,1125.98669,-198.43028,20.6092,1010.72632
36,0.292,-312.27466,6.38999,1260.05371,-188.80766,4.23959,1191.36145,-396.62463,13.12213,1125.85205,-198.17041,21.43634,1010.38953
37,0.3,-312.27466,6.38999,1260.05371,-188.80766,4.23959,1191.36145,-396.62463,13.12213,1125.85205,-198.24341,21.36668,1010.4812
38,0.308,-312.50427,6.21856,1259.88062,-188.62099,4.09016,1191.47571,-396.62463,13.12213,1125.85205,-198.43028,20.6092,1010.72632
39,0.317,-312.44147,6.14967,1260.00122,-188.819,4.05869,1191.54443,-396.62463,13.12213,1125.85205,-198.17041,21.43634,1010.38953
40,0.325,-312.44147,6.14967,1260.00122,-188.77316,4.06705,1191.27869,-396.66333,13.07658,1126.06482,-198.24341,21.36668,1010.4812
41,0.333,-312.21341,6.02304,1260.02039,-188.77316,4.06705,1191.27869,-396.64621,12.83011,1125.83606,-198.17041,21.43634,1010.38953
42,0.342,-312.21686,5.83258,1260.27673,-188.98627,4.06222,1191.34668,-396.37497,12.57084,1126.17664,-198.26852,20.38789,1011.0528
43,0.35,-312.06424,5.6423,1260.255,-188.98627,4.06222,1191.34668,-396.5466,12.75099,1125.89734,-197.99174,21.26768,1010.69348
44,0.358,-312.0596,5.70497,1260.16785,-188.77316,4.06705,1191.27869,-396.3363,12.61634,1125.96387,-198.20143,20.55529,1011.08435
45,0.367,-312.04446,5.52662,1260.16858,-188.77316,4.06705,1191.27869,-396.3363,12.61634,1125.96387,-198.26852,20.38789,1011.0528
46,0.375,-312.04913,5.46394,1260.25574,-188.98627,4.06222,1191.34668,-396.37497,12.57084,1126.17664,-198.26852,20.38789,1011.0528
47,0.383,-312.04913,5.46394,1260.25574,-188.77316,4.06705,1191.27869,-396.23547,12.65522,1126.27405,-198.0107,20.14082,1011.30383
48,0.392,-312.04913,5.46394,1260.25574,-188.77316,4.06705,1191.27869,-396.23547,12.65522,1126.27405,-198.0107,20.14082,1011.30383
49,0.4,-312.04913,5.46394,1260.25574,-188.83011,3.41409,1190.7915,-396.23547,12.65522,1126.27405,-198.0107,20.14082,1011.30383
50,0.408,-311.82117,5.33725,1260.27502,-188.70311,3.0139,1191.11475,-396.23547,12.65522,1126.27405,-197.71844,21.07766,1010.93024
51,0.417,-311.28677,5.09808,1260.28113,-188.77316,4.06705,1191.27869,-396.11221,12.65689,1126.37122,-197.71844,21.07766,1010.93024
52,0.425,-311.12994,5.17664,1260.31726,-188.64708,2.6523,1191.04065,-395.95193,12.53523,1126.29089,-197.71844,21.07766,1010.93024
