Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,45.4841,-141.2988,609.59314,129.918,-80.60023,484.1124,64.7495,-119.81222,436.06998,88.96039,-14.05048,437.11737
2,0.008,45.34388,-141.23433,609.67316,129.66261,-80.27899,484.02423,64.7495,-119.81222,436.06998,88.96039,-14.05048,437.11737
3,0.017,45.21788,-141.35069,609.48389,129.39281,-80.33547,484.07404,64.7495,-119.81222,436.06998,88.96039,-14.05048,437.11737
4,0.025,44.98286,-141.36395,609.50708,129.75127,-80.67293,484.11868,64.96828,-119.67078,436.12625,88.96039,-14.05048,437.11737
5,0.033,44.7962,-141.41153,609.89691,129.39281,-80.33547,484.07404,64.48291,-119.4206,436.03748,88.96039,-14.05048,437.11737
6,0.042,44.56746,-141.6915,609.88312,129.64819,-80.65673,484.1622,64.48291,-119.4206,436.03748,88.96039,-14.05048,437.11737
7,0.05,44.39331,-141.93282,609.99884,129.64819,-80.65673,484.1622,64.22156,-119.38824,436.12384,88.96039,-14.05048,437.11737
8,0.058,44.42306,-141.71387,609.69,129.4451,-80.78506,484.29724,64.22624,-119.23907,435.93085,88.96039,-14.05048,437.11737
9,0.067,44.40681,-141.97847,609.7854,129.18973,-80.46383,484.20908,63.96489,-119.20667,436.01721,88.96039,-14.05048,437.11737
10,0.075,44.37417,-141.8867,609.87427,128.79967,-80.54976,484.22324,63.96489,-119.20667,436.01721,88.96039,-14.05048,437.11737
11,0.083,44.04676,-142.09383,610.02991,128.77296,-80.42686,484.31143,63.96489,-119.20667,436.01721,88.96039,-14.05048,437.11737
12,0.092,43.94983,-142.43123,609.98822,128.77296,-80.42686,484.31143,63.96489,-119.20667,436.01721,88.96039,-14.05048,437.11737
13,0.1,43.93211,-142.34177,610.07275,128.77296,-80.42686,484.31143,63.73928,-119.06406,436.01767,88.96039,-14.05048,437.11737
14,0.108,43.91296,-142.16994,610.04834,128.5166,-80.2485,484.21234,63.73928,-119.06406,436.01767,88.96039,-14.05048,437.11737
15,0.117,43.55743,-142.13007,609.89282,128.5166,-80.2485,484.21234,63.73928,-119.06406,436.01767,88.96039,-14.05048,437.11737
16,0.125,43.70644,-142.22482,610.02924,128.35837,-80.37354,484.1821,63.73928,-119.06406,436.01767,88.96039,-14.05048,437.11737
