Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,-72.77376,-21.74045,41.95333,111.07043,-125.60728,37.18584,73.0912,-72.6031,59.40311
2,0.008,-72.34049,-21.43544,41.81284,111.07043,-125.60728,37.18584,73.0912,-72.6031,59.40311
3,0.017,-72.07761,-21.3941,42.42878,111.03625,-125.64104,36.95259,73.23861,-72.40726,59.12444
4,0.025,-72.42945,-21.96851,41.76944,111.03625,-125.64104,36.95259,73.16471,-72.50027,59.25466
5,0.033,-72.41327,-21.96948,41.83913,111.07043,-125.60728,37.18584,73.23861,-72.40726,59.12444
6,0.042,-72.49059,-21.49907,42.19892,111.29543,-125.45358,37.25206,73.37115,-72.45486,59.23766
7,0.05,-72.60345,-21.86448,42.11971,111.07043,-125.60728,37.18584,73.12673,-72.55183,59.59913
8,0.058,-72.68076,-21.39396,42.47945,111.07043,-125.60728,37.18584,73.37115,-72.45486,59.23766
9,0.067,-72.77001,-21.36622,42.32221,111.07043,-125.60728,37.18584,73.16471,-72.50027,59.25466
10,0.075,-73.28055,-21.61274,42.32384,111.07043,-125.60728,37.18584,73.37115,-72.45486,59.23766
11,0.083,-72.44638,-21.23351,42.39484,111.07043,-125.60728,37.18584,73.16471,-72.50027,59.25466
12,0.092,-72.77001,-21.36622,42.32221,111.44516,-125.52221,37.17005,73.23861,-72.40726,59.12444
13,0.1,-72.38446,-22.26168,41.73076,111.07043,-125.60728,37.18584,73.37115,-72.45486,59.23766
14,0.108,-72.68076,-21.39396,42.47945,111.07043,-125.60728,37.18584,73.16511,-72.51009,59.2729
15,0.117,-72.68076,-21.39396,42.47945,111.29543,-125.45358,37.25206,73.16471,-72.50027,59.25466
16,0.125,-72.60345,-21.86448,42.11971,111.07043,-125.60728,37.18584,73.25388,-72.22253,58.98989
17,0.133,-72.44638,-21.23351,42.39484,111.07043,-125.60728,37.18584,73.25388,-72.22253,58.98989
18,0.142,-72.44638,-21.23351,42.39484,111.29543,-125.45358,37.25206,73.37692,-72.04473,58.9263
19,0.15,-72.36903,-21.70403,42.03509,111.07043,-125.60728,37.18584,73.56366,-71.82265,58.8574
20,0.158,-72.68076,-21.39396,42.47945,111.07043,-125.60728,37.18584,73.43109,-71.77501,58.74414
21,0.167,-72.3571,-21.26126,42.55207,111.07043,-125.60728,37.18584,73.59856,-71.69336,58.76601
22,0.175,-72.3571,-21.26126,42.55207,111.07043,-125.60728,37.18584,73.43109,-71.77501,58.74414
23,0.183,-72.27975,-21.73178,42.19236,111.07043,-125.60728,37.18584,73.43109,-71.77501,58.74414
24,0.192,-72.38814,-21.66602,42.39938,111.07043,-125.60728,37.18584,73.59856,-71.69336,58.76601
25,0.2,-72.34512,-20.96416,42.61808,111.07043,-125.60728,37.18584,73.74495,-71.52637,58.49214
26,0.208,-72.46546,-21.19542,42.75907,111.21542,-125.42349,37.25688,73.20253,-71.52983,58.55891
27,0.217,-72.46546,-21.19542,42.75907,111.07043,-125.60728,37.18584,73.56586,-71.57876,58.67356
28,0.225,-72.34512,-20.96416,42.61808,111.07043,-125.60728,37.18584,73.42724,-71.55593,58.57114
29,0.233,-72.31136,-20.96339,42.79036,111.40622,-125.30357,37.08981,73.48518,-71.46457,58.69286
30,0.242,-72.23404,-21.43404,42.43065,110.81231,-125.52386,36.93239,73.77445,-71.22276,58.54296
31,0.25,-72.4317,-21.19465,42.93133,111.29543,-125.45358,37.25206,73.66424,-71.41217,58.51144
32,0.258,-72.4317,-21.19465,42.93133,110.82069,-125.4818,37.14028,73.65005,-71.22706,58.43821
