Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,-117.83457,-308.32483,839.02045,-30.50838,-272.59265,796.46216,-17.66841,-221.07304,870.86969
2,0.008,-117.73045,-308.26041,838.93799,-30.30909,-272.51923,796.38092,-17.48727,-221.01318,872.14783
3,0.017,-117.53987,-308.24359,838.7951,-30.41492,-272.3634,796.35706,-17.48727,-221.01318,872.14783
4,0.025,-117.644,-308.30801,838.87762,-29.52762,-272.75394,796.35529,-16.86603,-221.00352,872.05432
5,0.033,-117.41223,-308.01996,838.77936,-30.02895,-272.65771,796.14539,-16.86603,-221.00352,872.05432
6,0.042,-116.93684,-307.90158,838.94922,-29.66894,-272.35321,796.26636,-16.86603,-221.00352,872.05432
7,0.05,-116.56376,-308.02026,838.83154,-29.14955,-272.79163,796.28333,-16.82351,-220.77934,872.15601
8,0.058,-116.79456,-307.62601,838.73773,-29.19277,-272.47787,796.27423,-16.82351,-220.77934,872.15601
9,0.067,-116.47307,-307.76505,838.71631,-28.339,-272.75015,796.22937,-16.82351,-220.77934,872.15601
10,0.075,-116.12469,-307.80966,838.729,-28.339,-272.75015,796.22937,-16.82351,-220.77934,872.15601
11,0.083,-116.42155,-307.74472,838.62006,-29.01232,-272.52429,796.1156,-16.82351,-220.77934,872.15601
12,0.092,-116.42155,-307.74472,838.62006,-28.76779,-272.63162,796.19019,-16.37934,-220.73511,872.12775
13,0.1,-116.42155,-307.74472,838.62006,-29.34079,-272.43921,796.09027,-16.6432,-220.63235,872.29211
14,0.108,-116.28968,-307.75458,838.59937,-28.97684,-272.48532,795.9801,-16.37934,-220.73511,872.12775
15,0.117,-116.14719,-307.77701,838.61975,-28.8563,-272.56921,796.14026,-16.6432,-220.63235,872.29211
16,0.125,-116.14719,-307.77701,838.61975,-28.10626,-272.77231,796.10559,-16.37934,-220.73511,872.12775
17,0.133,-116.14719,-307.77701,838.61975,-28.1347,-272.81116,796.26318,-16.37934,-220.73511,872.12775
18,0.142,-116.17152,-307.76068,838.57776,-29.01232,-272.52429,796.1156,-16.37934,-220.73511,872.12775
19,0.15,-116.12469,-307.80966,838.729,-28.82952,-272.52997,796.00983,-16.37934,-220.73511,872.12775
20,0.158,-116.14719,-307.77701,838.61975,-28.10626,-272.77231,796.10559,-16.37934,-220.73511,872.12775
21,0.167,-116.14719,-307.77701,838.61975,-28.97684,-272.48532,795.9801,-16.37934,-220.73511,872.12775
22,0.175,-116.42155,-307.74472,838.62006,-29.28966,-272.40424,795.95599,-16.37934,-220.73511,872.12775
23,0.183,-116.42155,-307.74472,838.62006,-28.84173,-272.72421,795.78943,-16.37934,-220.73511,872.12775
24,0.192,-116.42155,-307.74472,838.62006,-28.73131,-272.54868,795.87451,-16.55965,-220.88208,871.99164
25,0.2,-116.79456,-307.62601,838.73773,-29.14642,-272.38965,795.81842,-16.55965,-220.88208,871.99164
26,0.208,-116.79456,-307.62601,838.73773,-29.08701,-272.47919,795.75787,-16.30066,-220.24619,871.56622
27,0.217,-116.93365,-307.55051,838.67767,-29.30295,-272.39139,795.85468,-16.30066,-220.24619,871.56622
28,0.225,-116.93365,-307.55051,838.67767,-29.28512,-272.3006,795.83685,-16.37934,-220.73511,872.12775
29,0.233,-116.93365,-307.55051,838.67767,-29.58749,-272.42636,795.64362,-16.37934,-220.73511,872.12775
30,0.242,-116.93365,-307.55051,838.67767,-29.63875,-271.92667,795.74738,-16.37934,-220.73511,872.12775
31,0.25,-116.93365,-307.55051,838.67767,-29.25878,-272.01324,795.61041,-16.55965,-220.88208,871.99164
32,0.258,-117.10162,-307.07513,838.46252,-29.81656,-271.86392,795.68561,-16.55965,-220.88208,871.99164
33,0.267,-117.01326,-307.48859,838.62317,-30.07443,-271.82547,795.94922,-16.55182,-220.15515,871.7135
34,0.275,-117.24431,-307.01831,838.55481,-29.59628,-272.00101,796.20575,-16.6432,-220.63235,872.29211
35,0.283,-117.31582,-307.31808,838.99384,-30.15256,-271.81464,796.25909,-16.9412,-220.46858,872.11517
36,0.292,-117.23621,-307.38,839.04828,-30.5759,-271.71695,796.19385,-16.9412,-220.46858,872.11517
37,0.3,-117.31582,-307.31808,838.99384,-29.58825,-272.05048,796.36792,-16.9412,-220.46858,872.11517
38,0.308,-117.38947,-307.33566,839.08929,-29.58825,-272.05048,796.36792,-16.9412,-220.46858,872.11517
