Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-74.15679,25.84513,1160.21167,-46.76388,14.28006,1028.36206,-193.98196,24.94796,1161.68665,-137.56059,2.25545,918.08112
2,0.008,-74.37688,26.11987,1160.24731,-46.76388,14.28006,1028.36206,-193.89537,24.26631,1161.67126,-137.21121,2.27317,917.94452
3,0.017,-74.37688,26.11987,1160.24731,-46.76388,14.28006,1028.36206,-193.89537,24.26631,1161.67126,-137.10913,2.22421,917.72681
4,0.025,-74.37688,26.11987,1160.24731,-46.76388,14.28006,1028.36206,-193.89537,24.26631,1161.67126,-137.10913,2.22421,917.72681
5,0.033,-74.37688,26.11987,1160.24731,-46.76388,14.28006,1028.36206,-193.98196,24.94796,1161.68665,-136.92661,2.14701,917.79089
6,0.042,-74.37688,26.11987,1160.24731,-46.76388,14.28006,1028.36206,-193.98196,24.94796,1161.68665,-136.92661,2.14701,917.79089
7,0.05,-74.37103,26.13008,1160.2887,-46.76388,14.28006,1028.36206,-193.98196,24.94796,1161.68665,-136.99817,2.05051,917.57446
8,0.058,-74.37103,26.13008,1160.2887,-46.70351,13.39898,1028.3562,-194.04535,25.14425,1161.93823,-136.84938,2.4415,917.82135
9,0.067,-74.37103,26.13008,1160.2887,-46.77742,14.38316,1028.32886,-193.98196,24.94796,1161.68665,-137.17958,2.36925,918.1297
10,0.075,-74.37103,26.13008,1160.2887,-46.77742,14.38316,1028.32886,-194.04535,25.14425,1161.93823,-137.45474,2.75447,917.9502
11,0.083,-74.37103,26.13008,1160.2887,-46.77742,14.38316,1028.32886,-193.89537,24.26631,1161.67126,-137.61626,2.79966,918.05853
12,0.092,-74.37103,26.13008,1160.2887,-46.77742,14.38316,1028.32886,-193.95879,24.46269,1161.92285,-137.61626,2.79966,918.05853
13,0.1,-74.37103,26.13008,1160.2887,-46.5986,14.51231,1028.30969,-194.03763,24.35726,1161.54395,-137.64687,2.46625,917.7345
14,0.108,-74.37103,26.13008,1160.2887,-46.5986,14.51231,1028.30969,-193.98196,24.94796,1161.68665,-137.83676,2.60282,917.97754
15,0.117,-74.37103,26.13008,1160.2887,-46.6433,15.26817,1028.34888,-193.95879,24.46269,1161.92285,-137.83676,2.60282,917.97754
16,0.125,-74.37103,26.13008,1160.2887,-46.52695,14.63886,1028.42261,-193.95879,24.46269,1161.92285,-137.83676,2.60282,917.97754
17,0.133,-74.37688,26.11987,1160.24731,-46.54723,14.70605,1028.42688,-193.95879,24.46269,1161.92285,-137.8307,2.72235,917.87585
18,0.142,-74.37688,26.11987,1160.24731,-46.21223,15.19447,1028.38074,-193.95879,24.46269,1161.92285,-137.83676,2.60282,917.97754
19,0.15,-74.37688,26.11987,1160.24731,-46.21223,15.19447,1028.38074,-193.86586,24.55876,1162.1781,-137.8307,2.72235,917.87585
20,0.158,-74.37688,26.11987,1160.24731,-46.21223,15.19447,1028.38074,-193.89537,24.26631,1161.67126,-137.8307,2.72235,917.87585
21,0.167,-74.37688,26.11987,1160.24731,-46.26842,15.05812,1028.40002,-194.10106,24.55364,1161.79553,-137.83676,2.60282,917.97754
22,0.175,-74.37688,26.11987,1160.24731,-46.26842,15.05812,1028.40002,-193.89537,24.26631,1161.67126,-137.8307,2.72235,917.87585
23,0.183,-74.37688,26.11987,1160.24731,-46.26842,15.05812,1028.40002,-193.89537,24.26631,1161.67126,-137.83676,2.60282,917.97754
24,0.192,-74.37688,26.11987,1160.24731,-46.26842,15.05812,1028.40002,-194.04535,25.14425,1161.93823,-137.83676,2.60282,917.97754
25,0.2,-74.37688,26.11987,1160.24731,-46.38273,14.83227,1028.48401,-193.95879,24.46269,1161.92285,-137.83676,2.60282,917.97754
26,0.208,-74.24729,26.25847,1160.3313,-46.38273,14.83227,1028.48401,-193.95879,24.46269,1161.92285,-137.78639,2.54408,917.8974
27,0.217,-74.37688,26.11987,1160.24731,-46.38273,14.83227,1028.48401,-194.18764,25.23526,1161.81079,-137.6046,2.46252,918.04602
28,0.225,-74.37688,26.11987,1160.24731,-46.21223,15.19447,1028.38074,-193.98196,24.94796,1161.68665,-137.56059,2.25545,918.08112
29,0.233,-73.79646,26.07129,1160.44763,-46.38273,14.83227,1028.48401,-193.98196,24.94796,1161.68665,-137.56059,2.25545,918.08112
30,0.242,-74.24729,26.25847,1160.3313,-46.26842,15.05812,1028.40002,-193.89537,24.26631,1161.67126,-137.30714,2.14067,917.87701
31,0.25,-74.24729,26.25847,1160.3313,-46.26842,15.05812,1028.40002,-193.89537,24.26631,1161.67126,-137.26993,2.24879,917.82581
32,0.258,-73.79646,26.07129,1160.44763,-46.12243,15.08625,1028.25854,-193.84836,24.93456,1161.64722,-136.79124,2.13965,917.65906
33,0.267,-73.79646,26.07129,1160.44763,-46.12243,15.08625,1028.25854,-193.84836,24.93456,1161.64722,-136.79124,2.13965,917.65906
34,0.275,-73.09769,25.60592,1160.21936,-46.02272,15.03419,1028.16296,-193.36897,24.87226,1161.66223,-136.79124,2.13965,917.65906
35,0.283,-73.19292,25.71701,1160.27527,-46.02272,15.03419,1028.16296,-193.50911,24.16359,1161.73523,-136.79124,2.13965,917.65906
36,0.292,-73.0463,25.3925,1160.29065,-46.03401,16.06888,1028.18298,-193.53049,24.03696,1161.52332,-136.9704,2.2119,917.60901
37,0.3,-72.73285,25.14852,1160.20239,-46.16346,15.62941,1028.0365,-193.40652,23.90879,1161.64087,-136.9704,2.2119,917.60901
38,0.308,-72.73285,25.14852,1160.20239,-46.08119,15.55265,1027.97217,-193.09863,24.03263,1161.7561,-136.79124,2.13965,917.65906
39,0.317,-72.73285,25.14852,1160.20239,-46.14615,15.51554,1028.2511,-192.8282,24.037,1161.73853,-136.83522,2.34668,917.62396
40,0.325,-72.73285,25.14852,1160.20239,-46.08119,15.55265,1027.97217,-193.0547,23.9676,1161.49207,-136.8775,2.35041,917.31244
41,0.333,-72.73285,25.14852,1160.20239,-46.06504,15.54258,1027.9303,-193.34741,24.06321,1161.37756,-137.09601,2.87801,917.52374
42,0.342,-72.73285,25.14852,1160.20239,-46.06504,15.54258,1027.9303,-193.30382,24.064,1161.43481,-137.07695,2.9682,917.50372
43,0.35,-72.66858,25.37085,1160.00391,-46.06504,15.54258,1027.9303,-192.93576,24.22922,1161.48254,-137.17165,3.09431,917.61975
44,0.358,-72.7959,25.42888,1160.13318,-45.98709,16.23375,1027.82874,-193.0332,24.09052,1161.35852,-137.29686,3.00434,917.33899
45,0.367,-72.88881,25.6457,1160.03967,-46.04813,15.12677,1027.99475,-192.79099,23.99501,1161.03625,-137.73769,3.1706,917.64374
46,0.375,-72.7959,25.42888,1160.13318,-46.04813,15.12677,1027.99475,-192.6378,24.18036,1161.09082,-137.86105,2.46535,917.82379
47,0.383,-72.7959,25.42888,1160.13318,-46.04813,15.12677,1027.99475,-192.8735,24.73738,1161.37488,-137.78033,2.66361,917.79572
48,0.392,-72.7959,25.42888,1160.13318,-46.02272,15.03419,1028.16296,-192.94611,24.12235,1161.29688,-137.78033,2.66361,917.79572
49,0.4,-72.66858,25.37085,1160.00391,-46.02272,15.03419,1028.16296,-192.6378,24.18036,1161.09082,-137.86105,2.46535,917.82379
50,0.408,-73.01612,25.70377,1160.16895,-45.82008,14.96471,1028.18091,-192.59167,25.05456,1161.01636,-137.86105,2.46535,917.82379
51,0.417,-73.01612,25.70377,1160.16895,-46.02369,15.11658,1027.94128,-192.72441,24.86209,1161.10632,-137.78033,2.66361,917.79572
52,0.425,-73.01612,25.70377,1160.16895,-46.02272,15.03419,1028.16296,-192.72441,24.86209,1161.10632,-137.78033,2.66361,917.79572
53,0.433,-72.88881,25.6457,1160.03967,-46.02272,15.03419,1028.16296,-192.85274,24.20044,1161.09766,-137.78033,2.66361,917.79572
54,0.442,-73.01612,25.70377,1160.16895,-45.82008,14.96471,1028.18091,-192.50505,24.37284,1161.00085,-137.78033,2.66361,917.79572
55,0.45,-73.01612,25.70377,1160.16895,-46.02272,15.03419,1028.16296,-192.59167,25.05456,1161.01636,-137.78033,2.66361,917.79572
56,0.458,-73.01612,25.70377,1160.16895,-46.02272,15.03419,1028.16296,-192.64551,25.09059,1161.32458,-137.78033,2.66361,917.79572
57,0.467,-73.01612,25.70377,1160.16895,-45.82008,14.96471,1028.18091,-192.81778,24.78399,1161.30542,-137.73633,2.45658,917.83081
58,0.475,-73.01612,25.70377,1160.16895,-45.82008,14.96471,1028.18091,-192.73119,24.10226,1161.28992,-137.78033,2.66361,917.79572
59,0.483,-73.31603,25.80182,1160.0094,-46.02272,15.03419,1028.16296,-192.54803,24.12852,1161.14429,-137.68765,2.57341,917.69049
60,0.492,-73.01612,25.70377,1160.16895,-45.89767,15.29539,1028.27966,-192.77388,24.42895,1161.31604,-137.78033,2.66361,917.79572
61,0.5,-73.01612,25.70377,1160.16895,-45.89767,15.29539,1028.27966,-192.79639,24.91065,1161.51733,-137.34508,2.4673,917.74011
