Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,-37.02047,113.80515,41.67341,176.73952,145.91071,42.43225,116.53577,110.3969,70.56717
2,0.008,-37.39272,112.56006,41.86087,176.74442,145.95552,42.58533,116.74176,109.41898,70.69447
3,0.017,-37.34475,112.4882,41.89293,176.69571,145.99994,42.33059,116.73466,110.50848,70.38185
4,0.025,-37.40635,112.60297,41.92283,176.87029,146.05258,42.3623,116.66119,110.50259,70.2844
5,0.033,-36.89212,113.59062,41.75091,176.83386,145.91415,42.474,116.63709,110.21523,70.42986
6,0.042,-36.95847,113.8645,41.78666,176.86497,145.76846,42.52187,116.58157,110.29382,70.39019
7,0.05,-37.40635,112.60297,41.92283,176.79996,145.75182,42.54214,116.58157,110.29382,70.39019
8,0.058,-36.85231,113.47883,41.87535,176.86497,145.76846,42.52187,116.58157,110.29382,70.39019
9,0.067,-36.85231,113.47883,41.87535,176.56105,145.93799,42.65049,116.54253,110.45367,70.45557
10,0.075,-37.41859,112.47263,42.07547,176.79996,145.75182,42.54214,116.63709,110.21523,70.42986
11,0.083,-37.40635,112.60297,41.92283,176.86497,145.76846,42.52187,116.59805,110.37508,70.49524
12,0.092,-36.85231,113.47883,41.87535,176.79996,145.75182,42.54214,116.71671,110.42401,70.32407
13,0.1,-37.3518,112.57766,41.85826,176.65132,145.84476,42.55766,116.66119,110.50259,70.2844
14,0.108,-37.3518,112.57766,41.85826,176.79996,145.75182,42.54214,116.58157,110.29382,70.39019
15,0.117,-37.48478,112.39003,41.98063,176.79996,145.75182,42.54214,116.58157,110.29382,70.39019
16,0.125,-37.4563,112.27278,41.86756,176.79996,145.75182,42.54214,116.54253,110.45367,70.45557
17,0.133,-36.85231,113.47883,41.87535,176.79996,145.75182,42.54214,116.63709,110.21523,70.42986
18,0.142,-37.3518,112.57766,41.85826,176.79996,145.75182,42.54214,116.72648,110.01426,70.43549
19,0.15,-36.91484,113.72958,41.8882,176.85625,145.68782,42.67103,116.67096,110.09286,70.39583
20,0.158,-37.40044,112.55045,41.64282,176.71632,145.86142,42.5374,116.55268,110.12258,70.3271
21,0.167,-36.85231,113.47883,41.87535,176.65132,145.84476,42.55766,116.67096,110.09286,70.39583
22,0.175,-37.3518,112.57766,41.85826,176.65132,145.84476,42.55766,116.68744,110.17413,70.50088
