Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,-202.67564,-239.46666,653.33228,-165.74658,-210.95535,568.50079,-105.3581,-159.41566,616.79913
2,0.008,-202.75734,-239.35329,653.2655,-165.77702,-210.80518,568.74646,-105.3581,-159.41566,616.79913
3,0.017,-202.75734,-239.35329,653.2655,-165.53131,-211.22632,568.94165,-106.5092,-158.66887,616.83374
4,0.025,-202.75734,-239.35329,653.2655,-165.21446,-211.16861,569.03949,-106.55209,-158.46834,617.29187
5,0.033,-202.69823,-239.17847,653.1441,-165.2074,-210.60974,569.03491,-106.55209,-158.46834,617.29187
6,0.042,-202.55275,-238.96333,653.18262,-165.2074,-210.60974,569.03491,-106.55209,-158.46834,617.29187
7,0.05,-202.71216,-237.72646,653.45892,-164.87379,-210.29013,569.12958,-106.55209,-158.46834,617.29187
8,0.058,-202.62993,-236.19313,653.94855,-165.05353,-210.25018,569.0614,-106.55209,-158.46834,617.29187
9,0.067,-202.63977,-236.01184,654.19574,-164.91989,-209.7509,569.26233,-106.27383,-158.33905,617.49219
10,0.075,-202.75954,-235.46909,654.32306,-164.9133,-209.99263,569.28516,-106.55209,-158.46834,617.29187
11,0.083,-202.84601,-235.39774,654.41541,-164.9133,-209.99263,569.28516,-106.55209,-158.46834,617.29187
12,0.092,-202.72749,-235.45192,654.17737,-165.09305,-209.95268,569.21698,-106.55209,-158.46834,617.29187
13,0.1,-203.01256,-235.37587,654.42151,-165.09305,-209.95268,569.21698,-106.55209,-158.46834,617.29187
14,0.108,-202.94829,-235.64569,654.22748,-165.4333,-209.81293,569.22284,-106.55209,-158.46834,617.29187
15,0.117,-203.36253,-237.07251,653.71649,-165.57266,-210.2766,569.00482,-106.55209,-158.46834,617.29187
16,0.125,-203.73485,-238.09866,653.39484,-165.56709,-210.47446,569.02319,-106.55209,-158.46834,617.29187
17,0.133,-203.5797,-238.97528,653.08917,-165.56709,-210.47446,569.02319,-106.55209,-158.46834,617.29187
18,0.142,-203.5797,-238.97528,653.08917,-165.8215,-210.51093,568.74707,-105.3581,-159.41566,616.79913
19,0.15,-203.52055,-238.80043,652.96777,-165.8215,-210.51093,568.74707,-105.3581,-159.41566,616.79913
20,0.158,-203.68358,-238.77528,652.94775,-165.98376,-210.78015,568.78845,-105.13235,-160.01218,616.58264
21,0.167,-203.86035,-238.90797,652.9754,-166.34904,-211.15968,568.5636,-105.3441,-160.15334,616.43311
22,0.175,-204.03712,-239.04082,653.00305,-165.98376,-210.78015,568.78845,-105.3441,-160.15334,616.43311
23,0.183,-203.87413,-239.06604,653.02307,-165.8215,-210.51093,568.74707,-105.13235,-160.01218,616.58264
24,0.192,-203.87413,-239.06604,653.02307,-165.95331,-210.93036,568.54279,-105.39331,-159.48383,616.69037
25,0.2,-204.03712,-239.04082,653.00305,-166.24763,-211.341,568.70331,-106.5092,-158.66887,616.83374
26,0.208,-204.18158,-239.02629,653.03827,-166.48117,-211.30095,568.68268,-106.5092,-158.66887,616.83374
27,0.217,-204.18158,-239.02629,653.03827,-166.11588,-210.92145,568.90753,-106.55209,-158.46834,617.29187
