Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,-74.53495,-170.07845,47.66908,136.82249,-178.74966,47.66439,80.96893,-136.38455,67.98
2,0.008,-74.5257,-170.48499,47.6764,136.82249,-178.74966,47.66439,80.49347,-137.776,68.58887
3,0.017,-74.60503,-170.43333,47.84578,136.96114,-178.58292,47.44604,80.2793,-137.57361,68.53351
4,0.025,-74.60503,-170.43333,47.84578,136.82249,-178.74966,47.66439,80.35603,-137.42636,68.45151
5,0.033,-74.5257,-170.48499,47.6764,136.82249,-178.74966,47.66439,80.31545,-137.66367,68.84214
6,0.042,-74.65531,-170.28001,47.86337,136.89432,-178.66827,47.55476,80.86327,-136.47968,68.26767
7,0.05,-74.5257,-170.48499,47.6764,136.82249,-178.74966,47.66439,80.25983,-137.74461,68.77505
8,0.058,-74.5257,-170.48499,47.6764,136.82249,-178.74966,47.66439,80.33493,-137.49266,68.60061
9,0.067,-74.60503,-170.43333,47.84578,136.83487,-178.72189,47.75764,80.31545,-137.66367,68.84214
10,0.075,-74.63583,-170.44919,47.64311,136.77849,-178.8667,47.72704,80.31545,-137.66367,68.84214
11,0.083,-74.5257,-170.48499,47.6764,136.82249,-178.74966,47.66439,80.8207,-136.54649,68.20749
12,0.092,-74.5257,-170.48499,47.6764,136.82249,-178.74966,47.66439,80.25983,-137.74461,68.77505
13,0.1,-74.54517,-170.3158,47.89666,136.88933,-178.66431,47.55567,80.25983,-137.74461,68.77505
14,0.108,-74.54517,-170.3158,47.89666,136.90012,-178.84404,47.81899,80.31545,-137.66367,68.84214
15,0.117,-74.28323,-170.31436,47.84853,136.97192,-178.76262,47.70936,80.31545,-137.66367,68.84214
16,0.125,-74.5257,-170.48499,47.6764,136.82249,-178.74966,47.66439,80.25983,-137.74461,68.77505
17,0.133,-74.5257,-170.48499,47.6764,136.96693,-178.75865,47.71027,80.33471,-137.69894,68.73624
18,0.142,-74.5257,-170.48499,47.6764,136.96114,-178.58292,47.44604,80.29922,-137.54904,68.90089
19,0.15,-74.54517,-170.3158,47.89666,136.90012,-178.84404,47.81899,80.31545,-137.66367,68.84214
20,0.158,-74.71517,-170.39754,47.81248,136.82249,-178.74966,47.66439,80.31545,-137.66367,68.84214
21,0.167,-74.60503,-170.43333,47.84578,136.90012,-178.84404,47.81899,80.31545,-137.66367,68.84214
22,0.175,-74.5257,-170.48499,47.6764,136.88933,-178.66431,47.55567,80.53764,-137.54416,68.54771
23,0.183,-74.45399,-170.298,47.77602,136.89432,-178.66827,47.55476,80.41023,-137.80573,68.82037
24,0.192,-74.11371,-170.50368,47.55236,136.85609,-178.96107,47.88165,80.43283,-137.83981,68.71041
25,0.2,-74.5257,-170.48499,47.6764,136.90012,-178.84404,47.81899,81.03115,-136.74539,68.25002
26,0.208,-74.5257,-170.48499,47.6764,136.96693,-178.75865,47.71027,80.47398,-137.94702,68.83042
27,0.217,-74.5257,-170.48499,47.6764,136.84532,-178.78134,47.61832,80.47398,-137.94702,68.83042
28,0.225,-74.54517,-170.3158,47.89666,136.97192,-178.76262,47.70936,80.40766,-137.68568,68.65381
29,0.233,-74.5257,-170.48499,47.6764,136.90012,-178.84404,47.81899,80.47398,-137.94702,68.83042
30,0.242,-74.5257,-170.48499,47.6764,136.82249,-178.74966,47.66439,81.00568,-136.64072,68.30388
31,0.25,-74.26373,-170.48357,47.62825,136.88933,-178.66431,47.55567,80.90808,-136.65381,68.32681
32,0.258,-74.5257,-170.48499,47.6764,136.82249,-178.74966,47.66439,80.33471,-137.69894,68.73624
33,0.267,-74.53495,-170.07845,47.66908,136.93886,-178.76396,47.54234,80.40214,-137.91336,68.82208
34,0.275,-74.53495,-170.07845,47.66908,136.82249,-178.74966,47.66439,80.55386,-137.65877,68.48895
35,0.283,-74.5257,-170.48499,47.6764,136.82249,-178.74966,47.66439,80.356,-137.88858,68.75287
36,0.292,-74.5257,-170.48499,47.6764,136.88933,-178.66431,47.55567,80.41023,-137.80573,68.82037
37,0.3,-74.63583,-170.44919,47.64311,136.89432,-178.66827,47.55476,80.2497,-137.65508,68.43925
38,0.308,-74.26373,-170.48357,47.62825,136.82249,-178.74966,47.66439,80.95937,-136.53014,68.19459
39,0.317,-74.26373,-170.48357,47.62825,136.82249,-178.74966,47.66439,80.96893,-136.38455,67.98
40,0.325,-74.4431,-170.20531,47.48352,136.88933,-178.66431,47.55567,80.41243,-137.48839,68.6217
41,0.333,-74.26373,-170.48357,47.62825,136.88933,-178.66431,47.55567,80.37807,-137.69328,68.49562
42,0.342,-74.61429,-170.02676,47.83848,137.03505,-178.96082,47.58491,80.43231,-137.61041,68.56314
43,0.35,-74.26373,-170.48357,47.62825,136.8002,-178.76318,47.69252,80.43231,-137.61041,68.56314
44,0.358,-74.5257,-170.48499,47.6764,136.8002,-178.76318,47.69252,80.43231,-137.61041,68.56314
45,0.367,-74.26373,-170.48357,47.62825,136.8002,-178.76318,47.69252,80.41243,-137.48839,68.6217
46,0.375,-74.27302,-170.077,47.62093,136.8002,-178.76318,47.69252,80.43231,-137.61041,68.56314
47,0.383,-74.35237,-170.02533,47.79034,136.8002,-178.76318,47.69252,80.43231,-137.61041,68.56314
48,0.392,-74.60503,-170.43333,47.84578,136.8002,-178.76318,47.69252,80.37807,-137.69328,68.49562
49,0.4,-74.60503,-170.43333,47.84578,136.87483,-178.67624,47.57723,80.43231,-137.61041,68.56314
50,0.408,-74.60503,-170.43333,47.84578,136.84729,-178.86417,47.68063,80.43231,-137.61041,68.56314
51,0.417,-74.53495,-170.07845,47.66908,136.8002,-178.76318,47.69252,80.43231,-137.61041,68.56314
52,0.425,-74.61429,-170.02676,47.83848,136.8002,-178.76318,47.69252,80.9396,-136.27332,68.03402
53,0.433,-74.60503,-170.43333,47.84578,136.8002,-178.76318,47.69252,80.43231,-137.61041,68.56314
54,0.442,-74.60503,-170.43333,47.84578,136.81056,-178.73677,47.78838,80.43231,-137.61041,68.56314
55,0.45,-74.60503,-170.43333,47.84578,136.8002,-178.76318,47.69252,80.43231,-137.61041,68.56314
56,0.458,-74.55279,-169.86983,47.85138,136.8002,-178.76318,47.69252,80.43231,-137.61041,68.56314
57,0.467,-74.35237,-170.02533,47.79034,136.84729,-178.86417,47.68063,80.96893,-136.38455,67.98
58,0.475,-74.60503,-170.43333,47.84578,136.84729,-178.86417,47.68063,80.96893,-136.38455,67.98
59,0.483,-74.60503,-170.43333,47.84578,136.8002,-178.76318,47.69252,80.37631,-137.81837,68.45768
60,0.492,-74.60503,-170.43333,47.84578,136.80254,-178.98779,47.74759,80.43231,-137.61041,68.56314
61,0.5,-74.40102,-169.83258,47.76994,136.88504,-178.82115,47.77236,80.41243,-137.48839,68.6217
62,0.508,-74.60503,-170.43333,47.84578,136.8002,-178.76318,47.69252,80.48748,-137.6064,68.67715
