Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,-35.6435,-184.77644,510.39124,86.18942,-72.88608,529.69128,114.71669,-139.27812,463.69562,97.63473,-19.54187,447.02841
2,0.008,-35.6435,-184.77644,510.39124,85.91425,-72.96977,529.77759,114.71669,-139.27812,463.69562,97.63473,-19.54187,447.02841
3,0.017,-35.54148,-184.82028,510.5022,85.91425,-72.96977,529.77759,114.51784,-139.17938,463.46924,97.63473,-19.54187,447.02841
4,0.025,-35.6088,-184.95634,510.67719,86.25111,-72.92046,529.61743,114.51784,-139.17938,463.46924,97.63473,-19.54187,447.02841
5,0.033,-35.60442,-184.86784,510.74057,86.31348,-73.03854,529.56122,114.51784,-139.17938,463.46924,97.63473,-19.54187,447.02841
6,0.042,-35.67289,-184.82318,510.91245,86.37742,-73.14549,529.56445,115.33083,-139.30054,464.11606,97.82764,-19.61571,446.67819
7,0.05,-35.74446,-184.57472,511.02829,86.25137,-72.99944,529.53888,115.20832,-139.4881,464.20825,97.82764,-19.61571,446.67819
8,0.058,-36.01619,-184.56148,511.27893,86.31396,-73.10254,529.63586,115.16937,-139.49576,464.33316,97.82764,-19.61571,446.67819
9,0.067,-36.18776,-184.27773,511.51056,86.31213,-73.03469,529.65497,115.16937,-139.49576,464.33316,97.82764,-19.61571,446.67819
10,0.075,-36.18776,-184.27773,511.51056,86.25003,-72.99559,529.63263,115.16937,-139.49576,464.33316,97.82764,-19.61571,446.67819
11,0.083,-36.10375,-184.28593,511.41269,86.31828,-73.02613,529.51184,114.50426,-139.38791,463.73297,98.05648,-19.6089,447.06622
12,0.092,-36.18776,-184.27773,511.51056,86.1965,-73.01783,529.73895,114.51902,-139.27719,463.81439,97.63473,-19.54187,447.02841
13,0.1,-36.18776,-184.27773,511.51056,86.2024,-72.71598,529.51233,114.36745,-139.32196,463.66351,97.92387,-19.54426,447.42184
14,0.108,-36.18776,-184.27773,511.51056,86.19608,-72.71504,529.60712,114.38221,-139.21124,463.74496,97.92387,-19.54426,447.42184
15,0.117,-36.10375,-184.28593,511.41269,86.19608,-72.71504,529.60712,114.61021,-139.23781,463.65448,97.92387,-19.54426,447.42184
16,0.125,-36.15245,-184.41844,511.34515,85.96249,-72.91866,529.81262,114.65012,-139.2435,463.53986,97.92387,-19.54426,447.42184
17,0.133,-36.06846,-184.42668,511.24728,86.04794,-72.53032,529.77399,114.71669,-139.27812,463.69562,97.71233,-19.62898,447.48346
18,0.142,-36.06846,-184.42668,511.24728,85.9779,-72.56283,529.85468,114.71669,-139.27812,463.69562,97.92387,-19.54426,447.42184
