Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-476.44614,37.52394,654.81396,-339.56747,-175.15936,645.82776,-345.4848,232.96742,634.58112
2,0.008,-476.44614,37.52394,654.81396,-339.7287,-175.15817,646.16467,-345.4848,232.96742,634.58112
3,0.017,-476.66379,36.43939,654.73962,-340.28134,-175.62497,646.38763,-345.4848,232.96742,634.58112
4,0.025,-476.80518,36.20818,654.86102,-340.40512,-176.04718,647.08789,-346.51556,233.36128,634.84985
5,0.033,-477.49908,36.8215,654.63934,-341.05954,-175.71327,647.16461,-347.20554,232.72275,634.56177
6,0.042,-477.73145,36.90806,654.49518,-341.12842,-175.73111,647.37402,-347.30957,232.24147,633.46875
7,0.05,-478.47287,36.58062,654.25195,-341.01224,-175.51886,646.84021,-347.27979,232.13516,633.14575
8,0.058,-478.61343,36.09806,653.48938,-341.23816,-175.77678,646.73712,-347.19327,231.96342,631.966
9,0.067,-478.61343,36.09806,653.48938,-341.33472,-175.88884,646.41016,-347.7995,231.77257,631.74402
10,0.075,-478.93198,36.40273,652.84869,-341.31635,-175.80327,645.7135,-347.94531,232.10495,631.34442
11,0.083,-478.75507,36.39585,652.36761,-341.31635,-175.80327,645.7135,-347.97272,231.66255,631.08624
12,0.092,-478.55795,36.53454,651.92377,-340.40799,-176.08443,645.25024,-347.97272,231.66255,631.08624
13,0.1,-478.55795,36.53454,651.92377,-340.40799,-176.08443,645.25024,-347.47314,232.49512,631.00354
14,0.108,-477.97473,36.34613,651.59399,-340.177,-176.43236,644.93329,-347.44571,232.93741,631.26172
15,0.117,-477.92984,36.81564,651.57465,-340.177,-176.43236,644.93329,-346.72092,233.40112,631.0614
16,0.125,-477.39658,37.20975,651.54443,-340.21408,-177.02036,644.42444,-345.6395,232.65239,630.64087
17,0.133,-476.8096,36.68976,652.07764,-340.10007,-176.68254,644.41467,-345.34622,232.63832,630.48627
18,0.142,-476.71368,36.64236,652.42139,-340.177,-176.43236,644.93329,-344.83804,232.31448,631.27374
19,0.15,-476.5675,37.23312,652.60022,-340.177,-176.43236,644.93329,-344.4234,232.54031,631.67432
20,0.158,-476.52686,37.57389,653.69495,-340.03268,-175.49295,645.27795,-344.11807,233.22949,631.92792
21,0.167,-476.30258,37.51584,654.21167,-340.03268,-175.49295,645.27795,-344.0473,233.89714,632.5354
22,0.175,-476.62778,37.62133,654.37567,-340.1463,-174.24767,645.42096,-343.91034,233.50122,633.4671
23,0.183,-476.41513,37.8126,654.52435,-340.51065,-175.00691,645.63763,-344.69748,233.93259,634.20892
24,0.192,-476.59406,37.65654,654.70575,-340.94135,-175.05943,645.76599,-344.8136,233.58134,634.28918
25,0.2,-477.34769,37.81949,654.41144,-341.18213,-175.36533,646.21881,-345.10654,233.59485,634.44342
26,0.208,-477.92508,38.18688,654.41486,-341.20114,-175.20778,646.95386,-346.3887,233.04572,633.23956
27,0.217,-478.83676,37.28681,654.41254,-341.47137,-175.43114,646.73071,-346.3887,233.04572,633.23956
28,0.225,-478.83676,37.28681,654.41254,-341.88785,-175.5491,647.25354,-346.7467,233.19969,633.31622
29,0.233,-478.83676,37.28681,654.41254,-342.17181,-175.73592,647.56445,-347.47519,232.30518,632.24011
30,0.242,-478.97238,37.61367,653.96637,-342.42728,-175.4796,647.18262,-347.63998,232.64185,631.38428
31,0.25,-479.06589,36.25211,653.54974,-342.20901,-175.25781,646.88391,-347.94531,232.10495,631.34442
32,0.258,-479.3844,36.55681,652.90918,-342.5361,-176.29463,646.32953,-348.327,231.2372,630.91357
33,0.267,-479.3844,36.55681,652.90918,-342.26877,-176.60977,646.41772,-349.49112,232.29909,630.83911
34,0.275,-479.08105,36.70327,652.21954,-341.04962,-175.33864,645.23822,-349.51907,231.85706,630.5813
35,0.283,-478.55795,36.53454,651.92377,-341.34991,-175.58511,645.24188,-349.51907,231.85706,630.5813
36,0.292,-478.55795,36.53454,651.92377,-342.01889,-176.39093,645.81116,-348.70145,231.33319,630.12524
37,0.3,-478.55795,36.53454,651.92377,-342.2326,-176.27216,645.6073,-348.15305,232.05431,630.17535
38,0.308,-478.54715,37.00505,652.1626,-340.74847,-176.01405,644.66418,-347.81989,233.03334,630.47308
39,0.317,-478.54715,37.00505,652.1626,-340.5455,-176.07021,644.49512,-347.29578,233.1082,631.05109
40,0.325,-478.06546,37.30083,652.36621,-340.5455,-176.07021,644.49512,-347.06738,233.56444,631.12439
41,0.333,-477.79901,37.49796,652.35126,-340.5455,-176.07021,644.49512,-346.72092,233.40112,631.0614
42,0.342,-477.92209,37.52936,652.61621,-341.06662,-175.19814,644.4541,-346.35181,233.67827,631.26166
43,0.35,-477.76147,37.89354,653.44849,-341.06833,-174.93202,644.63336,-345.97113,233.4288,632.01556
44,0.358,-477.67871,37.75827,653.57709,-341.55402,-175.06334,644.81866,-344.65924,234.01436,632.30194
45,0.367,-477.30234,37.90163,653.68927,-341.55402,-175.06334,644.81866,-344.39719,234.03343,632.62164
46,0.375,-476.81949,37.99969,654.18524,-341.55402,-175.06334,644.81866,-344.2851,234.06653,633.14862
47,0.383,-477.02298,38.00116,654.0603,-341.2648,-174.82831,644.81348,-344.85883,234.01297,633.68054
48,0.392,-477.02298,38.00116,654.0603,-341.04962,-175.33864,645.23822,-344.5119,233.68994,633.2312
49,0.4,-477.33026,38.10942,654.01196,-341.25281,-175.30106,646.25427,-345.03326,233.31958,632.93866
50,0.408,-477.6376,38.26897,654.01593,-342.52994,-175.35204,646.94025,-345.55209,232.50044,632.49878
51,0.417,-477.771,38.19507,653.47516,-342.52994,-175.35204,646.94025,-345.48465,232.96272,632.28546
52,0.425,-477.67871,37.75827,653.57709,-342.71341,-176.38797,647.26221,-345.54947,232.60071,631.79877
53,0.433,-478.22531,37.44886,653.56836,-342.79108,-176.2392,647.39929,-346.59131,233.06158,631.36389
54,0.442,-478.22177,37.15383,653.35974,-342.79108,-176.2392,647.39929,-347.19354,232.70238,631.31073
55,0.45,-478.49326,37.12709,652.86676,-342.75351,-176.68729,646.81451,-347.47314,232.49512,631.00354
56,0.458,-478.45502,37.13532,652.64618,-342.42502,-176.5771,646.6427,-347.58728,232.18733,630.61279
57,0.467,-478.332,37.1039,652.38129,-342.26877,-176.60977,646.41772,-348.00308,232.2251,629.96466
58,0.475,-478.37686,36.63439,652.40051,-341.45935,-175.87686,645.58545,-347.74271,231.82126,630.3623
59,0.483,-478.37686,36.63439,652.40051,-341.04962,-175.33864,645.23822,-347.55313,232.63496,630.26807
60,0.492,-478.37686,36.63439,652.40051,-341.0188,-175.29097,644.84143,-347.49631,232.93491,630.52753
61,0.5,-477.62589,37.15549,652.20459,-341.03046,-176.2901,644.63782,-346.94931,232.94485,630.9881
62,0.508,-477.00772,37.51488,652.06274,-340.67145,-176.26413,644.14545,-345.6395,232.65239,630.64087
63,0.517,-476.84335,37.07997,652.49109,-341.03058,-176.13773,643.82263,-344.96603,232.4097,630.68677
64,0.525,-476.86194,37.33927,652.49524,-341.08011,-175.77882,643.61444,-344.77338,232.67683,631.76068
65,0.533,-476.5675,37.23312,652.60022,-341.08011,-175.77882,643.61444,-343.89127,233.606,631.84546
66,0.542,-476.58093,38.01899,653.37244,-341.08011,-175.77882,643.61444,-343.62915,233.62505,632.16516
67,0.55,-476.41559,38.00921,653.7179,-341.08011,-175.77882,643.61444,-343.24902,233.39641,632.36554
68,0.558,-476.27332,38.09651,654.25916,-341.27173,-175.72447,643.90894,-343.71631,233.79724,633.34442
69,0.567,-476.59854,38.20199,654.42316,-341.86215,-175.16779,644.07202,-343.71631,233.79724,633.34442
70,0.575,-476.77032,38.30252,654.22827,-342.67221,-174.79259,644.07697,-343.71631,233.79724,633.34442
71,0.583,-476.77032,38.30252,654.22827,-344.254,-175.02725,644.3739,-344.15372,234.09259,634.00018
72,0.592,-476.77032,38.30252,654.22827,-344.65683,-175.60068,644.79688,-343.71631,233.79724,633.34442
73,0.6,-477.57281,38.62246,654.14282,-344.53174,-175.45663,645.11475,-343.36511,233.04521,632.4458
74,0.608,-477.90033,38.44652,653.59271,-344.53174,-175.45663,645.11475,-343.89716,231.97914,632.27472
75,0.617,-477.90033,38.44652,653.59271,-344.53995,-175.23813,645.27478,-344.4234,232.54031,631.67432
76,0.625,-477.90033,38.44652,653.59271,-344.0332,-175.80283,645.30847,-344.83804,232.31448,631.27374
77,0.633,-477.85269,38.15331,653.34558,-343.61847,-176.33772,645.70044,-344.83804,232.31448,631.27374
78,0.642,-477.77652,37.50695,653.16333,-343.61847,-176.33772,645.70044,-346.01779,232.02516,630.7782
79,0.65,-478.53809,36.65759,652.88593,-343.18451,-176.6524,645.91718,-346.83539,232.54831,631.23389
80,0.658,-478.63513,36.37997,653.53644,-343.00638,-177.01323,646.17731,-347.05698,231.81024,631.09833
81,0.667,-478.58722,36.23858,653.89722,-342.57574,-176.96019,646.04865,-347.97272,231.66255,631.08624
82,0.675,-478.6088,35.70522,654.1499,-343.06927,-176.92908,645.56824,-347.82687,231.33014,631.4859
83,0.683,-478.2128,35.57067,654.25763,-342.6861,-177.32639,645.39777,-347.21634,230.94052,631.45807
84,0.692,-478.30191,35.59683,654.1983,-342.40735,-177.73323,645.41327,-347.54724,231.53725,631.79297
85,0.7,-477.84164,35.58635,654.43866,-342.51877,-177.09909,645.12476,-346.83511,231.80927,631.88922
86,0.708,-477.84164,35.58635,654.43866,-342.13507,-177.74646,644.92719,-347.22299,232.06989,632.28912
87,0.717,-477.84164,35.58635,654.43866,-342.51877,-177.09909,645.12476,-346.3887,233.04572,633.23956
