Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,-6.96994,103.20837,44.94267,215.42108,162.46074,44.00483,151.57474,117.4826,70.30851
2,0.008,-6.94199,103.14234,44.78888,215.52557,162.54463,43.89924,151.47095,117.41904,70.43659
3,0.017,-6.94199,103.14234,44.78888,215.52557,162.54463,43.89924,151.57474,117.4826,70.30851
4,0.025,-6.94199,103.14234,44.78888,215.52557,162.54463,43.89924,151.64189,117.46459,70.45117
5,0.033,-6.92211,103.176,44.92229,215.52557,162.54463,43.89924,151.47095,117.41904,70.43659
6,0.042,-6.96994,103.20837,44.94267,215.42108,162.46074,44.00483,151.38577,117.3635,70.47817
7,0.05,-7.04524,102.90328,44.73889,215.42108,162.46074,44.00483,151.47095,117.41904,70.43659
8,0.058,-7.03653,103.17158,44.66272,215.22437,162.62196,44.11784,151.38577,117.3635,70.47817
9,0.067,-7.12658,103.10221,44.5571,215.42108,162.46074,44.00483,151.57474,117.4826,70.30851
10,0.075,-7.08176,102.98226,44.90751,215.42108,162.46074,44.00483,151.66052,117.47263,70.36468
11,0.083,-7.04524,102.90328,44.73889,215.22437,162.62196,44.11784,151.74568,117.52815,70.32309
12,0.092,-7.04524,102.90328,44.73889,215.22437,162.62196,44.11784,151.47095,117.41904,70.43659
13,0.1,-7.1718,102.9129,44.80189,215.42108,162.46074,44.00483,151.6449,117.19164,70.36987
14,0.108,-7.1718,102.9129,44.80189,215.42108,162.46074,44.00483,151.9041,117.01736,70.39682
15,0.117,-7.03653,103.17158,44.66272,215.42108,162.46074,44.00483,152.03458,116.91737,69.93674
16,0.125,-7.03653,103.17158,44.66272,215.42108,162.46074,44.00483,151.53149,117.15276,70.04444
17,0.133,-7.07306,103.25056,44.83135,215.14925,161.98012,43.95879,151.50601,117.06993,70.10549
18,0.142,-7.1718,102.9129,44.80189,215.14925,161.98012,43.95879,151.93073,116.8538,70.06488
19,0.15,-7.08176,102.98226,44.90751,215.42108,162.46074,44.00483,151.83813,116.78897,69.98325
20,0.158,-6.94029,103.01728,44.98853,215.42108,162.46074,44.00483,151.75978,116.80824,70.05032
21,0.167,-7.03034,102.94792,44.88292,215.42108,162.46074,44.00483,151.93073,116.8538,70.06488
22,0.175,-6.97568,103.4547,44.86617,215.42108,162.46074,44.00483,151.70242,117.19831,70.05901
23,0.183,-6.92787,103.42235,44.84579,215.14925,161.98012,43.95879,151.67696,117.11547,70.12006
24,0.192,-6.84093,103.47684,44.94546,215.42108,162.46074,44.00483,151.53149,117.15276,70.04444
25,0.2,-7.05687,103.15388,44.84299,215.42108,162.46074,44.00483,151.53149,117.15276,70.04444
26,0.208,-6.83518,103.23048,45.02197,215.42108,162.46074,44.00483,151.64189,117.46459,70.45117
27,0.217,-6.83518,103.23048,45.02197,215.42108,162.46074,44.00483,151.64189,117.46459,70.45117
28,0.225,-6.9908,103.40297,44.95522,215.42108,162.46074,44.00483,151.47095,117.41904,70.43659
29,0.233,-6.96994,103.20837,44.94267,215.42108,162.46074,44.00483,151.38577,117.3635,70.47817
30,0.242,-6.96994,103.20837,44.94267,215.42108,162.46074,44.00483,151.48285,117.64504,70.42957
31,0.25,-6.96994,103.20837,44.94267,215.22437,162.62196,44.11784,151.2939,117.52594,70.59921
32,0.258,-6.96994,103.20837,44.94267,215.22437,162.62196,44.11784,151.37906,117.58147,70.55763
33,0.267,-6.96994,103.20837,44.94267,215.42108,162.46074,44.00483,151.38577,117.3635,70.47817
34,0.275,-7.05687,103.15388,44.84299,215.42108,162.46074,44.00483,151.2939,117.52594,70.59921
35,0.283,-7.08176,102.98226,44.90751,215.14925,161.98012,43.95879,151.37906,117.58147,70.55763
36,0.292,-7.08176,102.98226,44.90751,215.14925,161.98012,43.95879,151.47095,117.41904,70.43659
37,0.3,-7.08176,102.98226,44.90751,215.42108,162.46074,44.00483,151.55376,117.53123,70.62139
38,0.308,-7.13525,102.76856,44.48103,215.42108,162.46074,44.00483,151.38577,117.3635,70.47817
39,0.317,-7.04522,102.8379,44.58664,215.42108,162.46074,44.00483,151.55376,117.53123,70.62139
40,0.325,-6.97789,102.80024,44.56274,215.22437,162.62196,44.11784,151.64189,117.46459,70.45117
41,0.333,-7.06793,102.7309,44.45713,215.42108,162.46074,44.00483,151.52847,117.42571,70.12572
42,0.342,-7.04524,102.90328,44.73889,215.42108,162.46074,44.00483,151.53149,117.15276,70.04444
43,0.35,-7.04524,102.90328,44.73889,215.14925,161.98012,43.95879,151.40221,117.00632,70.2336
44,0.358,-7.04524,102.90328,44.73889,215.14925,161.98012,43.95879,151.31242,116.95292,70.27372
45,0.367,-7.04524,102.90328,44.73889,215.14925,161.98012,43.95879,151.42767,117.08918,70.17255
46,0.375,-7.04524,102.90328,44.73889,215.14925,161.98012,43.95879,151.75978,116.80824,70.05032
47,0.383,-7.08176,102.98226,44.90751,215.42108,162.46074,44.00483,151.7699,116.62227,70.18681
48,0.392,-7.13528,102.83393,44.63327,215.42108,162.46074,44.00483,151.67696,117.11547,70.12006
49,0.4,-7.13528,102.83393,44.63327,215.42108,162.46074,44.00483,151.70242,117.19831,70.05901
50,0.408,-7.13528,102.83393,44.63327,215.52557,162.54463,43.89924,151.53149,117.15276,70.04444
51,0.417,-7.04524,102.90328,44.73889,215.52557,162.54463,43.89924,151.35753,117.38018,70.11115
52,0.425,-7.04524,102.90328,44.73889,215.52557,162.54463,43.89924,151.57474,117.4826,70.30851
53,0.433,-7.13528,102.83393,44.63327,215.52557,162.54463,43.89924,151.47095,117.41904,70.43659
54,0.442,-7.2122,103.05008,44.91574,215.42108,162.46074,44.00483,151.64189,117.46459,70.45117
55,0.45,-6.96031,103.84899,44.95297,215.52557,162.54463,43.89924,151.57922,117.61406,70.56036
56,0.458,-6.93237,103.78296,44.79916,215.52557,162.54463,43.89924,151.2939,117.52594,70.59921
57,0.467,-7.02893,103.08787,44.6892,215.52557,162.54463,43.89924,151.47095,117.41904,70.43659
58,0.475,-6.80722,103.16447,44.86818,215.32887,162.70586,44.01225,151.49405,117.55852,70.60194
59,0.483,-6.96285,103.33694,44.80143,215.32887,162.70586,44.01225,151.2939,117.52594,70.59921
60,0.492,-7.02893,103.08787,44.6892,215.52557,162.54463,43.89924,151.2939,117.52594,70.59921
61,0.5,-7.01932,103.72846,44.69948,215.32887,162.70586,44.01225,151.2939,117.52594,70.59921
62,0.508,-7.09868,103.54292,44.66,215.32887,162.70586,44.01225,151.37906,117.58147,70.55763
63,0.517,-7.03653,103.17158,44.66272,215.32887,162.70586,44.01225,151.26382,117.44526,70.65875
64,0.525,-7.04524,102.90328,44.73889,215.32887,162.70586,44.01225,151.44548,117.33621,70.49763
65,0.533,-7.13528,102.83393,44.63327,215.22437,162.62196,44.11784,151.26382,117.44526,70.65875
66,0.542,-7.13528,102.83393,44.63327,215.22437,162.62196,44.11784,151.64189,117.46459,70.45117
67,0.55,-7.13528,102.83393,44.63327,215.42108,162.46074,44.00483,151.64189,117.46459,70.45117
68,0.558,-7.04524,102.90328,44.73889,215.42108,162.46074,44.00483,151.47095,117.41904,70.43659
69,0.567,-7.02893,103.08787,44.6892,215.42108,162.46074,44.00483,151.71202,117.17361,70.51255
70,0.575,-7.03467,103.33421,44.61269,215.42108,162.46074,44.00483,151.54109,117.12805,70.49797
71,0.583,-7.06262,103.40022,44.76649,215.42108,162.46074,44.00483,151.85594,116.86311,70.64064
72,0.592,-6.94199,103.14234,44.78888,215.42108,162.46074,44.00483,151.83813,116.78897,69.98325
73,0.6,-7.02893,103.08787,44.6892,215.42108,162.46074,44.00483,151.64449,116.67197,70.15151
74,0.608,-6.96994,103.20837,44.94267,215.42108,162.46074,44.00483,151.79459,116.72056,70.11436
