Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,198.8791,-48.96541,1492.90808,227.42673,142.33505,1482.53198,34.00429,-25.59196,1536.37219,64.02986,167.57245,1535.45081,-26.57087,-11.69822,1463.46753
2,0.008,199.213,-48.96575,1492.88611,226.53561,142.38435,1483.11548,34.204,-25.61565,1536.37805,64.02986,167.57245,1535.45081,-26.68746,-11.69523,1463.09717
3,0.017,199.67937,-48.99682,1492.80261,227.16072,141.8078,1482.95715,34.30544,-25.79209,1536.31799,64.29941,168.0199,1535.50952,-26.68746,-11.69523,1463.09717
4,0.025,199.71329,-49.19039,1492.46521,227.16072,141.8078,1482.95715,34.30544,-25.79209,1536.31799,64.93694,169.69034,1535.45032,-26.68746,-11.69523,1463.09717
5,0.033,199.4196,-49.34795,1492.26074,227.94354,142.58888,1483.10962,34.43279,-25.84398,1536.22644,64.93694,169.69034,1535.45032,-27.18416,-11.50029,1463.76709
6,0.042,199.4196,-49.34795,1492.26074,227.94354,142.58888,1483.10962,34.30544,-25.79209,1536.31799,64.48024,168.82062,1535.43091,-26.57087,-11.69822,1463.46753
7,0.05,199.44662,-50.28843,1492.00098,228.24763,142.54019,1483.23877,34.25428,-25.88227,1536.01306,64.93694,169.69034,1535.45032,-26.57087,-11.69822,1463.46753
8,0.058,199.28387,-50.41236,1491.79688,229.3974,142.15919,1482.55542,34.25428,-25.88227,1536.01306,64.93694,169.69034,1535.45032,-26.7765,-11.58315,1463.38818
9,0.067,199.28387,-50.41236,1491.79688,229.65538,140.97539,1482.50635,33.85612,-25.74909,1535.4469,64.48024,168.82062,1535.43091,-26.89309,-11.58019,1463.0177
10,0.075,198.29727,-50.39568,1491.88953,229.81134,141.00114,1482.27209,34.01134,-25.59012,1535.32666,64.48024,168.82062,1535.43091,-27.20918,-11.54368,1463.09399
11,0.083,198.29727,-50.39568,1491.88953,229.81134,141.00114,1482.27209,33.97389,-25.68963,1535.20959,64.48024,168.82062,1535.43091,-26.67992,-11.55865,1462.90198
12,0.092,198.29727,-50.39568,1491.88953,229.81134,141.00114,1482.27209,33.5357,-25.57221,1535.06616,64.48024,168.82062,1535.43091,-26.92573,-11.14727,1462.64502
13,0.1,197.87624,-50.33158,1492.02783,229.81134,141.00114,1482.27209,33.42678,-25.4939,1535.18665,64.48024,168.82062,1535.43091,-27.27594,-11.09203,1462.70801
14,0.108,197.71729,-50.21636,1492.23755,229.81134,141.00114,1482.27209,33.22703,-25.47008,1535.18079,64.48024,168.82062,1535.43091,-26.88702,-11.18267,1462.25012
15,0.117,197.83356,-50.51141,1492.73035,229.81134,141.00114,1482.27209,33.36061,-25.13669,1535.48779,64.48024,168.82062,1535.43091,-27.27594,-11.09203,1462.70801
16,0.125,199.15598,-51.42116,1492.74023,229.55714,142.28716,1482.43176,32.55355,-24.97167,1535.69067,64.48024,168.82062,1535.43091,-27.27594,-11.09203,1462.70801
17,0.133,198.63443,-50.19805,1493.06531,227.98933,142.71155,1483.21375,32.75321,-24.99546,1535.69666,64.02986,167.57245,1535.45081,-26.67992,-11.55865,1462.90198
18,0.142,198.96077,-50.39136,1493.93689,226.74132,143.17856,1484.27515,32.65366,-25.22477,1535.73413,63.76966,167.53705,1535.62793,-27.03018,-11.50339,1462.96484
19,0.15,198.36139,-49.14294,1494.32239,225.40916,142.7836,1485.3114,32.65366,-25.22477,1535.73413,63.05798,166.255,1535.82532,-27.20918,-11.54368,1463.09399
20,0.158,198.31203,-48.86341,1494.80981,225.97726,143.51581,1484.94641,32.36535,-25.03835,1535.77551,62.88398,166.45227,1535.6543,-27.14549,-11.77461,1462.57739
21,0.167,198.01787,-48.70654,1495.10107,225.97726,143.51581,1484.94641,31.99642,-24.98244,1535.86133,62.69223,166.73022,1536.3468,-27.14549,-11.77461,1462.57739
22,0.175,198.20549,-49.5504,1495.77124,225.92207,143.42184,1485.09399,31.98323,-25.03489,1536.00061,62.69223,166.73022,1536.3468,-27.14549,-11.77461,1462.57739
23,0.183,198.69569,-50.43888,1496.16467,226.18413,143.21208,1485.75024,31.21329,-25.29321,1536.15112,62.69223,166.73022,1536.3468,-27.14549,-11.77461,1462.57739
24,0.192,198.57115,-50.34313,1496.34985,225.6042,142.78384,1485.93762,30.90723,-25.05113,1536.07727,62.36649,166.85196,1536.35156,-27.14549,-11.77461,1462.57739
25,0.2,198.15572,-50.61654,1496.5592,225.44897,142.79214,1486.34949,30.55702,-24.94357,1536.15967,62.36649,166.85196,1536.35156,-27.98099,-11.9405,1462.59961
26,0.208,198.25475,-50.72461,1496.88245,225.45204,142.68291,1486.51416,30.55702,-24.94357,1536.15967,62.36649,166.85196,1536.35156,-27.98099,-11.9405,1462.59961
27,0.217,197.59991,-50.43672,1497.46594,225.45204,142.68291,1486.51416,30.2221,-24.70488,1535.88513,62.36649,166.85196,1536.35156,-27.14549,-11.77461,1462.57739
28,0.225,196.71751,-50.02403,1497.57019,225.2851,142.63348,1486.60876,30.2221,-24.70488,1535.88513,62.36649,166.85196,1536.35156,-28.29136,-11.5745,1462.31567
29,0.233,196.41664,-50.33795,1497.92493,225.25713,142.41391,1486.71167,30.2221,-24.70488,1535.88513,60.8262,167.95461,1537.05115,-28.29136,-11.5745,1462.31567
30,0.242,195.89105,-50.72065,1498.078,224.91408,142.05902,1486.88647,30.06673,-24.72732,1535.9574,60.12027,168.28545,1537.09375,-29.2602,-10.81386,1462.03845
31,0.25,194.96103,-51.0703,1498.56812,225.18123,141.72401,1487.23315,29.58945,-24.31046,1535.65381,58.53732,168.43143,1537.48645,-29.3334,-10.76849,1462.09363
32,0.258,194.71182,-51.43096,1498.40967,225.48428,141.04007,1487.40051,29.44254,-24.40261,1535.56885,58.53732,168.43143,1537.48645,-29.3334,-10.76849,1462.09363
33,0.267,194.96103,-51.0703,1498.56812,224.83165,140.70374,1487.93323,28.91771,-24.7553,1535.30029,58.53732,168.43143,1537.48645,-29.2602,-10.81386,1462.03845
34,0.275,194.63731,-51.06463,1498.64246,224.52855,141.38763,1487.76587,28.70042,-24.94833,1535.48523,58.43854,168.51891,1537.36865,-29.70256,-10.15233,1461.70862
35,0.283,194.63731,-51.06463,1498.64246,224.50705,141.67213,1488.39685,28.144,-24.79534,1535.43335,58.26583,168.44864,1537.48328,-29.7263,-10.26602,1461.61267
36,0.292,193.82178,-49.86869,1498.54712,224.15614,142.76982,1487.95752,28.09453,-25.00954,1535.60181,58.09306,168.37869,1537.59802,-29.70256,-10.15233,1461.70862
37,0.3,193.82178,-49.86869,1498.54712,222.75276,143.30089,1488.8418,27.62687,-25.34741,1535.7771,57.99428,168.46628,1537.48022,-29.26196,-10.60854,1461.73645
38,0.308,195.05888,-49.16705,1499.13538,222.52592,144.58261,1489.974,28.02794,-25.72745,1535.37341,57.99428,168.46628,1537.48022,-29.13766,-10.74003,1461.59448
39,0.317,195.02341,-48.65583,1499.60315,221.97231,144.43861,1490.83252,27.63532,-25.67975,1535.28137,57.50583,167.80135,1537.54297,-29.26196,-10.60854,1461.73645
40,0.325,195.43518,-48.46894,1499.83423,221.4118,144.05692,1491.073,27.28334,-25.71463,1535.31152,56.99763,167.02956,1537.24829,-29.2602,-10.81386,1462.03845
41,0.333,194.85759,-48.84215,1500.14636,221.15805,144.34612,1491.10095,27.69919,-27.68042,1535.35828,56.94295,167.31772,1537.75781,-29.2602,-10.81386,1462.03845
42,0.342,194.48569,-48.81694,1500.26331,221.10248,144.25267,1491.24878,27.0982,-27.59676,1535.22888,53.7594,167.35869,1537.80286,-29.2602,-10.81386,1462.03845
43,0.35,194.36086,-48.72144,1500.44885,220.36777,144.2467,1491.45203,26.24382,-28.08783,1535.46021,53.10582,166.1745,1537.79993,-29.3334,-10.76849,1462.09363
44,0.358,194.36086,-48.72144,1500.44885,220.36777,144.2467,1491.45203,26.23657,-26.464,1535.54578,52.95772,166.24242,1537.71484,-29.14498,-12.32681,1461.19153
45,0.367,194.36086,-48.72144,1500.44885,220.14339,143.92166,1491.8811,26.16319,-27.35513,1535.56287,52.10219,167.06059,1537.68518,-30.61008,-12.90274,1461.17078
46,0.375,193.60551,-47.98684,1500.03723,220.14339,143.92166,1491.8811,25.5043,-27.87446,1535.22058,52.10219,167.06059,1537.68518,-31.89847,-13.7508,1460.57141
47,0.383,191.95087,-48.47824,1500.77319,220.14339,143.92166,1491.8811,24.94758,-27.7677,1535.11011,52.10219,167.06059,1537.68518,-32.34021,-12.48053,1460.8175
48,0.392,191.73344,-48.5254,1501.13672,219.77248,143.18047,1492.58386,24.72788,-27.63448,1535.15063,52.10219,167.06059,1537.68518,-32.6076,-12.61441,1459.25085
49,0.4,191.73344,-48.5254,1501.13672,219.77248,143.18047,1492.58386,24.4802,-27.70237,1535.11743,52.10219,167.06059,1537.68518,-32.41783,-11.85137,1459.77856
50,0.408,191.68146,-48.62717,1501.97778,219.38911,142.71573,1492.5177,24.35394,-25.68359,1535.27698,52.10219,167.06059,1537.68518,-33.00676,-11.41905,1458.1582
51,0.417,190.97508,-48.67617,1502.03735,219.38911,142.71573,1492.5177,23.99493,-25.62286,1535.49634,52.58661,168.19786,1537.76978,-32.08457,-9.82093,1458.44128
52,0.425,190.97508,-48.67617,1502.03735,219.38911,142.71573,1492.5177,23.32679,-24.93105,1535.46924,52.62415,168.41464,1537.80444,-32.84822,-10.76606,1457.99707
53,0.433,190.68642,-48.85265,1502.66638,219.38911,142.71573,1492.5177,22.83825,-24.66289,1535.54102,52.488,168.28581,1537.65198,-32.08457,-9.82093,1458.44128
54,0.442,190.02592,-49.03758,1503.12646,219.38911,142.71573,1492.5177,22.63864,-24.63812,1535.5354,52.488,168.28581,1537.65198,-32.95554,-9.26827,1458.58496
55,0.45,189.70497,-49.60818,1503.06201,219.25488,143.02751,1492.10559,22.58879,-24.26381,1535.44409,52.488,168.28581,1537.65198,-33.89802,-10.05464,1458.01697
56,0.458,189.6498,-49.28546,1503.51001,218.28088,143.32547,1491.95972,22.15999,-23.89668,1535.29358,52.97205,169.42403,1537.73682,-33.98358,-9.62348,1458.71545
57,0.467,189.55418,-49.39524,1503.3446,218.28088,143.32547,1491.95972,21.62452,-23.70994,1535.37292,53.28952,169.91203,1537.91553,-34.62886,-9.26832,1458.30713
58,0.475,189.52679,-49.58883,1503.83972,218.28088,143.32547,1491.95972,21.36674,-23.52946,1535.224,52.488,168.28581,1537.65198,-34.56567,-9.49838,1457.79102
59,0.483,189.51433,-49.57382,1503.86755,216.84175,143.57634,1491.94397,21.28694,-23.36386,1534.90479,51.79991,167.16243,1537.56531,-34.64143,-9.39972,1457.89368
60,0.492,189.93341,-49.56213,1504.80481,216.49416,144.07268,1492.03625,21.28694,-23.36386,1534.90479,51.79991,167.16243,1537.56531,-34.56567,-9.49838,1457.79102
61,0.5,189.62303,-49.51227,1505.34998,216.15833,145.1055,1492.04797,20.96375,-23.23015,1535.04858,50.92966,167.93864,1538.03992,-34.56567,-9.49838,1457.79102
62,0.508,188.70433,-48.2747,1505.53284,216.11848,145.54922,1492.09973,21.05415,-23.33455,1534.89844,49.36967,168.55295,1537.1062,-34.64143,-9.39972,1457.89368
63,0.517,188.98903,-48.16378,1505.66248,215.91072,145.76257,1493.16736,20.64029,-23.54401,1535.14697,48.27512,169.32027,1537.43359,-35.58966,-10.22034,1457.41711
64,0.525,188.70433,-48.2747,1505.53284,215.91072,145.76257,1493.16736,20.75104,-23.5992,1535.22693,48.12735,169.38866,1537.34875,-34.96533,-10.47077,1457.73547
65,0.533,188.98903,-48.16378,1505.66248,215.7394,146.43272,1493.4314,20.40456,-23.58019,1535.32446,47.99465,169.31902,1537.45996,-34.96533,-10.47077,1457.73547
66,0.542,188.25049,-47.47777,1506.30151,214.58971,147.35477,1494.0813,20.62375,-23.54748,1535.31885,47.99465,169.31902,1537.45996,-35.27931,-10.58384,1457.70056
67,0.55,188.25049,-47.47777,1506.30151,214.79836,147.73096,1495.01819,20.40456,-23.58019,1535.32446,47.83117,169.26924,1537.54602,-34.96533,-10.47077,1457.73547
68,0.558,188.35045,-47.58681,1506.625,214.71205,147.7402,1495.34851,20.45438,-23.95452,1535.41565,47.83117,169.26924,1537.54602,-34.96533,-10.47077,1457.73547
69,0.567,188.35045,-47.58681,1506.625,213.29611,148.33397,1496.00317,20.3802,-24.10696,1535.23999,47.23158,168.55843,1537.42981,-34.80246,-12.10172,1457.83582
70,0.575,188.35045,-47.58681,1506.625,213.53038,148.3484,1496.5304,20.35417,-24.29035,1535.1416,47.23158,168.55843,1537.42981,-34.80246,-12.10172,1457.83582
71,0.583,188.35045,-47.58681,1506.625,213.53038,148.3484,1496.5304,20.25873,-24.34287,1534.92334,47.23158,168.55843,1537.42981,-34.80246,-12.10172,1457.83582
72,0.592,188.01956,-47.57175,1506.71729,213.51575,148.24586,1496.68787,19.80033,-24.61118,1534.74927,47.23158,168.55843,1537.42981,-35.36555,-11.44207,1457.67993
73,0.6,188.35045,-47.58681,1506.625,214.52158,148.05164,1496.66907,19.99939,-24.54997,1534.78357,47.23158,168.55843,1537.42981,-34.80246,-12.10172,1457.83582
74,0.608,188.01956,-47.57175,1506.71729,214.52158,148.05164,1496.66907,19.80033,-24.61118,1534.74927,47.6277,169.28358,1537.54419,-34.80246,-12.10172,1457.83582
75,0.617,188.35045,-47.58681,1506.625,214.52158,148.05164,1496.66907,19.79504,-24.37059,1534.10864,47.83117,169.26924,1537.54602,-34.96533,-10.47077,1457.73547
76,0.625,188.01956,-47.57175,1506.71729,214.52158,148.05164,1496.66907,19.96952,-24.00527,1534.41833,47.6277,169.28358,1537.54419,-35.58966,-10.22034,1457.41711
77,0.633,188.01956,-47.57175,1506.71729,214.53618,148.15419,1496.5116,19.84064,-23.94733,1534.51831,47.83117,169.26924,1537.54602,-35.32844,-10.05845,1457.10913
78,0.642,188.01956,-47.57175,1506.71729,214.53618,148.15419,1496.5116,19.68415,-23.9434,1534.30957,47.6277,169.28358,1537.54419,-35.32844,-10.05845,1457.10913
79,0.65,188.01956,-47.57175,1506.71729,213.53038,148.3484,1496.5304,19.84064,-23.94733,1534.51831,47.6277,169.28358,1537.54419,-35.32844,-10.05845,1457.10913
80,0.658,188.01956,-47.57175,1506.71729,213.53038,148.3484,1496.5304,19.75428,-23.79052,1534.73352,47.6277,169.28358,1537.54419,-35.32844,-10.05845,1457.10913
81,0.667,187.69412,-47.6931,1507.10669,213.29611,148.33397,1496.00317,19.72727,-23.98373,1534.85461,47.6277,169.28358,1537.54419,-35.32844,-10.05845,1457.10913
82,0.675,188.11975,-47.6811,1507.04089,213.53038,148.3484,1496.5304,19.69017,-23.89671,1534.97168,47.6277,169.28358,1537.54419,-35.32844,-10.05845,1457.10913
