Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-59.84146,115.90783,1089.9032,-2.35641,-66.8988,1034.93884,-14.95899,259.58777,1059.14246
2,0.008,-60.73545,116.85403,1089.10132,-2.31981,-67.18386,1035.01746,-14.95899,259.58777,1059.14246
3,0.017,-60.73545,116.85403,1089.10132,-2.56564,-67.28871,1035.03479,-15.34808,260.46143,1059.17578
4,0.025,-61.07497,117.08335,1089.60791,-2.81562,-67.08564,1035.14636,-15.34808,260.46143,1059.17578
5,0.033,-61.07497,117.08335,1089.60791,-4.015,-66.93989,1035.21167,-15.42403,260.53531,1059.06519
6,0.042,-62.29528,118.11804,1089.73425,-4.55278,-66.83644,1035.1178,-15.77653,260.84265,1058.82983
7,0.05,-62.29528,118.11804,1089.73425,-5.64771,-66.51876,1035.45679,-15.84007,261.121,1058.64563
8,0.058,-62.6622,117.9525,1089.10449,-5.83261,-66.68887,1035.98096,-15.78397,261.70795,1058.86646
9,0.067,-62.6622,117.9525,1089.10449,-7.36822,-65.65025,1035.93262,-15.9998,262.03461,1058.83875
10,0.075,-63.19715,118.28236,1089.07947,-8.1215,-65.58219,1036.01343,-16.35909,262.03134,1058.83325
11,0.083,-62.9286,118.02282,1089.13098,-8.30263,-65.76765,1035.93677,-16.72426,262.01077,1058.85315
12,0.092,-63.26809,118.25893,1089.31628,-8.61076,-65.73314,1035.9408,-16.11121,262.47958,1058.92395
13,0.1,-65.00002,115.7936,1088.99695,-8.70983,-65.75738,1036.09363,-16.72426,262.01077,1058.85315
14,0.108,-65.52057,115.97287,1089.11597,-8.74015,-65.72809,1036.4082,-17.31425,261.92374,1059.17749
15,0.117,-66.64754,116.17374,1089.13538,-8.9444,-65.55279,1036.44189,-18.02778,262.26154,1059.02185
16,0.125,-66.64754,116.17374,1089.13538,-8.87324,-65.37112,1036.54199,-18.66408,262.60031,1059.14038
17,0.133,-67.11241,116.3201,1089.87073,-9.91044,-66.39077,1036.42834,-18.66408,262.60031,1059.14038
18,0.142,-67.11241,116.3201,1089.87073,-9.71219,-66.56859,1036.40259,-19.24574,262.71048,1058.99121
19,0.15,-67.26099,116.28879,1089.22974,-9.51201,-66.64608,1036.50208,-19.24574,262.71048,1058.99121
20,0.158,-67.26099,116.28879,1089.22974,-9.433,-66.81359,1036.68787,-19.24574,262.71048,1058.99121
21,0.167,-67.11241,116.3201,1089.87073,-9.1238,-67.7159,1036.73523,-19.15097,262.50656,1059.05847
22,0.175,-67.26099,116.28879,1089.22974,-8.99986,-68.54076,1036.84387,-19.15097,262.50656,1059.05847
23,0.183,-66.98505,116.77748,1089.40076,-9.03709,-68.56407,1036.55627,-19.60665,262.18863,1059.24023
24,0.192,-66.82338,116.7551,1089.87952,-7.8215,-66.96106,1037.0022,-19.53065,262.11462,1059.35083
25,0.2,-65.22419,115.14532,1090.64795,-12.15759,-66.34444,1038.07642,-21.52421,261.2377,1061.34265
26,0.208,-65.22419,115.14532,1090.64795,-12.16257,-65.5323,1038.00049,-21.69635,261.13449,1061.13525
27,0.217,-66.84766,114.98091,1089.60132,-12.16257,-65.5323,1038.00049,-22.38474,261.01251,1060.82275
28,0.225,-66.84766,114.98091,1089.60132,-12.33622,-65.56439,1037.33228,-22.77847,261.38376,1061.13928
29,0.233,-65.35379,115.27447,1088.13867,-12.56106,-65.50135,1037.20447,-22.87747,261.38605,1060.82666
30,0.242,-65.35379,115.27447,1088.13867,-12.56106,-65.50135,1037.20447,-22.87747,261.38605,1060.82666
31,0.25,-65.35379,115.27447,1088.13867,-12.73608,-65.59471,1037.09387,-23.54689,261.44077,1060.67163
32,0.258,-68.34288,116.79764,1089.53955,-12.98952,-65.93823,1037.17798,-23.73446,261.21268,1060.48438
33,0.267,-68.34288,116.79764,1089.53955,-13.14741,-65.89704,1037.11633,-23.95687,261.03403,1060.66956
34,0.275,-68.34288,116.79764,1089.53955,-13.49259,-66.22671,1037.05115,-24.26813,260.7774,1060.94238
35,0.283,-73.36556,116.35155,1089.26489,-13.49259,-66.22671,1037.05115,-24.23975,260.87296,1061.00146
36,0.292,-73.13371,115.91621,1090.22498,-14.06881,-66.36929,1036.99695,-23.92075,261.0997,1061.54272
37,0.3,-73.20403,116.33027,1089.74402,-14.87088,-66.18265,1037.36902,-23.92075,261.0997,1061.54272
38,0.308,-73.36556,116.35155,1089.26489,-14.93631,-66.20078,1037.78528,-24.13579,261.03442,1061.36682
39,0.317,-73.36556,116.35155,1089.26489,-15.84814,-66.22771,1038.14587,-24.79259,261.06625,1061.43604
40,0.325,-73.70519,116.58369,1089.77234,-15.84814,-66.22771,1038.14587,-25.18444,261.77136,1061.47546
41,0.333,-73.70519,116.58369,1089.77234,-16.27076,-65.78448,1038.35034,-25.18444,261.77136,1061.47546
42,0.342,-73.70519,116.58369,1089.77234,-16.43512,-65.67786,1038.35181,-25.18444,261.77136,1061.47546
43,0.35,-74.25063,115.97054,1089.83032,-16.37831,-65.65157,1038.67786,-25.30813,261.87967,1061.31995
44,0.358,-74.84519,116.27829,1089.91821,-16.37831,-65.65157,1038.67786,-25.30813,261.87967,1061.31995
45,0.367,-75.31232,116.54897,1090.21582,-16.29703,-65.60567,1038.79761,-26.2306,262.10995,1061.76599
46,0.375,-75.31232,116.54897,1090.21582,-16.40034,-65.63467,1038.97217,-26.24303,262.02261,1061.90088
47,0.383,-75.31232,116.54897,1090.21582,-16.40034,-65.63467,1038.97217,-26.24303,262.02261,1061.90088
48,0.392,-75.31232,116.54897,1090.21582,-16.40034,-65.63467,1038.97217,-26.24303,262.02261,1061.90088
49,0.4,-75.31232,116.54897,1090.21582,-16.13267,-65.71229,1038.79614,-26.24303,262.02261,1061.90088
50,0.408,-75.31232,116.54897,1090.21582,-16.18946,-65.73857,1038.47009,-26.11935,261.91431,1062.05627
51,0.417,-75.31232,116.54897,1090.21582,-16.09867,-66.27384,1038.42664,-26.11935,261.91431,1062.05627
52,0.425,-75.31232,116.54897,1090.21582,-16.06758,-66.43926,1038.28796,-26.11935,261.91431,1062.05627
53,0.433,-75.31232,116.54897,1090.21582,-16.24325,-66.4149,1038.31531,-25.94694,261.38806,1062.42456
54,0.442,-75.31232,116.54897,1090.21582,-16.27097,-66.46957,1038.27734,-25.55374,261.29156,1062.4552
55,0.45,-75.31232,116.54897,1090.21582,-16.27097,-66.46957,1038.27734,-25.11516,260.93396,1061.64001
56,0.458,-75.31232,116.54897,1090.21582,-16.28099,-66.54939,1038.49084,-25.11516,260.93396,1061.64001
57,0.467,-75.31232,116.54897,1090.21582,-16.61488,-65.75175,1038.51099,-25.11516,260.93396,1061.64001
58,0.475,-75.31232,116.54897,1090.21582,-16.53931,-65.71537,1038.86475,-25.11516,260.93396,1061.64001
59,0.483,-75.31232,116.54897,1090.21582,-16.61488,-65.75175,1038.51099,-25.11516,260.93396,1061.64001
60,0.492,-75.31232,116.54897,1090.21582,-16.36088,-65.33834,1038.86707,-26.11935,261.91431,1062.05627
61,0.5,-75.31232,116.54897,1090.21582,-16.25758,-65.3093,1038.69263,-26.11935,261.91431,1062.05627
62,0.508,-75.31232,116.54897,1090.21582,-16.27097,-66.46957,1038.27734,-26.43254,261.64566,1061.84241
63,0.517,-75.31232,116.54897,1090.21582,-16.04119,-66.7011,1038.63147,-26.43254,261.64566,1061.84241
64,0.525,-75.31232,116.54897,1090.21582,-16.38445,-66.8899,1037.91125,-26.43254,261.64566,1061.84241
65,0.533,-75.31232,116.54897,1090.21582,-16.6848,-67.42722,1037.75183,-26.43254,261.64566,1061.84241
66,0.542,-75.31232,116.54897,1090.21582,-16.6848,-67.42722,1037.75183,-26.43254,261.64566,1061.84241
67,0.55,-75.31232,116.54897,1090.21582,-16.74436,-67.38287,1037.87476,-26.43254,261.64566,1061.84241
68,0.558,-75.31232,116.54897,1090.21582,-16.74436,-67.38287,1037.87476,-26.94188,261.73862,1061.71057
69,0.567,-76.4223,117.52086,1090.00745,-17.30026,-66.84816,1038.22961,-27.32763,261.72336,1061.73413
