Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,224.22337,322.11987,816.64703,255.23387,351.07614,733.64343,302.88773,267.67456,751.19702
2,0.008,225.53108,322.08063,816.43561,256.18015,351.20901,733.98846,302.99628,267.58728,751.26147
3,0.017,226.18008,322.91718,816.61963,256.76126,351.59741,734.19238,303.24808,267.37201,751.2041
4,0.025,227.7355,322.70099,816.2627,257.73581,352.79968,734.15723,303.52185,267.40622,750.74005
5,0.033,228.27623,323.65863,816.29108,257.73581,352.79968,734.15723,303.72095,267.29919,749.6828
6,0.042,228.38931,323.24115,816.23993,257.45117,352.38858,733.72437,303.15839,266.89536,748.76727
7,0.05,228.44385,323.01981,815.56519,257.2345,352.43991,733.72784,303.23535,266.43829,748.01013
8,0.058,228.45143,323.00201,814.89923,256.8909,352.63904,733.48285,301.86115,266.09674,746.94843
9,0.067,227.50778,323.1265,814.83362,256.73621,351.73203,732.41187,300.78546,265.44376,745.50739
10,0.075,227.75212,321.44373,813.01892,256.32867,351.39734,731.41266,300.29437,265.75214,744.73248
11,0.083,227.51047,321.01691,812.7663,254.45309,351.43323,730.44196,298.50839,264.75864,743.95923
12,0.092,227.44269,320.36615,812.50946,254.23381,351.13312,729.92151,297.85651,263.85257,743.51917
13,0.1,225.40411,319.65811,811.99884,254.45515,351.01651,729.75262,297.49155,263.01202,743.2428
14,0.108,225.07507,319.86145,811.34271,255.25864,350.15329,729.09369,296.65698,263.30692,742.64246
15,0.117,225.06471,319.45172,810.24628,255.21614,349.60254,728.65021,296.16138,262.83737,742.47076
16,0.125,224.11649,319.1658,809.39398,255.36414,349.55804,728.31635,296.16138,262.83737,742.47076
17,0.133,223.63219,318.54092,809.08844,255.78632,349.4603,728.33221,296.22327,262.01685,742.29547
18,0.142,222.6796,318.77591,809.80981,255.78632,349.4603,728.33221,296.5473,262.14255,742.45557
19,0.15,222.6796,318.77591,809.80981,256.20856,349.36273,728.34808,297.00803,261.85791,742.36298
20,0.158,222.6796,318.77591,809.80981,256.20856,349.36273,728.34808,297.51056,262.40527,742.47528
21,0.167,222.89923,318.67657,809.55133,256.68729,349.23132,728.61566,297.77411,261.91608,742.83679
22,0.175,224.12169,318.50992,809.16162,256.68729,349.23132,728.61566,298.69528,261.89508,743.09613
23,0.183,225.14166,318.694,809.20618,257.15118,349.33054,728.63672,300.14529,262.92072,743.85083
24,0.192,226.5007,318.39621,809.81683,257.88974,349.92746,728.73309,301.89816,262.8222,743.74554
25,0.2,227.24673,319.02408,810.74115,258.3168,349.79715,728.94025,302.74112,264.5639,744.41223
26,0.208,227.94118,319.59262,811.15942,258.65314,349.71548,729.18225,303.24396,264.73892,745.21967
27,0.217,228.39799,319.99088,811.71185,258.85364,349.65082,729.40118,304.22003,264.88361,745.77942
28,0.225,228.70706,320.32474,812.13641,259.30197,349.75967,729.4986,304.99332,264.79028,746.13147
29,0.233,229.45779,320.84698,812.67749,260.78949,349.81836,730.63965,305.98071,265.16339,746.53571
30,0.242,230.34583,321.66266,812.9386,261.35379,350.4277,730.84174,306.91098,264.81015,747.17529
31,0.25,230.65225,321.54288,813.02411,261.67026,350.7735,731.00958,306.86844,264.86301,746.93097
32,0.258,231.94789,320.6059,813.11804,262.00696,351.25598,730.98999,306.96384,264.93573,746.87958
33,0.267,232.276,320.79727,813.2403,262.00696,351.25598,730.98999,307.07605,265.17139,746.75964
34,0.275,232.44984,320.69583,813.13824,262.40753,351.3779,730.67432,306.89896,265.54184,746.30817
35,0.283,232.20004,320.84341,813.09583,262.33188,351.48846,730.58197,306.85681,265.86176,746.06635
36,0.292,232.15997,321.1835,812.88379,261.75134,350.47577,730.03271,306.53586,265.77771,745.60785
37,0.3,232.45085,320.9671,812.81067,260.76651,349.36249,729.34375,305.6731,265.6781,745.36774
38,0.308,232.29654,321.01862,812.64056,259.76685,349.55655,728.86078,305.03229,264.64951,744.89612
39,0.317,231.98932,321.16205,812.49823,259.20032,349.74588,728.51959,303.86011,263.79205,744.48242
40,0.325,230.62239,319.54733,811.59296,259.20032,349.74588,728.51959,302.55185,262.89529,743.72412
41,0.333,230.03125,318.37405,810.841,258.99411,349.52722,728.46588,302.25397,261.90823,743.45111
42,0.342,228.73523,318.15228,810.784,258.93417,348.85852,728.21613,301.30161,261.12399,742.92413
43,0.35,228.4321,317.64764,810.44781,259.28268,348.66879,728.32648,300.73303,260.3981,742.68024
44,0.358,228.27727,317.33331,809.96106,260.0011,347.72598,728.92712,300.55563,260.10709,742.69281
45,0.367,227.96751,317.02145,809.86053,260.53543,348.2691,729.09326,300.79529,259.83032,743.0105
46,0.375,227.81015,316.68591,809.81958,261.28445,348.13678,729.29309,300.7157,259.66956,743.2077
47,0.383,227.38513,316.34998,810.20911,261.46533,348.05603,729.35968,301.38474,259.6665,743.80792
48,0.392,227.31711,316.66943,810.82782,261.96045,348.1326,729.34277,301.57898,260.21527,744.85876
49,0.4,227.41071,316.38977,811.3559,261.7641,348.45154,730.18909,302.65329,260.29102,745.95667
50,0.408,227.82387,316.71634,812.17902,261.72617,349.02057,730.4325,302.37039,260.87924,747.05359
