Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,470.49872,284.01007,310.2684,378.80151,277.28857,77.43727,430.26144,195.49586,105.90965
2,0.008,470.49872,284.01007,310.2684,378.89349,277.06998,77.24453,430.09119,194.86768,105.77171
3,0.017,470.33469,283.81122,310.10608,378.75812,276.46268,77.24489,430.54935,194.35094,105.36895
4,0.025,470.11343,283.60275,309.7886,378.81305,276.3013,77.13954,430.3457,193.67117,105.10081
5,0.033,470.42746,283.38321,309.59622,378.86951,275.67081,77.054,430.41183,193.21977,105.34525
6,0.042,470.33081,283.16373,308.90735,378.70065,275.49875,76.91133,430.55392,192.93274,105.20916
7,0.05,470.16565,282.95834,308.92722,378.94656,275.112,76.73781,430.90005,192.72812,105.25784
8,0.058,470.1507,283.01025,308.74109,379.13489,274.83615,76.73534,430.85419,192.47423,104.91691
9,0.067,470.18588,282.54172,308.20651,379.34097,274.17993,76.67813,431.27826,191.93866,104.63792
10,0.075,470.06299,282.25821,307.73169,379.48361,273.12146,76.05263,431.51593,190.88304,104.53181
11,0.083,470.13382,282.27274,307.62924,379.55923,272.08221,76.02879,431.23654,190.18271,103.68235
12,0.092,470.43042,282.11728,307.48843,379.56467,271.14801,75.85896,431.21896,189.8866,103.38871
13,0.1,470.28333,281.93268,307.02438,379.42581,270.76306,75.84248,431.4646,188.46355,103.24429
14,0.108,470.55911,281.42703,306.94699,379.22299,270.58121,75.81261,431.64813,188.27449,103.12395
15,0.117,470.47015,281.20691,306.89035,379.25818,270.36411,75.77332,431.54791,188.0894,103.21339
16,0.125,470.25012,281.07657,307.16232,379.32346,270.32947,75.90054,431.64828,188.04399,103.05208
17,0.133,470.59555,280.73288,307.20663,379.28827,270.54657,75.93982,431.38745,188.15952,103.27903
18,0.142,470.45615,280.3396,307.34924,379.22299,270.58121,75.81261,431.24393,188.39987,103.37049
19,0.15,470.45187,280.2843,307.64194,379.56467,271.14801,75.85896,430.83389,188.9256,103.229
20,0.158,470.43283,280.04611,307.9718,379.43323,271.25513,75.93242,430.68512,189.48344,103.57971
21,0.167,470.42365,280.08975,308.09091,378.8559,272.97583,76.31181,430.71326,190.08113,104.0516
22,0.175,470.08517,280.1994,308.57443,378.91431,273.56186,76.75869,430.59201,190.84196,104.63273
23,0.183,470.35193,280.33365,308.88696,379.41724,274.59747,76.65546,430.40036,191.85016,104.39504
24,0.192,470.07248,280.98132,309.16113,378.84949,275.26343,76.88687,430.46844,192.28473,104.6311
25,0.2,470.34195,280.82022,309.3869,378.70065,275.49875,76.91133,429.78754,192.78606,104.64539
26,0.208,470.04459,280.86481,309.51938,378.77182,275.67426,77.14325,429.86884,192.91388,104.71038
27,0.217,470.47504,280.8992,309.81952,378.69745,276.25073,77.18821,429.97437,193.20911,104.98058
28,0.225,470.25287,281.3989,310.04395,378.75812,276.46268,77.24489,429.90259,193.29483,105.07478
29,0.233,470.71808,281.1994,310.24362,378.79242,276.43188,77.37523,429.1795,193.74074,105.00738
30,0.242,470.71625,281.77725,310.28116,379.5665,276.47824,77.70434,429.12137,193.83636,105.08942
31,0.25,470.71625,281.77725,310.28116,379.02893,277.43683,77.79671,429.27444,194.04932,105.25517
32,0.258,470.68399,281.71799,310.44412,379.27472,277.43274,77.78242,429.75427,193.98447,105.37103
33,0.267,470.73743,281.99026,310.17224,379.51556,276.88708,77.72221,429.78082,193.90094,105.28567
34,0.275,471.09164,281.99478,310.45438,379.24017,276.75916,77.78327,429.97229,193.91655,105.2426
35,0.283,470.73743,281.99026,310.17224,378.77002,276.18774,77.71873,430.32361,193.48245,105.2322
36,0.292,470.6839,282.20486,309.91568,378.75375,276.18573,77.47166,430.19672,193.27071,105.09361
37,0.3,471.2254,282.24185,309.56024,379.04626,275.52393,77.48096,430.36743,193.29295,105.06103
38,0.308,471.19995,282.32718,309.1608,378.95313,275.38266,77.0959,430.29953,192.78813,104.98757
39,0.317,471.19995,282.32718,309.1608,378.91879,275.41345,76.9655,430.85419,192.47423,104.91691
40,0.325,471.08057,282.05179,308.80698,379.57193,274.59399,76.75732,431.07275,192.22284,104.65833
41,0.333,471.11343,282.17078,308.14148,379.71878,274.53629,76.78072,431.18091,192.22366,104.4084
42,0.342,471.11343,282.17078,308.14148,379.69409,273.66919,76.88319,431.616,191.05219,104.54486
43,0.35,471.01083,282.07663,307.97708,379.71024,272.58737,76.58379,431.73877,190.6087,104.07038
44,0.358,470.96396,282.06778,307.63388,379.7211,271.2662,76.12238,431.71793,190.31001,103.61813
45,0.367,470.73047,282.01004,307.56537,379.71683,270.69223,76.01872,431.923,189.15915,103.82478
46,0.375,470.83112,281.32559,307.02716,379.71683,270.69223,76.01872,431.90256,188.65016,103.2829
47,0.383,470.83112,281.32559,307.02716,379.71683,270.69223,76.01872,431.90256,188.65016,103.2829
48,0.392,470.75995,281.21146,307.17029,379.71683,270.69223,76.01872,431.83322,188.48181,103.37517
49,0.4,470.63925,281.18945,307.29593,379.49109,270.72839,75.96968,431.55557,188.43283,103.4635
50,0.408,470.55029,280.96936,307.23932,379.49109,270.72839,75.96968,431.71341,188.69904,103.44415
51,0.417,470.28769,281.2413,307.34964,379.36353,270.93295,75.96526,431.58902,189.47711,103.80193
52,0.425,470.28769,281.2413,307.34964,379.43323,271.25513,75.93242,431.62793,190.33536,103.67033
53,0.433,470.00745,281.99863,307.83572,378.8559,272.97583,76.31181,431.51373,190.61873,104.35568
54,0.442,470.00821,281.32593,308.4581,378.91431,273.56186,76.75869,430.87634,191.78947,104.51871
55,0.45,469.7753,281.55765,308.49118,379.13489,274.83615,76.73534,430.96887,192.20195,104.89281
56,0.458,469.91229,281.66464,308.80801,379.05969,275.00345,76.68231,430.56125,192.70932,104.96472
57,0.467,469.94952,282.07208,309.27945,378.70065,275.49875,76.91133,430.02844,192.87491,105.11462
58,0.475,469.92838,281.9939,309.48123,378.60297,275.50223,77.00059,430.09784,193.16272,105.03203
59,0.483,470.0112,282.22357,309.55313,378.57614,276.22366,77.21804,430.0466,193.33412,105.22249
60,0.492,470.00668,282.1485,309.91266,378.75812,276.46268,77.24489,429.78082,193.90094,105.28567
61,0.5,469.84021,282.60648,309.9769,378.61655,277.01761,77.25902,429.29028,194.32195,105.4887
62,0.508,469.78226,282.71518,310.07492,378.7352,277.457,77.30377,429.34955,194.94363,105.69091
63,0.517,470.04498,283.07806,310.19803,378.82462,277.61172,77.4329,429.3533,195.14407,105.86671
64,0.525,470.07214,283.47055,310.36469,378.80734,278.07864,77.45637,429.65222,195.4866,105.78592
65,0.533,470.49872,284.01007,310.2684,378.80734,278.07864,77.45637,429.89499,195.41635,105.81588
66,0.542,470.49872,284.01007,310.2684,378.97321,277.90369,77.50889,430.02219,195.5638,105.75205
67,0.55,470.49872,284.01007,310.2684,378.97321,277.90369,77.50889,430.02219,195.5638,105.75205
68,0.558,470.49872,284.01007,310.2684,378.85956,277.5477,77.48299,430.02219,195.5638,105.75205
69,0.567,470.49872,284.01007,310.2684,378.85684,277.26584,77.2879,430.22635,195.01169,105.58201
70,0.575,470.33469,283.81122,310.10608,378.75812,276.46268,77.24489,430.3443,194.62254,105.50294
71,0.583,470.54053,284.08255,309.65695,378.81305,276.3013,77.13954,430.4747,193.81725,105.09534
72,0.592,470.54031,283.7905,309.19482,378.70682,275.64346,76.84893,430.37238,193.65416,104.92046
73,0.6,470.4668,283.38214,308.90155,378.70065,275.49875,76.91133,430.82825,192.8138,105.352
74,0.608,470.45184,283.43408,308.71545,378.73083,275.20139,76.50675,430.93137,192.63097,105.00289
75,0.617,470.38083,283.61685,308.3183,379.13489,274.83615,76.73534,430.93137,192.63097,105.00289
76,0.625,470.35519,283.21487,308.02637,379.30133,274.2121,76.43288,431.07629,192.20221,104.62761
77,0.633,470.21915,282.65234,307.75018,379.03384,273.17932,76.2035,431.3121,191.70731,104.3203
