Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,483.67075,-145.86975,832.6311,488.05087,-106.47339,795.45532,518.60712,-91.11747,781.46191,543.3952,-78.30882,781.55353,552.9245,-144.03812,836.54279,596.19904,-145.15213,809.48053,627.41217,-150.36592,785.71997
2,0.008,484.00696,-146.51555,832.3136,487.638,-105.81646,795.28375,520.1571,-92.55418,780.60699,543.19336,-78.2972,781.2511,553.48724,-143.48282,835.60468,596.59631,-145.56096,808.68359,627.36438,-150.07944,784.95807
3,0.017,484.20535,-146.44772,831.91199,487.6344,-105.49136,794.70129,520.1571,-92.55418,780.60699,543.57593,-77.50183,780.31757,553.92212,-143.61311,835.45129,596.36847,-145.99933,808.23358,627.2149,-149.59299,783.78046
4,0.025,484.27762,-146.32359,831.61969,487.47635,-105.91199,794.40979,520.40088,-91.81359,779.89685,543.6637,-77.5805,780.16998,553.91534,-143.77184,834.97858,596.32074,-146.02425,807.67285,627.39331,-148.99155,783.05298
5,0.033,484.36072,-146.28636,830.90576,487.50812,-105.95751,793.51288,519.88312,-90.72105,779.2356,543.34174,-78.0041,779.58575,554.49414,-143.61374,834.48474,596.33136,-145.66824,806.70428,627.68964,-148.77876,782.15955
6,0.042,484.54611,-146.26393,830.66028,487.39673,-105.61369,793.39337,519.56311,-90.14499,778.33234,544.23663,-76.66184,778.39941,554.08826,-144.42331,833.22412,596.39752,-145.84413,805.53699,627.55682,-148.77411,781.41443
7,0.05,484.64645,-146.00908,830.58832,487.39673,-105.61369,793.39337,520.08575,-90.48241,777.23303,543.98566,-76.82454,777.86414,554.08826,-144.42331,833.22412,596.59125,-145.73254,804.5871,627.82159,-148.89688,780.75226
8,0.058,484.64645,-146.00908,830.58832,487.87964,-105.42065,792.89026,520.05316,-91.55296,776.75507,544.19806,-77.40204,777.13953,554.75513,-145.27422,832.46442,596.64594,-145.94731,804.2749,627.94031,-149.60237,780.50043
9,0.067,485.04959,-146.20122,830.46332,487.83539,-105.06016,792.0412,519.65851,-91.96899,775.63324,544.17651,-77.26023,775.29504,555.66766,-145.11775,832.0788,596.72552,-145.923,803.8252,628.04376,-150.27116,779.92664
10,0.075,484.79602,-145.90433,830.47382,487.83539,-105.06016,792.0412,520.11066,-91.77347,774.83386,546.03412,-77.94918,772.90277,555.89691,-145.30664,831.44501,596.76434,-145.8105,803.18945,628.27002,-150.34846,779.13263
11,0.083,485.47903,-146.23961,830.05652,488.41837,-105.62653,791.46991,520.54761,-91.87687,774.18335,547.1001,-78.10548,771.40631,556.1015,-145.51979,830.9314,596.79523,-145.45892,802.73846,628.32141,-150.81136,778.10748
12,0.092,484.82263,-145.7207,830.0058,488.50876,-106.02137,791.08917,520.16644,-91.45998,772.96466,545.41052,-78.464,771.24762,556.36017,-145.61867,830.72406,597.28503,-145.66174,801.88092,628.5874,-151.23384,777.58893
13,0.1,486.23398,-146.12459,829.91553,488.50876,-106.02137,791.08917,519.91107,-92.24674,771.89032,545.85797,-80.05392,768.55426,556.513,-145.21294,830.16815,597.75629,-146.50854,801.19635,628.72589,-150.87698,776.44983
14,0.108,486.39944,-146.22211,829.83466,488.39178,-106.47308,790.55591,520.12366,-92.99287,770.7782,545.8739,-79.975,767.27155,556.46313,-145.03305,829.65814,597.74176,-147.06915,800.8208,628.76428,-151.00162,775.90692
15,0.117,486.75031,-146.62898,829.60248,488.38989,-106.3163,790.39728,520.35559,-92.57549,770.26544,545.86664,-81.53129,766.33075,556.77753,-144.39252,829.49084,598.17859,-147.12511,800.61469,628.22534,-151.3531,776.35419
