Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,51.86469,-6.30388,977.9165,49.29598,187.14919,996.37219,-94.44132,12.76447,1004.66736,-105.17741,177.06332,1010.21857,-142.06384,-1.60223,916.60126
2,0.008,51.86469,-6.30388,977.9165,49.39446,187.08034,996.42651,-94.45094,12.80517,1005.04272,-104.97811,177.26245,1010.55884,-142.03525,-1.11903,916.73871
3,0.017,51.86469,-6.30388,977.9165,49.39446,187.08034,996.42651,-94.45094,12.80517,1005.04272,-104.86958,177.46182,1010.55176,-142.29309,-1.54961,916.66034
4,0.025,51.83196,-6.21245,977.70581,49.57522,187.31306,996.46613,-94.44458,12.59023,1005.42383,-104.47222,177.58263,1010.68427,-142.44965,-1.7202,916.61047
5,0.033,51.83196,-6.21245,977.70581,49.89639,187.20758,996.22791,-94.44458,12.59023,1005.42383,-104.31296,178.30254,1010.87256,-142.36766,-1.60954,916.77405
6,0.042,51.83196,-6.21245,977.70581,49.80693,187.27495,996.17273,-94.31348,12.57426,1005.87915,-104.01111,178.81378,1010.71375,-142.36766,-1.60954,916.77405
7,0.05,51.60286,-5.97824,977.69415,49.4613,187.76355,995.83478,-94.43606,12.7647,1005.98413,-103.94208,179.01563,1010.65289,-142.77666,-1.65718,916.72748
8,0.058,50.96387,-5.75415,977.50751,49.4613,187.76355,995.83478,-94.47887,12.8327,1005.83313,-104.23927,179.16025,1010.5271,-143.20958,-1.41024,917.2254
9,0.067,50.55759,-5.7074,977.29236,49.78179,188.34644,995.66644,-94.65785,13.17924,1005.80475,-104.29758,179.23837,1010.48401,-143.5912,-1.51106,917.14337
10,0.075,50.31018,-5.29972,977.05634,49.62988,188.16377,995.51166,-94.59706,13.2167,1005.63586,-104.4401,178.97379,1010.20703,-143.63,-1.38098,917.00562
11,0.083,49.87667,-5.11107,976.69977,49.62988,188.16377,995.51166,-94.80744,13.3015,1005.35602,-104.59508,178.76988,1010.15485,-143.85344,-0.50419,916.37567
12,0.092,49.87667,-5.11107,976.69977,49.13483,187.98592,995.44421,-94.77141,13.56538,1005.00391,-105.22241,179.10645,1010.21252,-143.9547,-0.3235,916.41766
