Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,-227.14961,-135.08708,1118.87378,-234.34531,113.96672,1114.604,-408.7196,-88.43103,1095.54114,-385.91055,84.20359,1117.09937,-452.00989,-77.83884,1006.61591
2,0.008,-227.14961,-135.08708,1118.87378,-234.56027,113.93137,1114.66113,-409.30643,-89.07433,1095.55493,-385.91055,84.20359,1117.09937,-452.00989,-77.83884,1006.61591
3,0.017,-227.18378,-135.17511,1118.47974,-234.09573,114.27367,1114.69653,-409.11682,-88.85906,1095.61511,-385.91055,84.20359,1117.09937,-452.00989,-77.83884,1006.61591
4,0.025,-227.14961,-135.08708,1118.87378,-234.56027,113.93137,1114.66113,-409.29376,-88.96225,1095.65198,-385.91055,84.20359,1117.09937,-451.90695,-78.01846,1006.57526
5,0.033,-227.18378,-135.17511,1118.47974,-234.34531,113.96672,1114.604,-409.24063,-89.24702,1095.7489,-386.14404,84.00614,1116.99402,-451.90244,-77.93131,1006.77448
6,0.042,-227.18378,-135.17511,1118.47974,-234.55333,114.45378,1114.71362,-409.02045,-88.92202,1095.71179,-386.16257,83.8017,1116.92358,-451.90695,-78.01846,1006.57526
7,0.05,-227.18378,-135.17511,1118.47974,-235.07317,114.04181,1114.66626,-409.02045,-88.92202,1095.71179,-385.90799,83.38758,1117.17419,-451.90695,-78.01846,1006.57526
8,0.058,-227.20686,-134.9304,1118.30542,-234.27501,114.28595,1114.74854,-409.24063,-89.24702,1095.7489,-385.8905,82.89928,1117.1106,-452.00989,-77.83884,1006.61591
9,0.067,-227.49396,-135.19443,1118.50854,-234.91225,114.26151,1114.6189,-408.90903,-89.32643,1095.4895,-386.14404,84.00614,1116.99402,-452.00989,-77.83884,1006.61591
10,0.075,-227.20686,-134.9304,1118.30542,-234.7326,114.46599,1114.76563,-409.30643,-89.07433,1095.55493,-386.16257,83.8017,1116.92358,-451.90695,-78.01846,1006.57526
11,0.083,-227.49396,-135.19443,1118.50854,-234.7326,114.46599,1114.76563,-409.29376,-88.96225,1095.65198,-386.16257,83.8017,1116.92358,-452.00989,-77.83884,1006.61591
12,0.092,-227.51706,-134.94972,1118.33423,-235.07317,114.04181,1114.66626,-409.29053,-89.26038,1095.65063,-386.16257,83.8017,1116.92358,-452.00989,-77.83884,1006.61591
13,0.1,-227.43637,-135.06192,1117.97546,-234.91225,114.26151,1114.6189,-409.29053,-89.26038,1095.65063,-385.92651,83.18315,1117.10364,-452.00989,-77.83884,1006.61591
