Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,214.4149,-227.65712,370.70056,158.47876,-201.63823,72.88775,204.03502,-113.25018,125.58336
2,0.008,214.37234,-228.06442,371.29068,158.57996,-201.83803,72.87417,204.24298,-113.38042,125.74264
3,0.017,214.37234,-228.06442,371.29068,158.85046,-201.86447,73.0088,204.07097,-113.80535,126.56838
4,0.025,214.40779,-227.7623,371.86261,158.9424,-201.86325,73.17222,204.18333,-114.32178,126.85098
5,0.033,214.35455,-227.77003,372.09946,158.9424,-201.86325,73.17222,204.18333,-114.32178,126.85098
6,0.042,214.35851,-227.9857,371.5777,158.92195,-201.96097,73.12418,204.17334,-114.26237,126.61523
7,0.05,214.29269,-228.0074,371.35184,158.82317,-202.02583,72.86142,204.10086,-113.98328,126.4469
8,0.058,214.28999,-228.68164,370.93533,158.73021,-201.90604,72.86236,204.07228,-113.37439,125.72091
9,0.067,214.47054,-228.06073,369.83508,158.41255,-201.70958,72.53089,203.96577,-113.37849,125.58086
10,0.075,214.04448,-228.25616,369.22971,158.29413,-201.58582,71.44727,203.80629,-113.10044,125.07422
11,0.083,213.7836,-228.00072,368.32495,157.55014,-201.52116,71.02355,203.19313,-112.27818,123.99326
12,0.092,213.69016,-228.1019,367.73892,157.15582,-200.8269,70.40906,202.89857,-111.51382,123.51038
13,0.1,213.39162,-227.45505,366.80722,156.73074,-200.31364,69.79101,202.86438,-111.14635,122.33256
14,0.108,213.24243,-227.62846,366.54065,156.96703,-199.51703,68.9255,202.80974,-111.02721,121.65557
15,0.117,213.13995,-227.25151,366.00378,156.9666,-199.21477,68.84868,202.27977,-109.74413,121.24924
16,0.125,213.08766,-227.15916,365.76257,156.99464,-199.01534,69.12319,202.45587,-109.54436,121.39369
17,0.133,213.31621,-227.4214,366.56824,157.08311,-198.92606,69.62744,203.34656,-109.93893,121.81393
18,0.142,213.37469,-227.48056,366.71069,157.60287,-199.18604,70.17899,203.92213,-110.38162,122.19492
19,0.15,213.69473,-227.20183,367.29877,158.15434,-199.27415,70.92098,204.05313,-110.7183,122.81367
