Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-221.98482,268.79053,1090.08838,-80.84441,379.66843,1035.46899,-59.3685,320.12094,959.46216
2,0.008,-222.07857,268.96667,1089.95532,-80.90044,380.03125,1035.31641,-59.14955,320.01697,958.85822
3,0.017,-222.20569,268.98029,1089.68604,-81.1521,379.84845,1034.0769,-59.23953,320.09366,957.84186
4,0.025,-222.26286,269.38788,1089.43286,-80.47624,379.26175,1032.36353,-59.35073,319.74881,957.51923
5,0.033,-222.31569,269.50684,1089.30298,-80.29948,379.07492,1032.0188,-59.38234,319.72968,957.35034
6,0.042,-222.31569,269.50684,1089.30298,-80.34312,379.44037,1031.67578,-59.18563,319.69846,957.15552
7,0.05,-222.4429,269.47903,1088.6593,-80.34312,379.44037,1031.67578,-59.0236,319.14948,955.87469
8,0.058,-221.91956,269.61554,1088.04773,-80.07053,379.39142,1031.41675,-58.82958,318.03503,955.5957
9,0.067,-221.88223,269.29489,1088.03955,-80.26352,379.29565,1031.27356,-59.43529,318.36667,954.76709
10,0.075,-221.43777,269.03268,1087.09814,-79.98106,379.35889,1031.08435,-58.70227,317.87299,954.39417
11,0.083,-221.18042,268.80396,1086.71082,-79.38166,378.96704,1029.43945,-58.16946,318.09576,953.53723
12,0.092,-220.40904,268.54819,1086.27271,-79.58086,378.33804,1028.01965,-57.98637,318.2338,953.24268
13,0.1,-220.40904,268.54819,1086.27271,-78.83842,378.96301,1027.17932,-57.52982,316.81693,952.22479
14,0.108,-220.3289,268.41727,1085.89001,-78.58514,379.01959,1027.00964,-57.71285,316.75925,951.95081
15,0.117,-220.04225,268.70074,1085.77026,-78.23774,378.45468,1026.6908,-57.68871,316.06784,950.98511
16,0.125,-220.04225,268.70074,1085.77026,-77.74936,378.30734,1026.37317,-57.65619,315.67999,950.74347
17,0.133,-219.54526,268.27612,1085.52734,-78.07893,378.47992,1025.55786,-57.73616,315.72198,950.35834
18,0.142,-219.03752,267.88055,1085.54224,-77.71037,378.12164,1025.11633,-57.45432,315.61902,950.21857
19,0.15,-218.67958,267.57956,1084.80029,-77.92715,378.15323,1024.73535,-57.37141,315.53632,949.75879
20,0.158,-218.27225,267.78226,1084.37146,-77.3047,377.63828,1023.33496,-57.692,314.74637,948.46838
21,0.167,-217.63042,268.34256,1084.00269,-76.56651,377.28772,1022.48804,-58.07986,314.66312,947.23322
22,0.175,-218.09833,268.23071,1083.8822,-76.6585,377.48212,1022.31989,-58.14186,314.57437,946.08307
23,0.183,-217.80403,268.58606,1083.38416,-77.04166,376.68723,1021.91974,-58.32294,314.49591,945.73712
