Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-226.57121,367.05038,949.49921,-229.66464,518.00635,834.98895,-269.69345,478.31714,781.56458
2,0.008,-226.43634,367.04855,949.57788,-229.66464,518.00635,834.98895,-269.69345,478.31714,781.56458
3,0.017,-226.57121,367.05038,949.49921,-229.66464,518.00635,834.98895,-269.69345,478.31714,781.56458
4,0.025,-226.57121,367.05038,949.49921,-229.66464,518.00635,834.98895,-269.67825,478.45474,781.44385
5,0.033,-226.61992,367.12329,949.43884,-229.66464,518.00635,834.98895,-269.67825,478.45474,781.44385
6,0.042,-226.57121,367.05038,949.49921,-229.66464,518.00635,834.98895,-269.55658,478.38571,780.88165
7,0.05,-226.61992,367.12329,949.43884,-229.66464,518.00635,834.98895,-269.64618,478.40765,781.21173
8,0.058,-226.57121,367.05038,949.49921,-229.66464,518.00635,834.98895,-269.64618,478.40765,781.21173
9,0.067,-226.61992,367.12329,949.43884,-229.66464,518.00635,834.98895,-269.64618,478.40765,781.21173
10,0.075,-226.48505,367.12146,949.51752,-229.71439,518.08063,834.93365,-269.51965,478.55527,780.73669
11,0.083,-226.76591,366.82681,949.28009,-229.66464,518.00635,834.98895,-269.51965,478.55527,780.73669
12,0.092,-226.62877,367.07516,949.22784,-229.66464,518.00635,834.98895,-269.64618,478.40765,781.21173
13,0.1,-226.4939,367.07339,949.30658,-229.71439,518.08063,834.93365,-269.64618,478.40765,781.21173
14,0.108,-226.81462,366.89972,949.21973,-229.71439,518.08063,834.93365,-269.64618,478.40765,781.21173
15,0.117,-226.62877,367.07516,949.22784,-229.66464,518.00635,834.98895,-269.51965,478.55527,780.73669
16,0.125,-226.81462,366.89972,949.21973,-229.71439,518.08063,834.93365,-269.51965,478.55527,780.73669
17,0.133,-226.81462,366.89972,949.21973,-229.71439,518.08063,834.93365,-269.51965,478.55527,780.73669
18,0.142,-226.81462,366.89972,949.21973,-229.71439,518.08063,834.93365,-269.64618,478.40765,781.21173
19,0.15,-226.81462,366.89972,949.21973,-229.71439,518.08063,834.93365,-269.51965,478.55527,780.73669
20,0.158,-226.81462,366.89972,949.21973,-229.71439,518.08063,834.93365,-269.51965,478.55527,780.73669
21,0.167,-226.81462,366.89972,949.21973,-229.66464,518.00635,834.98895,-269.51965,478.55527,780.73669
22,0.175,-226.81462,366.89972,949.21973,-229.77832,518.1438,834.8092,-269.51965,478.55527,780.73669
23,0.183,-226.81462,366.89972,949.21973,-229.72858,518.06952,834.8645,-269.51965,478.55527,780.73669
