Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,90.00536,-152.8737,943.65509,173.94991,-160.92767,947.11414,186.55077,-75.90662,948.15924
2,0.008,90.53332,-153.42055,944.49585,174.32404,-161.40472,946.89063,184.8054,-75.31365,951.68073
3,0.017,90.9442,-153.48842,944.43555,174.61238,-161.90927,946.64899,185.07037,-76.84428,952.92456
4,0.025,91.18005,-153.42923,944.77692,174.52751,-162.14839,946.02606,184.63805,-76.41746,953.51428
5,0.033,91.39091,-153.57748,944.85461,174.55414,-162.39938,946.0199,185.18536,-76.26504,954.75391
6,0.042,90.5329,-153.87851,944.60706,174.39987,-162.32884,945.5578,185.5182,-77.74854,954.21106
7,0.05,90.41516,-153.67914,944.38074,174.24544,-161.55873,945.71527,185.09085,-77.98254,953.98785
8,0.058,89.83048,-153.75153,944.35455,173.60596,-161.34195,945.98267,184.03659,-76.75758,952.6947
9,0.067,89.44341,-153.78008,943.93408,172.55699,-160.45355,946.21063,183.76387,-76.68082,951.21021
10,0.075,88.66057,-152.58789,942.85223,172.00049,-160.13181,946.26251,183.62474,-74.40391,950.76294
11,0.083,88.19351,-151.79892,942.31488,172.41132,-160.64568,946.39026,181.41174,-75.30398,947.53632
12,0.092,88.15726,-151.18016,942.04718,172.38326,-160.28064,946.62286,183.26491,-74.88582,944.85468
13,0.1,87.89414,-151.48209,941.54822,172.38326,-160.28064,946.62286,182.5527,-74.60928,943.42767
14,0.108,87.95617,-150.884,940.79596,172.23457,-160.21474,946.56903,182.11554,-73.95325,942.14832
15,0.117,87.73986,-151.1134,940.63885,172.0916,-160.08562,946.39587,182.11554,-73.95325,942.14832
16,0.125,87.73986,-151.1134,940.63885,172.06396,-160.24129,946.61993,182.11554,-73.95325,942.14832
17,0.133,87.73986,-151.1134,940.63885,172.205,-160.29622,946.66046,182.11554,-73.95325,942.14832
18,0.142,87.73986,-151.1134,940.63885,172.38326,-160.28064,946.62286,182.73604,-74.2273,942.0304
19,0.15,87.8308,-151.41843,940.80957,172.38326,-160.28064,946.62286,183.52631,-74.81126,942.68921
20,0.158,88.11924,-151.66089,941.26416,172.28442,-160.50607,946.4176,183.68422,-75.85446,944.25037
21,0.167,88.29144,-152.34515,941.25256,172.48735,-160.76936,946.51752,184.34105,-76.27151,945.71991
22,0.175,88.89038,-152.25554,941.96307,172.26523,-160.36641,946.23059,181.94922,-75.78548,947.87958
23,0.183,89.05688,-153.34204,942.54126,173.31628,-161.29518,945.98883,182.31688,-76.33072,949.25
24,0.192,89.71199,-154.06841,943.41907,174.25346,-162.01158,945.39838,184.02238,-75.92669,951.79987
25,0.2,90.04567,-154.1062,943.59839,174.43469,-162.51465,945.0119,182.71385,-77.74985,952.73145
26,0.208,90.12902,-153.983,943.88367,174.43469,-162.51465,945.0119,184.35681,-78.04324,952.26636
27,0.217,89.86055,-154.27902,943.78296,174.43469,-162.51465,945.0119,184.54382,-78.13541,952.74847
28,0.225,90.04567,-154.1062,943.59839,174.23206,-162.4404,944.80389,184.35681,-78.04324,952.26636
29,0.233,89.45422,-153.81938,943.38525,173.46118,-160.94151,944.81836,184.35681,-78.04324,952.26636
30,0.242,88.92364,-153.24455,942.72394,173.28864,-161.02702,945.10004,183.14326,-76.11562,950.91107
31,0.25,88.54088,-152.64044,941.59088,172.76973,-160.80598,945.50385,182.86446,-75.94153,948.88953
32,0.258,88.08578,-151.95386,940.93829,172.3886,-160.6899,946.16016,181.41174,-75.30398,947.53632
33,0.267,87.92268,-151.17705,940.46997,172.06282,-160.07022,945.98309,183.02917,-74.99796,943.77325
34,0.275,88.00673,-151.19272,940.23254,172.04018,-159.79529,946.12048,182.11554,-73.95325,942.14832
35,0.283,87.08168,-149.04826,940.06433,171.34543,-159.278,946.00793,182.72406,-73.53992,940.97107
36,0.292,87.34241,-150.66653,939.03363,171.46719,-159.11742,945.98273,182.17722,-72.87465,941.33588
37,0.3,87.45673,-150.65723,939.17822,171.44791,-158.85834,945.95966,183.93387,-74.04919,939.03357
38,0.308,87.53146,-150.83333,939.09595,171.46719,-159.11742,945.98273,182.45573,-73.74773,941.29248
39,0.317,87.85335,-151.05388,939.32068,171.93382,-159.71468,946.03552,182.77043,-74.14695,941.06134
40,0.325,88.08438,-151.57558,939.95209,172.35204,-160.0578,946.18848,182.76033,-74.74873,941.26318
41,0.333,88.29966,-151.8345,939.86371,172.3232,-160.18678,946.1087,182.73604,-74.2273,942.0304
42,0.342,88.43249,-152.1095,940.48767,172.41132,-160.64568,946.39026,183.69402,-75.5611,943.77075
