Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
1,0,-161.08513,-170.23862,943.25122,0.74668,-258.53006,894.52075,-1.97979,-222.02641,829.68951
2,0.008,-161.08513,-170.23862,943.25122,0.74668,-258.53006,894.52075,-1.90439,-221.92511,829.78516
3,0.017,-161.08513,-170.23862,943.25122,0.54311,-258.15848,893.96246,-1.91204,-221.84309,829.50226
4,0.025,-161.11208,-170.70528,943.08942,0.30635,-258.19736,893.53094,-1.91204,-221.84309,829.50226
5,0.033,-161.45039,-170.89088,942.91949,0.30635,-258.19736,893.53094,-1.91204,-221.84309,829.50226
6,0.042,-161.77211,-170.66994,942.79486,0.34872,-258.49701,894.09198,-1.91204,-221.84309,829.50226
7,0.05,-161.72925,-170.73068,942.05157,0.34872,-258.49701,894.09198,-1.90439,-221.92511,829.78516
8,0.058,-161.72925,-170.73068,942.05157,0.13773,-258.90674,894.29828,-1.96135,-222.31161,829.79926
9,0.067,-161.88457,-170.54147,942.09302,0.13773,-258.90674,894.29828,-2.05877,-222.78983,829.8078
10,0.075,-161.88457,-170.54147,942.09302,0.13773,-258.90674,894.29828,-2.92256,-222.94885,829.61292
11,0.083,-161.72925,-170.73068,942.05157,0.13773,-258.90674,894.29828,-3.90964,-222.8996,829.4715
12,0.092,-161.99178,-170.74091,942.74481,-0.02111,-259.33618,894.3399,-3.90964,-222.8996,829.4715
13,0.1,-161.88457,-170.54147,942.09302,-0.02111,-259.33618,894.3399,-4.14522,-222.98668,829.50159
14,0.108,-161.88457,-170.54147,942.09302,-0.02111,-259.33618,894.3399,-4.14522,-222.98668,829.50159
15,0.117,-161.88457,-170.54147,942.09302,-0.02111,-259.33618,894.3399,-4.15275,-222.90494,829.21857
16,0.125,-161.99178,-170.74091,942.74481,-0.09732,-259.17828,893.93237,-4.15275,-222.90494,829.21857
17,0.133,-161.88457,-170.54147,942.09302,0.06151,-258.74878,893.89069,-4.15275,-222.90494,829.21857
18,0.142,-161.72925,-170.73068,942.05157,0.06151,-258.74878,893.89069,-3.91715,-222.81786,829.18854
19,0.15,-161.72925,-170.73068,942.05157,-0.03313,-257.77234,893.08386,-3.35376,-222.47672,828.90002
20,0.158,-161.72925,-170.73068,942.05157,0.0618,-257.99146,892.80316,-3.65169,-222.28275,828.88165
21,0.167,-161.72925,-170.73068,942.05157,0.40031,-258.11694,892.62329,-3.11814,-222.38971,828.87
22,0.175,-161.50337,-170.82256,941.85663,0.27387,-258.18747,892.39282,-3.11814,-222.38971,828.87
23,0.183,-161.50337,-170.82256,941.85663,0.49839,-258.3017,891.89807,-3.11814,-222.38971,828.87
24,0.192,-161.50337,-170.82256,941.85663,0.49839,-258.3017,891.89807,-3.11814,-222.38971,828.87
25,0.2,-161.46674,-170.9467,941.74927,0.49839,-258.3017,891.89807,-3.11814,-222.38971,828.87
26,0.208,-161.46674,-170.9467,941.74927,0.49839,-258.3017,891.89807,-2.79307,-222.47363,828.76935
27,0.217,-161.46674,-170.9467,941.74927,0.49839,-258.3017,891.89807,-2.79307,-222.47363,828.76935
28,0.225,-161.46674,-170.9467,941.74927,0.49839,-258.3017,891.89807,-2.79307,-222.47363,828.76935
29,0.233,-161.46674,-170.9467,941.74927,0.49839,-258.3017,891.89807,-3.11814,-222.38971,828.87
30,0.242,-161.46674,-170.9467,941.74927,0.16791,-258.70023,892.2514,-3.11814,-222.38971,828.87
31,0.25,-161.41768,-170.60922,941.24701,-0.03343,-258.84494,892.10748,-3.11814,-222.38971,828.87
32,0.258,-161.53906,-170.96657,941.63605,-0.03343,-258.84494,892.10748,-3.11814,-222.38971,828.87
33,0.267,-161.49002,-170.62906,941.13373,0.16791,-258.70023,892.2514,-3.35376,-222.47672,828.90002
34,0.275,-161.49002,-170.62906,941.13373,0.16791,-258.70023,892.2514,-3.88734,-222.36977,828.91168
35,0.283,-161.49002,-170.62906,941.13373,0.16791,-258.70023,892.2514,-3.88734,-222.36977,828.91168
36,0.292,-161.49002,-170.62906,941.13373,0.16791,-258.70023,892.2514,-3.88734,-222.36977,828.91168
37,0.3,-161.49002,-170.62906,941.13373,0.16791,-258.70023,892.2514,-3.88734,-222.36977,828.91168
38,0.308,-161.41768,-170.60922,941.24701,0.16791,-258.70023,892.2514,-3.88734,-222.36977,828.91168
39,0.317,-161.41768,-170.60922,941.24701,0.34539,-258.58838,892.00684,-3.65169,-222.28275,828.88165
40,0.325,-161.49002,-170.62906,941.13373,0.49839,-258.3017,891.89807,-3.11814,-222.38971,828.87
41,0.333,-161.46674,-170.9467,941.74927,0.49839,-258.3017,891.89807,-3.11814,-222.38971,828.87
42,0.342,-161.41768,-170.60922,941.24701,0.49839,-258.3017,891.89807,-3.11814,-222.38971,828.87
43,0.35,-161.46674,-170.9467,941.74927,0.49839,-258.3017,891.89807,-2.79307,-222.47363,828.76935
44,0.358,-161.41768,-170.60922,941.24701,0.49839,-258.3017,891.89807,-2.79307,-222.47363,828.76935
45,0.367,-161.11414,-170.64191,941.0802,0.49839,-258.3017,891.89807,-2.79307,-222.47363,828.76935
46,0.375,-161.16321,-170.97943,941.58252,0.49839,-258.3017,891.89807,-2.79307,-222.47363,828.76935
47,0.383,-161.41768,-170.60922,941.24701,0.49839,-258.3017,891.89807,-2.79307,-222.47363,828.76935
48,0.392,-161.41768,-170.60922,941.24701,0.29706,-258.44647,891.75409,-2.79307,-222.47363,828.76935
49,0.4,-161.41768,-170.60922,941.24701,0.14404,-258.73309,891.86285,-2.79307,-222.47363,828.76935
50,0.408,-161.49002,-170.62906,941.13373,0.14404,-258.73309,891.86285,-2.85191,-222.47217,828.49664
51,0.417,-161.49002,-170.62906,941.13373,0.14404,-258.73309,891.86285,-2.85191,-222.47217,828.49664
52,0.425,-161.49002,-170.62906,941.13373,0.14404,-258.73309,891.86285,-3.08752,-222.55917,828.52667
