Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,48.32836,-66.56017,988.7804,-4.9907,-71.52623,1005.12463,-40.57428,-44.74459,1025.85779,-70.88168,-0.77491,1049.27026,28.4281,-9.41412,1070.39368,-12.13939,19.48962,1092.42432,-38.276,47.72348,1113.14807
2,0.008,47.38045,-66.94579,988.54187,-6.75916,-71.60803,1004.43176,-42.06965,-45.69062,1026.44971,-71.62911,-1.2772,1048.67883,26.87697,-8.97236,1070.32971,-15.29566,18.00176,1092.10352,-41.31433,46.8586,1112.04211
3,0.017,45.68702,-66.49432,988.8396,-8.24294,-71.42564,1004.03534,-44.99822,-46.01162,1026.26147,-71.52283,0.45429,1047.82153,24.32663,-9.28528,1069.65527,-16.71045,17.81438,1091.58105,-42.53946,46.32956,1111.71484
4,0.025,44.44334,-66.64356,988.21387,-8.95254,-71.30434,1003.9939,-45.35147,-46.702,1026.07495,-73.68082,-0.43476,1047.36682,23.72138,-8.68749,1069.74927,-17.53396,18.31397,1091.5415,-44.21598,45.65834,1111.87952
5,0.033,43.96461,-66.05937,988.56995,-9.9489,-72.12927,1003.70007,-45.51635,-46.94591,1025.27808,-73.94849,-0.33387,1047.12048,22.55284,-8.71867,1069.68591,-18.65863,18.07262,1091.55164,-45.84476,45.3863,1112.16577
6,0.042,42.65059,-65.87016,987.12878,-11.09272,-71.65089,1003.26477,-46.93246,-48.04462,1025.02026,-76.06809,-1.10785,1046.94788,20.20327,-10.16204,1069.55066,-20.02533,17.7531,1091.39575,-46.09119,45.4432,1112.26147
7,0.05,42.43258,-66.00435,987.14734,-12.37755,-72.61266,1003.36395,-47.49765,-48.25462,1024.9425,-77.14241,-2.1229,1047.36707,19.62436,-10.19377,1069.60645,-22.02992,16.59596,1091.28894,-46.20502,45.13164,1112.45642
8,0.058,40.8106,-66.02654,988.21466,-12.95945,-73.10916,1003.10156,-48.75284,-49.3686,1025.44421,-77.59921,-3.68987,1047.44873,19.00552,-10.29927,1069.52856,-21.84419,16.82649,1092.04663,-46.15591,45.20516,1112.67969
9,0.067,39.88811,-66.87766,988.80792,-13.23169,-73.37598,1002.9696,-49.908,-48.40182,1025.18713,-77.77795,-3.16422,1047.15576,18.7193,-10.45536,1069.73474,-22.47078,15.6419,1091.35522,-46.43572,44.86764,1112.39441
10,0.075,39.39798,-67.87689,988.85394,-13.9271,-73.75478,1003.48584,-50.58143,-48.26638,1024.96289,-78.39182,-2.55203,1047.38013,18.55191,-10.67925,1069.7572,-22.47078,15.6419,1091.35522,-47.0228,45.30537,1112.28186
