Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,261.58707,-94.15894,307.03152,179.28171,-113.20158,79.75629,218.21809,-18.81236,92.09986
2,0.008,261.58707,-94.15894,307.03152,179.21039,-113.3271,79.26839,217.85066,-18.64082,91.97237
3,0.017,261.58707,-94.15894,307.03152,179.33589,-113.38202,79.62794,217.78668,-18.8457,91.95392
4,0.025,261.81522,-94.16948,307.08215,179.21039,-113.3271,79.26839,217.97548,-18.91059,92.21735
5,0.033,261.58707,-94.15894,307.03152,179.21039,-113.3271,79.26839,217.65228,-18.83978,92.29193
6,0.042,261.58707,-94.15894,307.03152,179.14029,-113.43288,79.16039,217.38684,-18.58646,92.21252
7,0.05,261.58707,-94.15894,307.03152,179.28171,-113.20158,79.75629,218.05963,-18.92122,91.99915
8,0.058,261.58707,-94.15894,307.03152,179.33589,-113.38202,79.62794,218.17754,-18.42463,92.19466
9,0.067,261.71457,-94.12103,306.91949,179.33589,-113.38202,79.62794,218.2191,-18.91055,92.1861
10,0.075,261.68454,-94.20829,306.98944,179.33589,-113.38202,79.62794,218.16563,-19.18526,91.89165
11,0.083,261.71457,-94.12103,306.91949,179.21039,-113.3271,79.26839,217.98294,-18.73277,92.18316
12,0.092,261.71457,-94.12103,306.91949,179.33589,-113.38202,79.62794,218.1424,-18.7221,92.37009
13,0.1,261.71457,-94.12103,306.91949,179.33589,-113.38202,79.62794,218.03592,-18.32139,92.30024
14,0.108,261.71457,-94.12103,306.91949,179.33589,-113.38202,79.62794,217.78668,-18.8457,91.95392
15,0.117,261.58707,-94.15894,307.03152,179.33589,-113.38202,79.62794,218.20079,-18.88775,91.71618
16,0.125,261.58707,-94.15894,307.03152,179.33589,-113.38202,79.62794,218.392,-18.80153,92.11704
17,0.133,261.58707,-94.15894,307.03152,179.33589,-113.38202,79.62794,218.1414,-18.62391,92.28386
18,0.142,261.58707,-94.15894,307.03152,179.28171,-113.20158,79.75629,218.05864,-18.82303,91.9129
19,0.15,261.58707,-94.15894,307.03152,179.33589,-113.38202,79.62794,218.05963,-18.92122,91.99915
20,0.158,261.58707,-94.15894,307.03152,179.625,-113.39219,79.58994,217.26964,-17.7411,92.47314
21,0.167,261.81522,-94.16948,307.08215,179.33589,-113.38202,79.62794,217.34454,-17.96747,92.37573
22,0.175,261.58707,-94.15894,307.03152,179.33589,-113.38202,79.62794,218.2191,-18.91055,92.1861
23,0.183,261.55704,-94.24621,307.10147,179.33589,-113.38202,79.62794,218.16563,-19.18526,91.89165
24,0.192,261.58707,-94.15894,307.03152,179.25806,-113.50294,79.56103,217.94559,-18.85204,92.25827
25,0.2,261.55704,-94.24621,307.10147,179.2039,-113.32253,79.68938,217.97493,-18.92763,92.33475
26,0.208,261.55704,-94.24621,307.10147,179.28171,-113.20158,79.75629,217.94559,-18.85204,92.25827
27,0.217,261.60013,-94.30342,307.28827,179.33589,-113.38202,79.62794,217.97459,-18.87176,92.0623
28,0.225,261.67133,-94.34964,307.44226,179.33589,-113.38202,79.62794,217.89445,-18.74658,92.10536
29,0.233,261.67133,-94.34964,307.44226,179.25806,-113.50294,79.56103,217.95016,-18.55844,92.27715
30,0.242,261.51312,-94.37426,307.51016,179.25806,-113.50294,79.56103,218.01433,-18.66723,91.69504
31,0.25,261.51312,-94.37426,307.51016,179.18794,-113.6087,79.45304,217.93867,-18.577,91.96529
32,0.258,261.35385,-94.50588,307.45847,179.33589,-113.38202,79.62794,218.09813,-18.56633,92.15224
33,0.267,261.19635,-94.49879,307.54816,179.18794,-113.6087,79.45304,217.11125,-17.61423,92.46291
34,0.275,261.19635,-94.49879,307.54816,179.25806,-113.50294,79.56103,217.8318,-18.93088,92.13487
35,0.283,261.09967,-94.63126,307.58984,179.30247,-113.48543,79.42001,217.87604,-18.76126,91.99479
36,0.292,261.19635,-94.49879,307.54816,179.25806,-113.50294,79.56103,217.91689,-18.81836,92.38314
37,0.3,261.15784,-94.54897,307.70804,179.25806,-113.50294,79.56103,217.93776,-19.19491,92.02741
38,0.308,261.11618,-94.69817,307.78391,179.25806,-113.50294,79.56103,217.67236,-18.94155,91.94792
39,0.317,261.05203,-94.57476,307.72263,179.25806,-113.50294,79.56103,217.59573,-18.75312,92.13189
40,0.325,261.05203,-94.57476,307.72263,179.25806,-113.50294,79.56103,217.8318,-18.93088,92.13487
41,0.333,261.15784,-94.54897,307.70804,179.30247,-113.48543,79.42001,217.06184,-17.45081,92.63106
42,0.342,261.15784,-94.54897,307.70804,179.25806,-113.50294,79.56103,216.29561,-17.2937,92.61366
43,0.35,261.03171,-94.63316,307.67587,179.18794,-113.6087,79.45304,216.09335,-17.46821,92.55987
44,0.358,261.11618,-94.69817,307.78391,179.25806,-113.50294,79.56103,217.79938,-18.57285,92.17875
45,0.367,260.9841,-94.57667,307.80865,179.25806,-113.50294,79.56103,217.06184,-17.45081,92.63106
46,0.375,260.77966,-94.7023,307.94119,179.25806,-113.50294,79.56103,217.60721,-18.73459,92.44373
47,0.383,260.94244,-94.72588,307.88452,179.26576,-113.48779,79.51995,216.09335,-17.46821,92.55987
48,0.392,261.01041,-94.72398,307.79849,179.25806,-113.50294,79.56103,216.04478,-17.54115,92.99478
49,0.4,260.88928,-94.55119,307.77933,179.25806,-113.50294,79.56103,216.52492,-17.56784,92.539
50,0.408,260.77966,-94.7023,307.94119,179.25806,-113.50294,79.56103,216.24973,-17.44367,92.73867
51,0.417,260.94244,-94.72588,307.88452,179.18794,-113.6087,79.45304,216.18954,-17.43207,92.60677
52,0.425,260.98096,-94.67567,307.72461,179.25806,-113.50294,79.56103,216.06416,-17.6776,92.87275
53,0.433,261.09058,-94.52458,307.56274,179.28171,-113.20158,79.75629,217.62294,-18.76419,92.21545
54,0.442,261.15469,-94.64798,307.62402,179.25806,-113.50294,79.56103,216.64589,-17.85746,92.53392
