Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,134.57103,-54.27298,53.19948,355.46921,-110.76559,42.15309,296.4588,-74.09702,71.26967
2,0.008,134.57103,-54.27298,53.19948,355.53809,-110.78003,42.0891,296.55334,-74.1092,71.33665
3,0.017,134.59262,-54.18183,53.30961,355.35934,-110.95676,42.29144,296.64374,-74.21101,71.348
4,0.025,134.33411,-54.36615,53.13949,355.35934,-110.95676,42.29144,296.7066,-74.13385,71.22805
5,0.033,134.33411,-54.36615,53.13949,355.46921,-110.76559,42.15309,296.69409,-74.15665,71.45121
6,0.042,134.33411,-54.36615,53.13949,355.53809,-110.78003,42.0891,296.68967,-74.25264,71.3916
7,0.05,134.33411,-54.36615,53.13949,355.53809,-110.78003,42.0891,296.64374,-74.21101,71.348
8,0.058,134.33411,-54.36615,53.13949,355.46921,-110.76559,42.15309,296.71005,-74.04166,71.1667
9,0.067,134.51471,-54.45125,53.09692,355.53809,-110.78003,42.0891,296.78448,-74.25846,71.46256
10,0.075,134.35568,-54.27501,53.24963,355.41925,-110.8131,42.19289,296.78448,-74.25846,71.46256
11,0.083,134.27779,-54.54443,53.03692,355.53809,-110.78003,42.0891,296.68967,-74.25264,71.3916
12,0.092,134.33411,-54.36615,53.13949,355.46921,-110.76559,42.15309,296.75693,-74.07948,71.33125
13,0.1,134.51353,-54.08262,52.80035,355.31104,-110.84439,41.86778,296.78793,-74.16627,71.40121
14,0.108,134.33411,-54.36615,53.13949,355.53809,-110.78003,42.0891,296.78793,-74.16627,71.40121
15,0.117,134.51353,-54.08262,52.80035,355.37994,-110.85883,41.80377,296.78448,-74.25846,71.46256
16,0.125,134.51471,-54.45125,53.09692,355.53809,-110.78003,42.0891,296.69751,-74.06445,71.38986
17,0.133,134.33411,-54.36615,53.13949,355.37994,-110.85883,41.80377,296.55679,-74.01701,71.27531
18,0.142,134.51353,-54.08262,52.80035,355.31104,-110.84439,41.86778,296.78793,-74.16627,71.40121
19,0.15,134.53511,-53.99147,52.91051,355.31104,-110.84439,41.86778,296.64374,-74.21101,71.348
20,0.158,134.45721,-54.2609,52.69777,355.31104,-110.84439,41.86778,296.85077,-74.0891,71.28127
21,0.167,134.45721,-54.2609,52.69777,355.37994,-110.85883,41.80377,296.61621,-74.03204,71.21669
22,0.175,134.51353,-54.08262,52.80035,355.37994,-110.85883,41.80377,296.64374,-74.21101,71.348
23,0.183,134.45721,-54.2609,52.69777,355.31104,-110.84439,41.86778,296.55334,-74.1092,71.33665
24,0.192,134.69415,-54.16772,52.75776,355.31104,-110.84439,41.86778,296.61621,-74.03204,71.21669
25,0.2,134.75554,-54.00451,52.38515,355.37994,-110.85883,41.80377,296.55334,-74.1092,71.33665
26,0.208,134.57491,-53.91941,52.42776,355.37994,-110.85883,41.80377,296.55237,-74.113,71.21569
27,0.217,134.5186,-54.0977,52.32517,355.31104,-110.84439,41.86778,296.55679,-74.01701,71.27531
28,0.225,134.57491,-53.91941,52.42776,355.37994,-110.85883,41.80377,296.55334,-74.1092,71.33665
29,0.233,134.92207,-53.59549,52.59538,355.37994,-110.85883,41.80377,296.52295,-74.15791,71.21732
30,0.242,134.75554,-54.00451,52.38515,355.37994,-110.85883,41.80377,296.58926,-73.98859,71.03604
31,0.25,134.81186,-53.82623,52.48774,355.37994,-110.85883,41.80377,296.66122,-74.12541,71.12101
32,0.258,134.81186,-53.82623,52.48774,355.37994,-110.85883,41.80377,296.72751,-73.95612,70.93973
33,0.267,134.81186,-53.82623,52.48774,355.31104,-110.84439,41.86778,296.5708,-74.02361,71.10966
34,0.275,134.57491,-53.91941,52.42776,355.37994,-110.85883,41.80377,296.49887,-73.88679,71.02469
35,0.283,134.83342,-53.73507,52.59791,355.37994,-110.85883,41.80377,296.58926,-73.98859,71.03604
36,0.292,134.5186,-54.0977,52.32517,355.31104,-110.84439,41.86778,296.72751,-73.95612,70.93973
37,0.3,135.17278,-53.70929,52.48212,355.34927,-110.87412,41.87909,296.66467,-74.03325,71.05968
38,0.308,134.57491,-53.91941,52.42776,355.28036,-110.85968,41.9431,296.72751,-73.95612,70.93973
39,0.317,134.57491,-53.91941,52.42776,355.31104,-110.84439,41.86778,296.61768,-73.95044,70.95959
40,0.325,134.81186,-53.82623,52.48774,355.28036,-110.85968,41.9431,296.66122,-74.12541,71.12101
41,0.333,134.57491,-53.91941,52.42776,355.28036,-110.85968,41.9431,296.72406,-74.04828,71.00107
42,0.342,134.57491,-53.91941,52.42776,355.31104,-110.84439,41.86778,296.72406,-74.04828,71.00107
43,0.35,134.81186,-53.82623,52.48774,355.34927,-110.87412,41.87909,296.72406,-74.04828,71.00107
44,0.358,134.57491,-53.91941,52.42776,355.34927,-110.87412,41.87909,296.72751,-73.95612,70.93973
45,0.367,134.57491,-53.91941,52.42776,355.34927,-110.87412,41.87909,296.66467,-74.03325,71.05968
46,0.375,134.57491,-53.91941,52.42776,355.37994,-110.85883,41.80377,296.72751,-73.95612,70.93973
47,0.383,134.57491,-53.91941,52.42776,355.34927,-110.87412,41.87909,296.72751,-73.95612,70.93973
48,0.392,134.81186,-53.82623,52.48774,355.32236,-110.80441,41.67597,296.72751,-73.95612,70.93973
49,0.4,134.81186,-53.82623,52.48774,355.31104,-110.84439,41.86778,296.72406,-74.04828,71.00107
50,0.408,134.75554,-54.00451,52.38515,355.34927,-110.87412,41.87909,296.72751,-73.95612,70.93973
51,0.417,134.57491,-53.91941,52.42776,355.28036,-110.85968,41.9431,296.66467,-74.03325,71.05968
52,0.425,134.59648,-53.82825,52.53794,355.31104,-110.84439,41.86778,296.72751,-73.95612,70.93973
53,0.433,134.75049,-53.98945,52.86033,355.37994,-110.85883,41.80377,296.66467,-74.03325,71.05968
