Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-165.37408,353.05737,1040.16492,16.42351,359.05151,1031.22729,10.39037,329.76355,956.27466
2,0.008,-165.51205,353.25348,1039.75098,15.63856,359.35803,1030.62903,10.17825,330.15796,956.27917
3,0.017,-165.56088,353.24194,1039.26221,15.4793,359.47214,1030.41809,10.39037,329.76355,956.27466
4,0.025,-165.62085,353.37631,1039.12061,15.43106,359.95227,1030.58728,10.21842,329.70438,956.15112
5,0.033,-165.62085,353.37631,1039.12061,15.20905,360.04074,1030.44946,10.1659,328.8418,956.16608
6,0.042,-165.62085,353.37631,1039.12061,15.21392,360.31631,1030.50891,10.0033,329.42902,956.06158
7,0.05,-165.69159,353.31744,1039.21606,15.25905,360.25089,1030.57996,10.1659,328.8418,956.16608
8,0.058,-165.69159,353.31744,1039.21606,15.25905,360.25089,1030.57996,10.20079,328.74234,956.25861
9,0.067,-165.69159,353.31744,1039.21606,15.2658,360.38583,1030.92822,10.58788,329.07687,956.47168
10,0.075,-165.69159,353.31744,1039.21606,15.19403,360.72644,1031.11328,10.58788,329.07687,956.47168
11,0.083,-165.51205,353.25348,1039.75098,15.45475,360.91208,1031.90161,10.7941,329.25674,956.81598
12,0.092,-165.85686,353.48993,1039.95264,15.52285,361.06158,1032.36902,10.61829,329.00626,956.93359
13,0.1,-165.51958,353.39789,1040.68274,15.1522,360.93927,1032.80396,10.70804,329.79581,956.92957
14,0.108,-165.51958,353.39789,1040.68274,15.1522,360.93927,1032.80396,10.50626,330.65875,957.26898
15,0.117,-165.51958,353.39789,1040.68274,14.34374,360.42505,1033.63171,10.60364,331.16229,958.12671
16,0.125,-165.3873,353.40494,1040.8158,14.16771,360.25977,1033.94543,10.60364,331.16229,958.12671
17,0.133,-165.3873,353.40494,1040.8158,14.16771,360.25977,1033.94543,10.4086,331.1842,958.20013
18,0.142,-165.3873,353.40494,1040.8158,14.66033,359.68011,1034.25061,10.4086,331.1842,958.20013
19,0.15,-165.3873,353.40494,1040.8158,14.32826,359.55087,1034.35181,10.4086,331.1842,958.20013
20,0.158,-165.54303,353.43954,1041.34265,14.60993,359.19882,1034.24121,10.4086,331.1842,958.20013
