Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-222.27118,91.47037,1388.55664,-76.98303,82.04554,1306.63806,-304.30179,108.40843,1284.24158,-72.21784,83.83978,1141.78992
2,0.008,-222.49799,91.74897,1388.83081,-76.87804,82.03709,1306.58337,-303.93259,108.40537,1284.28528,-72.21784,83.83978,1141.78992
3,0.017,-222.36462,91.83202,1388.88635,-76.98303,82.04554,1306.63806,-303.83197,108.72526,1284.33105,-72.21784,83.83978,1141.78992
4,0.025,-222.8351,92.16589,1388.99463,-76.90682,82.07436,1306.94385,-303.6871,108.94095,1284.35132,-72.21784,83.83978,1141.78992
5,0.033,-222.8353,92.40004,1388.99524,-76.98303,82.04554,1306.63806,-304.05643,108.94395,1284.30762,-72.49049,83.94688,1142.02161
6,0.042,-223.00668,92.2278,1389.11353,-76.90682,82.07436,1306.94385,-304.03552,109.2391,1284.31152,-72.49049,83.94688,1142.02161
7,0.05,-223.12614,92.38348,1389.22949,-76.90682,82.07436,1306.94385,-304.03552,109.2391,1284.31152,-72.21784,83.83978,1141.78992
8,0.058,-223.05963,92.39619,1389.14905,-76.90682,82.07436,1306.94385,-303.6662,109.23612,1284.35522,-72.21784,83.83978,1141.78992
9,0.067,-223.0881,92.47264,1389.05566,-77.29427,82.06625,1307.19141,-304.14346,109.1443,1284.22571,-72.49049,83.94688,1142.02161
10,0.075,-223.0881,92.47264,1389.05566,-77.44881,82.32585,1307.46765,-304.22458,109.92277,1284.27649,-72.53092,83.81069,1142.14917
11,0.083,-223.38596,92.35131,1389.16138,-77.57239,82.37701,1307.48157,-304.22458,109.92277,1284.27649,-72.53092,83.81069,1142.14917
12,0.092,-223.54694,92.36893,1389.21094,-77.88477,81.36856,1307.39294,-304.362,109.7314,1284.24316,-72.53092,83.81069,1142.14917
13,0.1,-223.62988,92.46219,1389.11963,-78.07545,81.33794,1307.50293,-304.42722,109.81841,1284.17725,-72.54389,83.48901,1142.36389
14,0.108,-223.62988,92.46219,1389.11963,-78.07545,81.33794,1307.50293,-304.6517,109.92643,1283.98035,-72.53092,83.81069,1142.14917
15,0.117,-223.62988,92.46219,1389.11963,-78.07545,81.33794,1307.50293,-304.6517,109.92643,1283.98035,-72.53092,83.81069,1142.14917
16,0.125,-223.62988,92.46219,1389.11963,-78.06034,81.51283,1307.64453,-304.76068,110.57251,1283.91064,-72.53092,83.81069,1142.14917
17,0.133,-223.62988,92.46219,1389.11963,-78.06034,81.51283,1307.64453,-304.84796,110.82359,1284.01929,-72.53249,84.35535,1142.41016
18,0.142,-223.62988,92.46219,1389.11963,-78.06034,81.51283,1307.64453,-304.92273,110.6872,1283.85498,-72.53249,84.35535,1142.41016
19,0.15,-223.62988,92.46219,1389.11963,-78.30361,82.68153,1307.80261,-304.76642,110.04547,1283.96863,-72.53249,84.35535,1142.41016
20,0.158,-223.62988,92.46219,1389.11963,-78.67719,83.13039,1307.72119,-304.84796,110.82359,1284.01929,-72.53249,84.35535,1142.41016
21,0.167,-223.8116,92.64172,1389.12048,-78.22028,84.05383,1307.7179,-304.80417,111.04446,1284.08691,-72.67888,84.55696,1142.38269
22,0.175,-223.8116,92.64172,1389.12048,-78.22028,84.05383,1307.7179,-304.80417,111.04446,1284.08691,-72.67888,84.55696,1142.38269
23,0.183,-223.94615,92.71909,1389.04431,-78.29604,84.86702,1307.75488,-304.80417,111.04446,1284.08691,-72.67888,84.55696,1142.38269
24,0.192,-224.17924,93.11553,1389.00134,-78.29604,84.86702,1307.75488,-304.80417,111.04446,1284.08691,-72.65019,84.73067,1142.23792
25,0.2,-223.68674,93.29272,1388.92468,-78.29604,84.86702,1307.75488,-304.80417,111.04446,1284.08691,-72.65019,84.73067,1142.23792
26,0.208,-223.85805,93.12051,1389.04285,-78.23103,84.96507,1307.57983,-304.80417,111.04446,1284.08691,-72.65019,84.73067,1142.23792
27,0.217,-224.0757,93.27039,1388.95435,-78.29604,84.86702,1307.75488,-304.80417,111.04446,1284.08691,-72.65019,84.73067,1142.23792
28,0.225,-224.0757,93.27039,1388.95435,-78.23103,84.96507,1307.57983,-304.80417,111.04446,1284.08691,-72.65019,84.73067,1142.23792
29,0.233,-224.0757,93.27039,1388.95435,-78.23103,84.96507,1307.57983,-305.51508,111.57502,1284.11377,-72.65019,84.73067,1142.23792
30,0.242,-224.0757,93.27039,1388.95435,-78.55419,84.98504,1307.72876,-305.73978,111.68279,1283.91687,-72.65019,84.73067,1142.23792
31,0.25,-224.30028,93.3912,1388.95764,-78.29604,84.86702,1307.75488,-305.30969,111.22897,1283.96619,-72.65019,84.73067,1142.23792
32,0.258,-224.2981,93.15869,1388.89954,-78.29604,84.86702,1307.75488,-305.17154,111.18028,1283.94727,-72.65019,84.73067,1142.23792
33,0.267,-224.2981,93.15869,1388.89954,-78.29935,84.70577,1307.62134,-305.6532,111.62359,1284.13257,-72.67888,84.55696,1142.38269
34,0.275,-224.2981,93.15869,1388.89954,-79.13367,83.8562,1307.59839,-305.87787,111.73137,1283.93567,-72.67888,84.55696,1142.38269
35,0.283,-224.40007,93.11784,1389.00342,-79.26297,83.89879,1307.60999,-305.87787,111.73137,1283.93567,-72.67888,84.55696,1142.38269
