Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-300.89191,127.59135,1163.4314,-238.94742,-51.36761,1141.0166,-256.6091,330.10391,1067.2832
2,0.008,-300.89191,127.59135,1163.4314,-238.79831,-50.96558,1140.98035,-256.75363,330.22165,1067.34863
3,0.017,-301.51965,127.46519,1163.74976,-238.79831,-50.96558,1140.98035,-256.83994,330.18561,1067.5199
4,0.025,-302.04669,127.45812,1163.97656,-238.79831,-50.96558,1140.98035,-257.41953,330.6944,1067.47009
5,0.033,-301.51965,127.46519,1163.74976,-238.82753,-50.66298,1141.03027,-257.50583,330.65836,1067.64136
6,0.042,-301.51965,127.46519,1163.74976,-238.82753,-50.66298,1141.03027,-257.8103,330.95135,1067.48682
7,0.05,-302.04669,127.45812,1163.97656,-238.60394,-50.17843,1141.48279,-258.36365,330.81122,1067.47766
8,0.058,-302.04669,127.45812,1163.97656,-238.75217,-49.96412,1141.55884,-258.612,331.39969,1067.38708
9,0.067,-302.04669,127.45812,1163.97656,-238.54193,-50.29969,1141.49597,-259.15967,331.62454,1067.42712
10,0.075,-301.92877,127.80688,1163.70325,-238.46571,-50.35625,1141.16345,-259.11417,331.62579,1067.2688
11,0.083,-301.92877,127.80688,1163.70325,-238.4146,-50.44863,1141.12292,-259.15201,331.76999,1067.20825
12,0.092,-301.92877,127.80688,1163.70325,-238.2227,-50.42098,1141.09692,-259.42383,332.40796,1067.13757
13,0.1,-302.09775,129.13991,1163.7085,-238.4146,-50.44863,1141.12292,-259.42383,332.40796,1067.13757
14,0.108,-302.09775,129.13991,1163.7085,-238.14552,-50.29559,1141.06555,-259.55634,332.59375,1066.51489
15,0.117,-302.35153,129.80463,1163.48218,-238.14552,-50.29559,1141.06555,-259.55634,332.59375,1066.51489
16,0.125,-302.42899,130.40611,1163.58997,-238.14552,-50.29559,1141.06555,-259.70932,333.14639,1066.25732
17,0.133,-302.42899,130.40611,1163.58997,-238.14552,-50.29559,1141.06555,-259.7482,332.95752,1066.01599
18,0.142,-302.42899,130.40611,1163.58997,-238.35498,-49.71981,1141.4386,-259.84964,333.1683,1066.11633
19,0.15,-302.42899,130.40611,1163.58997,-238.28262,-49.51357,1141.36377,-260.23932,333.1965,1065.68457
20,0.158,-301.66226,130.56039,1163.41418,-237.93657,-49.48175,1141.22351,-260.23932,333.1965,1065.68457
21,0.167,-302.42899,130.40611,1163.58997,-237.64902,-49.84459,1140.74707,-260.65103,333.17484,1065.45764
22,0.175,-301.66226,130.56039,1163.41418,-237.41571,-50.5031,1139.90662,-260.50647,333.43344,1065.21008
23,0.183,-301.47925,130.966,1163.27686,-237.47438,-50.41495,1139.74072,-260.63,333.48138,1065.17944
24,0.192,-301.47925,130.966,1163.27686,-237.58398,-50.62588,1139.67651,-260.2041,333.93384,1065.21448
25,0.2,-301.8559,131.9005,1163.52051,-237.58398,-50.62588,1139.67651,-259.91409,334.9118,1065.31348
26,0.208,-301.8559,131.9005,1163.52051,-237.6423,-50.65406,1139.47571,-259.83206,334.75592,1065.15063
27,0.217,-301.8559,131.9005,1163.52051,-237.6423,-50.65406,1139.47571,-259.79315,334.9447,1065.39197
28,0.225,-301.8559,131.9005,1163.52051,-237.6423,-50.65406,1139.47571,-259.79315,334.9447,1065.39197
29,0.233,-302.16437,132.46913,1163.745,-237.6423,-50.65406,1139.47571,-259.85593,335.28903,1065.22278
30,0.242,-302.26151,133.14349,1163.72742,-237.679,-50.61526,1139.31348,-259.8515,336.02328,1064.4093
31,0.25,-302.26151,133.14349,1163.72742,-237.39362,-50.76759,1139.10864,-259.78058,336.07104,1064.33533
32,0.258,-302.26151,133.14349,1163.72742,-237.26945,-50.75767,1138.823,-260.06418,336.14685,1064.26965
33,0.267,-302.26151,133.14349,1163.72742,-236.97328,-50.70914,1138.58691,-260.05215,336.42657,1064.17822
34,0.275,-301.827,133.77644,1163.90918,-237.03197,-50.6212,1138.42102,-260.24393,337.02927,1064.28589
35,0.283,-301.6098,133.8576,1164.05579,-236.25484,-50.99774,1138.37915,-260.09824,337.44513,1064.16492
36,0.292,-301.6098,133.8576,1164.05579,-235.85492,-50.91953,1138.20129,-260.33243,337.9873,1064.09937
37,0.3,-300.98093,133.98495,1163.73657,-235.35866,-51.38263,1137.823,-260.54849,338.24924,1064.18115
38,0.308,-300.98093,133.98495,1163.73657,-235.35094,-51.48111,1137.44617,-260.28598,338.12259,1064.16296
39,0.317,-300.0625,134.87572,1163.67615,-235.35094,-51.48111,1137.44617,-259.86121,338.44434,1063.94385
40,0.325,-299.69092,135.74777,1163.17004,-235.34518,-51.71125,1137.20972,-259.86121,338.44434,1063.94385
41,0.333,-300.17044,135.32956,1163.15759,-234.52597,-52.39179,1136.521,-259.86121,338.44434,1063.94385
42,0.342,-300.62338,134.8269,1161.61707,-234.37709,-52.30419,1136.27063,-259.28564,338.78708,1063.82568
43,0.35,-300.01337,136.04718,1162.92004,-234.37709,-52.30419,1136.27063,-259.00107,338.71609,1063.8916
44,0.358,-299.95227,136.3168,1162.78076,-234.27037,-52.56984,1135.8009,-258.55679,339.11459,1063.72852
45,0.367,-298.69339,136.29117,1162.39978,-234.04521,-52.80552,1135.53284,-258.55679,339.11459,1063.72852
46,0.375,-298.69339,136.29117,1162.39978,-233.32043,-53.28164,1135.20972,-258.42929,339.13992,1063.66956
47,0.383,-298.38904,136.42935,1162.54602,-233.32043,-53.28164,1135.20972,-258.42929,339.13992,1063.66956
48,0.392,-297.46591,135.61491,1162.7251,-233.01178,-53.09307,1135.21655,-257.78131,339.40866,1063.69324
49,0.4,-297.46591,135.61491,1162.7251,-232.38289,-53.13343,1134.9657,-257.63437,339.50558,1063.55713
50,0.408,-297.46591,135.61491,1162.7251,-231.90968,-53.32026,1134.80811,-257.26944,339.60831,1063.44031
51,0.417,-297.46591,135.61491,1162.7251,-231.42621,-53.73316,1133.71826,-257.42828,339.60202,1063.34412
52,0.425,-297.31027,135.86015,1162.59949,-231.23642,-53.87814,1133.02344,-256.90994,339.49542,1063.41602
