Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,21.31291,-130.28593,1037.43567,132.35771,-124.38396,1061.63135,132.41502,-18.40095,1086.46167
2,0.008,21.33131,-130.04509,1037.88,131.67758,-125.27727,1063.3844,132.94656,-18.8511,1087.41748
3,0.017,21.06491,-129.99492,1038.31921,131.8,-125.26243,1064.48853,132.39922,-19.25452,1088.47034
4,0.025,20.58869,-130.35947,1038.80542,131.32712,-125.74463,1066.02307,131.52728,-18.60116,1091.0343
5,0.033,20.53515,-130.97258,1039.2688,130.25294,-126.56484,1067.03503,131.99869,-19.75053,1092.84033
6,0.042,20.27039,-131.27736,1040.05359,130.0813,-126.86089,1067.78857,131.22775,-21.15247,1093.56006
7,0.05,20.08186,-131.85782,1040.58496,129.54703,-127.34281,1068.74658,131.2417,-21.67084,1094.02917
8,0.058,20.02861,-132.25313,1041.1543,129.93285,-128.04808,1070.02173,130.13779,-23.42045,1096.09888
9,0.067,19.58483,-132.60493,1042.06201,129.91859,-127.98888,1070.78052,130.36707,-24.14766,1097.92444
10,0.075,19.46863,-132.77554,1042.51257,129.41556,-128.43607,1072.26807,130.11617,-24.65148,1098.86279
11,0.083,19.42548,-132.61653,1043.58972,129.26129,-128.56471,1073.00134,130.34505,-24.60425,1099.37195
12,0.092,19.44011,-132.76204,1044.16406,129.03442,-128.685,1073.8866,130.3795,-24.24754,1100.22009
13,0.1,19.43822,-132.92657,1044.55664,128.78163,-129.6134,1074.5061,128.79788,-24.61061,1103.21606
14,0.108,19.16968,-132.82326,1044.68176,128.0889,-130.34225,1075.40979,129.14653,-24.59232,1103.83923
15,0.117,18.6746,-133.29176,1045.44006,127.65065,-132.04688,1076.44287,129.06009,-25.49311,1104.89331
16,0.125,18.43611,-134.07941,1045.77075,127.38345,-132.0544,1076.90344,129.08051,-25.74519,1105.22021
17,0.133,18.21806,-133.94455,1045.672,127.52758,-132.65115,1078.03101,127.88856,-26.08791,1106.23572
18,0.142,17.95594,-134.41953,1046.67883,127.75017,-133.36923,1078.60681,126.93128,-27.94865,1107.55872
19,0.15,18.13736,-135.43706,1047.06836,126.91128,-134.42245,1080.54065,126.88595,-28.31377,1108.45618
20,0.158,17.57647,-135.62828,1047.44861,126.39347,-134.42953,1081.36292,127.44595,-30.50885,1109.83813
21,0.167,17.57479,-135.99548,1047.70239,126.40728,-134.32057,1081.63184,128.22021,-31.014,1110.96655
22,0.175,17.8224,-136.0623,1048.22693,126.18092,-134.7565,1081.78198,127.38772,-32.34095,1112.13745
23,0.183,17.67589,-135.98991,1048.67554,125.29727,-135.59195,1082.21594,126.9492,-32.48018,1112.61621
24,0.192,17.53583,-136.93617,1048.80139,124.83709,-136.95306,1083.32349,126.43111,-32.57596,1113.52808
25,0.2,16.80814,-138.43625,1049.11426,124.73863,-137.42337,1083.5658,126.18251,-32.82983,1114.21973
26,0.208,16.58483,-138.99042,1049.27087,124.48272,-137.86282,1083.85974,125.37232,-33.29356,1115.43811
27,0.217,15.98381,-139.40202,1049.38989,124.35844,-138.2935,1084.69653,124.78686,-34.04892,1115.93445
28,0.225,15.65777,-139.6496,1049.37952,124.01694,-138.38815,1085.40222,124.73699,-34.78278,1116.8103
29,0.233,15.57436,-139.71542,1049.51062,123.2485,-139.82346,1086.27014,125.13625,-34.82961,1117.36523
30,0.242,15.50201,-139.89026,1049.73975,123.04504,-140.91391,1086.7146,124.02856,-37.47525,1118.38159
31,0.25,15.17435,-140.3644,1049.95386,122.82169,-141.86954,1087.1012,123.76724,-38.86501,1119.42297
32,0.258,14.99703,-140.50136,1049.97595,122.77953,-141.93771,1087.21729,123.9558,-40.0701,1120.42065
33,0.267,14.80979,-140.61787,1050.21753,122.36015,-142.34978,1087.44226,123.84031,-40.25461,1120.6626
34,0.275,14.59542,-141.3409,1050.77429,121.77213,-143.53206,1087.87268,123.50817,-40.68327,1121.81677
35,0.283,14.27138,-141.65045,1051.06726,121.50275,-143.80603,1088.47388,123.26549,-40.78577,1121.93042
36,0.292,13.9714,-142.38776,1050.96606,120.62369,-144.74866,1088.72974,122.87836,-40.7252,1122.63342
37,0.3,13.41492,-142.42163,1051.29333,120.54722,-145.63429,1089.427,121.61823,-41.78003,1123.34424
38,0.308,13.34485,-143.90453,1051.59094,119.90269,-146.37306,1089.98193,122.81201,-41.66665,1124.36072
39,0.317,13.02822,-144.56915,1051.73242,119.77876,-146.85168,1090.12695,122.45893,-44.3774,1125.16736
40,0.325,13.11583,-144.76144,1052.02954,119.51405,-147.27322,1090.22351,122.14915,-45.89735,1125.74744
41,0.333,12.98433,-145.67258,1052.10718,119.40712,-147.81091,1090.63416,121.98682,-46.314,1126.18945
42,0.342,12.59189,-146.24335,1052.11902,119.21587,-148.81393,1091.34314,122.54033,-47.18015,1126.42029
43,0.35,12.44368,-146.27759,1052.21387,118.87445,-149.05479,1091.91064,121.84553,-47.77768,1127.30603
44,0.358,12.25715,-146.43147,1052.22937,118.65202,-150.31483,1091.96899,121.85018,-47.93135,1127.93958
45,0.367,12.36656,-146.74066,1052.5835,118.33979,-151.80917,1092.01514,121.99982,-48.20055,1128.73877
46,0.375,12.23092,-146.95972,1052.51001,118.30474,-152.60709,1092.28796,122.64323,-49.09689,1128.86511
47,0.383,12.01261,-147.66469,1052.33618,117.84801,-153.30748,1092.32605,122.49967,-50.19723,1128.60938
48,0.392,11.96125,-148.0114,1052.35596,117.69019,-153.8508,1092.14355,122.20793,-52.67171,1129.51758
49,0.4,11.84299,-148.19511,1052.4541,117.49967,-154.13908,1092.12451,122.28932,-53.81099,1129.99805
50,0.408,11.74498,-148.28146,1052.53357,117.48784,-154.78677,1092.55139,122.20932,-54.64836,1130.74927
51,0.417,11.5143,-149.39235,1052.60718,117.27116,-156.08403,1092.77747,122.37148,-54.65986,1130.79688
52,0.425,11.38438,-150.71512,1052.4115,117.00944,-156.33217,1092.79089,121.94921,-55.49757,1131.83899
53,0.433,11.28653,-150.86888,1052.69165,116.77048,-157.31317,1093.23303,121.55258,-56.58538,1132.33057
54,0.442,11.00797,-151.42462,1052.776,116.579,-158.85284,1093.32056,121.5119,-57.31474,1132.31592
55,0.45,10.86386,-151.67813,1052.88208,116.12184,-159.58765,1093.30249,121.5119,-57.31474,1132.31592
56,0.458,10.60233,-152.38399,1052.72778,116.37149,-160.68483,1093.31238,121.41969,-59.65176,1132.51331
57,0.467,10.60233,-152.38399,1052.72778,116.64487,-160.92671,1093.35388,121.46164,-60.82331,1132.80396
58,0.475,10.48189,-152.76247,1052.77661,116.20838,-161.49178,1093.10535,121.52492,-60.94095,1133.0083
59,0.483,10.38033,-153.80559,1052.62354,116.25694,-162.39316,1093.2605,122.01718,-61.13383,1133.03699
60,0.492,9.82437,-153.97498,1052.41016,116.12971,-163.3555,1093.198,121.99054,-61.40838,1133.2666
61,0.5,9.55802,-154.46486,1052.57202,116.12971,-163.3555,1093.198,121.5882,-63.10596,1133.3291
62,0.508,10.11684,-154.5005,1052.69934,115.9053,-164.80692,1093.22925,121.554,-63.90796,1133.37683
63,0.517,9.67381,-154.81007,1052.54724,115.46277,-165.72096,1093.14282,121.66073,-65.68967,1134.41174
64,0.525,9.71948,-155.26373,1052.28418,115.03469,-166.37029,1092.94543,122.4591,-66.90458,1134.92126
65,0.533,9.37565,-155.71391,1052.18958,115.03566,-167.40013,1092.69189,122.22871,-67.98948,1134.56543
66,0.542,9.4893,-155.7177,1052.03601,115.29086,-167.81102,1092.41052,123.23526,-68.50404,1134.46692
67,0.55,9.38521,-157.01765,1051.85107,115.61183,-168.31483,1092.57751,123.52683,-68.78638,1134.37769
68,0.558,9.14057,-157.71231,1052.01709,115.56371,-169.13153,1092.45386,123.79567,-69.56744,1134.06848
69,0.567,8.57915,-159.14984,1051.86121,115.36588,-170.29355,1092.41162,123.38548,-71.88412,1134.93628
70,0.575,8.57915,-159.14984,1051.86121,114.73214,-172.24559,1092.09058,123.32335,-73.33074,1134.90942
71,0.583,9.2749,-159.5782,1051.27551,114.47184,-173.07648,1091.91077,123.8164,-73.98274,1134.72534
72,0.592,9.37821,-160.69966,1051.26794,114.46051,-174.04282,1091.42029,123.65894,-74.25519,1135.17346
73,0.6,9.24867,-160.88831,1051.21423,114.36753,-174.65565,1091.20703,123.85071,-74.36115,1135.01855
74,0.608,9.24867,-160.88831,1051.21423,114.16502,-174.88608,1091.1095,123.10821,-75.57312,1135.03906
75,0.617,9.22865,-161.05182,1051.10034,114.13426,-175.75156,1091.01575,122.94147,-76.26711,1135.08472
76,0.625,9.12698,-161.49931,1051.05286,114.24521,-175.97644,1091.06006,122.00723,-79.20997,1134.94043
77,0.633,7.77368,-163.10545,1050.89478,113.59066,-177.08218,1090.80652,122.4507,-80.78519,1135.10156
78,0.642,7.8657,-163.74756,1050.61621,113.38139,-177.92262,1090.70654,122.89395,-81.22167,1135.29602
79,0.65,7.87233,-163.74361,1050.40894,113.01903,-179.64009,1090.66943,124.07137,-81.40955,1135.1947
80,0.658,7.83238,-163.67517,1050.17761,112.99047,-180.36214,1090.27515,124.07137,-81.40955,1135.1947
81,0.667,7.71372,-164.95984,1050.10034,113.33504,-181.045,1090.54248,123.69999,-82.63392,1135.52942
82,0.675,7.71372,-164.95984,1050.10034,113.28297,-181.79152,1090.29102,124.31903,-83.47512,1135.89148
83,0.683,7.23351,-167.22191,1049.86438,113.00435,-182.95695,1089.47864,124.19753,-86.67538,1135.9574
84,0.692,6.86888,-167.50638,1049.17798,112.55478,-183.87471,1089.28345,123.61369,-87.37986,1135.84802
85,0.7,6.72636,-167.55292,1048.87451,112.18558,-185.06512,1088.93713,123.80804,-87.81159,1135.75195
86,0.708,6.78247,-168.27945,1048.65588,111.74062,-186.67221,1088.66882,123.97756,-88.40973,1135.62463
