Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,227.77626,319.09021,1509.45667,410.53952,309.01117,1520.97595,407.02545,283.29852,1445.33313
2,0.008,227.83817,318.74237,1510.14929,410.53952,309.01117,1520.97595,406.99667,283.68301,1445.70947
3,0.017,227.98529,318.04892,1510.18066,410.53952,309.01117,1520.97595,406.7428,284.01486,1446.05273
4,0.025,227.90244,318.21741,1510.43762,410.53952,309.01117,1520.97595,406.86353,283.78989,1446.10364
5,0.033,227.90244,318.21741,1510.43762,410.74091,308.54245,1520.93213,406.86353,283.78989,1446.10364
6,0.042,227.90244,318.21741,1510.43762,410.74091,308.54245,1520.93213,406.86353,283.78989,1446.10364
7,0.05,227.90244,318.21741,1510.43762,410.74091,308.54245,1520.93213,406.86353,283.78989,1446.10364
8,0.058,227.90244,318.21741,1510.43762,410.81143,308.06766,1520.81396,407.14621,283.07339,1445.38403
9,0.067,227.99252,317.98026,1510.57837,410.93762,308.01141,1520.87341,407.14621,283.07339,1445.38403
10,0.075,227.99252,317.98026,1510.57837,410.93762,308.01141,1520.87341,407.14621,283.07339,1445.38403
11,0.083,227.99252,317.98026,1510.57837,410.81143,308.06766,1520.81396,406.96484,282.45444,1445.19141
12,0.092,227.99252,317.98026,1510.57837,411.32269,307.68845,1520.57581,406.96484,282.45444,1445.19141
13,0.1,228.46835,317.83707,1510.53491,411.32269,307.68845,1520.57581,407.08881,282.4584,1445.11755
14,0.108,228.46835,317.83707,1510.53491,411.32269,307.68845,1520.57581,407.17136,282.12866,1444.66663
15,0.117,228.46835,317.83707,1510.53491,411.32269,307.68845,1520.57581,407.17136,282.12866,1444.66663
16,0.125,228.46835,317.83707,1510.53491,411.37668,307.76749,1520.39246,407.18985,282.53802,1444.25159
17,0.133,228.46835,317.83707,1510.53491,411.37668,307.76749,1520.39246,407.18985,282.53802,1444.25159
18,0.142,228.52121,317.98752,1510.3988,411.37668,307.76749,1520.39246,407.39453,282.39099,1444.64795
19,0.15,228.43111,318.22467,1510.25806,411.50293,307.71118,1520.45203,407.87497,282.18015,1444.63501
20,0.158,228.46835,317.83707,1510.53491,411.37668,307.76749,1520.39246,408.26572,283.0347,1444.64417
21,0.167,228.46835,317.83707,1510.53491,411.50293,307.71118,1520.45203,407.91116,283.31253,1444.8407
22,0.175,228.46835,317.83707,1510.53491,411.77536,307.67029,1520.81848,407.935,283.08832,1445.07703
23,0.183,228.75009,317.74133,1511.11768,411.77536,307.67029,1520.81848,408.12872,283.43207,1445.05115
24,0.192,228.94028,317.81894,1511.33411,411.70477,308.14511,1520.93665,408.10507,282.87424,1445.50537
