Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,677.20227,-102.30434,1548.29614,682.23419,-59.80087,1514.64661,712.59473,-26.1653,1513.72009,754.69525,-8.07031,1504.80469,759.44086,-83.28587,1556.44116,815.26556,-77.86909,1545.94873,865.40509,-78.48396,1538.28076
2,0.008,677.61609,-101.86678,1548.62732,682.03534,-58.97343,1514.00269,711.64862,-25.31009,1512.67212,754.0863,-7.80068,1502.79724,761.59009,-85.83234,1556.1604,816.55487,-77.63832,1545.85803,864.88464,-78.50151,1537.18848
3,0.017,677.52515,-101.66166,1548.64111,682.42371,-59.82055,1514.55676,713.04718,-27.35803,1511.73694,754.0863,-7.80068,1502.79724,761.50848,-84.06476,1555.89258,815.95837,-77.2262,1544.43469,865.46509,-78.76173,1535.79553
4,0.025,677.73431,-101.71638,1548.84363,682.20599,-58.96477,1513.92053,712.77191,-26.73127,1510.92419,755.0722,-8.67112,1502.3208,761.79358,-82.51291,1555.03223,815.69287,-75.9469,1543.83618,865.51886,-78.73782,1534.47827
5,0.033,677.76294,-101.78764,1548.51611,682.11591,-59.50779,1514.4082,713.74573,-27.37518,1510.96582,754.82343,-8.69132,1502.49512,762.0332,-83.27367,1554.88428,816.24078,-77.34657,1542.83777,865.70557,-78.88688,1534.13782
6,0.042,677.84039,-102.07003,1548.34094,682.4892,-59.08541,1513.94531,713.30725,-26.92873,1510.48816,755.0722,-8.67112,1502.3208,762.8316,-83.6998,1554.68909,816.51648,-77.42613,1542.61487,865.88458,-79.33112,1533.70911
7,0.05,677.71014,-101.91843,1548.2002,682.22821,-59.05388,1513.51514,713.30725,-26.92873,1510.48816,755.15503,-8.76091,1502.53442,762.8316,-83.6998,1554.68909,816.69275,-77.7597,1542.6438,866.06671,-79.35493,1533.70105
8,0.058,677.83344,-102.10503,1548.13916,682.22821,-59.05388,1513.51514,712.65924,-26.5654,1510.74768,755.01538,-8.79824,1502.70581,762.68762,-84.74858,1555.29968,816.25085,-78.10734,1542.9281,866.06671,-79.35493,1533.70105
9,0.067,677.80212,-102.31227,1548.05664,682.22821,-59.05388,1513.51514,712.54401,-25.97387,1511.03662,754.72681,-7.99188,1503.30981,760.41193,-84.73379,1555.88074,816.63348,-80.25426,1543.28186,865.98108,-79.3003,1534.09827
10,0.075,677.94098,-102.58721,1547.99976,682.22821,-59.05388,1513.51514,712.15759,-25.76417,1513.41089,755.4696,-9.33301,1505.45959,761.26617,-85.93908,1555.7406,816.77686,-80.11363,1543.71582,866.04065,-79.25,1535.08118
11,0.083,677.6972,-102.6582,1547.83643,682.22821,-59.05388,1513.51514,711.76202,-27.22877,1513.80042,753.82404,-8.08857,1507.9502,761.42578,-86.59077,1556.59924,816.26898,-80.39228,1544.4635,865.55139,-80.24078,1537.20007
12,0.092,677.91534,-102.1319,1547.42078,682.46173,-59.91191,1514.11523,712.78711,-27.72093,1514.72424,753.8938,-8.01665,1509.17285,761.67303,-85.32687,1556.43494,816.70038,-81.27917,1546.05908,865.62152,-80.14645,1538.97046
13,0.1,677.9035,-102.90959,1547.3031,682.46173,-59.91191,1514.11523,713.75385,-28.8068,1515.83167,753.54773,-8.08049,1509.60229,761.64117,-85.1912,1557.82239,817.08173,-81.32831,1546.74023,865.59045,-80.19875,1539.21765
14,0.108,677.65826,-102.89644,1546.14319,682.46173,-59.91191,1514.11523,713.12653,-28.22638,1515.73865,752.47272,-6.58315,1510.92053,761.03247,-84.68559,1558.59839,816.87878,-80.82925,1548.4187,865.76904,-80.01289,1540.23975
15,0.117,677.65826,-102.89644,1546.14319,682.46173,-59.91191,1514.11523,713.1076,-28.30122,1516.13416,752.39325,-5.08982,1512.19531,760.39069,-84.33148,1559.75879,816.75781,-81.29634,1549.45898,865.60242,-79.46716,1542.22241
16,0.125,677.52136,-102.76633,1545.89136,682.46173,-59.91191,1514.11523,712.93787,-28.99071,1516.75964,750.99457,-6.7897,1513.94714,760.39069,-84.33148,1559.75879,816.64099,-81.82111,1550.23914,865.7381,-80.72153,1544.33765
17,0.133,677.61548,-103.36894,1545.83276,682.46173,-59.91191,1514.11523,714.13452,-32.13362,1517.11658,750.94165,-6.84862,1514.77026,760.39069,-84.33148,1559.75879,815.69287,-81.09483,1551.54492,865.65417,-81.03487,1544.57202
18,0.142,677.57135,-103.62262,1545.98535,682.46173,-59.91191,1514.11523,713.51703,-33.24025,1517.19531,751.6795,-7.94422,1515.33374,759.94415,-84.31347,1559.75317,815.54492,-81.04358,1551.80591,865.48096,-80.12251,1545.93872
