Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-150.10266,87.57109,1340.15283,-19.0001,92.92015,1242.65491,-255.26334,88.62893,1254.08582,-52.49085,98.47443,1080.74768
2,0.008,-149.9677,87.55855,1340.10596,-19.0001,92.92015,1242.65491,-255.12936,88.8577,1254.04663,-52.54657,98.26568,1080.55994
3,0.017,-149.9677,87.55855,1340.10596,-18.81283,93.27309,1242.53723,-254.91939,89.16697,1254.1781,-52.50392,98.3458,1080.46204
4,0.025,-149.87685,87.70139,1340.23633,-18.60672,93.53347,1242.53308,-254.91939,89.16697,1254.1781,-52.4482,98.55455,1080.64978
5,0.033,-150.0388,87.85317,1340.21692,-18.60672,93.53347,1242.53308,-254.91939,89.16697,1254.1781,-52.49085,98.47443,1080.74768
6,0.042,-150.16168,87.92087,1340.36243,-18.6521,93.44494,1242.64917,-254.91939,89.16697,1254.1781,-52.10121,98.69124,1080.78882
7,0.05,-150.46304,88.95892,1340.23218,-18.6521,93.44494,1242.64917,-254.91939,89.16697,1254.1781,-52.10121,98.69124,1080.78882
8,0.058,-150.62927,88.97061,1340.36755,-18.6303,93.77409,1242.91479,-255.08249,89.24673,1254.19421,-51.90286,98.92683,1081.24646
9,0.067,-150.86317,89.12482,1340.50049,-18.6303,93.77409,1242.91479,-255.51668,89.65741,1254.04517,-51.90286,98.92683,1081.24646
10,0.075,-151.73912,89.38503,1341.01416,-18.62257,93.93065,1243.09106,-255.51668,89.65741,1254.04517,-51.64635,98.7748,1081.57483
11,0.083,-151.89665,89.42718,1341.03394,-18.77281,93.47708,1243.30774,-255.72762,89.4492,1254.0177,-51.64635,98.7748,1081.57483
12,0.092,-152.4153,89.36629,1341.18091,-18.83602,93.38603,1243.54517,-255.72762,89.4492,1254.0177,-51.64635,98.7748,1081.57483
13,0.1,-152.51219,89.24039,1341.29395,-19.08778,93.21382,1243.97937,-255.72762,89.4492,1254.0177,-51.5965,98.55103,1082.02209
14,0.108,-152.60513,89.06353,1341.37122,-19.71089,92.60117,1244.98328,-255.81543,89.63954,1254.08691,-51.5965,98.55103,1082.02209
15,0.117,-152.76323,88.84738,1341.42224,-19.71089,92.60117,1244.98328,-255.81543,89.63954,1254.08691,-51.24905,98.44834,1082.1709
16,0.125,-152.62889,88.76374,1341.46631,-19.25741,92.40793,1244.97986,-255.72762,89.4492,1254.0177,-51.18338,98.10683,1082.37817
17,0.133,-152.76323,88.84738,1341.42224,-19.1839,92.29779,1244.79419,-255.87534,89.11819,1253.94824,-51.14211,97.98359,1082.49316
18,0.142,-152.64098,88.70872,1341.36768,-18.84423,92.2737,1244.34692,-255.87534,89.11819,1253.94824,-51.05579,98.31425,1081.92285
19,0.15,-152.42068,87.97569,1341.3291,-18.84423,92.2737,1244.34692,-255.72762,89.4492,1254.0177,-51.26593,98.38292,1081.92102
20,0.158,-151.20232,88.19812,1340.74646,-18.70635,93.1366,1243.51563,-255.27705,89.03681,1254.1731,-51.55821,98.45773,1081.75537
21,0.167,-150.48911,87.68298,1340.73499,-18.71407,92.98007,1243.33936,-255.11394,88.95705,1254.1571,-51.55821,98.45773,1081.75537
22,0.175,-150.18036,87.53029,1340.60608,-18.73586,92.65087,1243.07385,-254.93762,89.03766,1254.31091,-51.69883,97.84599,1081.44922
23,0.183,-149.81508,87.54203,1340.27454,-18.80234,92.99138,1242.86584,-254.93762,89.03766,1254.31091,-51.93845,97.73362,1080.87671
24,0.192,-149.54843,87.71787,1340.13025,-18.60672,93.53347,1242.53308,-254.73741,88.94763,1254.40405,-52.11537,97.75765,1080.03918
25,0.2,-149.4305,87.51804,1340.19324,-18.4762,93.12956,1241.95044,-254.66454,88.52157,1254.61108,-51.94611,97.8671,1079.86877
26,0.208,-149.30502,87.47159,1340.13403,-17.90845,92.90586,1241.60938,-254.66454,88.52157,1254.61108,-51.94611,97.8671,1079.86877
27,0.217,-149.01749,87.21011,1340.07788,-18.1639,92.86853,1241.41345,-254.40552,88.99347,1254.50684,-52.01158,98.136,1079.73572
28,0.225,-148.96405,87.25339,1339.9978,-18.11213,92.74471,1241.53259,-254.40552,88.99347,1254.50684,-51.85262,98.24162,1079.25891
29,0.233,-148.75287,87.32813,1339.95715,-18.12596,92.94678,1241.31189,-254.70023,87.96911,1254.46863,-51.85262,98.24162,1079.25891
30,0.242,-149.01749,87.21011,1340.07788,-18.12596,92.94678,1241.31189,-254.74748,88.07015,1254.33325,-51.85262,98.24162,1079.25891
31,0.25,-149.27037,87.3922,1339.96631,-18.11213,92.74471,1241.53259,-254.70023,87.96911,1254.46863,-52.01158,98.136,1079.73572
32,0.258,-149.38583,87.28055,1339.88538,-18.53839,92.8981,1241.71729,-254.81898,88.26704,1254.15784,-51.94611,97.8671,1079.86877
33,0.267,-149.66391,87.60622,1340.04919,-19.03445,93.13001,1242.13965,-255.10262,88.18421,1253.99915,-51.94611,97.8671,1079.86877
34,0.275,-150.02338,87.2171,1340.04431,-18.6521,93.44494,1242.64917,-255.26573,88.26377,1254.01514,-51.9754,97.9793,1080.18433
35,0.283,-150.32149,87.15911,1340.33044,-18.73586,92.65087,1243.07385,-255.27875,88.52958,1253.97534,-52.08096,98.36983,1080.66687
36,0.292,-151.18138,87.16683,1340.75952,-18.73586,92.65087,1243.07385,-255.27875,88.52958,1253.97534,-51.48355,97.81709,1081.66284
37,0.3,-152.21381,87.24868,1341.33923,-18.92254,92.45776,1243.67749,-255.81206,88.23645,1254.21094,-51.1697,97.23491,1081.82117
38,0.308,-152.4821,87.18459,1341.24402,-18.49822,91.95744,1244.64587,-256.06845,88.69562,1253.9502,-51.08716,96.95888,1082.27844
39,0.317,-152.65182,87.5499,1341.1908,-18.70018,91.92183,1245.52197,-256.38922,88.43592,1253.96655,-51.06384,96.8493,1082.38513
40,0.325,-152.87502,87.69376,1341.2627,-19.26029,91.24949,1245.79114,-256.38113,88.53071,1254.09131,-51.11652,96.77821,1082.47693
41,0.333,-152.87502,87.69376,1341.2627,-19.26029,91.24949,1245.79114,-256.38113,88.53071,1254.09131,-51.11652,96.77821,1082.47693
42,0.342,-152.87502,87.69376,1341.2627,-19.29209,91.30638,1245.96008,-255.92194,89.12218,1254.19348,-51.11652,96.77821,1082.47693
43,0.35,-152.76657,87.86776,1341.46667,-19.8089,91.45841,1245.80554,-255.92194,89.12218,1254.19348,-51.11652,96.77821,1082.47693
44,0.358,-152.50299,88.18394,1341.75879,-18.95529,91.12617,1245.87109,-255.98807,89.50589,1254.43921,-51.11652,96.77821,1082.47693
45,0.367,-152.50299,88.18394,1341.75879,-18.57454,91.94734,1245.44653,-255.98807,89.50589,1254.43921,-51.11652,96.77821,1082.47693
46,0.375,-152.50009,88.1017,1341.86267,-18.26739,92.05201,1245.09412,-255.98807,89.50589,1254.43921,-51.06384,96.8493,1082.38513
47,0.383,-151.84,88.08195,1341.5575,-18.30556,92.33059,1244.59351,-255.72906,89.54167,1254.45044,-51.68664,96.8108,1082.2356
48,0.392,-150.84567,88.00726,1341.14966,-18.43413,92.93235,1243.50439,-255.12766,89.19889,1254.64746,-51.75232,97.15236,1082.02832
