Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,315.63074,-114.84634,315.66098,224.31906,-125.52601,84.63028,278.26938,-31.05247,102.8734
2,0.008,315.60422,-114.58044,315.71945,224.31906,-125.52601,84.63028,278.22144,-31.17376,102.97755
3,0.017,315.63074,-114.84634,315.66098,224.31906,-125.52601,84.63028,278.22144,-31.17376,102.97755
4,0.025,315.56763,-114.95138,315.76031,224.31906,-125.52601,84.63028,278.26938,-31.05247,102.8734
5,0.033,315.5209,-114.6604,315.57916,224.31906,-125.52601,84.63028,278.26938,-31.05247,102.8734
6,0.042,315.63074,-114.84634,315.66098,224.31906,-125.52601,84.63028,278.26938,-31.05247,102.8734
7,0.05,315.54111,-114.68547,315.81876,224.31906,-125.52601,84.63028,278.22144,-31.17376,102.97755
8,0.058,315.40967,-114.62183,315.75302,224.4075,-125.36508,84.45583,278.26938,-31.05247,102.8734
9,0.067,315.51746,-114.76313,315.70865,224.31906,-125.52601,84.63028,278.26938,-31.05247,102.8734
10,0.075,315.42783,-114.60227,315.86642,224.31906,-125.52601,84.63028,278.15631,-30.98016,102.98959
11,0.083,314.74231,-114.82053,315.81784,224.31906,-125.52601,84.63028,278.10205,-31.05705,103.05721
12,0.092,314.88809,-114.63898,315.79941,224.01309,-125.53875,84.63898,278.21512,-31.12935,102.94103
13,0.1,314.90027,-115.15009,315.82516,224.31906,-125.52601,84.63028,278.21512,-31.12935,102.94103
14,0.108,314.87375,-114.88418,315.88364,224.20035,-125.76147,84.71474,278.21512,-31.12935,102.94103
15,0.117,314.63248,-114.95319,315.92548,224.01309,-125.53875,84.63898,278.10205,-31.05705,103.05721
16,0.125,314.65903,-115.21912,315.867,224.01309,-125.53875,84.63898,278.10205,-31.05705,103.05721
17,0.133,314.65903,-115.21912,315.867,224.01309,-125.53875,84.63898,278.14279,-31.20504,103.18935
18,0.142,314.65903,-115.21912,315.867,223.89439,-125.77419,84.72343,278.02991,-31.19117,103.17387
19,0.15,314.65903,-115.21912,315.867,223.89439,-125.77419,84.72343,278.02991,-31.19117,103.17387
20,0.158,314.65903,-115.21912,315.867,224.31906,-125.52601,84.63028,277.63498,-31.14277,103.33868
21,0.167,314.63248,-114.95319,315.92548,223.89439,-125.77419,84.72343,277.67572,-31.29081,103.47083
22,0.175,314.65903,-115.21912,315.867,223.89439,-125.77419,84.72343,277.63498,-31.14277,103.33868
23,0.183,314.65903,-115.21912,315.867,224.01309,-125.53875,84.63898,277.63498,-31.14277,103.33868
24,0.192,314.59048,-115.28271,315.72925,224.01309,-125.53875,84.63898,277.74805,-31.21501,103.22252
25,0.2,314.76883,-115.08646,315.7594,224.4075,-125.36508,84.45583,277.67572,-31.29081,103.47083
26,0.208,314.68549,-115.1664,315.61911,224.01309,-125.53875,84.63898,277.63498,-31.14277,103.33868
27,0.217,314.76883,-115.08646,315.7594,224.31906,-125.52601,84.63028,277.70715,-31.00859,103.22205
28,0.225,315.11505,-115.29531,315.61401,224.11963,-125.3159,84.75048,277.86096,-31.22886,103.23802
29,0.233,315.11505,-115.29531,315.61401,224.31906,-125.52601,84.63028,277.82022,-31.08085,103.10587
30,0.242,315.11505,-115.29531,315.61401,224.31906,-125.52601,84.63028,277.82022,-31.08085,103.10587
31,0.25,315.11505,-115.29531,315.61401,224.4789,-125.59483,84.83677,277.70715,-31.00859,103.22205
32,0.258,315.3385,-115.21291,315.63849,224.4789,-125.59483,84.83677,278.00134,-31.07227,103.25497
33,0.267,315.11505,-115.29531,315.61401,224.39046,-125.75574,85.01122,278.04205,-31.22029,103.38711
34,0.275,315.11505,-115.29531,315.61401,224.08453,-125.76848,85.0199,278.1076,-31.26857,103.24247
35,0.283,315.11505,-115.29531,315.61401,224.39046,-125.75574,85.01122,278.11441,-31.14454,103.13879
36,0.292,315.11505,-115.29531,315.61401,224.39046,-125.75574,85.01122,278.11441,-31.14454,103.13879
37,0.3,314.98361,-115.23168,315.54825,224.4789,-125.59483,84.83677,278.39624,-31.12082,103.09011
38,0.308,314.87033,-115.14848,315.59589,224.17297,-125.60757,84.84544,278.39624,-31.12082,103.09011
39,0.317,314.93024,-115.31326,315.63724,224.08453,-125.76848,85.0199,278.5025,-31.31715,103.07761
40,0.325,314.7988,-115.24962,315.57144,224.27177,-125.9912,85.0957,278.55008,-31.34113,103.10604
41,0.333,314.7988,-115.24962,315.57144,224.27177,-125.9912,85.0957,277.85532,-30.92579,102.96519
42,0.342,314.7038,-115.36593,315.68161,224.4789,-125.59483,84.83677,278.38943,-31.24483,103.19379
43,0.35,314.59048,-115.28271,315.72925,223.96584,-126.00391,85.10435,278.14911,-31.24946,103.22585
44,0.358,314.59048,-115.28271,315.72925,224.05431,-125.84305,84.92991,278.43021,-31.39284,103.3259
45,0.367,314.59048,-115.28271,315.72925,224.08453,-125.76848,85.0199,278.14911,-31.24946,103.22585
46,0.375,314.59048,-115.28271,315.72925,224.05431,-125.84305,84.92991,278.31015,-31.20044,103.00553
47,0.383,314.72192,-115.34634,315.79501,224.05431,-125.84305,84.92991,278.14911,-31.24946,103.22585
48,0.392,314.59048,-115.28271,315.72925,223.89439,-125.77419,84.72343,278.14911,-31.24946,103.22585
49,0.4,314.62958,-115.52931,315.90744,223.96584,-126.00391,85.10435,278.43021,-31.39284,103.3259
50,0.408,314.62958,-115.52931,315.90744,224.05431,-125.84305,84.92991,278.43021,-31.39284,103.3259
51,0.417,314.74023,-115.5351,315.79349,224.04175,-125.83873,84.85525,278.43021,-31.39284,103.3259
52,0.425,314.74023,-115.5351,315.79349,224.01309,-125.53875,84.63898,278.43021,-31.39284,103.3259
53,0.433,314.90051,-115.71625,315.76422,223.98286,-125.61332,84.54899,277.66443,-31.10913,103.30863
54,0.442,314.7691,-115.65263,315.69846,223.85159,-125.84444,84.55877,277.70517,-31.25716,103.44078
55,0.45,314.74023,-115.5351,315.79349,223.95103,-125.66436,84.38351,277.74789,-31.15661,103.35419
56,0.458,314.87167,-115.59871,315.85922,224.13582,-126.01842,84.50576,277.74789,-31.15661,103.35419
57,0.467,314.83524,-115.42955,315.74738,223.89439,-125.77419,84.72343,277.82022,-31.08085,103.10587
58,0.475,314.7691,-115.65263,315.69846,223.89439,-125.77419,84.72343,277.74789,-31.15661,103.35419
59,0.483,314.87167,-115.59871,315.85922,223.89439,-125.77419,84.72343,277.74789,-31.15661,103.35419
60,0.492,314.89639,-115.68999,315.73514,224.20035,-125.76147,84.71474,277.67572,-31.29081,103.47083
61,0.5,314.7038,-115.36593,315.68161,224.20035,-125.76147,84.71474,277.67572,-31.29081,103.47083
62,0.508,314.7038,-115.36593,315.68161,224.31906,-125.52601,84.63028,277.86096,-31.22886,103.23802
63,0.517,314.7038,-115.36593,315.68161,224.31906,-125.52601,84.63028,277.74805,-31.21501,103.22252
64,0.525,314.59048,-115.28271,315.72925,224.01309,-125.53875,84.63898,277.86096,-31.22886,103.23802
65,0.533,314.59048,-115.28271,315.72925,224.20035,-125.76147,84.71474,277.70715,-31.00859,103.22205
66,0.542,314.65903,-115.21912,315.867,224.20035,-125.76147,84.71474,277.74789,-31.15661,103.35419
67,0.55,314.65903,-115.21912,315.867,224.31906,-125.52601,84.63028,277.82022,-31.08085,103.10587
68,0.558,314.59048,-115.28271,315.72925,224.20035,-125.76147,84.71474,278.25589,-31.27734,103.07317
69,0.567,314.65903,-115.21912,315.867,224.20035,-125.76147,84.71474,278.21512,-31.12935,102.94103
70,0.575,314.59048,-115.28271,315.72925,224.31906,-125.52601,84.63028,278.14279,-31.20504,103.18935
71,0.583,314.6152,-115.37399,315.60516,223.89439,-125.77419,84.72343,278.10205,-31.05705,103.05721
72,0.592,314.72192,-115.34634,315.79501,224.31906,-125.52601,84.63028,278.43701,-31.26881,103.22223
73,0.6,314.83524,-115.42955,315.74738,223.89439,-125.77419,84.72343,278.55008,-31.34113,103.10604
74,0.608,314.7038,-115.36593,315.68161,224.20035,-125.76147,84.71474,278.54327,-31.46515,103.20972
75,0.617,314.7038,-115.36593,315.68161,224.20035,-125.76147,84.71474,278.43021,-31.39284,103.3259
76,0.625,314.59048,-115.28271,315.72925,224.20035,-125.76147,84.71474,278.14911,-31.24946,103.22585
77,0.633,314.79349,-115.74122,315.57147,223.89439,-125.77419,84.72343,278.14911,-31.24946,103.22585
78,0.642,314.7038,-115.36593,315.68161,223.89439,-125.77419,84.72343,278.14911,-31.24946,103.22585
79,0.65,314.71967,-115.80856,315.79807,223.98286,-125.61332,84.54899,278.54327,-31.46515,103.20972
80,0.658,314.87549,-115.96075,315.73682,223.89439,-125.77419,84.72343,278.26218,-31.32176,103.10967
81,0.667,314.87549,-115.96075,315.73682,224.20035,-125.76147,84.71474,278.14911,-31.24946,103.22585
82,0.675,314.74408,-115.89715,315.67108,224.20035,-125.76147,84.71474,278.43021,-31.39284,103.3259
83,0.683,314.90051,-115.71625,315.76422,223.89439,-125.77419,84.72343,278.43021,-31.39284,103.3259
84,0.692,314.74408,-115.89715,315.67108,223.89439,-125.77419,84.72343,278.54327,-31.46515,103.20972
85,0.7,314.87549,-115.96075,315.73682,223.89439,-125.77419,84.72343,278.43021,-31.39284,103.3259
86,0.708,314.71967,-115.80856,315.79807,223.89439,-125.77419,84.72343,278.54327,-31.46515,103.20972
87,0.717,314.79349,-115.74122,315.57147,223.89439,-125.77419,84.72343,277.70517,-31.25716,103.44078
88,0.725,314.71967,-115.80856,315.79807,223.89439,-125.77419,84.72343,277.70517,-31.25716,103.44078
89,0.733,314.71967,-115.80856,315.79807,223.89439,-125.77419,84.72343,277.74789,-31.15661,103.35419
90,0.742,314.92493,-115.80483,315.63724,223.89439,-125.77419,84.72343,277.86096,-31.22886,103.23802
91,0.75,314.74023,-115.5351,315.79349,224.13582,-126.01842,84.50576,277.74789,-31.15661,103.35419
92,0.758,314.74023,-115.5351,315.79349,223.89439,-125.77419,84.72343,277.67572,-31.29081,103.47083
93,0.767,314.62958,-115.52931,315.90744,224.01309,-125.53875,84.63898,277.67572,-31.29081,103.47083
94,0.775,314.74023,-115.5351,315.79349,223.89439,-125.77419,84.72343,277.67572,-31.29081,103.47083
95,0.783,314.62958,-115.52931,315.90744,223.89439,-125.77419,84.72343,277.67572,-31.29081,103.47083
96,0.792,314.59048,-115.28271,315.72925,224.20035,-125.76147,84.71474,277.78879,-31.36305,103.35467
97,0.8,314.59048,-115.28271,315.72925,224.20035,-125.76147,84.71474,277.67572,-31.29081,103.47083
98,0.808,314.59048,-115.28271,315.72925,223.89439,-125.77419,84.72343,277.67572,-31.29081,103.47083
99,0.817,314.62958,-115.52931,315.90744,224.01309,-125.53875,84.63898,277.67572,-31.29081,103.47083
100,0.825,314.74023,-115.5351,315.79349,223.98286,-125.61332,84.54899,277.74789,-31.15661,103.35419
101,0.833,314.74023,-115.5351,315.79349,223.95103,-125.66436,84.38351,277.86096,-31.22886,103.23802
102,0.842,314.76495,-115.62637,315.66937,224.32843,-125.88136,84.75581,277.78879,-31.36305,103.35467
103,0.85,314.79349,-115.74122,315.57147,224.02249,-125.89408,84.76445,278.1001,-31.30556,103.27594
104,0.858,314.74023,-115.5351,315.79349,224.20723,-126.24815,84.88673,278.1001,-31.30556,103.27594
105,0.867,314.74408,-115.89715,315.67108,224.16443,-126.31834,84.72209,278.1001,-31.30556,103.27594
106,0.875,314.74408,-115.89715,315.67108,224.50246,-126.43257,84.83545,278.43021,-31.39284,103.3259
107,0.883,314.74408,-115.89715,315.67108,224.25316,-126.33543,84.50425,278.14911,-31.24946,103.22585
108,0.892,314.74408,-115.89715,315.67108,224.26387,-126.13828,84.54684,278.43021,-31.39284,103.3259
109,0.9,314.73279,-115.92645,315.90671,224.02249,-125.89408,84.76445,278.43021,-31.39284,103.3259
110,0.908,314.74408,-115.89715,315.67108,224.03622,-125.83751,84.0374,278.14911,-31.24946,103.22585
111,0.917,314.93094,-116.12357,315.82269,224.25316,-126.33543,84.50425,278.14911,-31.24946,103.22585
112,0.925,314.62579,-115.95144,315.71396,224.20723,-126.24815,84.88673,278.43021,-31.39284,103.3259
113,0.933,314.74408,-115.89715,315.67108,224.13582,-126.01842,84.50576,278.2363,-31.52423,103.44173
114,0.942,314.74408,-115.89715,315.67108,224.22429,-125.85756,84.33132,278.5174,-31.66768,103.54177
115,0.95,314.74408,-115.89715,315.67108,223.95103,-125.66436,84.38351,278.14911,-31.24946,103.22585
116,0.958,314.75171,-115.99672,315.95651,223.89439,-125.77419,84.72343,278.43021,-31.39284,103.3259
117,0.967,314.87549,-115.96075,315.73682,224.39899,-126.07588,84.33243,278.43021,-31.39284,103.3259
118,0.975,314.7691,-115.65263,315.69846,223.98286,-125.61332,84.54899,278.43021,-31.39284,103.3259
119,0.983,314.74023,-115.5351,315.79349,223.85159,-125.84444,84.55877,278.54327,-31.46515,103.20972
120,0.992,314.74023,-115.5351,315.79349,224.20035,-125.76147,84.71474,278.1001,-31.30556,103.27594
121,1,314.74023,-115.5351,315.79349,224.20035,-125.76147,84.71474,277.86096,-31.22886,103.23802
122,1.008,314.62958,-115.52931,315.90744,223.89439,-125.77419,84.72343,277.74789,-31.15661,103.35419
123,1.017,314.59048,-115.28271,315.72925,224.20035,-125.76147,84.71474,277.74789,-31.15661,103.35419
124,1.025,314.59048,-115.28271,315.72925,223.89439,-125.77419,84.72343,277.78879,-31.36305,103.35467
125,1.033,314.59048,-115.28271,315.72925,223.89439,-125.77419,84.72343,277.67572,-31.29081,103.47083
126,1.042,314.59048,-115.28271,315.72925,223.98286,-125.61332,84.54899,277.63498,-31.14277,103.33868
127,1.05,314.59048,-115.28271,315.72925,223.89439,-125.77419,84.72343,277.78879,-31.36305,103.35467
128,1.058,314.59048,-115.28271,315.72925,223.89439,-125.77419,84.72343,277.67572,-31.29081,103.47083
129,1.067,314.59048,-115.28271,315.72925,223.89439,-125.77419,84.72343,277.67572,-31.29081,103.47083
130,1.075,314.59048,-115.28271,315.72925,224.20035,-125.76147,84.71474,277.67572,-31.29081,103.47083
131,1.083,314.65903,-115.21912,315.867,223.89439,-125.77419,84.72343,277.67572,-31.29081,103.47083
132,1.092,314.59048,-115.28271,315.72925,224.20035,-125.76147,84.71474,277.67572,-31.29081,103.47083
133,1.1,314.59048,-115.28271,315.72925,223.89439,-125.77419,84.72343,277.74789,-31.15661,103.35419
134,1.108,314.65903,-115.21912,315.867,224.20035,-125.76147,84.71474,277.86096,-31.22886,103.23802
