Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,120.09293,-133.84944,549.94495,252.25352,-80.81026,613.59033,274.48618,-154.28722,531.48871,293.66211,-21.14005,523.32977
2,0.008,120.33722,-133.52037,549.81946,252.00555,-80.71596,613.55975,274.54041,-154.26344,531.82251,293.61169,-21.0374,523.1947
3,0.017,120.49026,-133.31807,549.73682,252.00555,-80.71596,613.55975,274.82181,-154.41135,531.8548,293.61169,-21.0374,523.1947
4,0.025,120.49026,-133.31807,549.73682,252.11685,-80.63086,613.59644,274.38828,-154.20491,531.76819,293.87219,-21.13834,523.27924
5,0.033,120.49026,-133.31807,549.73682,252.19231,-80.43724,613.6311,274.50778,-154.30051,532.0191,293.61169,-21.0374,523.1947
6,0.042,120.49026,-133.31807,549.73682,252.07808,-80.57976,613.54858,274.65991,-154.35902,532.07349,293.61169,-21.0374,523.1947
7,0.05,120.49026,-133.31807,549.73682,252.41626,-80.36925,613.60071,274.38828,-154.20491,531.76819,293.87219,-21.13834,523.27924
8,0.058,120.49026,-133.31807,549.73682,252.44608,-80.33278,613.72223,274.38828,-154.20491,531.76819,293.61169,-21.0374,523.1947
9,0.067,120.49026,-133.31807,549.73682,252.45329,-80.58685,613.52716,274.38828,-154.20491,531.76819,293.61169,-21.0374,523.1947
10,0.075,120.33722,-133.52037,549.81946,252.49956,-80.59846,613.41443,274.71255,-154.3053,531.48645,293.87219,-21.13834,523.27924
11,0.083,120.49026,-133.31807,549.73682,252.45329,-80.58685,613.52716,274.66962,-154.35283,531.80042,294.05557,-21.23445,523.12842
12,0.092,120.49026,-133.31807,549.73682,252.63748,-80.68205,613.6731,274.66962,-154.35283,531.80042,293.87219,-21.13834,523.27924
13,0.1,120.49026,-133.31807,549.73682,252.72252,-80.74477,613.60822,274.82181,-154.41135,531.8548,294.05557,-21.23445,523.12842
14,0.108,120.49026,-133.31807,549.73682,252.76222,-80.60442,613.44128,274.71255,-154.3053,531.48645,294.2634,-21.2238,523.06573
15,0.117,120.49026,-133.31807,549.73682,252.79691,-80.6878,613.54993,274.88748,-154.13899,531.41382,294.05557,-21.23445,523.12842
16,0.125,120.69221,-133.19962,549.79108,253.01627,-80.75848,613.53021,274.80191,-154.29338,531.37305,294.2634,-21.2238,523.06573
17,0.133,121.08062,-133.50027,549.91687,252.8945,-80.80921,613.69232,274.92804,-154.39972,531.7168,294.31873,-21.3452,523.2265
18,0.142,121.08062,-133.50027,549.91687,253.01627,-80.75848,613.53021,274.82181,-154.41135,531.8548,294.73419,-21.42309,522.79443
19,0.15,121.20868,-133.65823,549.89709,253.01627,-80.75848,613.53021,274.92804,-154.39972,531.7168,294.2634,-21.2238,523.06573
20,0.158,121.08062,-133.50027,549.91687,253.01627,-80.75848,613.53021,274.92804,-154.39972,531.7168,294.52936,-21.4401,522.86554
21,0.167,121.08062,-133.50027,549.91687,253.01627,-80.75848,613.53021,275.07111,-154.2619,531.65485,294.73419,-21.42309,522.79443
22,0.175,121.08062,-133.50027,549.91687,253.01627,-80.75848,613.53021,275.22009,-154.04279,531.78418,294.52356,-21.32817,523.15546
23,0.183,121.23566,-133.35336,550.04968,252.93428,-80.66896,613.52533,274.94498,-154.15553,531.31104,294.52936,-21.4401,522.86554
24,0.192,121.08062,-133.50027,549.91687,253.01627,-80.75848,613.53021,275.22009,-154.04279,531.78418,294.474,-21.31872,522.70477
25,0.2,121.08062,-133.50027,549.91687,252.93428,-80.66896,613.52533,274.82181,-154.41135,531.8548,294.73419,-21.42309,522.79443
26,0.208,121.08062,-133.50027,549.91687,252.93428,-80.66896,613.52533,274.99673,-154.24507,531.78217,294.2662,-21.32935,522.7674
27,0.217,121.08062,-133.50027,549.91687,252.93428,-80.66896,613.52533,274.82181,-154.41135,531.8548,294.474,-21.31872,522.70477
28,0.225,121.08062,-133.50027,549.91687,252.85989,-80.72594,613.58362,274.82181,-154.41135,531.8548,294.474,-21.31872,522.70477
29,0.233,120.87867,-133.61873,549.86267,252.79691,-80.6878,613.54993,274.82181,-154.41135,531.8548,294.05557,-21.23445,523.12842
30,0.242,120.49026,-133.31807,549.73682,252.76222,-80.60442,613.44128,274.71255,-154.3053,531.48645,294.05557,-21.23445,523.12842
31,0.25,120.49026,-133.31807,549.73682,252.79691,-80.6878,613.54993,274.92804,-154.39972,531.7168,294.05557,-21.23445,523.12842
32,0.258,120.49026,-133.31807,549.73682,252.69217,-80.7325,613.43115,274.71255,-154.3053,531.48645,294.31873,-21.3452,523.2265
33,0.267,120.7292,-133.82491,549.97577,252.651,-80.9862,613.60992,274.92804,-154.39972,531.7168,293.96555,-21.29221,523.23157
34,0.275,120.7292,-133.82491,549.97577,252.65028,-81.25076,613.6828,274.76337,-154.52536,531.7981,294.2662,-21.32935,522.7674
35,0.283,120.48488,-134.15388,550.10126,252.59543,-81.33835,613.60101,274.76337,-154.52536,531.7981,294.09726,-21.59149,523.06787
36,0.292,120.11703,-134.23215,549.8609,252.6545,-81.69575,613.59033,274.63721,-154.41905,531.45435,294.55234,-21.79428,522.8053
37,0.3,119.96994,-134.38789,549.69318,252.6545,-81.69575,613.59033,274.57385,-154.70207,531.49835,294.34177,-21.6994,523.16626
38,0.308,120.41983,-134.81335,549.68372,252.49414,-81.86505,613.63861,274.57385,-154.70207,531.49835,294.55234,-21.79428,522.8053
