Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,207.27922,-54.30391,982.44348,309.53583,-88.00822,959.21173,374.08023,-5.38821,947.31915
2,0.008,207.60016,-56.27532,983.73578,310.35608,-90.01595,961.20001,374.26492,-6.75963,949.48969
3,0.017,207.44199,-57.65498,984.94922,311.12,-91.52977,962.43805,374.32993,-9.13725,950.78015
4,0.025,207.1394,-59.3513,986.9906,310.12436,-93.47246,963.80566,374.80325,-13.4533,952.81659
5,0.033,207.27954,-61.57018,987.4292,309.19434,-95.23428,966.10413,374.24069,-14.71957,955.54419
6,0.042,206.9149,-62.57747,988.35693,308.57266,-97.48495,967.34778,374.65613,-16.39445,956.98431
7,0.05,206.69022,-63.89698,989.97162,309.04025,-98.77335,968.92505,376.83203,-18.86827,959.48608
8,0.058,206.54434,-64.57674,991.64435,309.69437,-101.8967,970.45563,377.18018,-20.51402,960.52936
9,0.067,206.76773,-67.05439,993.32941,309.44269,-103.34777,972.49854,376.20865,-23.2502,962.56464
10,0.075,207.1523,-68.31676,994.07959,309.3161,-105.24356,973.7113,376.20581,-24.39657,963.65961
11,0.083,206.77219,-69.88156,995.40979,309.37057,-107.34651,975.28833,377.2023,-28.055,965.71698
12,0.092,206.86055,-71.04806,996.57922,309.52896,-110.16776,977.42859,377.45322,-29.13205,967.6994
13,0.1,206.79514,-71.72339,997.96552,310.20914,-111.57631,978.08246,378.04935,-32.43869,969.65063
14,0.108,207.37584,-73.80639,999.38794,309.02347,-113.17167,979.99963,378.08682,-34.61615,971.40375
15,0.117,207.24431,-74.97295,1000.5835,309.20306,-113.9927,981.49194,378.79108,-35.94152,973.3205
16,0.125,206.88173,-76.51204,1002.24933,309.05692,-115.4242,984.2113,378.60672,-36.62193,975.90582
17,0.133,207.38489,-77.24815,1003.58319,309.15939,-116.99699,984.80963,379.06323,-39.862,977.10706
18,0.142,206.75945,-78.46191,1005.41644,308.31467,-119.26736,986.49188,380.33878,-43.06956,979.22369
19,0.15,206.82253,-79.41404,1006.46497,308.61581,-120.94741,988.6795,379.94403,-45.35749,980.9516
20,0.158,206.90485,-81.02948,1008.33356,309.21362,-123.38386,990.51807,381.36523,-47.45778,982.33063
21,0.167,206.65009,-82.15173,1010.16913,308.51718,-125.77412,991.6781,381.35751,-49.32863,985.25372
22,0.175,207.24501,-83.12724,1011.52972,308.19174,-126.54256,992.87024,380.7384,-50.22151,986.99542
23,0.183,206.95149,-84.6889,1013.18268,307.88007,-127.8441,996.38171,380.97559,-52.17962,990.60974
24,0.192,207.61874,-85.38892,1015.13989,307.84708,-129.15564,997.65759,380.48196,-54.49495,991.43677
25,0.2,207.18942,-87.01355,1016.24469,306.72125,-132.40164,998.71545,380.76111,-56.45794,993.6217
26,0.208,206.30223,-88.76084,1018.0882,306.81522,-133.59868,1000.96655,380.98505,-59.11406,995.81738
27,0.217,205.98215,-90.00875,1019.25793,307.108,-135.48756,1002.44366,381.18997,-61.06292,997.57642
28,0.225,205.64569,-90.5257,1020.68939,305.93726,-137.11765,1004.67786,380.19385,-62.36195,1000.91516
29,0.233,205.54707,-92.44161,1022.48761,305.93875,-137.96268,1006.55316,380.48322,-64.85217,1002.72156
30,0.242,204.9024,-93.61158,1023.97607,304.26477,-140.40935,1008.62244,379.8334,-67.32081,1004.44855
31,0.25,204.79968,-95.2847,1025.85632,303.73148,-141.7505,1009.77435,379.88852,-70.22354,1006.95349
32,0.258,204.25125,-96.82774,1026.9469,303.12155,-143.47006,1011.72333,379.52597,-70.6686,1008.58466
33,0.267,203.38454,-98.45377,1028.28333,303.01324,-145.80881,1014.13147,378.66211,-72.36531,1011.38123
34,0.275,203.14307,-99.84595,1030.16858,303.3884,-147.53435,1015.49713,379.276,-75.15714,1013.60895
35,0.283,202.97882,-100.73396,1031.77429,302.44,-149.72198,1017.62537,378.91278,-77.83315,1015.56476
36,0.292,202.83575,-102.24112,1033.23633,301.6416,-150.94189,1019.48041,378.82367,-79.84702,1017.23572
37,0.3,202.67789,-103.63234,1033.9176,300.65756,-152.38255,1021.15765,378.92789,-80.96387,1019.43671
38,0.308,202.35146,-104.13302,1035.01099,301.01392,-154.29582,1022.49762,378.80948,-82.90405,1022.08167
39,0.317,202.30417,-105.22896,1036.39685,300.03128,-155.58899,1024.77026,377.48608,-84.82325,1022.92719
40,0.325,201.49455,-106.83421,1038.04785,299.58978,-157.67241,1026.32092,377.9256,-88.27467,1025.38208
41,0.333,201.4474,-107.63138,1039.25635,298.77631,-159.77519,1027.75903,377.53204,-89.03857,1027.99634
42,0.342,200.66762,-109.43256,1040.48376,299.0835,-161.38005,1029.33057,377.5744,-91.47732,1029.52649
43,0.35,200.45137,-110.82545,1042.58301,298.93619,-162.80968,1031.74072,377.27179,-93.23194,1031.60913
44,0.358,200.88736,-111.45052,1043.84253,298.39236,-163.86415,1032.96106,377.52036,-94.50804,1033.71179
45,0.367,200.29912,-113.01502,1046.27563,297.65475,-164.26782,1033.58606,377.41519,-96.28741,1035.2533
46,0.375,199.6342,-113.82533,1047.31201,296.78558,-166.44374,1037.12317,377.82748,-97.89609,1037.27124
47,0.383,199.66463,-115.13166,1049.10803,296.37869,-167.25662,1038.57996,376.51352,-99.93292,1039.84521
48,0.392,199.31471,-115.80612,1051.10059,296.15399,-168.5892,1039.53809,376.8736,-101.54577,1041.89978
49,0.4,199.20399,-116.48658,1052.63281,295.44409,-170.24748,1042.62109,376.67703,-103.46313,1044.22656
50,0.408,198.38647,-117.75067,1053.60852,295.35547,-170.48738,1043.7804,376.62448,-104.7072,1045.66772
51,0.417,197.74629,-117.92532,1055.76563,294.33304,-172.04758,1045.91846,375.78119,-106.05376,1048.15649
52,0.425,196.98631,-119.23041,1057.91895,294.01208,-173.02628,1048.72791,375.89679,-106.85442,1050.87976
53,0.433,196.67793,-119.60266,1058.62451,292.75461,-173.65599,1049.80566,374.63943,-109.47348,1053.30847
54,0.442,195.46608,-120.53693,1060.70532,292.64124,-175.98686,1051.31763,374.15686,-109.95155,1054.94214
55,0.45,195.32504,-120.9139,1062.58643,291.47296,-177.2025,1053.34802,374.37576,-111.42156,1057.68457
56,0.458,194.88123,-122.39542,1063.92322,290.96619,-177.11328,1056.15771,373.20074,-112.08224,1060.77283
57,0.467,193.94986,-123.14201,1065.297,291.16989,-178.40652,1058.09497,372.14371,-112.08064,1062.80798
