Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,-131.83813,14.07515,1047.73401,-166.9856,193.65578,1040.15698,-288.36768,-9.65029,1063.29309,-314.36487,153.79449,1067.11731,-312.95404,-34.25085,984.16815
2,0.008,-131.79288,13.80605,1048.06641,-166.67336,193.2018,1040.19482,-288.62018,-9.57642,1063.22351,-314.44189,153.67422,1066.9552,-312.95404,-34.25085,984.16815
3,0.017,-131.79288,13.80605,1048.06641,-167.55156,192.72516,1039.41895,-288.85156,-9.45934,1063.04553,-314.11264,154.25375,1067.01624,-312.95404,-34.25085,984.16815
4,0.025,-131.90959,13.63776,1047.86707,-167.55156,192.72516,1039.41895,-288.70584,-9.33726,1062.70056,-313.95401,154.35547,1066.74988,-312.95404,-34.25085,984.16815
5,0.033,-131.90959,13.63776,1047.86707,-167.0154,193.18871,1039.19507,-288.85156,-9.45934,1063.04553,-313.95401,154.35547,1066.74988,-312.95404,-34.25085,984.16815
6,0.042,-131.90959,13.63776,1047.86707,-166.91006,193.24042,1039.1239,-289.24872,-9.6193,1063.04565,-313.95401,154.35547,1066.74988,-313.31628,-33.43125,983.57867
7,0.05,-131.95329,13.0431,1047.18555,-166.60487,193.66141,1038.98022,-289.10306,-9.49724,1062.70081,-313.95401,154.35547,1066.74988,-313.68283,-33.13789,983.20923
8,0.058,-131.8269,12.84921,1046.93164,-164.9812,194.67667,1040.09131,-289.10306,-9.49724,1062.70081,-313.95401,154.35547,1066.74988,-313.60773,-33.03869,982.84735
9,0.067,-131.83952,12.84125,1046.68787,-164.63109,195.06645,1040.46118,-289.22366,-9.2549,1062.56226,-313.95401,154.35547,1066.74988,-313.60773,-33.03869,982.84735
10,0.075,-131.83952,12.84125,1046.68787,-165.20917,194.26132,1040.52185,-289.37949,-9.18608,1062.1449,-313.96082,154.08136,1066.54468,-313.71356,-33.13587,982.61316
11,0.083,-131.83952,12.84125,1046.68787,-165.95935,194.27916,1038.92029,-289.37949,-9.18608,1062.1449,-314.20352,153.49571,1066.745,-314.13593,-33.37657,982.63708
12,0.092,-131.83952,12.84125,1046.68787,-166.33466,194.26144,1039.21106,-289.24429,-9.33867,1061.75696,-314.37906,153.16632,1066.90686,-314.13593,-33.37657,982.63708
13,0.1,-131.64317,12.83892,1047.40027,-166.59006,194.19984,1039.04565,-289.31393,-9.9403,1062.10669,-314.37906,153.16632,1066.90686,-314.12305,-33.51686,982.49274
14,0.108,-131.9501,12.24137,1047.29126,-166.45612,194.19768,1039.29248,-289.2363,-10.28642,1062.13147,-314.5062,153.04327,1066.85242,-314.26761,-33.75197,982.29614
15,0.117,-132.05241,11.94679,1047.65308,-167.45999,193.59871,1039.28784,-289.1333,-10.58712,1062.19739,-314.77158,152.37979,1066.71729,-314.29721,-34.1757,982.59448
16,0.125,-132.47842,12.12327,1047.47437,-167.87317,193.02538,1039.73242,-289.37506,-10.8859,1062.21057,-314.73993,152.11125,1066.79333,-314.29721,-34.1757,982.59448
17,0.133,-132.2856,11.86013,1047.96838,-168.01085,192.90317,1039.82471,-289.58981,-11.16628,1062.27661,-314.64001,152.00967,1066.61975,-314.63754,-34.92017,982.31238
18,0.142,-132.23465,11.88523,1048.06885,-168.04988,192.53841,1039.94434,-289.58981,-11.16628,1062.27661,-315.10184,152.0302,1066.8446,-314.88309,-35.22378,982.52802
19,0.15,-132.2869,11.77667,1047.97217,-168.11514,192.05701,1040.37109,-289.65149,-11.3995,1062.40784,-314.81253,151.60072,1066.4198,-315.22598,-35.67088,982.69006
20,0.158,-132.10077,11.50714,1047.98413,-167.42589,193.61929,1039.49817,-290.22626,-11.31703,1062.47571,-315.06161,151.6889,1066.69263,-314.97977,-36.38476,983.00378
21,0.167,-132.4536,11.27294,1048.49084,-167.49101,193.02881,1039.56689,-290.22626,-11.31703,1062.47571,-315.10849,151.83481,1066.50476,-315.30487,-36.50479,982.71472
22,0.175,-132.60356,11.03141,1048.62671,-167.49101,193.02881,1039.56689,-290.22626,-11.31703,1062.47571,-315.02005,151.80084,1066.57776,-315.30487,-36.50479,982.71472
23,0.183,-133.05298,11.18901,1048.98816,-167.49101,193.02881,1039.56689,-290.38873,-11.42066,1062.77551,-315.99698,152.52791,1066.40637,-315.47205,-36.53621,983.13739
24,0.192,-133.23187,10.85013,1049.07336,-167.45627,191.70656,1041.21509,-290.64722,-11.55587,1062.74683,-315.59363,152.29541,1066.58899,-315.61639,-36.67541,983.71985
25,0.2,-133.23187,10.85013,1049.07336,-167.35191,191.63799,1041.44299,-290.64722,-11.55587,1062.74683,-315.1767,151.82547,1066.3053,-315.61639,-36.67541,983.71985
26,0.208,-133.32161,10.28508,1049.34631,-167.22365,191.58434,1041.49805,-290.64722,-11.55587,1062.74683,-314.85507,152.0963,1066.48938,-316.10526,-35.69664,983.28406
27,0.217,-134.02745,9.95841,1049.64099,-166.76712,191.29164,1041.66858,-290.64722,-11.55587,1062.74683,-314.73993,152.11125,1066.79333,-316.10526,-35.69664,983.28406
28,0.225,-133.55786,9.69643,1049.85449,-166.76712,191.29164,1041.66858,-290.88895,-11.85447,1062.76001,-314.73993,152.11125,1066.79333,-316.4408,-35.34674,983.25745
29,0.233,-135.31007,10.15362,1049.16321,-166.61859,191.26357,1041.69263,-291.01813,-11.63296,1062.59888,-314.95694,152.51863,1066.45642,-316.4408,-35.34674,983.25745
30,0.242,-134.96112,10.00932,1049.63452,-166.76712,191.29164,1041.66858,-292.13672,-11.43508,1063.19519,-314.77158,152.37979,1066.71729,-316.99112,-34.76433,982.77985
31,0.25,-135.02037,10.08204,1049.75183,-166.23398,191.19189,1041.46936,-292.13672,-11.43508,1063.19519,-314.77158,152.37979,1066.71729,-317.23428,-34.94281,982.80212
32,0.258,-135.01331,9.9007,1049.53809,-166.13661,191.05212,1041.34509,-292.30652,-11.26432,1063.16541,-314.62128,153.02837,1066.54858,-317.87,-34.60676,982.67303
33,0.267,-135.21756,10.09606,1049.58911,-166.20911,191.14165,1041.27014,-292.41425,-11.09444,1063.21057,-314.69153,153.18224,1066.59167,-318.22241,-34.25056,983.07672
34,0.275,-135.21756,10.09606,1049.58911,-165.78456,193.12889,1038.94263,-292.57935,-10.84165,1062.94958,-314.62128,153.02837,1066.54858,-318.4743,-34.01995,983.00244
35,0.283,-135.16525,10.02104,1049.47314,-165.79828,193.54826,1038.75391,-292.97598,-11.00463,1062.51672,-314.69153,153.18224,1066.59167,-318.28796,-34.25683,982.94507
36,0.292,-135.63589,9.89941,1049.08911,-166.98708,191.35457,1039.59717,-294.51605,-9.92843,1062.50061,-314.69153,153.18224,1066.59167,-318.17047,-34.40404,982.46191
37,0.3,-135.6882,9.97443,1049.20508,-167.16705,191.36847,1039.53809,-294.4249,-10.40659,1062.45166,-314.69153,153.18224,1066.59167,-318.17047,-34.40404,982.46191
38,0.308,-135.6882,9.97443,1049.20508,-167.16705,191.36847,1039.53809,-294.4249,-10.40659,1062.45166,-314.85248,152.85036,1066.65015,-317.91476,-34.65158,982.51434
39,0.317,-135.51913,10.14576,1049.32629,-167.44766,191.61526,1039.41284,-294.62555,-10.25454,1062.35522,-314.95694,152.51863,1066.45642,-319.03659,-33.49183,981.90021
40,0.325,-135.44279,10.09168,1049.55908,-167.82417,190.99477,1039.94507,-294.62555,-10.25454,1062.35522,-315.34943,152.76591,1066.33496,-318.84808,-33.61384,982.01172
41,0.333,-135.69154,9.98342,1049.18005,-168.62166,190.80235,1040.04834,-294.64764,-10.50351,1062.51514,-315.70352,152.57281,1066.05383,-318.84808,-33.61384,982.01172
42,0.342,-135.65424,9.91618,1049.70959,-168.22983,191.36598,1040.65686,-294.4462,-10.75835,1062.47583,-316.45193,152.76672,1065.89429,-318.84808,-33.61384,982.01172
43,0.35,-136.15555,8.89045,1049.86975,-167.82364,190.99683,1040.79211,-294.67221,-10.61194,1062.12231,-316.33096,152.56259,1065.85339,-319.27881,-34.09538,981.74054
44,0.358,-136.33499,8.59907,1049.72742,-168.3593,190.86189,1040.79272,-294.00055,-10.75084,1061.14868,-316.88956,152.44284,1066.12024,-319.27881,-34.09538,981.74054
45,0.367,-135.9192,8.64807,1049.86475,-168.06978,190.92157,1040.95898,-293.69781,-11.08314,1061.12146,-316.90503,152.18907,1066.06055,-318.56546,-35.96836,981.67407
46,0.375,-136.25966,8.12762,1049.81311,-168.12654,191.69768,1039.57971,-294.47891,-11.35029,1061.60205,-317.21811,151.73955,1065.85815,-319.45905,-35.60946,981.53778
47,0.383,-135.85181,8.77343,1050.5752,-168.47997,191.74536,1039.62549,-294.47891,-11.35029,1061.60205,-317.51105,151.0889,1065.95483,-320.05511,-35.25444,981.20795
