Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,206.2991,90.48811,65.77518,422.42838,172.3195,45.384,372.73779,131.21303,83.04565
2,0.008,206.15366,91.00214,65.48874,422.64255,172.11639,45.3362,372.09149,131.76538,83.04128
3,0.017,206.15366,91.00214,65.48874,422.66525,172.4416,45.36427,372.09149,131.76538,83.04128
4,0.025,206.2991,90.48811,65.77518,423.04526,171.81326,45.66539,372.73779,131.21303,83.04565
5,0.033,206.30075,90.69056,65.60885,423.15378,171.76727,45.40539,372.72607,131.20287,83.15742
6,0.042,206.24025,90.59429,65.98486,423.11615,171.84712,45.58112,372.73779,131.21303,83.04565
7,0.05,206.15198,90.7997,65.65508,422.99335,171.86842,45.47352,372.73779,131.21303,83.04565
8,0.058,206.30075,90.69056,65.60885,423.26855,171.67654,45.37939,372.71124,131.09071,82.99206
9,0.067,206.2991,90.48811,65.77518,422.49814,172.1985,45.40126,372.81427,131.06311,82.99751
10,0.075,206.35846,90.48473,66.35306,423.23724,171.63171,45.42166,372.71124,131.09071,82.99206
11,0.083,206.2991,90.48811,65.77518,423.18564,171.86002,45.5576,372.73779,131.21303,83.04565
12,0.092,206.32669,90.2758,65.96397,423.30673,171.64461,45.39813,372.73779,131.21303,83.04565
13,0.1,206.24994,90.75021,66.57507,422.49814,172.1985,45.40126,372.71124,131.09071,82.99206
14,0.108,206.15366,91.00214,65.48874,423.23724,171.63171,45.42166,372.73779,131.21303,83.04565
15,0.117,206.35846,90.48473,66.35306,422.64255,172.11639,45.3362,372.73779,131.21303,83.04565
16,0.125,206.21292,90.9987,66.06672,423.23724,171.63171,45.42166,372.8291,131.17525,83.16287
17,0.133,205.95961,90.96275,66.24105,423.03726,171.74384,45.53181,372.73779,131.21303,83.04565
18,0.142,206.21129,90.79629,66.233,423.23724,171.63171,45.42166,372.72607,131.20287,83.15742
19,0.15,206.21292,90.9987,66.06672,423.10812,171.77768,45.44753,372.73779,131.21303,83.04565
20,0.158,206.30075,90.69056,65.60885,423.14633,171.74574,45.46627,372.72607,131.20287,83.15742
21,0.167,206.15366,91.00214,65.48874,423.23724,171.63171,45.42166,372.73779,131.21303,83.04565
22,0.175,206.15366,91.00214,65.48874,423.23587,171.61075,45.4824,372.61124,131.27242,83.16765
23,0.183,206.15366,91.00214,65.48874,423.00595,171.69901,45.57407,372.71942,131.14655,83.13202
