Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,410.56842,22.68814,1841.93335,542.07983,27.2952,1744.92883,305.16138,18.74393,1755.88892,506.69916,27.56558,1580.63757
2,0.008,410.05527,22.76544,1841.93335,542.03705,27.34299,1745.04321,305.16138,18.74393,1755.88892,506.24167,27.7348,1580.81348
3,0.017,409.93643,22.63485,1842.16614,541.68909,27.55742,1745.07507,305.03699,18.67295,1755.75989,506.10504,28.10823,1580.72742
4,0.025,409.63409,22.64428,1841.88623,541.09033,27.44702,1745.05029,305.03699,18.67295,1755.75989,506.01862,28.47141,1580.91541
5,0.033,408.98251,22.65561,1841.98621,540.90112,27.34393,1745.31873,304.62555,18.10971,1755.9342,506.17731,28.53856,1581.07593
6,0.042,408.72626,21.89865,1841.94775,540.43213,27.51652,1745.53748,304.65506,18.15224,1755.94495,505.91495,27.89137,1581.30249
7,0.05,408.0416,22.66408,1843.29163,540.29822,27.5539,1745.51111,303.97272,18.27874,1755.74719,505.91513,28.05623,1581.51733
8,0.058,407.43237,21.74391,1842.46497,540.10413,27.70556,1746.03381,303.61755,18.50527,1755.83484,505.74442,27.91492,1582.06055
9,0.067,407.13647,21.41704,1842.80493,539.95569,27.41377,1746.14465,303.61755,18.50527,1755.83484,505.88199,27.42164,1582.28308
10,0.075,407.13647,21.41704,1842.80493,539.75604,27.2071,1746.14661,303.48776,18.5172,1755.86377,506.01828,27.34356,1582.4967
11,0.083,406.94977,21.36274,1842.69214,539.71167,26.89502,1746.33044,303.28287,18.73105,1755.96594,506.12964,27.24358,1582.5741
12,0.092,407.55032,22.17472,1844.01428,539.39795,26.85413,1746.58826,303.48776,18.5172,1755.86377,505.89679,26.89282,1582.58252
13,0.1,406.71719,21.66494,1842.80115,538.9859,26.33009,1746.76062,303.35022,18.7981,1755.86877,505.89679,26.89282,1582.58252
14,0.108,407.12195,21.27686,1843.04077,539.38977,25.963,1746.7843,303.18924,18.93674,1756.03198,505.96179,26.76691,1582.74915
15,0.117,407.66711,22.20382,1844.09277,539.73041,25.82762,1746.6759,303.28287,18.73105,1755.96594,505.77969,26.71222,1582.63708
16,0.125,407.68109,22.4426,1843.8916,539.92804,26.3333,1746.51099,303.26993,19.00723,1755.95178,505.73083,27.05462,1582.14197
17,0.133,407.80975,22.72902,1843.68298,540.15424,25.89251,1746.53406,303.39322,18.97873,1755.92603,505.59323,26.68109,1581.74548
18,0.142,408.09265,23.59124,1843.57446,540.18726,26.31677,1745.66003,304.16946,19.37543,1755.7738,505.59323,26.68109,1581.74548
19,0.15,408.50983,24.08941,1843.427,540.33533,26.24942,1745.69043,304.13184,19.43157,1755.729,505.96829,26.53627,1581.53003
20,0.158,408.76437,23.85245,1843.15247,540.73761,26.48876,1745.36389,304.93329,18.78228,1755.67346,505.82309,26.73308,1581.41516
21,0.167,409.06604,23.81493,1843.22705,541.01263,26.16369,1745.09863,304.8873,19.30147,1755.28442,505.87723,26.90705,1581.25842
22,0.175,409.35599,23.88197,1843.13379,541.19452,26.29829,1744.90442,305.17642,19.45488,1755.51428,506.10242,27.01003,1580.9668
23,0.183,409.52692,24.38779,1842.88342,541.16968,27.06893,1744.72205,305.36819,20.20575,1755.58936,506.06165,27.58893,1580.70129
24,0.192,409.70032,23.54565,1841.62793,541.26727,26.20332,1744.00964,305.36819,20.20575,1755.58936,505.8848,27.73602,1580.65125
25,0.2,409.98904,23.44687,1841.88953,541.1781,26.78572,1744.06946,305.36819,20.20575,1755.58936,505.8848,27.73602,1580.65125
26,0.208,410.15039,23.43219,1841.86646,541.1781,26.78572,1744.06946,305.47183,20.09651,1755.6759,505.90671,27.56028,1580.44946
27,0.217,409.98904,23.44687,1841.88953,541.0567,27.078,1743.91345,305.47183,20.09651,1755.6759,505.90671,27.56028,1580.44946
28,0.225,410.15039,23.43219,1841.86646,540.8623,27.5929,1743.66565,305.28009,19.3456,1755.60083,505.72089,27.93473,1580.49414
29,0.233,409.75269,23.65436,1841.74353,540.92303,27.31056,1743.93835,305.29916,19.02293,1755.87769,505.72089,27.93473,1580.49414
30,0.242,409.70032,23.54565,1841.62793,540.86523,27.26568,1744.1637,304.93329,18.78228,1755.67346,505.72101,28.07641,1580.67822
31,0.25,409.47488,23.05477,1841.81458,540.8653,27.34362,1744.33447,304.93329,18.78228,1755.67346,505.72101,28.07641,1580.67822
32,0.258,409.10098,23.01425,1841.56311,540.81897,27.5541,1744.67834,304.62555,18.10971,1755.9342,505.58496,28.18476,1580.82104
33,0.267,408.49548,22.99043,1841.68323,540.57733,27.56082,1744.72827,304.12625,18.20354,1755.7948,505.58496,28.18476,1580.82104
34,0.275,407.99216,22.15614,1841.74658,539.92456,27.3677,1745.31165,303.97272,18.27874,1755.74719,505.27585,27.5133,1581.27209
35,0.283,407.83765,21.92215,1841.77661,539.91156,27.4229,1745.44165,303.56808,18.43114,1755.61719,505.07153,27.32686,1581.40173
36,0.292,407.12149,22.0603,1841.89465,539.79077,27.42631,1745.46655,303.48776,18.5172,1755.86377,505.00705,27.19653,1581.5332
37,0.3,406.86319,21.52188,1841.41443,539.30206,27.25598,1745.6925,303.43826,18.44308,1755.64612,505.00705,27.19653,1581.5332
38,0.308,406.52335,21.33086,1841.79651,538.57458,26.19925,1745.92419,303.22693,18.38424,1755.78149,505.00705,27.19653,1581.5332
39,0.317,406.48694,20.61003,1842.26624,538.57458,26.19925,1745.92419,302.38702,18.52896,1755.69116,505.00705,27.19653,1581.5332
40,0.325,406.00803,20.0089,1842.46814,538.53058,25.88674,1746.10803,302.57407,18.32213,1755.90381,505.0155,27.08253,1581.66052
41,0.333,405.90668,19.86425,1842.62488,537.68622,25.95221,1746.10413,302.38702,18.52896,1755.69116,505.09753,26.65059,1581.83167
42,0.342,405.90668,19.86425,1842.62488,538.18982,26.02196,1746.21643,302.68842,18.17092,1755.71875,505.09753,26.65059,1581.83167
43,0.35,405.90668,19.86425,1842.62488,538.53058,25.88674,1746.10803,302.6004,18.52584,1755.94141,505.04688,26.32671,1582.03345
44,0.358,405.86694,19.98842,1842.43152,538.677,25.61353,1746.10291,302.9696,18.34219,1755.98486,505.04688,26.32671,1582.03345
45,0.367,406.00803,20.0089,1842.46814,538.76624,25.03124,1746.04309,303.43826,18.44308,1755.64612,505.03094,25.79732,1582.07898
46,0.375,406.96921,20.47434,1842.26648,539.11292,24.75358,1746.08618,303.43826,18.44308,1755.64612,505.23688,26.33703,1581.92395
47,0.383,407.51883,20.78246,1841.85168,539.40106,24.4379,1745.95544,303.48776,18.5172,1755.86377,505.17871,27.09295,1581.49609
48,0.392,408.14938,20.57303,1841.99438,539.87439,24.94335,1745.30066,303.97272,18.27874,1755.74719,505.43857,27.02986,1581.48853
49,0.4,408.14856,21.04841,1842.11694,540.42206,24.31067,1745.05103,303.92328,18.20458,1755.52954,505.64621,26.88015,1581.36511
50,0.408,408.40421,21.17649,1842,540.43268,24.72061,1744.82959,303.98645,18.28332,1755.76392,505.86835,26.88552,1581.05273
51,0.417,408.59338,21.7329,1841.7395,540.88446,25.7952,1744.0481,304.62555,18.10971,1755.9342,505.94748,26.9814,1580.71509
52,0.425,409.00275,21.79571,1841.71179,540.7038,25.59696,1743.60547,304.91486,18.79932,1755.60632,505.94748,26.9814,1580.71509
53,0.433,409.52118,22.78847,1841.49316,540.99005,25.39396,1743.42371,304.93329,18.78228,1755.67346,505.96201,26.35032,1580.44519
54,0.442,409.66422,22.79294,1841.39087,540.78638,25.43551,1743.17773,304.93329,18.78228,1755.67346,505.35263,26.12651,1580.18677
55,0.45,409.76044,22.73097,1841.46802,540.78638,25.43551,1743.17773,304.93329,18.78228,1755.67346,504.82797,26.13378,1579.24939
56,0.458,409.36267,23.09406,1841.69873,540.20898,26.59924,1743.14551,304.93329,18.78228,1755.67346,504.08987,26.36755,1579.34509
57,0.467,409.21967,23.08961,1841.80103,540.07526,26.83183,1743.17029,304.62555,18.10971,1755.9342,503.73083,26.87702,1579.76721
58,0.475,408.93097,23.12442,1841.72778,540.28448,26.93825,1743.45703,304.48166,18.18461,1755.85071,503.54425,26.97066,1580.34717
59,0.483,408.40298,22.35118,1841.7854,539.81836,26.7911,1743.59607,303.8512,18.04618,1755.74731,504.02814,26.91905,1580.70813
60,0.492,407.66672,22.50845,1841.71436,539.95593,27.01559,1744.38147,303.61755,18.50527,1755.83484,504.11295,27.24826,1580.68457
61,0.5,407.12921,22.12353,1841.42883,539.16949,27.41103,1744.81726,303.42609,18.429,1755.48279,504.52731,27.14577,1581.17627
62,0.508,406.76578,22.14566,1841.47559,538.5788,26.79421,1745.10022,302.6803,18.28445,1755.22485,504.51755,26.82352,1581.4823
63,0.517,406.3392,21.46097,1841.58069,537.80792,26.81629,1745.4093,302.16608,19.04457,1754.8501,504.16464,27.03186,1581.57947
64,0.525,405.66357,20.55916,1841.88367,537.4129,26.27915,1745.62524,301.45541,18.3587,1755.1167,504.16464,27.03186,1581.57947
65,0.533,405.33667,20.55789,1842.14172,537.34296,26.30822,1745.74878,301.15274,18.06396,1755.25964,504.01761,26.56355,1581.65857
66,0.542,404.77728,20.43757,1842.27039,536.99329,26.29932,1745.77454,300.88831,17.92761,1755.23083,504.01761,26.56355,1581.65857
67,0.55,404.29605,20.43955,1842.2998,536.85406,25.95409,1746.03503,300.76129,17.92157,1755.39978,503.97144,26.39095,1581.87097
68,0.558,404.20868,20.34189,1842.54663,536.85406,25.95409,1746.03503,300.13452,18.33586,1755.35608,503.88004,26.27751,1582.00269
69,0.567,403.97598,20.64425,1842.65564,536.95038,25.88333,1746.12439,300.22784,18.20446,1755.47278,503.29724,26.45291,1581.81531
70,0.575,403.97598,20.64425,1842.65564,536.85406,25.95409,1746.03503,300.22784,18.20446,1755.47278,503.29724,26.45291,1581.81531
71,0.583,404.11368,20.25378,1842.94397,536.85406,25.95409,1746.03503,300.27719,18.68607,1755.78406,503.36572,25.87977,1582.11096
72,0.592,404.95328,20.48854,1842.28345,536.85406,25.95409,1746.03503,300.27719,18.68607,1755.78406,503.88004,26.27751,1582.00269
73,0.6,405.22269,20.48002,1842.27148,537.34296,26.30822,1745.74878,301.27997,18.31452,1756.33215,503.96622,26.45683,1581.78357
74,0.608,405.66357,20.55916,1841.88367,537.36871,26.28838,1745.62402,301.27997,18.31452,1756.33215,503.96622,26.45683,1581.78357
75,0.617,406.36691,21.20149,1841.70679,537.43866,26.25931,1745.50049,301.75186,18.76887,1755.755,504.02448,26.52472,1581.68738
76,0.625,406.698,21.76358,1841.6969,538.25336,25.92911,1745.44214,302.38702,18.52896,1755.69116,503.25717,26.54155,1581.34265
77,0.633,406.76578,22.14566,1841.47559,538.73822,26.36928,1745.20288,303.30075,18.72398,1755.65112,504.1282,25.90694,1581.28699
78,0.642,407.08203,22.16256,1841.49695,539.27429,25.88244,1744.78406,303.43826,18.44308,1755.64612,504.1282,25.90694,1581.28699
79,0.65,407.83765,21.92215,1841.77661,539.91632,25.24361,1743.83472,303.48776,18.5172,1755.86377,503.67651,26.11541,1580.6377
80,0.658,408.25397,22.18464,1841.58374,539.85364,25.5666,1743.76526,303.43826,18.44308,1755.64612,504.15625,26.55714,1580.59119
81,0.667,408.34811,22.00307,1841.51929,540.02887,25.83816,1743.52173,303.56003,18.38073,1755.42175,503.65414,26.55463,1580.12988
82,0.675,408.42194,22.14467,1841.38452,540.35992,25.74003,1743.24487,303.61755,18.50527,1755.83484,503.67615,26.37883,1579.92822
83,0.683,408.42194,22.14467,1841.38452,540.21472,25.68059,1743.06177,303.61755,18.50527,1755.83484,503.52106,26.51581,1579.87671
84,0.692,408.42194,22.14467,1841.38452,540.24878,25.8157,1743.13794,303.61755,18.50527,1755.83484,503.52106,26.51581,1579.87671
85,0.7,408.42194,22.14467,1841.38452,539.77869,26.54915,1742.84302,303.61755,18.50527,1755.83484,503.34192,25.88802,1579.90173
86,0.708,408.34811,22.00307,1841.51929,539.659,26.59815,1742.79468,303.56808,18.43114,1755.61719,503.34192,25.88802,1579.90173
87,0.717,408.34811,22.00307,1841.51929,539.26508,26.43135,1742.95288,303.43826,18.44308,1755.64612,503.34192,25.88802,1579.90173
