Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,-1037.6842,-317.90274,1119.3363,-1070.54541,-361.66339,1020.87616,-999.28729,-355.47055,955.06201
2,0.008,-1028.12817,-319.07184,1118.57776,-1060.97266,-362.99677,1021.18256,-986.94684,-357.89197,955.93762
3,0.017,-1017.43152,-319.98407,1119.05139,-1049.19946,-363.99869,1021.54968,-975.82831,-357.18137,957.70447
4,0.025,-1007.9469,-320.36157,1120.27539,-1038.25854,-365.08472,1021.41577,-965.05334,-359.5997,957.94427
5,0.033,-999.245,-321.30258,1119.28955,-1027.09863,-365.6243,1021.62592,-955.65625,-362.03555,958.92163
6,0.042,-987.99127,-321.4498,1120.12744,-1017.33484,-366.68875,1020.85278,-943.22974,-358.99182,958.40979
7,0.05,-979.86896,-322.74484,1119.3761,-1006.90399,-367.49924,1021.37585,-932.55267,-362.12888,958.37366
8,0.058,-971.05286,-323.17624,1119.34229,-997.02148,-369.13364,1020.58447,-921.61414,-361.0267,958.15741
9,0.067,-961.06488,-325.27011,1119.20911,-987.71851,-370.74692,1020.32184,-910.70135,-360.58289,958.58649
10,0.075,-951.76343,-325.66196,1119.37866,-976.66467,-370.42334,1019.67688,-900.01495,-362.56662,959.71039
11,0.083,-942.67896,-324.90308,1118.89453,-966.42114,-370.09406,1020.17438,-889.46497,-362.24432,959.04785
12,0.092,-935.17859,-325.99298,1118.53906,-956.2735,-371.01218,1018.68262,-879.38739,-362.82755,959.5553
13,0.1,-923.97552,-326.80118,1118.4646,-946.47937,-371.46375,1018.46619,-869.43597,-363.10205,958.8595
14,0.108,-914.86548,-326.77353,1117.68433,-936.52875,-371.98438,1017.80878,-857.51294,-360.97534,959.88684
15,0.117,-906.09546,-326.78885,1116.9917,-925.37805,-372.72678,1017.00397,-848.9646,-363.82211,959.94769
16,0.125,-898.71283,-328.21243,1117.1073,-915.82251,-371.28253,1016.20465,-838.27502,-362.48041,959.26788
17,0.133,-888.00781,-327.11118,1116.28381,-908.1579,-373.45468,1016.02118,-827.43542,-360.0137,959.19305
18,0.142,-879.1073,-326.55316,1115.45093,-897.01434,-372.6546,1014.6123,-818.36108,-363.25455,957.97784
19,0.15,-871.60846,-329.09006,1114.67261,-888.77216,-373.26196,1013.34503,-808.00342,-360.495,958.99561
20,0.158,-862.05566,-327.13507,1114.28113,-879.02673,-372.18954,1012.48712,-798.87067,-360.08798,958.34918
21,0.167,-852.18976,-327.146,1113.1604,-868.08246,-370.96964,1012.03217,-787.45959,-358.15094,957.82507
22,0.175,-843.7597,-327.1424,1112.84766,-858.09827,-370.99228,1010.86432,-779.31598,-360.36365,957.50494
23,0.183,-834.73431,-327.41891,1111.35266,-850.04785,-370.88385,1010.49438,-770.09918,-359.22638,957.18384
24,0.192,-826.45746,-326.3028,1110.7738,-840.38916,-370.87979,1009.33801,-761.18604,-357.04764,955.8089
25,0.2,-818.63141,-326.01505,1109.80042,-831.56024,-372.21356,1009.81757,-750.8139,-355.08618,955.76825
26,0.208,-809.9043,-324.03082,1109.23389,-822.64502,-369.96667,1008.11829,-742.21362,-357.65271,954.97174
27,0.217,-801.44623,-325.19962,1108.64673,-814.51099,-370.82526,1007.65112,-733.62433,-355.6185,955.08636
28,0.225,-792.81848,-323.96695,1107.06567,-805.04462,-370.91064,1006.35565,-724.88361,-354.18875,954.82416
29,0.233,-784.08759,-321.58273,1106.64368,-796.74652,-368.79861,1005.29999,-716.16425,-354.49545,954.14838
30,0.242,-777.9281,-322.98404,1106.03674,-789.50006,-370.90836,1005.38446,-706.75574,-352.92267,953.62012
31,0.25,-769.30072,-321.44672,1106.01208,-781.37756,-368.1676,1004.41248,-699.29041,-354.61273,953.40546
32,0.258,-761.96002,-320.9187,1105.74902,-771.99017,-366.72906,1004.9986,-692.31073,-353.43704,952.70081
33,0.267,-754.68488,-320.0202,1104.7782,-765.39594,-367.75891,1004.32007,-684.07715,-352.61154,952.15363
34,0.275,-747.02222,-319.49478,1104.67725,-757.44446,-366.49506,1004.01245,-677.14984,-351.77225,950.86133
35,0.283,-740.11816,-319.29877,1103.90344,-750.83301,-367.19437,1003.99774,-667.91064,-352.26047,950.47736
36,0.292,-732.66803,-318.19498,1103.24377,-743.49316,-365.03412,1002.17084,-662.12494,-352.20496,951.26147
37,0.3,-726.45972,-318.04938,1102.80945,-737.14063,-364.4624,1002.68372,-653.88678,-350.80524,950.65729
38,0.308,-718.07074,-316.91196,1102.33923,-729.97009,-363.96686,1001.77802,-647.73456,-350.25397,950.40302
39,0.317,-711.75916,-316.18268,1102.9989,-723.00299,-362.16306,1001.31982,-641.03595,-350.0755,949.53156
40,0.325,-704.66272,-315.86148,1102.45178,-716.28094,-362.3873,1000.88501,-635.44977,-348.82959,949.72162
41,0.333,-697.35138,-313.83414,1102.24194,-709.77081,-359.85245,1002.40924,-629.9967,-349.00894,949.61389
42,0.342,-691.06122,-313.57538,1102.53174,-704.28815,-359.76828,1002.23395,-623.04187,-348.03201,949.49182
43,0.35,-683.68683,-312.37183,1103.00342,-698.43268,-358.52487,1002.71002,-617.80286,-347.47052,949.9317
44,0.358,-676.10931,-311.22183,1103.84766,-691.81573,-356.46622,1002.55847,-611.33685,-346.12857,949.82776
45,0.367,-669.80249,-311.13992,1105.08057,-686.32013,-356.05746,1004.28333,-607.70758,-346.16183,950.0224
46,0.375,-662.15649,-308.35309,1105.61389,-680.85242,-354.47516,1006.22327,-600.86578,-343.61734,950.1062
47,0.383,-655.44263,-308.75531,1107.35645,-674.73584,-354.052,1005.81024,-596.19537,-342.94614,950.15894
48,0.392,-648.03711,-306.93637,1106.8042,-669.70264,-353.73633,1007.2226,-589.78534,-341.64844,950.92383
49,0.4,-641.41663,-306.6304,1108.8147,-663.8371,-351.55786,1009.33234,-586.10858,-340.94739,950.8609
50,0.408,-635.07617,-305.5603,1110.23022,-657.8266,-351.48425,1010.11615,-580.23297,-338.37878,951.17896
51,0.417,-627.27509,-303.70758,1110.67651,-651.95837,-349.98923,1011.021,-575.66656,-338.9407,952.14044
52,0.425,-621.84088,-304.00864,1110.85986,-647.19275,-350.68069,1013.59113,-570.67401,-339.95313,952.13367
53,0.433,-614.64691,-302.8168,1112.30408,-640.75305,-348.84528,1013.87817,-565.90649,-338.11456,951.4472
54,0.442,-608.75085,-303.15152,1112.26953,-636.23657,-348.24979,1014.04541,-560.35071,-338.02252,951.58051
55,0.45,-601.73431,-300.84445,1113.16345,-630.39252,-346.54691,1014.42255,-555.04932,-337.27347,951.53931
56,0.458,-595.9892,-301.55362,1113.74182,-624.87543,-346.76282,1015.04749,-551.9964,-336.84467,951.22711
57,0.467,-590.99609,-300.6861,1113.6377,-620.43506,-346.4502,1016.44836,-547.25238,-336.69321,950.99683
58,0.475,-584.98273,-299.50433,1114.12305,-614.99408,-345.41202,1016.7854,-541.21246,-335.42844,951.50897
59,0.483,-578.23376,-298.97781,1114.08728,-610.73511,-343.96756,1016.33514,-537.15173,-335.03992,951.22461
60,0.492,-573.10541,-298.39987,1114.16577,-605.1145,-342.42715,1016.16785,-532.48871,-334.80408,951.23285
61,0.5,-567.61523,-297.14352,1114.30713,-598.94104,-340.77496,1016.263,-527.78424,-336.31689,951.43909
62,0.508,-561.30487,-295.93076,1115.08191,-594.53894,-341.61124,1018.13556,-523.78107,-334.76337,951.6875
63,0.517,-555.4668,-295.5094,1115.90479,-589.82318,-339.50177,1018.53802,-519.12213,-334.32068,951.50092
