Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,1801.32776,99.87395,63.66479,1573.68127,40.21668,41.25218,1628.16699,76.1377,77.63036
2,0.008,1799.97839,99.92233,62.35927,1573.68127,40.21668,41.25218,1628.27234,76.66336,77.17689
3,0.017,1799.96301,100.54561,62.33745,1573.68127,40.21668,41.25218,1628.37866,76.30475,76.99023
4,0.025,1799.62415,100.83675,62.42474,1573.68127,40.21668,41.25218,1628.55042,76.72932,76.88425
5,0.033,1799.65002,101.067,62.85865,1573.76733,40.50825,41.04502,1629.06824,76.76805,76.91381
6,0.042,1799.33325,101.10205,62.78026,1573.48877,40.19052,40.92912,1629.20569,77.15937,76.72586
7,0.05,1799.11108,101.7571,62.87547,1573.62671,40.04902,40.76499,1627.94116,78.26847,76.79009
8,0.058,1798.59985,102.50537,63.28495,1574.25598,39.44117,41.03121,1628.11462,78.32018,76.74619
9,0.067,1798.32214,102.59412,63.56381,1574.81824,39.58438,40.53203,1628.11938,78.12879,77.1684
10,0.075,1798.35254,102.8306,64.0508,1573.35461,40.22921,40.94303,1628.11938,78.12879,77.1684
11,0.083,1798.35254,102.8306,64.0508,1573.35461,40.22921,40.94303,1627.22742,77.84294,76.90911
12,0.092,1797.89282,103.08906,63.80009,1573.9563,41.16629,40.96442,1626.19055,78.85133,76.88632
13,0.1,1797.71069,103.43625,64.34454,1572.73657,39.88095,40.87045,1626.46606,79.14856,77.12954
14,0.108,1797.46692,103.71233,64.70504,1573.16882,40.54585,40.86587,1626.47119,79.87056,77.51874
15,0.117,1797.14441,104.96432,65.42873,1573.03662,40.18544,40.90359,1624.17102,81.71931,76.97704
16,0.125,1796.67786,105.879,66.19118,1573.14624,40.50332,40.79132,1624.02734,82.62434,77.08785
17,0.133,1796.27454,106.22252,66.09688,1573.16626,40.48528,40.69025,1624.52771,84.01501,76.67126
18,0.142,1796.06763,107.64132,67.32444,1572.94641,40.08755,41.4151,1624.16052,83.6282,76.60123
19,0.15,1796.07886,107.98022,67.59138,1573.08142,40.17365,41.26842,1623.93799,83.64235,76.51086
20,0.158,1795.44543,108.21694,67.83669,1573.10547,40.26478,41.20556,1624.17456,83.6069,76.6078
21,0.167,1795.18518,108.93235,69.65152,1572.5033,41.21626,41.02427,1623.7207,83.31527,76.51253
22,0.175,1794.10828,109.90218,70.58604,1572.56299,41.08746,40.78144,1623.01013,82.7055,76.71282
23,0.183,1793.5509,110.27563,71.24049,1572.54431,41.15115,40.8539,1622.7533,83.11124,76.47121
24,0.192,1794.04199,111.35275,72.54208,1572.54431,41.15115,40.8539,1622.74133,82.90854,76.82262
25,0.2,1793.03088,112.00116,74.21774,1572.54431,41.15115,40.8539,1622.74133,82.90854,76.82262
26,0.208,1792.76929,112.19732,75.41119,1572.54492,40.9858,41.01224,1622.63745,82.82693,76.73527
27,0.217,1792.47266,111.69364,77.34129,1572.4491,41.3323,40.38029,1622.37573,82.41991,76.84444
28,0.225,1790.72693,111.04451,78.92238,1572.71497,41.10549,40.84801,1620.97778,81.80668,77.09186
