Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,1636.84583,-35.71513,668.13025,1636.32202,-9.47302,516.90558,1648.50476,114.41147,515.19208
2,0.008,1634.8949,-35.42578,666.8905,1633.57568,-8.7988,516.97217,1646.349,114.51981,514.55713
3,0.017,1632.78235,-35.41043,666.7276,1632.24609,-8.69072,516.20959,1643.81775,114.494,514.30902
4,0.025,1626.97742,-33.97523,666.65027,1630.30701,-8.38762,515.86511,1640.91516,114.09734,513.69916
5,0.033,1623.68176,-34.0896,664.19373,1626.15332,-7.8268,515.43268,1639.70386,115.51102,513.33417
6,0.042,1620.53259,-35.08277,663.93372,1623.1825,-6.44341,514.62427,1633.88062,115.51672,510.89465
7,0.05,1613.776,-32.16665,663.31927,1619.59412,-8.35868,513.82513,1632.70068,115.78363,510.91122
8,0.058,1611.10339,-33.32413,663.3222,1618.51648,-8.72559,513.05878,1629.41394,115.44946,510.31219
9,0.067,1608.5083,-34.92227,662.52972,1614.84314,-7.09696,512.59705,1626.40271,116.41851,510.38556
10,0.075,1601.13989,-32.44948,660.8396,1612.54797,-6.61735,511.77814,1622.89478,117.79226,509.18463
11,0.083,1598.07495,-32.70711,660.52246,1608.42676,-7.20004,510.2836,1620.2063,118.18718,508.47168
12,0.092,1592.89453,-31.85271,660.35089,1604.90137,-7.79182,509.5256,1614.80615,117.49341,508.50299
13,0.1,1587.10205,-31.67799,659.71704,1601.05737,-6.48196,508.76608,1612.37598,119.22381,507.69037
14,0.108,1582.39563,-30.48732,658.534,1597.29565,-5.22662,508.25906,1607.08679,119.00146,506.56033
15,0.117,1577.11865,-29.73085,656.75031,1593.0697,-5.05024,507.41656,1603.42871,119.11945,505.49142
16,0.125,1574.39697,-30.35746,656.91718,1587.44336,-3.63023,506.2272,1599.28076,119.39121,504.08252
17,0.133,1566.91492,-27.59384,654.42548,1584.86597,-4.35586,505.83524,1594.37854,119.48618,503.15918
18,0.142,1562.48047,-29.1304,653.76013,1580.53699,-4.1601,503.58826,1589.32239,120.11327,501.39035
19,0.15,1555.74646,-26.83233,652.3512,1576.54041,-1.02512,501.83362,1586.10889,120.83047,501.23962
20,0.158,1552.35571,-27.10982,651.98358,1573.12817,-2.89463,501.40518,1581.00354,121.79462,499.83527
21,0.167,1546.15076,-25.80427,650.36371,1567.72913,-1.55649,500.98819,1575.50317,122.51306,499.49512
22,0.175,1541.56067,-25.31356,650.18481,1563.98352,-0.98625,499.92557,1573.26904,123.28749,499.61685
23,0.183,1535.29565,-24.66575,648.79541,1559.77124,-0.47786,499.11966,1567.44666,124.47721,498.19818
24,0.192,1530.64148,-24.31727,648.06268,1553.69409,0.68529,499.09131,1563.25708,124.15205,497.87311
25,0.2,1523.79431,-24.40892,646.69928,1551.50452,-0.07558,498.11942,1557.97327,123.47935,496.71292
26,0.208,1518.90442,-23.15909,646.55865,1547.53137,-1.03115,497.62921,1552.57532,125.34409,495.54822
