Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,1574.33777,226.55988,355.23511,1773.27942,220.00798,201.85349,1710.55554,129.79955,195.10397
2,0.008,1555.12244,227.07185,353.91434,1749.09363,221.40298,193.70465,1689.47522,132.09103,190.43599
3,0.017,1537.60071,226.77472,351.9462,1724.26099,222.90324,184.23575,1664.39783,132.87534,184.02174
4,0.025,1519.73376,228.06596,350.60934,1702.43738,225.48289,176.60406,1640.03967,131.85075,179.06491
5,0.033,1502.5929,226.25406,349.1181,1675.07861,225.53244,167.5457,1619.0448,133.97929,172.80779
6,0.042,1485.31799,226.51442,347.57199,1653.82617,228.05772,159.25009,1592.2843,134.45012,166.62308
7,0.05,1468.12024,226.67526,345.79834,1626.34058,228.66502,151.1073,1566.14429,134.26114,161.49921
8,0.058,1451.67871,225.77078,344.52856,1600.3562,229.08626,141.28416,1543.02527,139.18315,154.72458
9,0.067,1434.6532,228.40741,343.10599,1575.8208,232.62158,134.29559,1517.13843,139.66389,148.66331
10,0.075,1418.7782,228.9702,342.49991,1549.1731,233.81886,125.53603,1491.61218,139.58966,144.04706
11,0.083,1402.53174,231.48227,342.24207,1521.99304,236.01666,119.60747,1465.96411,143.07509,139.67989
12,0.092,1386.57385,231.63603,339.78827,1495.21716,235.78008,112.1665,1441.59949,144.60902,134.71271
13,0.1,1372.66577,232.62175,338.35284,1469.07251,240.16673,106.21654,1415.32898,146.80252,131.68214
14,0.108,1357.3219,236.07423,338.54694,1443.36084,241.58434,101.34753,1391.15979,150.29771,127.79336
15,0.117,1344.09106,237.64464,337.7962,1417.72876,244.91953,96.17259,1366.31128,152.22153,126.45412
16,0.125,1330.24084,240.35429,337.21481,1392.98376,248.00244,92.80023,1343.33838,154.71649,125.76387
17,0.133,1317.3916,242.58652,337.423,1369.74121,250.82973,89.75665,1321.1897,157.33261,124.58765
18,0.142,1306.06409,243.91644,337.58545,1347.13892,252.42807,88.85672,1300.03723,160.5385,123.53393
19,0.15,1294.32886,245.13683,337.42026,1325.45361,255.7065,87.27787,1279.97168,161.86853,123.52042
20,0.158,1282.66663,245.22719,338.06049,1305.99219,256.87283,87.63675,1261.50525,163.32127,124.84944
21,0.167,1271.41479,245.22099,339.57092,1288.43347,258.89273,88.08144,1245.03687,164.45171,126.6243
22,0.175,1260.48682,246.1306,339.78851,1271.48279,258.93347,88.20692,1229.02722,165.6826,126.42257
23,0.183,1250.38062,246.17024,340.25662,1257.00439,259.42108,87.48416,1216.05237,165.90701,127.87133
24,0.192,1242.29846,246.13945,339.37283,1245.85815,258.55682,86.86762,1203.58997,166.16946,127.83383
25,0.2,1234.2334,245.3051,338.73483,1235.69092,257.60776,85.79948,1194.54126,165.53741,127.54382
26,0.208,1225.42236,245.74541,337.66379,1229.22302,257.1153,84.33648,1188.41113,164.17284,127.04144
27,0.217,1217.51489,246.84589,336.52069,1223.8949,256.92035,82.9165,1182.18518,162.75964,126.32102
28,0.225,1212.34839,245.88106,333.92203,1221.67468,256.16132,80.99054,1179.44727,161.90247,122.49674
29,0.233,1206.89722,244.61203,331.39764,1220.4491,254.88341,79.96929,1178.81592,160.29213,120.33104
30,0.242,1201.01025,243.76402,329.6239,1220.6792,250.93259,76.44609,1177.79663,159.61493,116.74599
31,0.25,1196.10901,241.52518,326.9603,1221.17908,250.15169,73.828,1178.69092,156.5379,113.45972
32,0.258,1191.7926,241.19606,323.82166,1223.04236,247.75638,71.25694,1181.54028,153.24677,110.36468
33,0.267,1186.47266,239.4731,321.84128,1222.93628,243.20534,71.65472,1179.60986,151.7766,108.50182
34,0.275,1180.71326,240.10495,321.14758,1217.21594,245.99475,73.55479,1173.57788,152.37161,108.79719
35,0.283,1174.10071,239.03831,322.46014,1212.21753,248.49237,74.04159,1169.36377,152.59431,108.5514
36,0.292,1167.33679,238.21945,322.15097,1207.09448,250.22932,74.09334,1166.56274,151.95253,108.12644
37,0.3,1160.97559,236.27261,321.42999,1204.83215,250.16139,73.93127,1162.4436,152.62335,107.36372
38,0.308,1155.51196,234.08328,320.94153,1201.2085,250.47487,74.36599,1161.19385,152.18745,106.44414
39,0.317,1151.26733,233.22589,320.47638,1198.11023,250.44263,74.94585,1160.57959,151.94391,106.16188
40,0.325,1146.87952,231.86444,319.78668,1198.7301,248.81126,74.6649,1160.52002,151.67853,105.83511
41,0.333,1144.23889,231.8261,319.41824,1198.12622,248.7715,74.45921,1159.91357,151.55052,105.8522
42,0.342,1140.61169,232.53891,318.81769,1197.61658,249.31775,74.76972,1158.57349,150.84547,105.38367
43,0.35,1136.6925,232.9382,318.8269,1196.46582,249.60495,74.90125,1158.32361,150.93602,105.54359
44,0.358,1133.81628,232.53401,318.10486,1194.8158,249.87294,75.00536,1158.06458,150.65788,105.26379
45,0.367,1131.15027,231.87831,316.2865,1194.02673,249.61172,75.19907,1157.57947,149.80952,105.2513
46,0.375,1128.55322,231.76416,316.03018,1193.82971,248.49928,75.49403,1157.32092,149.51579,105.16666
47,0.383,1125.10181,231.7123,315.70993,1193.19812,248.15756,75.04432,1156.16565,148.80716,104.22724
48,0.392,1123.03662,230.5929,314.5209,1192.43384,247.25439,74.84877,1155.75696,147.94295,103.75041
49,0.4,1120.88562,229.13222,314.4025,1192.26733,246.72537,75.10681,1155.18115,147.59015,104.0734
50,0.408,1117.48364,229.82336,314.1694,1192.12683,246.48741,75.39632,1155.00415,147.25392,103.85844
51,0.417,1115.60681,228.74196,313.51819,1191.2417,246.47774,75.58569,1155.00415,147.25392,103.85844
52,0.425,1111.91907,229.47404,312.65009,1189.94617,246.24039,76.07935,1155.07739,146.69742,102.73531
53,0.433,1110.11426,228.35379,311.93906,1189.64734,246.51939,76.09797,1154.02087,145.04639,101.7672
54,0.442,1107.68042,227.81125,312.04672,1189.56177,246.55475,76.24216,1154.00012,144.65862,101.65237
55,0.45,1104.20386,229.58461,311.32263,1189.61206,246.41498,76.35461,1154.00012,144.65862,101.65237
56,0.458,1101.69812,229.28102,310.72189,1189.06238,246.46544,76.51695,1153.68201,144.80145,101.71638
57,0.467,1099.69568,228.93465,310.3692,1188.46802,246.52562,76.54886,1152.98584,144.686,101.68848
58,0.475,1097.99731,227.96307,308.75327,1188.41992,246.44809,76.51636,1153.04968,144.61287,101.62961
59,0.483,1095.11108,228.85097,308.63461,1188.41016,246.38675,76.56043,1152.90173,144.43326,101.57284
60,0.492,1093.61707,227.85231,308.39151,1188.29333,246.18164,76.50851,1153.4541,143.88748,101.66061
61,0.5,1091.70544,228.35959,307.745,1188.02344,246.47388,76.92855,1153.4541,143.88748,101.66061
