Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,161.78152,195.90672,929.14459,240.08936,253.97018,900.7467,291.69986,164.58521,903.5683
2,0.008,161.49776,195.21887,928.96777,240.4424,253.77263,902.12634,291.68784,164.8094,903.08704
3,0.017,161.23854,194.39893,928.82635,240.53075,253.88643,902.34283,291.68115,164.52162,902.75696
4,0.025,162.01575,193.17456,929.3667,241.46294,254.22173,903.43542,291.00375,165.5071,902.48151
5,0.033,161.82683,193.37723,929.67572,241.31102,253.70357,903.58405,292.05081,163.68466,902.63824
6,0.042,161.93364,193.19247,929.88959,241.59537,253.30867,903.8894,292.81543,163.47134,902.35455
7,0.05,162.12666,193.92374,930.2832,241.90971,253.18808,904.20734,292.71289,162.43884,902.14679
8,0.058,162.48784,194.33708,930.5188,242.59378,253.57387,905.7796,292.2308,162.31822,901.4679
9,0.067,162.22746,194.79654,930.46667,242.59378,253.57387,905.7796,292.06433,163.11407,901.43451
10,0.075,162.12503,195.52921,930.23651,243.12013,254.62709,906.27539,289.8396,165.11497,900.87268
11,0.083,162.22137,196.18469,930.84607,242.65265,254.60025,905.70288,289.79102,165.17557,901.51721
12,0.092,161.19997,197.05925,931.07794,241.18298,254.33568,904.54767,290.29922,165.28574,902.15289
13,0.1,160.621,198.03534,931.90649,242.00319,255.95328,905.27087,289.83759,165.6174,903.45331
14,0.108,160.52621,198.21791,931.86627,241.4427,257.12296,905.42615,289.16165,166.25238,904.33685
15,0.117,159.90869,199.54066,931.67993,239.64803,255.80675,904.36603,288.23013,166.9929,904.49304
16,0.125,159.8167,199.83003,931.76166,238.73715,256.1445,903.89075,289.81909,164.7274,906.6001
17,0.133,159.27161,200.41498,932.03387,240.01218,257.67078,903.58716,288.52533,167.51007,907.28503
18,0.142,158.96884,200.97264,932.07068,239.9752,257.77386,903.48126,287.88809,167.63773,907.78912
19,0.15,158.93756,200.5909,931.57977,240.01218,257.67078,903.58716,287.88809,167.63773,907.78912
20,0.158,159.15199,200.33868,931.00098,239.41708,257.39514,903.79163,288.42053,166.95583,907.3598
21,0.167,158.73523,199.18391,930.81842,239.23349,256.7634,905.32446,288.32394,165.70079,907.01819
22,0.175,157.96603,198.4819,930.79803,237.93964,254.82681,906.54126,288.02258,165.84903,906.15375
23,0.183,157.36014,197.13269,930.40277,237.88487,254.13138,907.85583,288.05356,165.53619,905.80371
24,0.192,157.79903,195.6563,930.62335,238.4651,255.26309,908.40326,288.06268,164.53775,906.89484
25,0.2,157.40706,195.20848,931.21869,238.68471,255.67381,908.64655,288.13205,163.57822,907.22406
26,0.208,158.09752,194.82077,932.01666,239.59743,253.46089,909.16327,287.97839,162.72345,907.76398
27,0.217,158.57253,195.2549,932.84882,239.60327,253.33943,909.01947,289.71375,160.37073,908.14471
28,0.225,159.31186,195.85167,932.98804,240.85077,254.28683,909.81256,289.03027,161.5045,907.70184
29,0.233,159.78722,196.16019,933.67999,241.07387,253.78761,909.10632,289.03027,161.5045,907.70184
30,0.242,160.03926,196.82784,933.94135,241.13089,253.40439,908.30121,290.24091,159.86615,908.13934
31,0.25,159.73959,197.62633,933.73499,241.33812,254.0802,908.17303,289.09634,162.32686,906.52588
32,0.258,159.86888,197.61986,933.44574,241.68106,254.39226,908.30029,289.28912,163.33914,906.15356
33,0.267,159.68951,197.45226,933.30151,241.0388,255.82977,907.45892,288.7999,164.24698,905.76837
34,0.275,159.86876,198.23204,932.85962,241.36366,255.92024,906.34851,289.19693,165.23517,905.80585
35,0.283,159.67963,198.8391,932.70508,241.4427,257.12296,905.42615,289.33447,165.71339,906.39746
36,0.292,159.8036,199.86967,932.45129,239.72356,255.94795,904.64075,290.10269,165.43854,907.4223
37,0.3,159.8036,199.86967,932.45129,240.42694,257.55551,903.29919,290.4158,165.54001,908.20087
38,0.308,159.74609,199.92746,932.2608,239.99844,257.34094,902.54572,290.38739,165.55904,908.28766
39,0.317,159.8353,200.06696,931.8584,239.91965,257.77493,901.79919,290.23276,165.89418,908.09521
40,0.325,160.0291,199.86871,931.61981,239.17667,256.79773,902.711,290.41913,166.33755,907.42041
41,0.333,160.29784,199.29175,931.28943,239.41887,256.0488,902.64954,290.85498,166.37195,906.86664
42,0.342,160.25681,198.73726,930.76331,239.68788,256.18381,902.94177,291.01486,166.05432,905.93475
43,0.35,160.76495,197.6841,930.43512,239.83083,256.36255,903.40686,290.49744,166.25113,904.81573
44,0.358,161.21222,195.7816,929.55682,239.98363,255.47066,904.35974,290.49744,166.25113,904.81573
45,0.367,160.57022,194.94031,929.4295,240.06023,254.36272,904.34253,290.16507,166.44423,903.71545
46,0.375,160.6889,194.55405,929.57806,240.47513,254.57524,904.48596,290.06494,166.24669,902.49884
47,0.383,160.91051,194.44341,929.76038,240.821,255.09435,904.79199,290.09616,165.93372,902.14905
48,0.392,161.73868,194.95914,930.25061,241.90492,255.26212,905.94531,289.62552,165.92874,900.93005
49,0.4,161.95564,195.37183,930.08643,242.08052,255.2552,905.90857,290.53934,165.56604,900.57062
50,0.408,162.33525,195.81581,930.02325,242.51695,255.82112,905.77002,290.77014,165.76642,900.30865
51,0.417,162.21507,196.38979,929.76532,242.59988,255.79311,905.39294,291.24472,167.04311,900.13379
52,0.425,161.83005,197.07277,929.57373,241.98779,257.73416,905.18005,290.66025,167.56377,900.14142
53,0.433,161.61525,198.46396,929.85297,242.04616,258.58127,903.65002,290.73892,167.59842,900.69128
54,0.442,160.9157,199.53499,930.22266,241.87091,258.94653,902.94562,289.08829,168.81828,901.35712
55,0.45,159.82335,200.80238,930.13849,241.34639,260.40945,902.23322,289.2594,169.11574,903.05865
56,0.458,159.76204,202.07135,929.90411,240.06812,260.51395,900.44958,290.1582,167.69141,903.78839
57,0.467,159.52881,202.66867,929.99268,240.00398,260.95602,900.1994,289.42117,168.00012,904.36505
58,0.475,159.15157,203.18355,930.2121,240.00583,260.87039,899.93298,288.61227,169.1301,904.16034
59,0.483,158.55615,202.94443,929.34296,240.00398,260.95602,900.1994,288.61227,169.1301,904.16034
60,0.492,158.50861,202.91129,929.6181,239.87444,260.59277,900.41046,288.61227,169.1301,904.16034
61,0.5,158.14162,202.16972,929.46246,239.65475,261.48514,901.59723,289.22244,167.88086,904.2276
62,0.508,158.58304,201.06017,929.14008,239.18738,259.92984,903.53143,289.10242,167.60028,904.0509
63,0.517,158.31487,200.32475,928.83948,239.50777,259.70612,904.60052,288.85803,167.46689,904.17499
64,0.525,158.77734,198.854,929.29718,238.18669,258.51196,905.38995,288.06973,168.40199,903.16656
65,0.533,157.8566,198.12778,929.2771,239.60902,258.18488,906.86047,287.4996,167.37004,902.82922
66,0.542,158.01134,197.54469,929.51013,240.10854,257.55649,907.79742,287.30502,166.7151,902.02551
67,0.55,158.57468,197.2563,930.15698,240.25403,257.45541,907.86871,287.78671,166.60182,901.87616
68,0.558,158.80977,196.53172,930.59174,240.75214,256.29181,908.35266,288.58606,165.46408,902.46722
69,0.567,159.52771,197.15085,931.68268,241.0686,256.43903,908.54956,288.58606,165.46408,902.46722
70,0.575,160.194,197.00539,931.88354,241.34802,256.1239,908.66467,288.58606,165.46408,902.46722
71,0.583,160.41115,197.41847,931.71936,241.34802,256.1239,908.66467,288.73645,165.78096,902.14148
72,0.592,160.28798,197.85707,931.49329,241.23906,256.33499,908.61688,288.98099,165.98578,901.92157
73,0.6,160.25456,198.31631,931.25763,241.13074,257.06583,907.99585,288.98099,165.98578,901.92157
74,0.608,160.12372,198.59079,930.992,241.38554,257.82129,907.81921,289.07532,166.24936,902.01257
75,0.617,159.55666,200.09737,930.83179,241.55847,257.78693,907.08594,288.63568,167.57188,903.13123
76,0.625,159.30757,200.08696,931.18707,241.42905,257.7211,905.33594,288.14398,168.17375,904.0376
77,0.633,159.20322,200.57195,931.38336,240.13582,259.52158,904.95685,287.86093,168.41019,903.93719
78,0.642,158.95229,201.13348,931.75244,240.05144,259.56042,904.38263,288.30054,168.88318,904.3183
79,0.65,158.26988,201.66374,931.84827,240.03587,259.35291,903.9447,288.64319,168.3584,907.60028
80,0.658,158.62231,201.42073,931.97583,240.03587,259.35291,903.9447,287.98822,167.80342,908.10413
81,0.667,159.06924,200.93024,931.88605,240.05144,259.56042,904.38263,287.98822,167.80342,908.10413
82,0.675,158.93756,200.5909,931.57977,240.20155,258.33237,905.08887,287.98822,167.80342,908.10413
83,0.683,158.57622,199.7368,930.90558,238.89565,255.78296,906.23462,289.71866,166.30766,907.80786
84,0.692,158.55678,198.53522,931.22974,238.63719,255.11334,907.48767,288.98901,165.84413,905.9754
85,0.7,158.46721,196.88298,931.36798,237.78381,254.03792,908.08838,287.84998,165.16498,905.79681
86,0.708,158.24144,194.93831,931.85779,240.10645,254.09627,910.20819,288.30521,164.28021,905.80481
87,0.717,158.31688,194.66171,932.09155,240.32091,254.37259,910.44843,288.27917,161.98291,906.16998
88,0.725,158.33635,194.26578,932.35724,240.36325,253.32372,911.07111,287.5654,161.22581,905.72797
89,0.733,158.4301,194.28354,932.62512,241.00432,253.22249,911.26257,287.35193,161.24908,905.33813
90,0.742,158.61403,194.48735,932.79407,241.28377,251.92497,911.21198,286.50705,160.98404,904.94446
91,0.75,158.92084,194.85181,933.08966,241.75929,251.74895,911.05878,286.47647,160.72639,904.79279
92,0.758,158.97852,194.72592,932.89429,241.75929,251.74895,911.05878,286.47647,160.72639,904.79279
93,0.767,158.6302,195.12901,932.65338,241.69878,252.19496,910.83801,286.47647,160.72639,904.79279
