Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,107.81793,-189.78535,503.48871,238.24388,-109.28204,533.12177,259.8063,-185.23471,465.82343,278.0191,-64.61248,445.25681
2,0.008,107.92223,-189.83357,503.55359,238.24388,-109.28204,533.12177,259.8063,-185.23471,465.82343,277.84103,-64.86153,445.20413
3,0.017,107.92223,-189.83357,503.55359,238.07301,-108.65008,533.08972,259.85556,-185.19183,465.92047,278.0191,-64.61248,445.25681
4,0.025,107.92223,-189.83357,503.55359,238.39383,-109.26724,533.04193,259.70065,-185.21983,465.91544,278.0191,-64.61248,445.25681
5,0.033,107.96005,-189.71786,503.50784,238.40195,-109.17867,533.09283,259.95526,-185.58015,465.93607,277.96817,-64.46703,445.0914
6,0.042,107.99982,-189.60454,503.61557,238.40195,-109.17867,533.09283,259.86493,-185.28455,466.02603,277.96817,-64.46703,445.0914
7,0.05,108.42183,-189.45035,503.67953,238.40195,-109.17867,533.09283,259.95316,-185.08484,465.98459,277.96817,-64.46703,445.0914
8,0.058,108.58868,-189.2343,503.76193,238.40425,-109.2168,533.20129,259.80167,-185.10818,465.97723,277.96817,-64.46703,445.0914
9,0.067,108.49699,-189.35384,503.67584,238.49014,-108.63369,533.20013,260.05881,-185.09981,465.89258,277.96817,-64.46703,445.0914
10,0.075,108.48007,-189.47563,503.59915,238.54962,-109.22724,533.20819,260.24225,-184.9951,466.02423,277.96817,-64.46703,445.0914
11,0.083,108.53062,-189.3233,503.79187,238.63884,-109.08752,533.21741,259.99442,-185.35023,466.30035,277.96817,-64.46703,445.0914
12,0.092,108.62218,-189.30304,503.78207,238.59006,-109.06767,533.31238,260.16876,-185.22548,466.23056,277.96817,-64.46703,445.0914
13,0.1,108.57176,-189.35612,503.68524,238.54962,-109.22724,533.20819,259.95508,-185.17764,466.2196,277.96817,-64.46703,445.0914
14,0.108,108.48007,-189.47563,503.59915,238.54962,-109.22724,533.20819,259.8475,-185.06993,466.07663,277.96817,-64.46703,445.0914
15,0.117,108.57176,-189.35612,503.68524,238.50084,-109.20738,533.30316,260.09103,-185.34569,466.01303,278.0191,-64.61248,445.25681
16,0.125,108.49135,-189.64319,503.7854,238.54962,-109.22724,533.20819,260.05881,-185.09981,465.89258,278.0191,-64.61248,445.25681
17,0.133,108.53249,-189.67599,503.67877,238.54962,-109.22724,533.20819,260.09103,-185.34569,466.01303,278.0191,-64.61248,445.25681
18,0.142,108.33013,-189.56984,503.59344,238.54962,-109.22724,533.20819,259.98538,-185.33072,466.10504,278.0191,-64.61248,445.25681
19,0.15,108.2185,-189.96452,503.77719,238.49271,-109.29597,533.25226,260.0011,-185.54192,466.03543,278.07651,-64.49263,445.45828
20,0.158,108.24554,-189.88779,503.64642,238.64522,-109.22327,533.2077,260.10675,-185.55687,465.94345,278.07651,-64.49263,445.45828
21,0.167,108.1268,-190.084,503.69107,238.63708,-109.31185,533.15686,260.57108,-185.67117,466.08102,278.07651,-64.49263,445.45828
22,0.175,108.1268,-190.084,503.69107,238.59644,-109.20341,533.30273,260.0011,-185.54192,466.03543,278.07651,-64.49263,445.45828
23,0.183,108.26382,-189.96645,503.71774,238.66974,-109.38225,533.19867,260.01013,-185.56143,466.23074,278.07651,-64.49263,445.45828
24,0.192,108.38256,-189.77022,503.6731,238.72342,-109.3392,533.26385,260.57108,-185.67117,466.08102,278.07651,-64.49263,445.45828
25,0.2,108.53249,-189.67599,503.67877,238.8989,-109.31235,533.21777,260.57108,-185.67117,466.08102,278.0191,-64.61248,445.25681
26,0.208,108.62417,-189.55649,503.76486,238.64522,-109.22327,533.2077,260.10675,-185.55687,465.94345,278.0191,-64.61248,445.25681
27,0.217,108.69148,-189.38158,503.93839,238.77591,-109.23495,533.17981,260.09341,-185.36365,466.20801,278.0191,-64.61248,445.25681
28,0.225,108.58103,-189.2702,503.88873,238.85735,-109.32521,533.12659,259.98538,-185.33072,466.10504,278.0191,-64.61248,445.25681
29,0.233,108.63908,-189.18121,503.85876,238.86511,-109.09525,533.18903,260.19913,-185.37915,466.12213,278.0191,-64.61248,445.25681
30,0.242,108.90073,-189.23473,503.99017,239.1188,-109.18433,533.1991,260.78061,-185.3613,466.24548,278.0191,-64.61248,445.25681
31,0.25,108.99017,-189.29915,504.00845,238.8595,-109.12775,533.2113,260.78061,-185.3613,466.24548,277.96817,-64.46703,445.0914
32,0.258,108.78809,-189.22942,503.90985,238.68564,-109.0637,533.31195,260.38016,-185.04501,466.24286,277.96817,-64.46703,445.0914
33,0.267,108.59794,-189.14838,503.96542,238.62616,-108.47007,533.30389,260.20422,-185.00632,466.24222,277.96817,-64.46703,445.0914
34,0.275,108.74694,-189.19658,504.01651,238.73444,-109.08356,533.21698,260.46402,-185.12543,466.20013,277.96817,-64.46703,445.0914
35,0.283,108.59794,-189.14838,503.96542,238.73444,-109.08356,533.21698,260.57849,-185.14273,466.11258,277.96817,-64.46703,445.0914
