Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,139.08507,144.17075,1067.09607,236.72392,176.42941,1086.93909,250.42978,74.66455,1098.0791
2,0.008,140.56195,143.07355,1067.71313,237.52258,175.81583,1087.46143,254.54387,71.87827,1096.505
3,0.017,141.68626,142.76225,1069.6073,239.49541,174.85223,1088.16968,254.74063,72.08455,1096.69263
4,0.025,143.28784,139.77074,1070.93787,240.74759,173.36751,1088.30542,256.24512,71.51811,1097.14917
5,0.033,143.64978,139.30539,1072.51624,240.94693,173.00563,1088.70166,258.12549,69.71715,1100.18616
6,0.042,144.97017,137.77405,1074.23352,242.49669,173.33798,1088.93958,258.83499,68.37044,1100.24707
7,0.05,145.61082,138.11316,1075.46509,243.64256,171.6722,1088.88098,258.83499,68.37044,1100.24707
8,0.058,146.20444,136.11142,1075.79785,244.83986,170.96834,1088.63428,259.56931,67.51621,1101.44214
9,0.067,145.9673,135.41255,1076.76184,244.18187,169.93163,1088.68481,259.56931,67.51621,1101.44214
10,0.075,145.71687,134.65849,1076.87268,244.48759,169.51871,1088.64917,260.30869,66.63586,1101.00159
11,0.083,146.50966,133.43102,1076.50586,245.037,168.35742,1089.05591,260.68893,66.50188,1100.67175
12,0.092,147.30432,132.52689,1077.09058,245.8428,167.29384,1089.86853,261.40656,65.0088,1100.45081
13,0.1,148.05457,131.74727,1077.44373,246.98708,165.66859,1090.7417,264.60278,63.41137,1098.89209
14,0.108,149.61794,128.02522,1077.20459,246.38083,164.33775,1092.18237,265.10312,61.51311,1098.59875
15,0.117,149.35713,125.9511,1076.86365,247.54381,162.371,1092.47876,266.61047,59.71639,1098.33411
16,0.125,150.01457,124.88542,1076.92786,247.86502,161.33488,1093.95813,267.45078,57.95185,1099.94849
17,0.133,151.16748,122.04309,1077.94727,247.50806,159.3607,1094.75769,268.66809,55.92539,1100.29297
18,0.142,151.95416,119.43216,1078.23999,247.5769,157.45419,1095.49219,269.87112,55.5195,1099.09949
19,0.15,152.99548,118.30839,1077.89417,248.24416,156.4155,1095.64124,271.05829,52.37318,1100.40503
20,0.158,154.14455,116.74719,1078.7301,250.33224,154.58372,1096.22437,272.20325,51.7335,1099.12256
21,0.167,154.91913,115.36632,1079.13684,250.33224,154.58372,1096.22437,275.04587,52.68305,1098.47668
22,0.175,155.03302,113.80972,1079.44678,250.44461,153.83974,1096.38672,275.43515,51.87943,1099.39099
23,0.183,155.32594,113.49818,1080.4978,251.04333,153.19185,1096.41553,275.84503,50.5877,1100.12463
24,0.192,155.89005,112.91176,1080.73608,251.39412,153.07692,1096.48425,275.67886,50.27743,1100.40625
25,0.2,156.96104,111.41565,1081.45398,251.74751,153.11386,1096.34131,276.46307,49.50929,1100.42261
26,0.208,157.17084,110.93617,1082.05896,253.33084,151.45067,1095.78357,276.7457,49.41051,1100.55139
27,0.217,157.2771,111.11871,1082.15894,253.88411,149.57991,1094.94604,276.70529,49.34184,1102.18494
28,0.225,157.33214,111.31097,1082.68701,253.85698,150.05513,1095.5155,276.06894,48.97703,1102.427
29,0.233,157.40141,111.32391,1083.06018,254.02008,148.73665,1095.04456,275.63895,48.06615,1104.36658
30,0.242,157.0677,110.60514,1084.02783,254.03955,148.26999,1095.03638,277.06699,47.66635,1103.328
31,0.25,157.66466,109.27712,1084.92932,254.43025,148.21588,1095.82263,277.60623,46.4007,1105.31494
32,0.258,157.36682,108.47501,1085.55396,254.23669,147.81375,1096.6001,277.87115,46.26431,1105.5249
33,0.267,157.07922,107.60718,1085.39087,254.5784,147.33925,1097.66174,277.69159,45.13698,1107.46521
34,0.275,157.58157,107.07836,1085.77686,253.75249,146.33246,1098.26208,277.91309,44.73094,1108.23096
35,0.283,158.8535,104.98009,1085.75635,254.13216,145.71312,1098.65967,278.42606,44.32013,1109.11658
36,0.292,158.86548,104.19328,1087.17932,254.5229,145.65924,1099.44702,280.19583,43.77065,1109.57043
37,0.3,159.14565,103.44166,1088.18457,254.84991,144.65471,1100.28503,280.40247,43.75142,1111.17603
38,0.308,159.58409,102.03391,1088.66699,255.04417,143.62766,1100.88745,282.29605,43.41055,1112.24426
39,0.317,159.49582,101.33961,1089.56995,255.63812,143.50003,1101.54346,282.36465,43.62637,1111.94324
40,0.325,159.73778,100.99287,1090.01794,256.06427,143.64795,1101.94763,282.68637,43.94201,1111.67212
41,0.333,159.86282,100.91929,1090.87512,256.44305,143.51418,1102.24304,284.19125,42.78072,1112.80225
42,0.342,159.95947,101.56998,1091.39343,256.1265,143.30595,1102.60217,284.38385,42.48694,1113.33215
43,0.35,159.80933,101.64712,1092.29272,256.97958,144.01756,1102.6073,283.21188,43.94751,1113.15588
44,0.358,159.91876,101.61185,1092.74487,256.96704,144.2549,1102.89148,284.57056,43.21412,1113.65137
45,0.367,159.65363,101.97944,1093.05945,257.4534,144.61424,1102.88586,285.08087,44.05806,1114.26367
46,0.375,159.95425,102.55332,1093.32458,257.47043,145.07359,1103.02747,283.72852,44.68591,1114.58984
47,0.383,159.62891,103.01706,1093.46265,257.22577,144.63795,1102.91211,283.67438,44.03828,1115.09155
48,0.392,159.72427,103.18646,1093.5802,256.35645,145.33276,1103.61157,283.13556,43.54787,1115.88269
49,0.4,159.49956,102.71918,1093.47412,256.23422,144.44353,1104.38037,282.45734,43.98614,1116.57446
50,0.408,159.4258,102.32059,1093.55505,255.54182,143.64301,1105.03271,283.0325,44.26915,1115.92957
51,0.417,159.25424,101.91985,1093.42834,255.81241,143.43134,1105.35315,282.18124,44.12612,1116.7981
52,0.425,159.27014,101.79103,1093.55176,256.10312,142.68858,1105.81958,282.18124,44.12612,1116.7981
53,0.433,159.48642,101.66895,1093.58667,255.08469,142.62746,1106.02454,282.24911,44.34268,1116.49731
54,0.442,159.424,100.81428,1093.38232,254.86082,142.99245,1107.33667,282.24911,44.34268,1116.49731
55,0.45,159.54068,100.73146,1093.27844,254.46356,142.50911,1107.90881,282.36108,44.44941,1115.37439
56,0.458,159.54068,100.73146,1093.27844,254.54355,142.78427,1107.6958,284.24634,43.09984,1116.5907
57,0.467,159.54068,100.73146,1093.27844,254.77165,143.23196,1107.22412,282.7843,44.4439,1115.14026
58,0.475,159.673,100.97376,1093.30396,255.97728,142.83199,1106.47742,284.45645,43.40605,1116.71887
59,0.483,159.673,100.97376,1093.30396,256.04767,143.90309,1105.8064,284.45645,43.40605,1116.71887
60,0.492,159.673,100.97376,1093.30396,256.17517,143.94016,1105.55859,283.10272,44.68525,1115.3186
61,0.5,160.01662,101.52962,1093.84644,255.97169,145.25587,1105.3125,283.96561,45.55928,1115.27185
62,0.508,159.92213,102.63411,1093.30811,256.12534,145.25758,1104.84631,283.96561,45.55928,1115.27185
63,0.517,159.92213,102.63411,1093.30811,256.0397,145.50488,1104.72021,284.55103,46.11703,1114.75183
64,0.525,160.0027,102.71457,1093.19421,256.42966,145.42616,1104.13989,283.96561,45.55928,1115.27185
65,0.533,160.40933,103.53564,1093.14514,256.38196,146.13231,1103.90112,284.61166,46.416,1115.83911
66,0.542,160.40933,103.53564,1093.14514,256.01752,146.16634,1104.19373,285.85144,45.635,1114.85181
67,0.55,160.40562,103.7618,1092.97498,256.20212,145.44966,1104.16614,285.82031,45.67877,1114.65076
68,0.558,160.17885,103.91334,1092.55994,255.8551,146.22157,1104.74768,285.81445,45.54014,1114.32581
69,0.567,160.5504,103.88018,1091.92505,256.0397,145.50488,1104.72021,283.49362,45.32037,1112.9574
70,0.575,160.42027,103.47098,1091.46204,255.91371,145.44453,1104.83728,285.36902,44.56773,1113.06616
71,0.583,160.70308,103.45167,1091.22473,255.71832,145.48677,1104.8291,284.39566,45.81064,1111.26831
72,0.592,160.33809,103.27936,1090.52991,255.71832,145.48677,1104.8291,283.73065,44.0938,1111.33301
73,0.6,159.98991,103.44473,1089.98169,255.02759,146.33342,1104.87183,284.24194,45.53656,1109.65454
74,0.608,159.73145,102.68005,1089.3363,254.83464,146.38525,1104.54333,283.19336,45.18196,1109.7135
75,0.617,159.68105,102.87154,1089.24927,254.85359,146.45978,1103.75024,283.19336,45.18196,1109.7135
76,0.625,159.68105,102.87154,1089.24927,254.85359,146.45978,1103.75024,283.19336,45.18196,1109.7135
77,0.633,160.23296,103.3934,1088.80701,255.43347,146.65573,1103.0365,283.19336,45.18196,1109.7135
78,0.642,160.61478,103.80207,1088.89014,255.03633,147.18535,1102.30127,283.19336,45.18196,1109.7135
79,0.65,160.31308,104.40594,1089.45313,255.6364,147.07152,1102.39832,284.02438,46.00211,1109.0177
80,0.658,160.90294,104.34461,1089.27673,256.16104,147.52484,1102.0498,285.08441,46.368,1111.03198
81,0.667,161.25179,104.92595,1089.41943,256.2601,147.58835,1101.64453,285.08441,46.368,1111.03198
82,0.675,161.18631,105.09418,1089.7207,256.44223,147.40944,1101.21375,284.82855,46.69022,1111.14502
83,0.683,161.18631,105.09418,1089.7207,256.97256,147.47009,1101.04712,284.82855,46.69022,1111.14502
84,0.692,161.27956,104.82009,1090.27759,256.8522,147.46233,1101.23999,284.51605,47.03537,1111.6554
85,0.7,161.03741,105.16769,1089.82898,256.8522,147.46233,1101.23999,284.82855,46.69022,1111.14502
86,0.708,161.03741,105.16769,1089.82898,256.44223,147.40944,1101.21375,284.83426,46.88698,1110.74023
87,0.717,161.42841,104.74658,1090.16931,257.06952,147.38054,1101.62012,284.83426,46.88698,1110.74023
88,0.725,161.36168,104.95612,1090.07141,256.2601,147.58835,1101.64453,284.83426,46.88698,1110.74023
89,0.733,161.12764,105.10532,1089.46985,255.64612,147.78703,1101.77795,285.09015,46.56472,1110.6272
90,0.742,161.17311,105.05688,1089.11804,255.56102,147.63872,1101.95288,284.46634,46.28654,1109.77905
91,0.75,160.94507,105.09386,1088.93262,255.50861,147.7977,1102.04419,284.17154,47.20893,1108.73572
92,0.758,160.85312,105.15907,1088.74536,255.48907,148.26405,1102.05188,285.15707,47.80489,1109.7395
93,0.767,160.98734,105.29417,1088.55566,255.48907,148.26405,1102.05188,284.84924,47.67736,1109.64014
94,0.775,160.93645,105.29755,1088.43225,255.40353,148.51122,1101.9259,283.91809,49.03759,1109.30481
95,0.783,160.95862,106.11794,1088.34265,255.40353,148.51122,1101.9259,283.84918,48.82148,1109.6062
96,0.792,161.20978,106.82032,1088.88586,255.18637,148.59282,1101.5459,283.84918,48.82148,1109.6062
97,0.8,161.3636,106.96762,1089.40662,255.08636,148.68506,1101.44299,283.91809,49.03759,1109.30481
98,0.808,161.22308,107.36759,1089.95593,255.53094,149.4792,1101.78931,283.14008,50.25046,1110.03357
99,0.817,161.26105,107.60686,1090.04858,255.84718,149.6875,1101.43054,282.86353,50.391,1110.25757
100,0.825,161.30476,107.54489,1090.33618,256.22449,149.73468,1102.02539,283.38818,50.02415,1110.5166
101,0.833,161.0916,107.38384,1090.51685,255.74052,149.81494,1102.56921,283.60638,49.89117,1112.0835
102,0.842,161.0916,107.38384,1090.51685,255.43497,149.73279,1102.87744,283.85345,49.95862,1112.64197
103,0.85,161.0916,107.38384,1090.51685,255.36763,149.84276,1103.23206,284.30811,50.20186,1112.8291
104,0.858,161.0916,107.38384,1090.51685,255.26337,150.05753,1103.70715,284.61621,50.32916,1112.92871
105,0.867,160.96358,107.33606,1090.61694,255.26337,150.05753,1103.70715,284.86395,50.27608,1113.6134
106,0.875,160.96358,107.33606,1090.61694,255.64061,150.46939,1103.61597,284.61929,50.92057,1113.41614
107,0.883,161.27567,108.11714,1090.53076,255.87807,151.17065,1103.54919,284.09021,51.19521,1112.99512
108,0.892,161.3109,109.24054,1090.74756,256.02536,151.88925,1103.09692,283.83545,51.01897,1112.78259
109,0.9,161.31181,110.29303,1090.85852,255.80339,153.58441,1102.06665,282.88196,52.10268,1112.08606
110,0.908,161.17683,111.40303,1090.41943,256.1134,153.81171,1100.95691,282.46884,53.03042,1112.03723
111,0.917,160.54164,112.44035,1090.49292,256.3493,154.47568,1100.60046,282.16055,52.90305,1111.93738
112,0.925,160.0249,113.96702,1090.12341,256.36511,154.56886,1100.46655,281.69385,53.77113,1112.15576
113,0.933,160.14526,114.37322,1089.98145,256.51376,155.07751,1099.90601,281.69385,53.77113,1112.15576
114,0.942,160.10306,114.65946,1089.99072,256.58124,154.96783,1099.55212,281.69385,53.77113,1112.15576
115,0.95,159.83208,114.8708,1089.05713,256.34421,155.33966,1099.61902,281.85309,53.94909,1111.35425
116,0.958,159.8508,115.75898,1088.50085,255.65091,154.98022,1100.00867,281.32104,53.87595,1111.2981
117,0.967,159.25676,115.90263,1087.39465,255.65091,154.98022,1100.00867,282.13602,55.09195,1110.65552
118,0.975,158.93755,114.97327,1086.81201,255.54733,154.95967,1100.49243,282.03323,55.13499,1109.93018
119,0.983,158.98193,114.59144,1086.40662,255.54733,154.95967,1100.49243,281.6651,54.90796,1110.73315
120,0.992,159.2599,113.92873,1086.10657,255.07341,154.77951,1101.40112,282.19162,55.31269,1109.12854
121,1,159.72023,113.75993,1085.76355,254.04642,155.14444,1101.71863,281.94574,55.29345,1110.35742
122,1.008,159.72023,113.75993,1085.76355,253.84622,155.30876,1101.97192,281.94574,55.29345,1110.35742
123,1.017,159.86407,114.05132,1085.69446,254.57327,156.08528,1101.54089,282.12109,56.49925,1110.59668
124,1.025,159.74359,114.5029,1085.9845,255.21606,155.96094,1100.8894,282.52307,56.683,1109.99353
125,1.033,159.17607,115.60595,1086.55579,255.39417,156.73473,1100.42139,282.13721,57.23799,1110.01184
126,1.042,159.65544,115.92576,1086.22961,255.49368,156.76363,1099.94141,282.59097,57.48126,1110.19836
127,1.05,159.68423,117.04603,1086.6925,254.99774,159.56137,1099.44849,281.58966,58.10214,1109.68896
128,1.058,159.93629,117.95532,1086.72156,255.02617,159.77629,1099.02942,281.67923,58.03276,1108.80994
129,1.067,159.41179,119.39014,1086.06653,254.45808,160.37921,1098.09143,280.19897,59.78331,1107.9408
130,1.075,159.41063,120.82746,1085.58655,253.94788,160.26462,1097.06726,279.20383,59.37616,1109.828
131,1.083,158.87819,121.35458,1085.14136,253.87555,160.26646,1096.65479,278.82629,60.51382,1107.70081
132,1.092,157.44484,122.46355,1084.52454,252.6218,161.53886,1096.25366,278.10309,60.80841,1107.49084
133,1.1,156.66193,122.94597,1084.2738,252.35526,162.03947,1096.27747,277.81375,60.94885,1107.00928
134,1.108,155.7811,123.71182,1083.32861,251.99376,161.76242,1095.58691,277.03619,61.6234,1106.84436
135,1.117,155.4335,124.19204,1082.81079,251.26009,163.43311,1096.21472,275.58527,61.7696,1107.58704
136,1.125,154.55211,125.1839,1082.37769,250.46021,163.70647,1096.10815,273.62292,64.20296,1106.8324
137,1.133,153.875,125.85371,1081.46606,250.28748,163.7093,1096.14905,273.62292,64.20296,1106.8324
138,1.142,153.92065,125.66566,1081.17529,250.29944,164.99896,1095.87561,273.62292,64.20296,1106.8324
139,1.15,154.03305,125.88991,1081.11267,250.19223,165.31123,1094.95618,273.14642,64.26158,1106.8938
140,1.158,154.03305,125.88991,1081.11267,250.14386,166.06136,1094.64319,273.3143,64.55098,1106.69019
141,1.167,153.64784,126.63296,1080.5824,249.44214,166.65053,1093.67615,273.4649,65.53435,1107.63965
142,1.175,154.62239,127.42842,1079.91443,250.02559,167.74239,1093.43518,273.67191,65.81459,1107.89929
143,1.183,154.63121,127.56104,1079.78149,250.14455,168.49072,1093.18799,274.15137,67.05357,1107.59509
144,1.192,154.569,129.67178,1079.81055,251.44821,169.42365,1091.55078,274.02591,67.38927,1107.91125
145,1.2,155.19328,130.24173,1079.78052,251.26379,169.14281,1090.41418,273.31097,69.05554,1107.69324
146,1.208,156.66936,130.35158,1079.93982,250.82927,170.86934,1089.20691,273.37119,69.60177,1107.42603
147,1.217,154.92572,132.61458,1078.51331,251.1156,172.99976,1088.06738,272.91324,69.85299,1107.66736
148,1.225,154.5262,134.16454,1077.88599,251.0687,173.14027,1087.45569,271.52866,72.15045,1107.31921
149,1.233,154.82938,135.47871,1077.79541,251.4192,173.43799,1085.93921,270.67084,72.49084,1106.91162
150,1.242,153.25653,137.35999,1077.1438,250.93002,174.91544,1084.85254,269.76501,73.20937,1107.12549
151,1.25,152.36343,139.78799,1076.57922,250.76628,175.00479,1083.95496,268.11481,73.96758,1106.36975
152,1.258,151.95883,140.7047,1074.49719,250.79375,176.01723,1082.69678,266.67151,75.19891,1106.53223
