Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-175.14008,9.77564,1084.02222,-126.15291,-178.21089,1010.38556,-111.66501,186.68739,1009.60071
2,0.008,-175.14008,9.77564,1084.02222,-126.15291,-178.21089,1010.38556,-110.09376,186.64958,1009.38916
3,0.017,-173.75624,10.03599,1083.99304,-126.15291,-178.21089,1010.38556,-109.47356,187.53969,1008.99329
4,0.025,-173.17505,10.55206,1084.00256,-126.15291,-178.21089,1010.38556,-109.40726,187.59056,1008.8924
5,0.033,-173.17505,10.55206,1084.00256,-126.15291,-178.21089,1010.38556,-109.40726,187.59056,1008.8924
6,0.042,-172.32114,10.6863,1084.05286,-126.15291,-178.21089,1010.38556,-109.29404,187.67976,1008.4837
7,0.05,-172.32114,10.6863,1084.05286,-125.94855,-178.43886,1010.18634,-109.29404,187.67976,1008.4837
8,0.058,-171.6098,10.27078,1083.40417,-126.02724,-178.25151,1010.30328,-109.29404,187.67976,1008.4837
9,0.067,-171.16232,10.43101,1083.16406,-126.02724,-178.25151,1010.30328,-109.33784,187.74927,1008.41132
10,0.075,-171.16232,10.43101,1083.16406,-126.16792,-178.41646,1010.19739,-109.33784,187.74927,1008.41132
11,0.083,-171.16232,10.43101,1083.16406,-126.08923,-178.60379,1010.08044,-109.33784,187.74927,1008.41132
12,0.092,-171.16232,10.43101,1083.16406,-126.08923,-178.60379,1010.08044,-109.33784,187.74927,1008.41132
13,0.1,-171.16232,10.43101,1083.16406,-126.65587,-178.38503,1009.71814,-108.94701,188.2717,1008.88641
14,0.108,-170.71284,10.18325,1083.36938,-126.73459,-178.19769,1009.83496,-109.13788,188.33508,1008.86609
15,0.117,-171.16232,10.43101,1083.16406,-126.24419,-178.48642,1009.76593,-109.53209,188.73503,1009.03937
16,0.125,-170.63454,8.88873,1083.27954,-126.24419,-178.48642,1009.76593,-109.82251,188.43726,1009.07861
17,0.133,-170.63454,8.88873,1083.27954,-125.91171,-178.16872,1009.48846,-110.69867,188.69521,1009.4632
