Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,336.67572,-166.16577,46.60366,546.82745,-203.53255,53.68803,491.80524,-160.92343,76.85003
2,0.008,336.67572,-166.16577,46.60366,546.84692,-203.51753,53.61805,491.80524,-160.92343,76.85003
3,0.017,336.67572,-166.16577,46.60366,546.84692,-203.51753,53.61805,491.72647,-160.80424,76.94596
4,0.025,336.67572,-166.16577,46.60366,546.83258,-203.46896,53.73013,491.80524,-160.92343,76.85003
5,0.033,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.80524,-160.92343,76.85003
6,0.042,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.80524,-160.92343,76.85003
7,0.05,336.67572,-166.16577,46.60366,546.87012,-203.51006,53.62297,491.80524,-160.92343,76.85003
8,0.058,336.67572,-166.16577,46.60366,546.82745,-203.53255,53.68803,491.89621,-160.92516,76.92855
9,0.067,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.89621,-160.92516,76.92855
10,0.075,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.62637,-160.82483,76.79863
11,0.083,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.56595,-160.93173,76.96443
12,0.092,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.60962,-161.14951,76.98645
13,0.1,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.60074,-160.95374,76.97714
14,0.108,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.78113,-161.13289,77.24968
15,0.117,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.70059,-161.15123,77.06496
16,0.125,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.74478,-161.03035,77.01583
17,0.133,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.29681,-160.903,77.03574
18,0.142,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.36996,-160.89191,77.11652
19,0.15,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.3967,-160.80959,76.9859
20,0.158,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.67435,-160.8949,77.12443
21,0.167,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.53922,-161.01405,77.09505
22,0.175,336.46234,-166.22145,46.67539,546.75146,-203.63033,53.72062,491.49542,-160.7964,77.073
23,0.183,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.25458,-160.68488,77.01762
24,0.192,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.34555,-160.68665,77.09614
25,0.2,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.5051,-160.77275,77.1459
26,0.208,336.35083,-166.06244,46.38969,546.75146,-203.63033,53.72062,491.25458,-160.68488,77.01762
27,0.217,336.24454,-166.02887,46.55244,546.75653,-203.56673,53.76271,491.32809,-160.72523,77.01465
28,0.225,336.1134,-165.9872,46.4151,546.75653,-203.56673,53.76271,491.23715,-160.72346,76.93613
29,0.233,336.52502,-166.11777,46.46402,546.75146,-203.63033,53.72062,491.25458,-160.68488,77.01762
30,0.242,336.35083,-166.06244,46.38969,546.75146,-203.63033,53.72062,491.3967,-160.80959,76.9859
31,0.25,336.52502,-166.11777,46.46402,546.75146,-203.63033,53.72062,491.62637,-160.82483,76.79863
32,0.258,336.1134,-165.9872,46.4151,546.75146,-203.63033,53.72062,491.23715,-160.72346,76.93613
33,0.267,336.1134,-165.9872,46.4151,546.75146,-203.63033,53.72062,491.34555,-160.68665,77.09614
34,0.275,336.35083,-166.06244,46.38969,546.75146,-203.63033,53.72062,491.23715,-160.72346,76.93613
35,0.283,336.1134,-165.9872,46.4151,546.75146,-203.63033,53.72062,491.32809,-160.72523,77.01465
36,0.292,336.35083,-166.06244,46.38969,546.75146,-203.63033,53.72062,491.32809,-160.72523,77.01465
37,0.3,336.52502,-166.11777,46.46402,546.75146,-203.63033,53.72062,491.56595,-160.93173,76.96443
38,0.308,336.35083,-166.06244,46.38969,546.75146,-203.63033,53.72062,491.35251,-160.9305,77.03503
39,0.317,336.35083,-166.06244,46.38969,546.75146,-203.63033,53.72062,491.35251,-160.9305,77.03503
40,0.325,336.35083,-166.06244,46.38969,546.75146,-203.63033,53.72062,491.19299,-160.84439,76.98527
41,0.333,336.26123,-166.03397,46.21963,546.75146,-203.63033,53.72062,491.26157,-160.92874,76.95651
42,0.342,336.1134,-165.9872,46.4151,546.75146,-203.63033,53.72062,491.19299,-160.84439,76.98527
43,0.35,336.35083,-166.06244,46.38969,546.75146,-203.63033,53.72062,491.52176,-161.05263,77.01357
44,0.358,336.1134,-165.9872,46.4151,546.75146,-203.63033,53.72062,491.19299,-160.84439,76.98527
45,0.367,336.13748,-166.11807,46.46142,546.75146,-203.63033,53.72062,491.34286,-160.95413,76.96214
46,0.375,336.26123,-166.03397,46.21963,546.77374,-203.61111,53.6525,491.32809,-160.72523,77.01465
47,0.383,336.13748,-166.11807,46.46142,546.77374,-203.61111,53.6525,491.25189,-160.95236,76.88361
48,0.392,336.52502,-166.11777,46.46402,546.84692,-203.51753,53.61805,491.52176,-161.05263,77.01357
49,0.4,336.35083,-166.06244,46.38969,546.82745,-203.53255,53.68803,491.35251,-160.9305,77.03503
50,0.408,336.13748,-166.11807,46.46142,546.77374,-203.61111,53.6525,491.52176,-161.05263,77.01357
51,0.417,336.52502,-166.11777,46.46402,546.77374,-203.61111,53.6525,491.35251,-160.9305,77.03503
52,0.425,336.67572,-166.16577,46.60366,546.77374,-203.61111,53.6525,491.83575,-161.03206,77.09435
53,0.433,336.67572,-166.16577,46.60366,546.77374,-203.61111,53.6525,491.70059,-161.15123,77.06496
54,0.442,336.35083,-166.06244,46.38969,546.84692,-203.51753,53.61805,491.48767,-160.81134,77.06441
55,0.45,336.1134,-165.9872,46.4151,546.84692,-203.51753,53.61805,491.19299,-160.84439,76.98527
56,0.458,336.67572,-166.16577,46.60366,546.77374,-203.61111,53.6525,491.65692,-160.93347,77.04295
57,0.467,336.67572,-166.16577,46.60366,546.77374,-203.61111,53.6525,491.70059,-161.15123,77.06496
58,0.475,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.83575,-161.03206,77.09435
59,0.483,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.70059,-161.15123,77.06496
60,0.492,336.67572,-166.16577,46.60366,546.84692,-203.51753,53.61805,491.53088,-161.03032,77.08237
61,0.5,336.51883,-166.25829,46.42079,546.81659,-203.65338,53.77936,491.83575,-161.03206,77.09435
62,0.508,336.51883,-166.25829,46.42079,546.7406,-203.75114,53.81195,491.60962,-161.14951,76.98645
63,0.517,336.51883,-166.25829,46.42079,546.77374,-203.61111,53.6525,491.70059,-161.15123,77.06496
64,0.525,336.46234,-166.22145,46.67539,546.75146,-203.63033,53.72062,491.65692,-160.93347,77.04295
65,0.533,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.3967,-160.80959,76.9859
66,0.542,336.51883,-166.25829,46.42079,546.75146,-203.63033,53.72062,491.70059,-161.15123,77.06496
67,0.55,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.70059,-161.15123,77.06496
68,0.558,336.67572,-166.16577,46.60366,546.7406,-203.75114,53.81195,491.70059,-161.15123,77.06496
69,0.567,336.46234,-166.22145,46.67539,546.75146,-203.63033,53.72062,491.60962,-161.14951,76.98645
70,0.575,336.46234,-166.22145,46.67539,546.75146,-203.63033,53.72062,491.53922,-161.01405,77.09505
71,0.583,336.46234,-166.22145,46.67539,546.75146,-203.63033,53.72062,491.36996,-160.89191,77.11652
72,0.592,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.26157,-160.92874,76.95651
73,0.6,336.46234,-166.22145,46.67539,546.75146,-203.63033,53.72062,491.65692,-160.93347,77.04295
74,0.608,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.52176,-161.05263,77.01357
75,0.617,336.51883,-166.25829,46.42079,546.80457,-203.60275,53.67237,491.38702,-160.83322,76.91299
76,0.625,336.27679,-166.16272,46.83593,546.75653,-203.56673,53.76271,491.65692,-160.93347,77.04295
77,0.633,336.49014,-166.10709,46.76422,546.75653,-203.56673,53.76271,491.34555,-160.68665,77.09614
78,0.642,336.67572,-166.16577,46.60366,546.75653,-203.56673,53.76271,491.76221,-160.99176,77.09731
79,0.65,336.51883,-166.25829,46.42079,546.80457,-203.60275,53.67237,491.5925,-160.87085,77.11472
80,0.658,336.49014,-166.10709,46.76422,546.75146,-203.63033,53.72062,491.76221,-160.99176,77.09731
81,0.667,336.33328,-166.19962,46.58135,546.80457,-203.60275,53.67237,491.34555,-160.68665,77.09614
82,0.675,336.26669,-166.17822,46.43645,546.80457,-203.60275,53.67237,491.32486,-160.57742,77.15805
83,0.683,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.58337,-160.89316,77.04591
84,0.692,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.67435,-160.8949,77.12443
85,0.7,336.50034,-166.11,46.53262,546.75146,-203.63033,53.72062,491.315,-160.57797,76.85184
86,0.708,336.30548,-166.31395,46.49252,546.75146,-203.63033,53.72062,491.25458,-160.68488,77.01762
87,0.717,336.13361,-166.1358,46.30221,546.75146,-203.63033,53.72062,491.21042,-160.8058,77.06676
88,0.725,336.34351,-166.20248,46.34975,546.75146,-203.63033,53.72062,491.41412,-160.77101,77.06738
89,0.733,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.36996,-160.89191,77.11652
90,0.742,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.52176,-161.05263,77.01357
91,0.75,336.36819,-166.21024,46.28114,546.75146,-203.63033,53.72062,491.23715,-160.72346,76.93613
92,0.758,335.95663,-166.07962,46.23223,546.80457,-203.60275,53.67237,491.29758,-160.61656,76.77034
93,0.767,336.13361,-166.1358,46.30221,546.75653,-203.56673,53.76271,491.38855,-160.61833,76.84887
94,0.775,336.35083,-166.06244,46.38969,546.75653,-203.56673,53.76271,491.41412,-160.77101,77.06738
95,0.783,336.36819,-166.21024,46.28114,546.82745,-203.53255,53.68803,491.45309,-160.58336,76.9697
96,0.792,335.95663,-166.07962,46.23223,546.83258,-203.46896,53.73013,491.36365,-160.36667,76.82706
97,0.8,335.95663,-166.07962,46.23223,546.83258,-203.46896,53.73013,491.38431,-160.47589,76.76515
98,0.808,336.1134,-165.9872,46.4151,546.83258,-203.46896,53.73013,491.36365,-160.36667,76.82706
99,0.817,336.52502,-166.11777,46.46402,546.66321,-203.25833,53.78662,491.29758,-160.61656,76.77034
100,0.825,336.46234,-166.22145,46.67539,546.82544,-203.2021,53.71278,491.42203,-160.26906,76.77009
101,0.833,336.35083,-166.06244,46.38969,546.87524,-203.44646,53.66507,491.36365,-160.36667,76.82706
102,0.842,336.1134,-165.9872,46.4151,546.89471,-203.43143,53.59508,491.36365,-160.36667,76.82706
103,0.85,336.1134,-165.9872,46.4151,546.85199,-203.45393,53.66014,491.36365,-160.36667,76.82706
104,0.858,336.52502,-166.11777,46.46402,546.85199,-203.45393,53.66014,491.51352,-160.47646,76.80392
105,0.867,336.35083,-166.06244,46.38969,546.83258,-203.46896,53.73013,491.53421,-160.58566,76.74201
106,0.875,336.52502,-166.11777,46.46402,546.82031,-203.26572,53.67068,491.53421,-160.58566,76.74201
107,0.883,336.19403,-166.15488,46.20682,546.88959,-203.49503,53.55299,491.38431,-160.47589,76.76515
108,0.892,336.36819,-166.21024,46.28114,546.85199,-203.45393,53.66014,491.62518,-160.58742,76.82054
109,0.9,336.35083,-166.06244,46.38969,546.84692,-203.51753,53.61805,491.47379,-160.69257,76.9078
110,0.908,336.36819,-166.21024,46.28114,546.84692,-203.51753,53.61805,491.56595,-160.93173,76.96443
111,0.917,336.51883,-166.25829,46.42079,546.91467,-203.47319,53.56349,491.80524,-160.92343,76.85003
112,0.925,336.51883,-166.25829,46.42079,546.91467,-203.47319,53.56349,491.71735,-160.82657,76.87715
113,0.933,336.51883,-166.25829,46.42079,546.91467,-203.47319,53.56349,491.478,-160.83499,76.99152
114,0.942,336.67572,-166.16577,46.60366,546.84692,-203.51753,53.61805,491.43079,-161.05089,76.93505
115,0.95,336.52502,-166.11777,46.46402,546.84692,-203.51753,53.61805,491.65692,-160.93347,77.04295
116,0.958,336.52502,-166.11777,46.46402,546.84692,-203.51753,53.61805,491.56595,-160.93173,76.96443
117,0.967,336.35083,-166.06244,46.38969,546.84692,-203.51753,53.61805,491.52176,-161.05263,77.01357
118,0.975,336.52502,-166.11777,46.46402,546.84692,-203.51753,53.61805,491.23715,-160.72346,76.93613
119,0.983,335.98068,-166.21049,46.27855,546.84692,-203.51753,53.61805,491.3967,-160.80959,76.9859
120,0.992,336.50034,-166.11,46.53262,546.84692,-203.51753,53.61805,491.43079,-161.05089,76.93505
121,1,336.48889,-166.27905,46.63439,546.75146,-203.63033,53.72062,491.74478,-161.03035,77.01583
122,1.008,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.83575,-161.03206,77.09435
123,1.017,336.67572,-166.16577,46.60366,546.75146,-203.63033,53.72062,491.74478,-161.03035,77.01583
